Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Alex Abrines,24.3,OKC,Wing,1066,81,54.5%,15,42.9%,64,38.2%,69,83.3%,7,90%,51,57%,22,67%,1,100%
Quincy Acy,27.1,BKN,Big,1287,20,50.3%,2,38.0%,46,35.6%,88,82.7%,2,96%,6,86%,23,83%,73,99%
Steven Adams,24.3,OKC,Big,2465,92,63.1%,89,63.1%,0,0.0%,5,55.9%,64,69%,61,65%,23,83%,0,0%
Bam Adebayo,20.3,MIA,Big,1319,31,52.0%,36,52.0%,0,0.0%,42,71.4%,58,71%,46,70%,37,77%,0,0%
Arron Afflalo,32.0,ORL,Wing,618,33,48.5%,12,42.3%,74,39.0%,75,84.6%,28,77%,10,80%,33,61%,59,91%
LaMarcus Aldridge,32.3,SAS,Big,2474,33,52.2%,39,52.6%,15,29.7%,91,83.7%,92,52%,81,56%,85,46%,82,96%
Jarrett Allen,19.5,BKN,Big,1421,84,59.9%,81,60.1%,0,35.7%,64,77.6%,15,85%,8,84%,22,84%,31,100%
Tony Allen,35.8,NOP,Wing,258,53,51.2%,64,50.0%,0,40.0%,0,57.9%,26,78%,13,76%,44,50%,1,100%
Al-Farouq Aminu,27.1,POR,Big,2055,20,50.4%,8,43.4%,64,36.9%,46,73.8%,46,74%,90,48%,78,50%,84,96%
Justin Anderson,24.0,PHI,Wing,420,92,58.5%,99,62.2%,50,36.7%,0,80.0%,21,80%,19,74%,30,63%,50,93%
Kyle Anderson,24.1,SAS,Forward,1946,76,55.3%,80,55.8%,37,34.0%,26,71.1%,86,55%,71,52%,51,51%,0,100%
Ryan Anderson,29.5,HOU,Big,1672,66,56.9%,55,55.1%,74,38.4%,63,77.4%,43,75%,100,28%,86,45%,72,99%
Giannis Antetokounmpo,22.9,MIL,Forward,2740,71,54.7%,78,55.4%,15,31.4%,45,75.8%,96,46%,80,48%,86,30%,67,91%
Carmelo Anthony,33.4,OKC,Big,2473,11,47.9%,8,43.6%,54,36.0%,60,76.8%,88,56%,98,37%,91,38%,95,88%
OG Anunoby,20.3,TOR,Forward,1441,80,57.4%,94,60.5%,52,36.6%,5,62.9%,24,82%,29,71%,53,50%,41,96%
Ryan Arcidiacono,23.6,CHI,Combo,262,98,58.6%,100,77.8%,43,34.6%,0,50.0%,11,69%,4,75%,98,0%,25,89%
Trevor Ariza,32.3,HOU,Wing,2221,82,54.9%,76,51.9%,54,37.3%,84,85.4%,18,82%,44,60%,56,40%,37,95%
Darrell Arthur,29.6,DEN,Big,118,65,56.6%,98,70.0%,12,27.8%,0,66.7%,3,95%,1,100%,14,88%,31,100%
Jamel Artis,24.8,ORL,Forward,243,6,41.2%,22,45.2%,2,23.1%,0,66.7%,27,80%,2,100%,29,64%,88,83%
Omer Asik,31.3,NOP,Big,103,1,36.4%,1,36.4%,0,0.0%,0,20.0%,0,100%,1,100%,1,100%,0,0%
D.J. Augustin,30.0,ORL,Point,1739,89,56.2%,72,48.5%,88,42.4%,78,86.8%,36,44%,49,29%,84,10%,44,68%
Luke Babbitt,28.4,MIA,Forward,106,12,44.6%,0,0.0%,13,30.6%,0,0.0%,0,100%,0,0%,0,0%,0,100%
Luke Babbitt,28.4,ATL,Big,517,86,60.6%,43,52.9%,97,43.0%,0,66.7%,17,83%,9,83%,75,52%,77,98%
Dwayne Bacon,22.2,CHA,Wing,627,8,40.7%,7,39.5%,14,29.7%,0,84.2%,53,65%,73,44%,28,65%,1,100%
Ron Baker,24.6,NYK,Combo,334,25,46.2%,4,36.4%,55,35.5%,0,71.4%,13,68%,21,57%,0,100%,66,73%
Lonzo Ball,20.0,LAL,Combo,1769,13,44.6%,18,41.8%,23,31.3%,0,45.1%,34,51%,55,35%,57,24%,52,74%
J.J. Barea,33.3,DAL,Combo,1595,79,52.7%,68,50.0%,77,37.3%,46,78.4%,89,33%,86,24%,91,8%,84,63%
Harrison Barnes,25.4,DAL,Forward,2590,33,49.5%,41,47.8%,43,35.9%,74,83.0%,94,47%,92,43%,84,32%,92,83%
Will Barton,26.8,DEN,Combo,2634,82,53.2%,75,51.1%,74,37.1%,54,80.5%,36,50%,41,45%,63,24%,63,73%
Nicolas Batum,28.9,CHA,Wing,1960,33,48.8%,47,47.3%,38,33.8%,68,83.1%,78,54%,76,43%,67,37%,70,85%
Jerryd Bayless,29.2,PHI,Wing,898,61,51.9%,44,47.0%,54,37.2%,46,79.5%,13,84%,16,75%,22,67%,35,96%
Aron Baynes,30.9,BOS,Big,1448,10,47.8%,18,49.0%,1,14.3%,56,76.3%,45,75%,73,59%,10,91%,31,100%
Kent Bazemore,28.3,ATL,Wing,1771,41,50.2%,20,43.9%,80,39.7%,43,79.3%,64,61%,71,45%,44,50%,75,83%
Bradley Beal,24.3,WAS,Wing,2957,69,53.0%,69,50.6%,59,37.7%,42,79.3%,84,48%,87,37%,73,34%,80,79%
Malik Beasley,20.9,DEN,Wing,493,18,46.1%,40,46.5%,16,30.0%,0,62.5%,31,76%,27,68%,30,64%,59,90%
Michael Beasley,28.8,NYK,Big,1611,40,52.9%,35,51.9%,87,41.0%,72,78.3%,94,51%,82,55%,92,37%,91,91%
Marco Belinelli,31.6,PHI,Wing,714,96,60.7%,98,61.5%,86,40.4%,94,88.0%,5,91%,4,94%,7,85%,43,95%
Marco Belinelli,31.6,ATL,Wing,1192,58,51.7%,30,45.5%,62,38.2%,100,92.7%,24,78%,16,75%,15,73%,74,84%
Jordan Bell,22.8,GSW,Big,719,91,62.8%,90,63.5%,0,0.0%,39,70.3%,47,74%,32,74%,38,75%,0,0%
DeAndre' Bembry,23.3,ATL,Wing,435,21,46.8%,17,43.3%,75,39.3%,4,55.2%,80,53%,78,42%,74,33%,1,100%
Dragan Bender,20.0,PHX,Big,2003,22,50.7%,5,41.5%,63,36.8%,62,77.1%,23,81%,85,53%,92,36%,73,99%
Davis Bertans,25.0,SAS,Big,977,63,56.4%,73,58.7%,65,37.1%,87,82.5%,5,93%,11,83%,23,83%,31,100%
Patrick Beverley,29.3,LAC,Point,333,59,50.4%,16,40.7%,80,40.0%,0,82.4%,16,52%,38,35%,98,0%,25,79%
Khem Birch,25.1,ORL,Big,510,46,54.2%,51,54.2%,0,0.0%,25,66.7%,59,71%,59,66%,18,86%,0,0%
Bismack Biyombo,25.2,ORL,Big,1441,38,52.6%,38,52.3%,0,0.0%,23,65.1%,21,82%,21,78%,8,93%,0,0%
Nemanja Bjelica,29.5,MIN,Forward,1325,84,57.6%,63,51.7%,89,42.1%,55,80.0%,35,75%,43,64%,53,50%,55,93%
Tarik Black,25.9,HOU,Big,430,88,61.7%,88,62.6%,0,25.0%,0,42.9%,10,86%,3,88%,100,0%,31,100%
Antonio Blakeney,21.1,CHI,Wing,278,7,40.2%,8,40.3%,9,26.7%,37,77.1%,68,58%,25,69%,64,39%,87,75%
Eric Bledsoe,27.9,MIL,Point,2222,79,54.3%,97,54.8%,46,35.3%,37,79.3%,38,42%,44,33%,38,23%,33,77%
Bogdan Bogdanovic,25.2,SAC,Wing,2131,73,53.6%,56,48.6%,86,40.4%,76,84.7%,81,51%,72,45%,79,31%,85,76%
Bojan Bogdanovic,28.5,IND,Forward,2413,78,56.5%,69,53.3%,78,40.2%,92,86.7%,55,69%,61,56%,61,49%,51,94%
Andrew Bogut,32.9,LAL,Big,216,99,68.0%,98,68.0%,0,0.0%,0,100.0%,100,35%,99,29%,48,67%,0,0%
Devin Booker,21.0,PHX,Wing,1847,43,50.5%,35,45.9%,71,38.6%,93,87.6%,87,42%,88,33%,72,34%,96,61%
Trevor Booker,29.9,PHI,Big,461,73,58.1%,75,58.9%,0,25.0%,84,82.1%,25,81%,5,86%,62,62%,31,100%
Trevor Booker,29.9,IND,Big,262,16,49.4%,37,52.2%,0,23.1%,0,90.9%,91,53%,93,44%,74,53%,31,100%
Trevor Booker,29.9,BKN,Big,393,39,52.7%,50,54.1%,0,23.1%,4,55.8%,91,54%,79,57%,86,45%,31,100%
Avery Bradley,26.9,DET,Wing,1253,22,47.3%,11,42.3%,67,38.3%,31,76.3%,27,77%,32,66%,10,75%,55,92%
Avery Bradley,26.9,LAC,Wing,164,27,48.2%,83,54.3%,0,11.1%,0,100.0%,70,58%,30,67%,56,40%,1,100%
Corey Brewer,31.7,OKC,Wing,513,73,53.5%,80,53.2%,42,35.4%,44,79.5%,29,77%,37,63%,22,67%,1,100%
Corey Brewer,31.7,LAL,Wing,654,36,49.4%,84,54.6%,3,21.6%,15,68.1%,62,62%,56,55%,18,71%,1,100%
Malcolm Brogdon,24.9,MIL,Combo,1405,88,54.4%,86,52.7%,87,38.6%,96,88.6%,45,48%,38,47%,75,22%,68,72%
Aaron Brooks,32.8,MIN,Point,134,39,46.9%,11,37.9%,80,40.0%,0,80.0%,44,37%,100,0%,70,14%,34,75%
Dillon Brooks,21.8,MEM,Wing,2311,48,50.9%,56,48.7%,52,36.9%,27,74.4%,56,64%,48,60%,54,43%,57,91%
MarShon Brooks,28.8,MEM,Wing,186,96,60.5%,39,46.4%,100,61.3%,0,87.0%,99,24%,91,31%,92,16%,100,26%
Jaylen Brown,21.0,BOS,Wing,2129,79,54.4%,67,50.6%,83,40.2%,8,64.5%,47,68%,50,58%,55,42%,34,97%
Lorenzo Brown,27.2,TOR,Wing,107,24,47.6%,81,53.8%,0,25.0%,0,100.0%,96,33%,88,33%,83,25%,98,50%
Sterling Brown,22.7,MIL,Wing,716,34,48.9%,19,43.9%,47,36.4%,0,86.4%,36,73%,39,63%,44,50%,49,94%
Reggie Bullock,26.6,DET,Wing,1695,95,60.2%,79,53.1%,98,44.8%,47,79.6%,6,90%,7,83%,7,84%,33,97%
Trey Burke,25.0,NYK,Point,746,84,55.2%,98,55.3%,54,35.8%,2,61.5%,54,35%,52,28%,41,22%,16,82%
Alec Burks,26.3,UTA,Wing,954,16,45.6%,25,44.3%,29,31.7%,88,86.0%,83,49%,53,56%,86,23%,92,67%
Jimmy Butler,28.1,MIN,Wing,2137,56,51.6%,70,51.0%,43,35.5%,83,85.2%,88,40%,69,47%,88,22%,86,76%
Dwight Buycks,28.7,DET,Point,366,46,47.3%,30,43.2%,89,42.4%,88,89.2%,64,32%,15,47%,82,11%,92,43%
Jose Calderon,36.1,CLE,Point,815,95,61.4%,87,51.9%,95,46.3%,59,84.6%,15,52%,67,23%,52,20%,20,82%
Kentavious Caldwell-Pope,24.7,LAL,Wing,2433,67,52.7%,46,47.1%,70,38.5%,41,78.8%,37,73%,44,60%,31,62%,64,87%
Isaiah Canaan,26.5,PHX,Point,405,41,47.0%,26,42.9%,41,33.8%,90,90.2%,46,37%,69,22%,64,17%,69,59%
Clint Capela,23.5,HOU,Big,2009,97,65.1%,94,65.1%,0,0.0%,6,56.0%,19,82%,9,84%,53,65%,0,0%
DeMarre Carroll,31.3,BKN,Forward,2158,37,50.5%,29,45.7%,57,36.9%,50,76.5%,61,67%,78,48%,67,42%,59,93%
Vince Carter,40.8,SAC,Forward,1005,41,50.9%,43,48.3%,41,35.2%,42,75.7%,43,73%,57,59%,78,36%,24,98%
Michael Carter-Williams,26.1,CHA,Combo,789,0,35.1%,2,34.8%,9,24.1%,60,80.8%,55,43%,34,47%,89,10%,29,85%
Alex Caruso,23.7,LAL,Combo,522,21,45.7%,45,47.0%,17,28.9%,6,70.0%,30,52%,27,52%,9,50%,91,55%
Omri Casspi,29.4,GSW,Forward,635,100,63.6%,98,62.3%,100,47.4%,21,68.9%,16,85%,20,80%,6,93%,0,100%
Willie Cauley-Stein,24.2,SAC,Big,2001,23,50.8%,27,50.8%,0,30.0%,15,61.8%,65,68%,39,71%,63,61%,31,100%
Tyler Cavanaugh,23.7,ATL,Big,472,60,56.0%,68,57.6%,61,36.6%,0,75.0%,18,83%,71,61%,27,82%,31,100%
Mario Chalmers,31.5,MEM,Point,1372,25,44.7%,48,46.3%,16,28.6%,69,85.4%,33,45%,56,28%,30,28%,18,82%
Tyson Chandler,35.1,PHX,Big,1145,97,65.1%,91,64.7%,0,0.0%,16,62.4%,69,67%,55,67%,48,67%,0,0%
Wilson Chandler,30.5,DEN,Forward,2324,51,51.8%,53,50.3%,48,36.1%,53,77.2%,69,63%,65,55%,80,34%,49,94%
Marquese Chriss,20.3,PHX,Big,1478,13,48.8%,33,51.6%,14,29.5%,11,59.7%,35,77%,53,68%,43,72%,31,100%
Ian Clark,26.7,NOP,Combo,1375,70,51.9%,91,53.6%,28,32.8%,38,77.8%,14,65%,5,73%,11,49%,30,84%
Jordan Clarkson,25.4,LAL,Combo,1238,59,50.3%,71,50.8%,26,32.7%,50,79.4%,70,39%,70,30%,59,24%,43,79%
Jordan Clarkson,25.4,CLE,Combo,615,80,53.0%,66,49.2%,91,39.8%,63,81.0%,54,45%,68,31%,43,27%,34,80%
John Collins,20.1,ATL,Big,1709,83,59.5%,79,59.8%,47,35.7%,40,70.5%,44,75%,34,73%,30,80%,31,100%
Zach Collins,20.0,POR,Big,990,6,45.9%,13,46.7%,16,29.8%,21,64.3%,50,73%,37,71%,78,50%,79,97%
Kyle Collinsworth,26.1,DAL,Wing,451,10,41.9%,18,43.4%,6,23.5%,3,53.8%,90,38%,93,29%,74,33%,1,100%
Darren Collison,30.2,IND,Point,1989,92,57.2%,82,50.6%,98,47.0%,84,88.6%,30,45%,31,39%,51,21%,21,81%
Mike Conley,30.1,MEM,Point,373,26,45.2%,34,44.0%,29,31.2%,43,80.3%,62,33%,64,23%,70,14%,77,54%
Pat Connaughton,24.8,POR,Wing,1402,46,50.5%,63,49.7%,39,34.2%,74,84.2%,20,80%,18,75%,39,56%,47,94%
Quinn Cook,24.6,GSW,Point,697,93,57.4%,85,51.4%,93,44.2%,0,90.0%,7,54%,10,52%,13,34%,26,79%
DeMarcus Cousins,27.2,NOP,Big,1715,42,53.5%,45,53.0%,51,35.9%,48,74.5%,89,55%,92,46%,97,26%,88,94%
Robert Covington,26.9,PHI,Forward,2515,65,53.9%,47,49.8%,65,37.2%,87,85.3%,4,90%,18,80%,12,83%,35,97%
Allen Crabbe,25.6,BKN,Wing,2160,71,53.3%,34,45.9%,66,38.3%,81,85.1%,9,86%,12,77%,16,72%,48,94%
Torrey Craig,26.9,DEN,Wing,585,67,52.9%,95,58.0%,19,30.8%,6,62.9%,39,71%,54,56%,1,100%,1,100%
Jamal Crawford,37.6,MIN,Wing,1613,35,49.0%,50,47.5%,35,33.4%,98,91.6%,90,40%,97,18%,85,24%,88,73%
Jae Crowder,27.3,CLE,Forward,1324,39,50.7%,55,50.8%,33,33.2%,79,84.4%,10,88%,12,81%,8,90%,43,95%
Jae Crowder,27.3,UTA,Forward,737,24,47.3%,33,46.2%,20,32.0%,47,75.9%,22,82%,14,80%,18,70%,71,90%
Dante Cunningham,30.5,NOP,Forward,1075,57,52.7%,76,55.3%,30,33.0%,0,52.9%,2,91%,8,85%,4,100%,33,97%
Dante Cunningham,30.5,BKN,Big,442,49,55.0%,45,53.2%,73,38.3%,0,73.3%,8,88%,27,75%,1,100%,31,100%
Stephen Curry,29.6,GSW,Point,1619,97,62.5%,100,59.4%,91,42.7%,98,92.0%,18,52%,11,49%,11,34%,61,62%
Troy Daniels,26.3,PHX,Combo,1586,96,57.2%,21,43.0%,92,40.3%,92,87.5%,0,87%,9,69%,2,69%,20,92%
Anthony Davis,24.6,NOP,Big,2703,54,55.4%,58,55.7%,36,34.4%,89,82.8%,56,72%,27,75%,60,62%,89,93%
Deyonta Davis,20.9,MEM,Big,867,89,62.3%,87,62.3%,0,0.0%,25,66.7%,39,76%,29,74%,23,83%,0,0%
Ed Davis,28.4,POR,Big,1456,76,58.5%,71,58.3%,0,0.0%,25,66.7%,86,57%,83,55%,43,72%,0,0%
DeMar DeRozan,28.2,TOR,Wing,2700,36,49.1%,59,49.3%,27,31.6%,59,82.4%,97,32%,87,34%,89,22%,91,67%
Dewayne Dedmon,28.2,ATL,Big,1516,72,58.0%,80,59.9%,41,35.3%,67,77.9%,14,85%,25,75%,12,89%,31,100%
Sam Dekker,23.5,LAC,Forward,809,45,51.1%,90,59.1%,0,16.4%,16,66.0%,47,72%,27,73%,37,57%,76,89%
Malcolm Delaney,28.6,ATL,Combo,963,18,45.3%,5,37.2%,72,37.1%,75,82.3%,27,54%,45,38%,25,38%,54,74%
Matthew Dellavedova,27.1,MIL,Combo,700,16,45.0%,0,34.2%,66,36.8%,100,92.6%,23,60%,61,33%,50,26%,23,89%
Cheick Diallo,21.1,NOP,Big,495,70,57.3%,66,57.3%,0,0.0%,51,75.4%,16,84%,5,86%,31,80%,0,0%
Gorgui Dieng,27.8,MIN,Big,1281,21,50.5%,28,51.1%,25,31.6%,61,77.0%,24,81%,56,67%,12,89%,95,89%
Spencer Dinwiddie,24.6,BKN,Combo,2257,32,47.0%,36,45.4%,30,32.9%,65,81.1%,88,34%,95,16%,86,11%,88,60%
Tyler Dorsey,21.7,ATL,Combo,870,34,47.4%,16,40.9%,51,35.3%,25,75.5%,20,63%,34,47%,20,41%,32,82%
Damyean Dotson,23.5,NYK,Wing,374,58,51.7%,90,56.9%,18,30.2%,0,68.8%,21,79%,16,75%,22,67%,1,100%
Goran Dragic,31.5,MIA,Point,2352,57,50.3%,66,48.1%,63,37.4%,41,80.2%,43,39%,34,36%,59,18%,30,78%
Andre Drummond,24.2,DET,Big,2591,40,53.3%,46,53.5%,0,0.0%,13,60.6%,90,55%,84,53%,59,63%,0,0%
Jared Dudley,32.3,PHX,Big,667,25,51.3%,12,46.3%,52,35.9%,57,76.5%,6,91%,6,86%,66,60%,31,100%
Kris Dunn,23.6,CHI,Point,1459,31,46.1%,44,45.5%,32,32.3%,22,73.7%,89,24%,80,20%,67,16%,62,62%
Kevin Durant,29.1,GSW,Forward,2308,94,58.9%,86,56.6%,91,42.4%,97,88.8%,88,54%,49,63%,71,40%,96,69%
Henry Ellenson,20.8,DET,Big,237,5,44.9%,4,41.1%,31,33.3%,0,90.5%,60,70%,56,67%,92,36%,31,100%
Wayne Ellington,29.9,MIA,Wing,1966,90,57.2%,45,47.1%,78,39.6%,87,85.9%,7,89%,24,69%,33,60%,44,95%
Joel Embiid,23.6,PHI,Big,1899,28,51.4%,41,52.7%,20,30.8%,60,76.9%,95,50%,73,59%,97,26%,90,92%
James Ennis,27.3,DET,Wing,528,68,52.9%,93,57.5%,22,30.9%,33,76.7%,15,83%,11,79%,22,67%,1,100%
James Ennis,27.3,MEM,Wing,1027,87,56.7%,93,57.0%,48,36.6%,90,87.1%,35,74%,30,67%,41,53%,1,100%
Tyler Ennis,23.2,LAL,Combo,639,27,46.3%,52,47.4%,15,28.0%,27,75.9%,73,38%,75,29%,27,38%,70,71%
Jawun Evans,21.3,LAC,Point,713,3,37.7%,7,36.0%,18,29.2%,39,79.5%,26,48%,23,41%,5,41%,26,79%
Tyreke Evans,28.1,MEM,Wing,1579,66,52.6%,54,48.3%,84,40.3%,40,78.5%,98,31%,95,25%,93,15%,99,48%
Dante Exum,22.3,UTA,Combo,223,66,51.2%,88,53.1%,19,29.4%,58,80.6%,71,38%,66,31%,27,38%,36,80%
Kenneth Faried,28.0,DEN,Big,442,27,51.4%,31,51.4%,0,0.0%,33,68.9%,60,70%,32,74%,61,62%,0,0%
Derrick Favors,26.3,UTA,Big,2130,71,57.5%,78,59.7%,7,23.0%,22,65.1%,29,79%,28,75%,13,89%,31,100%
Kay Felder,22.6,CHI,Point,102,5,37.8%,10,36.8%,0,27.3%,0,88.9%,52,35%,26,40%,39,22%,46,67%
Cristiano Felicio,25.3,CHI,Big,862,75,58.2%,74,58.9%,0,0.0%,31,68.3%,39,76%,19,78%,48,67%,0,0%
Raymond Felton,33.3,OKC,Combo,1309,55,50.2%,30,45.0%,83,38.2%,83,84.6%,93,32%,96,11%,93,6%,64,73%
Terrance Ferguson,19.5,OKC,Wing,689,41,50.3%,97,60.0%,26,31.5%,0,90.0%,4,93%,6,86%,18,71%,1,100%
Yogi Ferrell,24.5,DAL,Point,2193,64,51.6%,62,47.9%,61,36.7%,33,78.9%,5,55%,21,42%,7,39%,36,75%
Dorian Finney-Smith,24.5,DAL,Wing,447,21,47.1%,59,49.1%,18,30.3%,0,73.3%,30,76%,60,53%,6,86%,41,95%
Bryn Forbes,24.3,SAS,Wing,1396,63,52.3%,38,46.3%,77,39.4%,11,65.1%,19,80%,20,71%,21,69%,37,95%
Evan Fournier,25.0,ORL,Wing,1809,78,54.1%,75,51.7%,66,38.3%,89,86.9%,50,67%,31,66%,52,47%,72,84%
De'Aaron Fox,19.9,SAC,Point,1940,20,43.7%,31,43.2%,25,30.4%,16,72.3%,77,28%,54,28%,61,18%,59,62%
Tim Frazier,27.0,WAS,Point,746,15,42.0%,25,42.6%,11,26.5%,59,84.6%,34,44%,7,53%,10,34%,79,54%
Channing Frye,34.5,CLE,Big,466,62,56.3%,99,71.2%,13,28.9%,0,100.0%,11,86%,16,80%,38,76%,31,100%
Channing Frye,34.5,LAL,Big,150,76,58.3%,84,61.1%,67,37.5%,0,75.0%,13,85%,98,33%,14,88%,31,100%
Markelle Fultz,19.4,PHI,Combo,221,2,41.8%,20,42.3%,0,0.0%,0,42.1%,86,34%,61,33%,30,36%,0,0%
Danilo Gallinari,29.2,LAC,Forward,663,20,46.7%,24,45.5%,24,32.7%,100,93.1%,57,69%,37,66%,43,56%,88,83%
Langston Galloway,25.9,DET,Combo,759,41,48.1%,11,39.5%,53,35.4%,38,77.8%,5,75%,30,50%,14,46%,18,93%
Marc Gasol,32.8,MEM,Big,2376,10,47.5%,11,45.6%,35,34.2%,90,83.3%,47,74%,31,74%,61,62%,79,97%
Pau Gasol,37.3,SAS,Big,1784,15,49.4%,16,48.2%,49,35.8%,52,75.6%,52,73%,63,64%,42,72%,31,100%
