Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,25.3,OKC,Big,159,14,+14.5,22,+8.3,33,+2.9%,37,-1.4%,87,-10.8,49,-0.2,95,-63.6
LaMarcus Aldridge,33.3,SAS,Big,243,95,-15.7,83,-7.5,47,+0.7%,56,-0.4%,96,-15.4,98,-10.2,59,-10.4
Al-Farouq Aminu,28.1,POR,Big,399,38,+3.7,23,+8.2,83,-5.8%,88,+2.8%,55,-1.6,79,-4.4,24,+19.6
Giannis Antetokounmpo,23.9,MIL,Forward,513,83,-6.3,57,+0.1,62,-0.9%,57,-0.3%,48,+0.1,43,+0.5,49,-3.3
D.J. Augustin,31.0,ORL,Point,140,3,+25.6,19,+8.6,1,+15.3%,4,-5.7%,3,+20.0,4,+9.4,13,+36.7
Will Barton,27.8,DEN,Wing,320,38,+3.4,59,-0.2,10,+7.4%,23,-2.8%,46,+0.5,18,+4.5,69,-19.9
Aron Baynes,31.9,BOS,Big,115,61,-1.5,93,-15.1,37,+1.6%,25,-2.4%,11,+10.1,52,-0.4,1,+83.0
Malik Beasley,21.9,DEN,Wing,265,21,+9.7,14,+11.0,87,-6.6%,91,+3.6%,13,+9.8,66,-1.6,6,+56.6
Marco Belinelli,32.6,SAS,Wing,130,34,+4.0,80,-5.8,8,+7.7%,2,-6.2%,6,+12.9,1,+10.8,42,+0.8
Patrick Beverley,30.3,LAC,Combo,194,57,-1.1,13,+11.0,96,-10.9%,28,-2.2%,77,-6.5,83,-5.0,46,-1.5
Eric Bledsoe,28.9,MIL,Point,422,82,-6.1,78,-5.1,50,+0.3%,57,-0.3%,54,-1.4,58,-1.1,48,-3.0
Bojan Bogdanovic,29.5,IND,Forward,147,13,+15.5,5,+15.3,53,+0.2%,11,-4.3%,16,+8.2,55,-0.9,4,+58.0
Andrew Bogut,33.9,GSW,Big,178,60,-1.3,48,+1.7,32,+3.3%,38,-1.3%,38,+1.9,28,+3.1,55,-8.2
Malcolm Brogdon,25.9,MIL,Combo,194,47,+1.1,63,-0.8,60,-0.4%,73,+1.0%,44,+0.7,62,-1.5,27,+15.5
Jaylen Brown,22.0,BOS,Wing,269,28,+6.3,28,+7.0,68,-2.2%,23,-2.7%,27,+5.3,60,-1.3,8,+50.2
Jimmy Butler,29.1,PHI,Forward,421,91,-12.8,85,-8.7,36,+1.6%,77,+1.2%,73,-5.6,50,-0.3,89,-40.4
Clint Capela,24.5,HOU,Big,330,54,+0.1,48,+1.5,48,+0.5%,48,-0.8%,58,-1.8,45,+0.3,62,-11.1
DeMarre Carroll,32.3,BKN,Forward,119,44,+1.3,33,+6.2,93,-9.1%,63,+0.4%,99,-22.8,92,-6.7,92,-42.9
Darren Collison,31.2,IND,Point,116,88,-8.5,55,+0.5,94,-9.7%,8,-5.1%,73,-5.8,75,-3.6,60,-10.5
Pat Connaughton,25.8,MIL,Wing,294,77,-4.6,84,-7.9,51,+0.3%,47,-0.8%,43,+0.8,37,+1.5,52,-5.0
DeMarcus Cousins,28.2,GSW,Big,133,87,-8.2,77,-4.4,52,+0.3%,8,-5.2%,12,+9.9,44,+0.3,5,+57.7
Jae Crowder,28.3,UTA,Big,130,43,+1.9,18,+8.9,14,+6.6%,1,-6.6%,33,+3.2,12,+6.3,85,-31.3
Seth Curry,28.2,POR,Wing,319,89,-9.5,93,-13.5,13,+6.7%,36,-1.4%,29,+4.6,27,+3.3,43,-0.2
Stephen Curry,30.6,GSW,Point,845,84,-7.4,88,-9.5,49,+0.4%,65,+0.5%,65,-3.7,73,-3.4,41,+1.1
DeMar DeRozan,29.2,SAS,Wing,248,10,+17.4,4,+15.6,57,-0.2%,94,+4.4%,34,+2.5,68,-2.1,20,+23.8
Spencer Dinwiddie,25.6,BKN,Combo,131,73,-4.0,98,-19.3,2,+13.9%,63,+0.3%,0,+29.4,0,+16.8,18,+28.6
Andre Drummond,25.2,DET,Big,127,0,+33.6,0,+36.9,43,+1.1%,33,-1.8%,48,0.0,88,-6.1,17,+33.9
Kevin Durant,30.1,GSW,Forward,441,74,-4.2,73,-3.2,41,+1.2%,61,+0.2%,61,-2.6,46,+0.2,68,-18.5
Wayne Ellington,30.9,DET,Wing,128,23,+8.4,6,+15.2,38,+1.5%,5,-5.6%,97,-15.4,74,-3.6,93,-47.2
Joel Embiid,24.6,PHI,Big,334,100,-27.3,100,-26.4,57,-0.2%,83,+1.6%,70,-4.4,64,-1.5,66,-16.9
James Ennis,28.3,PHI,Wing,224,25,+7.1,44,+3.0,61,-0.7%,48,-0.8%,23,+6.6,51,-0.4,7,+53.8
Derrick Favors,27.3,UTA,Big,103,96,-15.9,91,-10.5,91,-8.2%,100,+7.8%,68,-4.2,85,-5.4,33,+12.5
Bryn Forbes,25.3,SAS,Combo,207,85,-7.4,36,+5.1,77,-4.3%,95,+4.9%,91,-11.9,97,-9.3,51,-4.0
Evan Fournier,26.0,ORL,Wing,172,8,+18.3,8,+13.8,7,+10.5%,35,-1.6%,18,+7.9,16,+5.5,77,-25.0
Danilo Gallinari,30.2,LAC,Big,201,72,-3.9,65,-1.6,78,-5.2%,18,-3.6%,47,+0.2,28,+2.9,65,-16.2
Marc Gasol,33.8,TOR,Big,733,49,+0.7,47,+2.2,53,+0.2%,51,-0.7%,21,+6.8,34,+1.8,18,+31.1
Rudy Gay,32.2,SAS,Forward,176,19,+10.0,39,+4.4,18,+6.1%,26,-2.3%,63,-3.0,41,+1.0,73,-23.8
Paul George,28.5,OKC,Wing,203,99,-26.1,95,-17.5,30,+3.5%,72,+0.9%,93,-13.0,40,+1.2,100,-90.9
Rudy Gobert,26.3,UTA,Big,152,4,+21.5,10,+12.9,12,+6.7%,6,-5.6%,23,+6.7,13,+5.8,38,+5.6
Aaron Gordon,23.1,ORL,Forward,160,18,+12.4,63,-0.7,21,+5.6%,21,-3.0%,3,+15.6,8,+8.0,28,+14.6
Eric Gordon,29.9,HOU,Wing,408,33,+4.5,21,+8.4,58,-0.2%,52,-0.7%,33,+3.0,63,-1.5,23,+22.4
Jerami Grant,24.6,OKC,Big,176,3,+25.0,8,+13.5,27,+4.0%,13,-4.3%,64,-3.3,30,+2.2,88,-39.7
Danny Green,31.4,TOR,Wing,683,46,+1.1,68,-2.4,42,+1.2%,49,-0.8%,35,+2.4,33,+1.9,40,+2.5
