Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Quincy Acy,24.1,NYK,Big,1179,34,48.3%,55,63%,90,48%,48,37%,52,40%,6,21%,46,35%,13,29%
Jordan Adams,20.3,MEM,Wing,185,24,45.8%,48,58%,38,33%,13,27%,21,30%,0,17%,0,45%,46,35%
Steven Adams,21.3,OKC,Big,1767,74,54.5%,45,61%,63,42%,22,25%,60,41%,0,0%,0,0%,0,0%
Jeff Adrien,28.7,MIN,Big,189,3,41.0%,6,48%,17,31%,58,40%,19,33%,0,0%,0,0%,0,0%
Arron Afflalo,29.0,DEN,Wing,1746,48,49.2%,25,53%,75,42%,96,51%,94,47%,35,36%,36,33%,33,34%
Arron Afflalo,29.0,POR,Wing,747,55,50.0%,48,58%,72,40%,48,37%,60,39%,15,31%,97,47%,85,40%
Alexis Ajinca,26.5,NOP,Big,873,75,54.6%,32,58%,97,55%,77,44%,99,52%,0,0%,0,0%,0,0%
Furkan Aldemir,23.2,PHI,Big,488,35,48.5%,60,63%,4,13%,34,33%,5,24%,0,0%,0,0%,0,0%
Cole Aldrich,26.0,NYK,Big,915,35,48.6%,78,66%,36,36%,3,0%,29,35%,0,0%,0,0%,0,0%
LaMarcus Aldridge,29.3,POR,Big,2508,31,48.0%,74,65%,73,44%,62,41%,66,42%,41,35%,67,38%,64,37%
Lavoy Allen,25.7,IND,Big,1025,28,47.5%,93,71%,22,33%,46,36%,28,35%,0,0%,0,0%,0,0%
Tony Allen,32.8,MEM,Wing,1631,67,50.9%,36,55%,35,32%,60,39%,36,34%,13,30%,0,44%,38,34%
Al-Farouq Aminu,24.1,DAL,Forward,1277,24,44.8%,39,58%,39,32%,7,12%,9,24%,10,29%,13,24%,18,27%
Lou Amundson,31.9,NYK,Big,856,8,43.4%,6,49%,22,33%,67,42%,34,36%,0,0%,0,0%,0,0%
Chris Andersen,36.3,MIA,Big,1127,94,59.8%,83,68%,8,24%,45,36%,16,31%,0,57%,0,0%,0,40%
