Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Quentin Richardson,31.6,ORL,Wing,845,50,47.6%,91,71%,4,8%,9,27%,4,21%,45,38%,42,33%,44,34%
Luke Ridnour,30.7,MIN,Combo,1748,67,48.5%,60,59%,82,43%,93,46%,96,45%,72,44%,17,26%,26,32%
Nate Robinson,27.4,GSW,Point,1169,77,49.6%,89,62%,64,38%,61,40%,59,40%,68,46%,53,35%,60,37%
Rajon Rondo,25.7,BOS,Point,1949,50,45.8%,61,55%,36,32%,48,39%,44,36%,0,29%,10,23%,15,24%
Derrick Rose,23.1,CHI,Point,1373,61,48.0%,69,57%,78,42%,34,36%,56,39%,0,33%,41,33%,42,33%
Ricky Rubio,21.0,MIN,Combo,1396,13,39.8%,20,48%,11,19%,27,36%,9,30%,90,50%,22,28%,49,34%
Brandon Rush,26.3,GSW,Forward,1683,98,61.4%,63,63%,63,38%,94,49%,94,46%,82,44%,97,47%,97,46%
Walker Russell,29.1,DET,Point,292,5,37.0%,17,46%,5,23%,56,40%,11,28%,0,50%,0,0%,0,33%
John Salmons,31.9,SAC,Wing,1241,30,45.8%,97,79%,38,31%,60,40%,50,37%,40,37%,11,23%,20,30%
Samardo Samuels,22.8,CLE,Big,732,28,45.6%,29,56%,22,28%,43,34%,26,31%,0,0%,0,0%,0,0%
Larry Sanders,22.9,MIL,Big,570,31,46.8%,38,58%,9,23%,17,22%,7,22%,0,0%,0,0%,0,0%
Luis Scola,31.5,HOU,Big,2064,45,49.2%,55,63%,66,40%,88,47%,83,43%,0,0%,0,0%,0,0%
Thabo Sefolosha,27.5,OKC,Wing,906,84,52.3%,33,56%,9,18%,6,25%,5,23%,84,45%,89,41%,94,43%
Josh Selby,20.6,MEM,Point,190,44,45.1%,6,38%,100,73%,56,40%,100,57%,0,0%,0,29%,0,22%
Kevin Seraphin,21.9,WAS,Big,1095,78,53.5%,67,65%,85,46%,83,45%,93,46%,0,0%,0,0%,0,0%
Ramon Sessions,25.6,CLE,Point,972,41,44.0%,42,52%,25,29%,25,33%,22,31%,0,25%,100,44%,96,43%
Ramon Sessions,25.6,LAL,Combo,695,91,51.7%,87,63%,27,29%,31,37%,22,33%,0,0%,100,52%,100,49%
Iman Shumpert,21.3,NYK,Combo,1647,33,45.3%,62,59%,24,26%,29,37%,24,33%,21,29%,36,33%,21,32%
Bobby Simmons,31.4,LAC,Forward,401,21,42.4%,2,17%,44,33%,31,33%,40,33%,41,31%,89,41%,51,34%
Chris Singleton,21.9,WAS,Wing,1375,16,43.6%,10,51%,20,26%,24,32%,19,30%,51,39%,33,31%,43,34%
James Singleton,30.3,WAS,Big,220,89,56.9%,92,71%,22,29%,96,52%,94,47%,0,0%,0,29%,0,29%
Donald Sloan,23.8,CLE,Point,542,23,41.2%,44,52%,80,42%,55,40%,66,41%,0,50%,0,0%,2,11%
Craig Smith,28.0,POR,Big,382,60,50.5%,50,62%,43,34%,27,29%,32,33%,0,0%,0,0%,0,0%
Ish Smith,23.3,ORL,Point,129,27,42.7%,31,50%,73,40%,17,29%,44,36%,0,0%,0,50%,0,33%
JR Smith,26.1,NYK,Wing,915,66,50.1%,52,60%,59,37%,59,40%,61,39%,39,37%,72,38%,68,38%
Jason Smith,25.7,NOP,Big,940,70,52.2%,99,76%,34,33%,90,48%,90,45%,0,20%,0,0%,0,11%
Josh Smith,25.9,ATL,Big,2323,33,47.2%,78,66%,51,37%,54,37%,51,37%,17,29%,16,25%,27,26%
Nolan Smith,23.3,POR,Combo,466,16,40.0%,53,57%,29,30%,4,27%,7,28%,0,15%,50,35%,18,28%
Marreese Speights,24.2,MEM,Big,1338,26,45.3%,14,50%,55,38%,85,46%,74,42%,0,0%,0,0%,0,0%
Tiago Splitter,26.8,SAS,Big,1074,96,62.1%,94,73%,45,36%,20,25%,42,35%,0,0%,0,0%,0,0%
Jerry Stackhouse,37.0,ATL,Wing,173,6,39.7%,36,57%,81,43%,9,27%,26,32%,4,25%,0,40%,13,28%
Lance Stephenson,21.2,IND,Wing,353,28,45.6%,64,62%,47,33%,70,42%,62,39%,0,11%,0,22%,0,17%
DeShawn Stevenson,30.6,BKN,Wing,946,8,40.5%,1,38%,47,33%,6,25%,9,26%,10,28%,21,29%,16,28%
Greg Stiemsma,26.1,BOS,Big,699,89,57.0%,68,65%,49,36%,96,52%,98,49%,0,0%,0,0%,0,0%
Julyan Stone,22.9,DEN,Combo,160,40,46.7%,84,63%,96,50%,98,50%,100,50%,0,33%,0,14%,0,20%
Amar'e Stoudemire,29.0,NYK,Big,1539,40,48.7%,81,67%,40,34%,47,35%,39,34%,0,13%,0,30%,5,22%
Rodney Stuckey,25.5,DET,Wing,1635,31,46.0%,14,52%,84,44%,30,34%,59,39%,20,33%,41,32%,35,33%
DaJuan Summers,23.8,NOP,Wing,190,15,43.0%,17,53%,0,0%,93,48%,82,42%,0,33%,0,0%,0,21%
Jeff Teague,23.4,ATL,Point,2177,81,51.4%,86,61%,70,39%,42,39%,53,39%,0,40%,45,34%,50,34%
Sebastian Telfair,26.4,PHX,Point,784,53,46.2%,14,44%,42,33%,91,48%,81,45%,39,37%,31,31%,38,33%
Jason Terry,34.1,DAL,Wing,1982,79,51.6%,86,67%,69,39%,82,43%,85,42%,78,44%,67,36%,70,38%
Hasheem Thabeet,24.7,POR,Big,104,53,50.0%,33,57%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Isaiah Thomas,22.7,SAC,Point,1616,86,52.1%,84,61%,66,38%,41,38%,50,38%,71,46%,55,36%,81,39%
Kurt Thomas,39.1,POR,Big,776,30,46.4%,2,39%,93,50%,89,47%,96,48%,0,0%,0,0%,0,0%
Lance Thomas,23.5,NOP,Big,610,32,47.1%,22,54%,10,23%,98,54%,32,33%,0,0%,0,0%,0,0%
Tyrus Thomas,25.2,CHA,Big,960,2,35.9%,4,45%,34,33%,35,32%,29,32%,0,50%,0,0%,0,50%
Jason Thompson,25.3,SAC,Big,1624,80,53.6%,55,63%,89,47%,33,32%,75,42%,0,0%,0,0%,0,0%
Klay Thompson,21.7,GSW,Wing,1557,83,52.1%,78,64%,22,26%,71,42%,57,39%,92,47%,86,40%,89,42%
Tristan Thompson,20.6,CLE,Big,1372,20,44.3%,17,52%,33,33%,10,8%,25,31%,0,0%,0,0%,0,0%
Marcus Thornton,24.4,SAC,Combo,1773,84,51.0%,93,64%,49,35%,40,38%,31,36%,28,34%,56,36%,51,35%
Jamaal Tinsley,33.7,UTA,Point,463,33,43.7%,19,46%,94,51%,52,39%,88,46%,0,0%,20,28%,17,25%
Anthony Tolliver,26.4,MIN,Forward,861,52,47.1%,88,72%,21,25%,23,32%,23,30%,18,28%,11,25%,13,26%
Ronny Turiaf,28.8,MIA,Big,212,79,53.6%,86,69%,67,40%,4,0%,32,33%,0,0%,0,0%,0,0%
Hedo Turkoglu,32.6,ORL,Wing,1648,72,50.6%,69,63%,72,40%,48,36%,52,37%,26,34%,60,36%,52,35%
Evan Turner,23.0,PHI,Wing,1631,28,45.8%,53,60%,74,41%,72,42%,80,41%,4,25%,4,21%,5,23%
