Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Kyle Anderson,30.1,MIN,Forward,227,22,+8.3,11,+10.8,41,+1.8%,54,+0.4%,63,-2.0,46,+0.8,76,-20.7
Nicolas Batum,34.9,PHI,Wing,197,19,+9.1,28,+4.9,46,+1.0%,7,-4.0%,52,+0.2,88,-4.7,21,+26.7
Bradley Beal,30.3,PHX,Combo,153,55,-0.9,81,-8.0,92,-7.9%,84,+2.6%,11,+8.9,16,+5.1,36,+11.8
Malik Beasley,26.9,MIL,Combo,126,43,+1.2,40,+1.5,37,+2.1%,1,-7.9%,46,+1.8,15,+5.9,79,-24.3
Patrick Beverley,35.3,MIL,Wing,209,20,+8.9,37,+2.4,60,-0.8%,96,+5.7%,36,+3.4,66,-1.9,20,+30.2
Devin Booker,27.0,PHX,Point,165,81,-7.5,89,-10.5,100,-37.6%,100,+10.1%,95,-11.6,96,-10.8,36,+11.8
Jaylen Brown,27.0,BOS,Wing,706,18,+9.5,27,+6.1,50,+0.6%,14,-2.8%,42,+2.2,32,+2.2,50,+1.2
Alec Burks,32.3,NYK,Wing,114,11,+13.3,13,+9.6,32,+3.3%,71,+1.5%,24,+5.6,27,+2.7,33,+12.8
Kentavious Caldwell-Pope,30.7,DEN,Wing,420,11,+12.9,15,+9.0,28,+3.7%,46,-0.1%,44,+2.1,28,+2.5,56,-4.8
Mike Conley,36.1,MIN,Point,472,68,-3.7,80,-7.7,26,+3.9%,7,-3.7%,12,+8.0,3,+8.5,67,-10.5
Pat Connaughton,30.8,MIL,Wing,122,89,-10.2,93,-13.7,3,+10.1%,15,-2.6%,3,+12.6,12,+6.4,15,+34.7
Anthony Davis,30.6,LAL,Big,248,1,+23.3,20,+7.4,93,-8.6%,67,+1.3%,34,+3.5,93,-7.6,3,+53.3
Kevin Durant,35.1,PHX,Big,167,0,+58.1,0,+45.6,79,-4.5%,92,+4.0%,19,+6.8,71,-2.4,16,+34.3
Joel Embiid,29.6,PHI,Big,286,76,-6.1,52,-1.0,98,-11.7%,98,+6.7%,73,-4.7,89,-4.8,57,-4.9
Dante Exum,28.3,DAL,Wing,117,51,-0.5,49,+0.1,1,+11.5%,27,-1.7%,55,-0.3,25,+2.8,75,-18.9
Paul George,33.5,LAC,Forward,222,38,+2.0,57,-1.9,5,+9.5%,21,-1.9%,54,-0.2,4,+8.4,96,-71.9
Rudy Gobert,31.3,MIN,Big,510,85,-8.5,75,-6.1,85,-5.8%,31,-1.2%,48,+1.0,59,-1.4,28,+19.5
Aaron Gordon,28.1,DEN,Big,444,6,+16.1,8,+11.7,20,+4.6%,8,-3.7%,35,+3.4,11,+6.5,85,-31.7
Eric Gordon,34.9,PHX,Wing,116,14,+11.4,7,+15.2,24,+4.3%,12,-3.0%,89,-9.0,53,-0.4,89,-37.3
Tim Hardaway Jr.,31.6,DAL,Wing,161,12,+12.7,26,+6.2,29,+3.5%,16,-2.6%,4,+11.6,28,+2.7,5,+51.5
James Harden,34.2,LAC,Combo,241,8,+14.2,31,+4.2,54,+0.1%,4,-4.3%,38,+2.9,2,+9.1,93,-66.7
Gary Harris,29.1,ORL,Wing,158,44,+0.9,79,-6.9,39,+2.0%,63,+1.0%,59,-1.2,61,-1.5,53,0.0
Tobias Harris,31.3,PHI,Forward,251,63,-3.0,50,-0.4,72,-3.1%,91,+3.9%,98,-15.4,51,-0.2,98,-79.3
Jrue Holiday,33.4,BOS,Combo,718,54,-0.9,43,+1.2,76,-3.9%,79,+2.2%,91,-9.2,85,-4.7,82,-28.5
Justin Holiday,34.6,DEN,Combo,146,97,-19.1,98,-16.8,81,-5.1%,83,+2.6%,99,-15.6,94,-8.7,93,-57.5
