Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Shareef Abdur-Rahim,26.9,ATL,Forward,1955,17,0.5%,22,1.0%,87,3.1%,76,7.8%,87,16.6%,52,3.1%,78,28.3%
Shareef Abdur-Rahim,26.9,POR,Forward,708,74,1.4%,67,1.6%,52,4.1%,63,7.3%,52,13.7%,0,0.0%,43,20.7%
Malik Allen,25.3,MIA,Big,576,76,2.7%,39,1.0%,37,5.6%,19,6.9%,21,13.4%,62,4.5%,1,5.1%
Ray Allen,28.3,OKC,Combo,2147,42,0.3%,33,1.5%,82,2.4%,73,3.5%,91,10.9%,0,0.0%,60,4.2%
Rafer Alston,27.3,MIA,Point,2546,79,0.4%,74,2.1%,32,3.8%,16,1.1%,66,8.5%,0,0.0%,37,1.9%
Chris Andersen,25.3,DEN,Big,1016,99,5.6%,71,1.5%,52,4.9%,45,8.4%,61,17.1%,75,6.5%,99,53.2%
Derek Anderson,29.3,POR,Wing,1807,2,0.1%,68,1.7%,93,1.9%,12,1.5%,31,9.2%,60,1.9%,20,2.4%
Kenny Anderson,33.1,IND,Point,862,52,0.3%,13,1.2%,39,3.7%,65,2.2%,37,7.6%,0,0.0%,0,0.0%
Shandon Anderson,29.8,NYK,Wing,1916,44,0.4%,62,1.6%,34,3.9%,44,3.0%,25,8.8%,0,0.0%,32,5.9%
Carmelo Anthony,19.4,DEN,Wing,2984,70,0.7%,44,1.4%,80,2.6%,93,6.5%,66,11.2%,0,0.0%,36,6.4%
Robert Archibald,23.6,TOR,Big,232,11,0.8%,99,2.7%,2,9.0%,40,8.2%,6,11.7%,0,0.0%,20,20.0%
Gilbert Arenas,21.8,WAS,Combo,2047,49,0.3%,78,2.2%,60,3.1%,60,2.6%,78,10.3%,67,1.2%,29,1.8%
Brandon Armstrong,23.4,BKN,Combo,329,53,0.4%,38,1.6%,4,6.3%,64,2.8%,67,9.5%,0,0.0%,0,0.0%
Darrell Armstrong,35.4,NOP,Point,2212,84,0.4%,84,2.7%,71,2.8%,90,2.8%,47,8.0%,68,0.8%,65,3.8%
Carlos Arroyo,24.3,UTA,Point,1999,31,0.1%,24,1.5%,53,3.3%,69,2.3%,65,8.5%,71,0.8%,34,1.5%
Chucky Atkins,29.2,BOS,Point,793,8,0.1%,31,1.5%,81,2.3%,3,0.4%,5,5.2%,0,0.0%,82,4.7%
Chucky Atkins,29.2,DET,Point,717,11,0.1%,10,1.2%,37,3.7%,8,0.7%,8,5.4%,90,2.3%,76,4.3%
Stacey Augmon,35.2,NOP,Wing,1409,57,0.6%,72,1.8%,45,3.5%,73,4.0%,22,8.6%,51,1.2%,81,14.6%
Vin Baker,31.9,BOS,Big,1003,28,1.2%,40,1.0%,80,3.9%,43,8.4%,11,12.5%,0,0.0%,15,18.5%
Vin Baker,31.9,NYK,Big,301,45,1.7%,48,1.1%,4,8.2%,96,13.2%,12,12.6%,0,0.0%,3,8.3%
Marcus Banks,21.9,BOS,Point,1319,92,0.5%,90,2.9%,6,5.2%,81,2.5%,42,7.7%,0,0.0%,66,3.8%
Leandro Barbosa,20.9,PHX,Combo,1485,36,0.2%,98,2.8%,18,5.2%,22,1.5%,27,7.1%,64,1.2%,38,2.0%
Matt Barnes,23.6,LAC,Forward,699,7,0.2%,72,1.7%,35,4.8%,78,7.9%,50,13.6%,0,0.0%,20,13.3%
Brent Barry,31.8,OKC,Wing,1798,46,0.5%,86,2.1%,75,2.8%,5,1.2%,57,10.7%,50,1.1%,39,6.8%
Jon Barry,34.3,DEN,Wing,1042,35,0.4%,93,2.3%,84,2.4%,20,2.0%,38,9.6%,53,1.4%,0,0.0%
Tony Battie,27.7,BOS,Big,491,60,2.1%,16,0.7%,66,4.5%,42,8.3%,20,13.4%,0,0.0%,83,40.0%
Tony Battie,27.7,CLE,Big,951,75,2.7%,24,0.8%,57,4.7%,39,8.1%,42,15.2%,81,7.3%,48,27.4%
Shane Battier,25.1,MEM,Wing,1919,95,1.6%,92,2.3%,32,4.0%,85,5.3%,47,10.4%,85,3.4%,28,5.4%
Lonny Baxter,24.8,CHI,Big,124,65,2.2%,1,0.4%,1,9.2%,50,8.8%,52,16.2%,0,0.0%,55,30.0%
Lonny Baxter,24.8,TOR,Big,477,58,2.1%,71,1.4%,17,6.8%,60,9.6%,37,15.0%,47,2.9%,42,25.7%
Lonny Baxter,24.8,WAS,Big,114,71,2.4%,18,0.8%,2,8.4%,21,7.1%,54,16.3%,98,12.5%,29,22.2%
Raja Bell,27.1,UTA,Wing,1987,31,0.4%,42,1.4%,14,5.2%,45,3.2%,37,9.6%,55,1.6%,61,10.6%
Jonathan Bender,22.8,IND,Big,247,74,2.5%,36,1.0%,98,2.7%,4,4.1%,19,13.2%,0,0.0%,2,7.7%
Travis Best,31.3,DAL,Point,727,58,0.3%,47,1.7%,48,3.4%,77,2.4%,26,7.3%,0,0.0%,48,2.3%
Mike Bibby,25.5,SAC,Point,2977,63,0.3%,44,1.7%,90,2.0%,79,2.5%,23,7.2%,74,1.2%,50,2.6%
Chauncey Billups,27.1,DET,Combo,2755,29,0.2%,29,1.4%,78,2.6%,13,1.4%,62,9.0%,0,0.0%,53,3.2%
Steve Blake,23.7,WAS,Point,1290,55,0.3%,58,1.9%,61,3.1%,26,1.3%,39,7.6%,0,0.0%,0,0.0%
Corie Blount,34.8,CHI,Big,727,36,1.4%,96,2.2%,50,5.0%,76,10.4%,49,16.0%,84,8.3%,63,31.5%
Corie Blount,34.8,TOR,Big,290,20,1.0%,90,1.9%,6,8.0%,47,8.6%,50,16.0%,0,0.0%,42,26.1%
Mark Blount,27.9,BOS,Big,2397,70,2.4%,75,1.5%,70,4.3%,55,9.2%,34,14.6%,67,5.2%,71,33.6%
Keith Bogans,23.5,ORL,Wing,1735,17,0.3%,20,1.1%,60,3.1%,92,6.1%,79,12.3%,86,3.4%,64,11.0%
Calvin Booth,27.5,OKC,Big,1188,94,4.4%,9,0.6%,41,5.4%,28,7.5%,37,14.9%,0,0.0%,61,30.9%
Carlos Boozer,21.9,CLE,Big,2585,27,1.1%,59,1.3%,96,3.0%,53,9.0%,96,22.2%,69,5.4%,98,50.9%
Curtis Borchardt,23.1,UTA,Big,248,86,3.4%,17,0.8%,17,6.9%,15,6.4%,66,17.5%,0,0.0%,11,16.7%
Chris Bosh,19.6,TOR,Big,2501,71,2.4%,53,1.1%,81,3.9%,40,8.2%,35,14.8%,43,2.6%,29,21.8%
Bruce Bowen,32.4,SAS,Wing,2615,67,0.7%,51,1.5%,76,2.7%,15,1.7%,6,7.4%,75,2.5%,68,12.5%
Ryan Bowen,27.9,DEN,Forward,321,98,2.6%,80,1.8%,24,5.1%,80,8.5%,46,13.1%,0,0.0%,2,3.8%
Earl Boykins,27.4,DEN,Point,1757,16,0.1%,15,1.2%,87,2.1%,68,2.3%,3,5.2%,85,1.6%,87,5.1%
Shawn Bradley,31.6,DAL,Big,731,98,5.3%,93,2.0%,10,7.6%,58,9.4%,16,12.8%,0,0.0%,4,9.1%
Torraye Braggs,27.5,HOU,Big,121,20,1.0%,74,1.5%,15,7.2%,97,13.9%,38,15.0%,0,0.0%,0,0.0%
Elton Brand,24.6,LAC,Big,2670,81,3.1%,43,1.0%,91,3.2%,80,10.8%,55,16.4%,27,0.6%,45,27.0%
J.R. Bremer,23.1,CLE,Combo,385,80,0.6%,64,2.0%,73,2.6%,7,1.2%,24,7.1%,96,3.7%,0,0.0%
Jamison Brewer,22.9,IND,Combo,149,0,0.0%,67,2.0%,71,2.6%,31,1.6%,18,7.0%,0,0.0%,0,0.0%
Devin Brown,24.8,SAS,Combo,514,62,0.4%,2,0.8%,33,4.0%,91,5.8%,98,16.0%,87,2.4%,100,21.4%
Kedrick Brown,22.6,BOS,Wing,398,12,0.3%,83,2.0%,23,4.3%,82,4.7%,74,12.1%,99,9.1%,87,17.4%
Kedrick Brown,22.6,CLE,Combo,546,69,0.5%,11,1.1%,51,3.3%,82,4.3%,73,9.8%,0,0.0%,51,3.1%
Kwame Brown,21.6,WAS,Big,2191,29,1.2%,60,1.3%,99,2.5%,43,8.4%,40,15.1%,65,5.0%,95,46.5%
P.J. Brown,34.0,NOP,Big,2751,38,1.5%,61,1.3%,93,3.1%,44,8.4%,47,15.7%,97,11.0%,65,32.1%
Rick Brunson,31.4,CHI,Point,354,89,0.5%,94,3.2%,11,4.8%,85,2.6%,34,7.5%,0,0.0%,97,6.7%
Kobe Bryant,25.2,LAL,Wing,2441,63,0.6%,81,2.0%,74,2.8%,79,4.6%,60,10.7%,41,0.4%,37,6.4%
Greg Buckner,27.1,PHI,Wing,645,21,0.3%,56,1.5%,12,5.2%,80,4.6%,55,10.6%,78,2.6%,46,8.0%
Caron Butler,23.6,MIA,Wing,2000,26,0.4%,69,1.7%,47,3.4%,85,4.9%,80,12.4%,0,0.0%,41,7.0%
Mitchell Butler,32.9,WAS,Wing,521,35,0.4%,65,1.7%,28,4.1%,84,4.8%,21,8.4%,65,2.0%,67,11.8%
Rasual Butler,24.4,MIA,Wing,625,88,1.2%,0,0.7%,16,4.8%,1,0.7%,15,8.1%,0,0.0%,88,19.5%
Zarko Cabarkapa,22.4,PHX,Forward,559,67,1.2%,7,0.8%,22,5.2%,20,4.5%,39,12.6%,48,2.7%,39,18.4%
Marcus Camby,29.6,DEN,Big,2161,96,4.6%,85,1.7%,61,4.6%,74,10.3%,98,23.1%,29,0.8%,94,46.1%
Elden Campbell,35.3,DET,Big,885,83,3.2%,50,1.1%,26,6.1%,16,6.5%,67,17.5%,0,0.0%,37,24.3%
Brian Cardinal,26.5,GSW,Forward,1603,33,0.7%,74,1.7%,17,5.5%,43,6.0%,61,13.7%,98,10.1%,28,15.8%
Vince Carter,26.8,TOR,Wing,2781,92,1.3%,53,1.5%,56,3.1%,58,3.7%,36,9.5%,0,0.0%,27,5.2%
Sam Cassell,34.0,MIN,Point,2840,73,0.3%,42,1.7%,42,3.5%,48,1.7%,48,8.1%,0,0.0%,23,0.7%
Kelvin Cato,29.2,HOU,Big,1743,80,3.1%,70,1.4%,45,5.2%,69,10.0%,75,18.0%,31,1.4%,11,16.7%
Tyson Chandler,21.1,CHI,Big,744,81,3.1%,21,0.8%,72,4.2%,77,10.5%,93,20.7%,0,0.0%,100,59.1%
Calbert Cheaney,32.3,GSW,Wing,2042,20,0.3%,41,1.4%,30,4.0%,69,3.9%,35,9.5%,73,2.4%,35,6.3%
Doug Christie,33.5,SAC,Wing,2765,75,0.8%,95,2.4%,73,2.8%,37,2.8%,32,9.2%,45,0.7%,62,10.7%
Speedy Claxton,25.5,GSW,Point,1575,68,0.3%,85,2.8%,27,4.0%,87,2.6%,56,8.1%,0,0.0%,42,2.2%
Derrick Coleman,36.4,PHI,Big,841,47,1.8%,61,1.3%,74,4.1%,10,5.9%,76,18.4%,70,5.4%,68,33.3%
Bimbo Coles,35.5,MIA,Combo,148,0,0.0%,9,1.0%,2,6.5%,2,0.7%,4,5.0%,0,0.0%,0,0.0%
Jason Collier,26.1,ATL,Big,544,24,1.1%,23,0.8%,49,5.0%,18,6.8%,10,12.3%,84,8.0%,81,39.4%
