Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,26.3,OKC,Big,210,3,-7.8%,70,+3.2%,4,-16.1%,75,+8.1%,23,-5.2%,8,-17.7%,6,-10.3%,2,-12.1%
Giannis Antetokounmpo,24.9,MIL,Big,277,69,+2.2%,60,+2.0%,35,-4.1%,44,-1.8%,36,-3.0%,15,-11.0%,62,+1.6%,37,-1.9%
Carmelo Anthony,35.4,POR,Big,213,54,+0.2%,84,+6.3%,13,-9.9%,92,+18.1%,57,+2.2%,93,+21.7%,4,-11.1%,13,-5.8%
D.J. Augustin,32.0,ORL,Point,127,47,-0.5%,20,-6.4%,80,+7.8%,13,-14.8%,35,-3.1%,87,+13.2%,69,+2.6%,73,+3.5%
Patrick Beverley,31.3,LAC,Point,165,22,-3.7%,12,-9.2%,26,-6.1%,37,-3.6%,23,-5.1%,58,+2.9%,51,-0.3%,50,+0.1%
Eric Bledsoe,29.9,MIL,Point,267,11,-5.3%,30,-4.8%,12,-10.2%,31,-5.6%,12,-8.9%,26,-6.7%,49,-0.4%,35,-2.2%
Malcolm Brogdon,26.9,IND,Combo,159,94,+7.8%,9,-9.9%,92,+12.3%,4,-21.8%,57,+1.5%,97,+32.6%,90,+8.9%,100,+13.9%
Jaylen Brown,23.0,BOS,Wing,670,20,-3.8%,85,+7.0%,43,-1.0%,18,-11.8%,22,-5.4%,29,-5.5%,14,-6.6%,11,-6.3%
Trey Burke,27.0,DAL,Point,155,79,+3.8%,71,+3.4%,8,-13.7%,71,+6.3%,18,-6.7%,81,+9.3%,81,+5.3%,88,+7.3%
Jimmy Butler,30.1,MIA,Wing,806,64,+1.6%,68,+2.8%,57,+0.9%,36,-4.0%,50,-0.8%,71,+6.1%,70,+3.2%,77,+3.9%
Kentavious Caldwell-Pope,26.7,LAL,Wing,608,30,-2.8%,31,-4.6%,86,+9.8%,28,-6.6%,59,+2.4%,23,-8.1%,65,+2.0%,39,-1.5%
