Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
LaMarcus Aldridge,29.3,POR,Big,208,0,34.4%,5,33.7%,0,27.3%,89,88.9%,100,35%,98,32%,95,27%,63,100%
Tony Allen,32.8,MEM,Wing,278,54,50.0%,80,54.0%,0,14.3%,0,75.0%,37,75%,34,68%,3,100%,0,100%
Al-Farouq Aminu,24.1,DAL,Forward,148,100,66.1%,89,50.0%,0,63.6%,0,76.5%,89,59%,100,33%,100,0%,11,100%
Alan Anderson,32.0,BKN,Wing,141,100,74.4%,97,58.3%,0,66.7%,0,75.0%,63,63%,74,38%,51,50%,66,90%
Giannis Antetokounmpo,19.9,MIL,Forward,200,22,36.6%,33,37.1%,0,0.0%,0,73.9%,100,58%,56,65%,89,44%,0,0%
Pero Antic,32.3,ATL,Big,195,21,43.0%,0,27.8%,64,34.4%,0,80.0%,0,94%,14,80%,0,0%,63,100%
Trevor Ariza,29.3,HOU,Forward,653,67,52.8%,78,48.8%,100,37.5%,100,90.5%,44,79%,67,62%,56,60%,89,97%
Leandro Barbosa,31.9,GSW,Combo,217,56,49.4%,56,46.8%,67,38.1%,0,81.8%,28,70%,33,63%,17,60%,6,100%
J.J. Barea,30.3,DAL,Combo,152,50,48.2%,72,51.2%,0,26.7%,0,83.3%,94,24%,67,30%,89,9%,94,50%
Harrison Barnes,22.4,GSW,Forward,678,44,49.2%,67,47.4%,80,35.5%,0,73.5%,56,74%,44,74%,67,52%,11,100%
Matt Barnes,34.6,LAC,Wing,404,29,46.0%,89,55.0%,13,26.7%,0,75.0%,6,97%,9,95%,3,100%,0,100%
Nicolas Batum,25.9,POR,Wing,208,14,43.6%,6,35.5%,37,33.3%,0,76.9%,34,79%,49,60%,51,50%,0,100%
Jerryd Bayless,26.2,MIL,Combo,108,0,35.9%,22,35.7%,0,25.0%,0,76.5%,61,45%,17,67%,50,29%,6,100%
Kent Bazemore,25.3,ATL,Wing,299,40,46.4%,86,54.8%,0,22.2%,17,67.7%,17,90%,11,90%,3,100%,80,83%
Bradley Beal,21.3,WAS,Wing,416,34,46.3%,29,42.3%,53,36.5%,75,83.1%,77,54%,69,46%,77,33%,57,91%
Marco Belinelli,28.6,SAS,Combo,108,100,72.1%,100,71.4%,92,46.4%,0,84.6%,6,89%,17,67%,0,100%,50,92%
Bojan Bogdanovic,25.5,BKN,Forward,205,33,48.3%,56,46.2%,40,33.3%,0,71.4%,33,87%,22,88%,78,50%,11,100%
Andrew Bogut,29.9,GSW,Big,438,74,56.0%,72,56.8%,0,0.0%,0,38.5%,37,74%,33,73%,33,80%,0,0%
Avery Bradley,23.9,BOS,Combo,132,22,43.0%,50,45.2%,25,26.3%,0,85.7%,11,84%,17,67%,11,88%,6,100%
Corey Brewer,28.7,HOU,Wing,417,49,47.9%,57,48.0%,20,31.6%,8,61.5%,51,68%,46,63%,34,67%,51,92%
Aaron Brooks,29.8,CHI,Point,120,20,40.9%,0,35.3%,67,33.3%,0,40.0%,40,32%,33,29%,47,20%,73,43%
Jimmy Butler,25.1,CHI,Wing,505,57,50.5%,46,46.8%,67,38.6%,67,81.9%,66,62%,49,60%,60,42%,77,85%
Nick Calathes,25.7,MEM,Combo,117,17,41.2%,0,22.7%,0,50.0%,0,42.9%,33,64%,6,100%,39,33%,78,67%
Clint Capela,20.5,HOU,Big,108,95,70.0%,95,70.0%,0,0.0%,0,56.5%,9,86%,9,85%,5,100%,0,0%
DeMarre Carroll,28.3,ATL,Wing,556,86,57.4%,83,54.3%,87,41.4%,50,78.0%,31,80%,31,71%,29,75%,37,97%
Vince Carter,37.8,MEM,Wing,193,31,46.2%,77,52.6%,7,25.0%,0,88.9%,74,56%,86,25%,37,63%,0,100%
Michael Carter-Williams,23.1,MIL,Point,190,40,42.9%,60,45.2%,0,0.0%,0,58.3%,87,18%,67,20%,60,17%,0,0%
Tyson Chandler,32.1,DAL,Big,160,88,65.5%,91,65.5%,0,0.0%,16,50.0%,93,53%,81,53%,0,0%,0,0%
Norris Cole,26.1,NOP,Point,105,60,45.8%,93,54.5%,0,21.4%,0,66.7%,0,53%,13,43%,7,40%,13,100%
Mike Conley,27.1,MEM,Point,243,80,47.9%,80,49.2%,50,30.3%,0,82.1%,47,29%,87,7%,20,35%,60,50%
Jamal Crawford,34.6,LAC,Wing,372,9,41.9%,34,43.2%,10,26.1%,83,86.7%,89,38%,100,15%,74,34%,91,61%
Jae Crowder,24.3,BOS,Forward,100,78,56.9%,100,63.2%,0,30.0%,0,76.9%,67,67%,78,55%,0,100%,11,100%
Stephen Curry,26.6,GSW,Point,823,93,57.0%,87,49.3%,83,42.5%,14,83.5%,20,46%,7,45%,27,28%,53,56%
Anthony Davis,21.6,NOP,Big,171,67,54.0%,65,55.3%,0,0.0%,89,88.9%,42,72%,63,58%,30,82%,0,0%
Glen Davis,28.8,LAC,Big,136,33,47.1%,35,47.1%,0,0.0%,0,77.8%,7,88%,5,89%,21,86%,0,0%
