Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Quincy Acy,22.1,TOR,Big,291,99,-9.5,93,-6.5,56,-0.4%,28,-0.9%,39,+0.9,2,+4.4,95,-19.4
Jeff Adrien,26.7,CHA,Big,660,78,-3.0,80,-3.3,53,-0.2%,4,-2.6%,53,-0.1,36,+0.7,66,-4.2
Arron Afflalo,27.0,ORL,Wing,2288,33,+1.9,31,+2.1,54,-0.3%,84,+1.4%,55,-0.3,86,-2.2,11,+14.2
Cole Aldrich,24.0,HOU,Big,179,9,+5.9,39,+1.2,10,+4.0%,9,-1.8%,2,+7.5,56,-0.3,1,+44.7
Cole Aldrich,24.0,SAC,Big,149,99,-9.5,100,-17.6,0,+11.0%,0,-4.2%,54,-0.2,5,+3.6,96,-21.8
LaMarcus Aldridge,27.3,POR,Big,2782,91,-5.5,85,-4.6,84,-2.7%,93,+2.0%,75,-2.0,73,-1.2,65,-4.0
Lavoy Allen,23.7,PHI,Big,1623,82,-3.7,78,-3.0,84,-2.6%,97,+2.6%,75,-2.1,79,-1.7,59,-2.2
Ray Allen,37.3,MIA,Wing,1989,3,+8.0,9,+5.8,38,+0.9%,56,+0.1%,35,+1.3,45,+0.2,32,+5.2
Tony Allen,30.8,MEM,Wing,2102,93,-6.2,81,-3.6,87,-2.9%,81,+1.2%,96,-5.7,92,-2.8,93,-17.2
Al-Farouq Aminu,22.1,NOH,Wing,2049,93,-5.9,94,-6.7,70,-1.4%,63,+0.4%,45,+0.5,39,+0.5,53,-0.4
Lou Amundson,29.9,MIN,Big,121,27,+2.5,61,-1.0,1,+8.5%,70,+0.7%,7,+4.9,15,+2.2,18,+10.5
Lou Amundson,29.9,NOH,Big,205,87,-4.3,60,-1.0,8,+4.6%,57,+0.2%,8,+4.5,19,+1.9,9,+15.9
Chris Andersen,34.3,MIA,Big,604,43,+0.8,88,-4.9,4,+5.7%,5,-2.3%,43,+0.6,10,+2.8,91,-15.2
