Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Alex Abrines,25.3,OKC,Wing,558,97,-4.2%,79,-2.8%,82,-3.5%,92,-7.4%,94,-4.8%,68,-3.2%,87,-3.6%,88,-3.3%
Quincy Acy,28.1,PHX,Big,102,100,-9.9%,98,-7.6%,99,-9.4%,5,+7.5%,50,-0.2%,92,-8.1%,100,-13.0%,100,-11.9%
Steven Adams,25.3,OKC,Big,2678,12,+2.3%,30,+1.5%,34,+1.2%,25,+2.5%,23,+1.8%,15,+5.6%,32,+1.3%,17,+2.4%
LaMarcus Aldridge,33.3,SAS,Big,2698,33,+0.7%,41,+0.6%,65,-1.2%,29,+2.1%,44,+0.2%,7,+7.9%,49,+0.2%,23,+1.8%
Al-Farouq Aminu,28.1,POR,Big,2291,59,-0.5%,95,-5.2%,67,-1.4%,58,-1.1%,66,-1.2%,77,-4.8%,8,+4.4%,16,+2.6%
Justin Anderson,25.0,ATL,Wing,414,81,-1.7%,88,-3.7%,25,+2.4%,23,+2.9%,16,+2.6%,47,+0.6%,80,-2.6%,76,-2.0%
Kyle Anderson,25.1,MEM,Forward,1270,70,-1.0%,68,-1.4%,45,+0.4%,73,-3.0%,62,-1.0%,42,+1.3%,55,-0.3%,49,+0.1%
Ryan Anderson,30.5,PHX,Big,277,91,-2.9%,10,+4.3%,76,-2.4%,95,-8.6%,94,-4.8%,80,-5.2%,97,-6.7%,98,-6.9%
Giannis Antetokounmpo,23.9,MIL,Forward,2364,71,-1.1%,78,-2.5%,70,-1.6%,24,+2.6%,42,+0.3%,59,-1.4%,45,+0.5%,50,-0.0%
Carmelo Anthony,34.4,HOU,Forward,291,52,-0.1%,42,+0.5%,91,-5.1%,97,-10.2%,97,-6.8%,8,+7.2%,33,+1.2%,18,+2.3%
Trevor Ariza,33.3,PHX,Wing,883,2,+4.3%,1,+10.6%,75,-2.3%,8,+6.1%,32,+1.0%,94,-9.5%,71,-1.7%,86,-3.1%
Trevor Ariza,33.3,WAS,Wing,1463,19,+1.8%,18,+2.9%,90,-4.9%,89,-6.1%,96,-5.4%,12,+6.1%,17,+2.7%,9,+3.6%
D.J. Augustin,31.0,ORL,Point,2265,17,+2.0%,32,+1.2%,23,+2.5%,37,+1.0%,23,+1.8%,61,-1.9%,15,+3.1%,21,+2.0%
J.J. Barea,34.3,DAL,Combo,744,39,+0.5%,62,-0.9%,77,-2.5%,59,-1.1%,77,-1.9%,12,+6.3%,32,+1.3%,15,+2.6%
Harrison Barnes,26.4,DAL,Forward,1569,63,-0.6%,3,+6.2%,84,-3.8%,38,+0.9%,75,-1.8%,97,-11.1%,68,-1.3%,90,-3.8%
Harrison Barnes,26.4,SAC,Forward,948,96,-3.9%,94,-5.0%,27,+2.0%,6,+7.0%,10,+3.7%,58,-1.1%,98,-7.8%,97,-6.2%
Will Barton,27.8,DEN,Wing,1189,29,+1.0%,11,+3.9%,45,+0.5%,52,-0.6%,46,+0.0%,72,-3.9%,32,+1.2%,55,-0.3%
Nicolas Batum,29.9,CHA,Wing,2338,75,-1.3%,70,-1.9%,44,+0.5%,68,-2.5%,60,-0.7%,68,-3.3%,61,-0.7%,70,-1.4%
Jerryd Bayless,30.2,MIN,Point,637,3,+3.6%,23,+2.4%,30,+1.7%,83,-4.6%,58,-0.7%,17,+5.0%,10,+3.8%,5,+4.4%
Aron Baynes,31.9,BOS,Big,810,69,-1.0%,70,-1.8%,30,+1.7%,54,-0.7%,35,+0.8%,51,-0.1%,56,-0.4%,56,-0.3%
Kent Bazemore,29.3,ATL,Wing,1639,84,-1.9%,93,-4.6%,27,+2.1%,60,-1.3%,38,+0.5%,48,+0.4%,68,-1.3%,65,-0.9%
Bradley Beal,25.3,WAS,Wing,3025,36,+0.6%,69,-1.6%,11,+4.7%,63,-1.6%,25,+1.6%,81,-5.4%,28,+1.7%,42,+0.6%
Malik Beasley,21.9,DEN,Wing,1789,16,+2.0%,35,+1.0%,20,+3.2%,82,-4.4%,40,+0.4%,28,+3.0%,13,+3.4%,9,+3.4%
Michael Beasley,29.8,LAL,Big,254,29,+1.0%,58,-0.6%,0,+11.6%,40,+0.7%,3,+6.5%,93,-8.6%,56,-0.3%,81,-2.5%
