Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Steven Adams,23.3,OKC,Big,156,90,3.3%,63,1.6%,68,3.7%,73,9.2%,10,10.0%,93,13.6%,10,9.1%
LaMarcus Aldridge,31.3,SAS,Big,535,53,1.6%,35,0.8%,85,3.0%,60,8.1%,35,14.5%,78,5.0%,63,29.2%
Al-Farouq Aminu,26.1,POR,Big,111,60,1.8%,43,1.1%,90,2.6%,28,4.1%,65,18.8%,0,0.0%,73,37.5%
Kyle Anderson,23.1,SAS,Wing,150,29,0.3%,74,2.0%,91,2.0%,94,6.3%,100,19.7%,0,0.0%,100,62.5%
Ryan Anderson,28.5,HOU,Big,328,3,0.3%,28,0.8%,83,3.0%,38,4.5%,28,13.5%,0,0.0%,23,11.8%
Giannis Antetokounmpo,21.9,MIL,Forward,242,100,2.5%,94,2.5%,38,3.3%,69,4.6%,100,22.0%,81,5.0%,50,22.2%
Trevor Ariza,31.3,HOU,Forward,412,13,0.2%,50,1.3%,75,2.6%,6,1.9%,6,10.1%,0,0.0%,63,25.8%
Kent Bazemore,27.3,ATL,Wing,149,91,1.7%,38,1.1%,26,4.0%,62,2.9%,47,10.7%,0,0.0%,82,27.3%
Bradley Beal,23.3,WAS,Wing,464,62,0.8%,71,1.9%,76,2.8%,71,3.2%,3,6.2%,85,5.0%,32,3.6%
Patrick Beverley,28.3,HOU,Point,323,53,0.3%,76,2.2%,6,4.9%,100,6.4%,76,11.5%,0,0.0%,0,0.0%
Bojan Bogdanovic,27.5,WAS,Forward,230,6,0.2%,25,0.8%,81,2.5%,75,4.6%,69,16.3%,0,0.0%,44,15.4%
Avery Bradley,25.9,BOS,Combo,604,42,0.3%,58,1.5%,92,2.6%,58,2.5%,25,8.9%,0,0.0%,67,7.7%
Malcolm Brogdon,23.9,MIL,Combo,177,83,0.6%,17,0.8%,75,2.7%,17,1.8%,92,13.3%,0,0.0%,100,25.0%
Jaylen Brown,20.0,BOS,Wing,168,50,0.6%,18,0.8%,3,6.5%,88,5.7%,44,10.2%,91,6.3%,0,0.0%
Jimmy Butler,27.1,CHI,Wing,238,85,1.1%,68,1.9%,100,1.3%,79,3.9%,91,15.5%,0,0.0%,44,8.3%
Clint Capela,22.5,HOU,Big,285,98,4.9%,48,1.2%,48,4.2%,70,8.9%,83,23.1%,0,0.0%,80,46.2%
DeMarre Carroll,30.3,TOR,Forward,149,94,2.1%,100,2.6%,25,3.9%,31,3.1%,81,17.2%,0,0.0%,0,0.0%
Vince Carter,39.8,MEM,Wing,194,0,0.0%,3,0.5%,47,3.4%,53,2.4%,35,9.6%,0,0.0%,79,25.0%
Ian Clark,25.7,GSW,Combo,174,0,0.0%,42,1.3%,58,3.4%,67,2.6%,67,11.9%,0,0.0%,0,0.0%
Mike Conley,29.1,MEM,Point,222,88,0.8%,82,2.2%,82,2.2%,6,0.5%,59,9.8%,0,0.0%,0,0.0%
Jamal Crawford,36.6,LAC,Wing,162,32,0.4%,47,1.2%,56,3.3%,32,1.5%,0,2.8%,0,0.0%,0,0.0%
Jae Crowder,26.3,BOS,Forward,557,50,0.6%,56,1.4%,19,4.0%,50,3.5%,75,16.6%,0,0.0%,75,29.6%
Stephen Curry,28.6,GSW,Point,598,59,0.3%,88,2.5%,76,2.5%,94,4.4%,82,12.8%,0,0.0%,0,0.0%
DeMar DeRozan,27.2,TOR,Wing,372,0,0.0%,65,1.8%,68,2.9%,24,1.1%,71,12.4%,0,0.0%,65,15.4%
Matthew Dellavedova,26.1,MIL,Point,156,0,0.0%,0,0.3%,100,1.2%,12,0.7%,35,8.6%,0,0.0%,0,0.0%
Boris Diaw,34.5,UTA,Big,184,15,0.9%,63,1.6%,88,2.9%,5,2.0%,13,10.4%,0,0.0%,0,0.0%
Kevin Durant,28.1,GSW,Forward,529,88,1.8%,38,1.0%,50,2.9%,44,3.3%,50,15.2%,75,3.7%,94,40.0%
James Ennis,26.3,MEM,Forward,158,56,0.7%,63,1.6%,6,6.1%,81,5.7%,25,12.6%,0,0.0%,0,0.0%
Derrick Favors,25.3,UTA,Big,194,57,1.7%,83,1.8%,40,4.4%,53,6.7%,78,22.1%,0,0.0%,43,20.0%
Raymond Felton,32.4,LAC,Combo,102,0,0.0%,92,2.5%,25,4.0%,0,1.2%,42,9.9%,0,0.0%,0,0.0%
Channing Frye,33.5,CLE,Big,111,40,1.3%,30,0.8%,63,3.8%,0,0.0%,45,16.3%,0,0.0%,0,0.0%
Marc Gasol,31.8,MEM,Big,238,18,0.9%,10,0.4%,45,4.3%,18,3.6%,33,14.4%,0,0.0%,88,50.0%
Pau Gasol,36.3,SAS,Big,364,80,2.5%,38,0.9%,55,4.1%,80,10.8%,70,20.4%,90,12.5%,83,46.7%
Paul George,26.5,IND,Forward,171,25,0.3%,69,1.8%,56,2.8%,25,3.0%,88,17.8%,0,0.0%,56,23.1%
Taj Gibson,31.4,OKC,Big,118,0,0.0%,5,0.4%,35,4.5%,10,3.1%,20,11.1%,0,0.0%,30,14.3%
Manu Ginobili,39.3,SAS,Wing,282,38,0.4%,88,2.5%,18,4.3%,76,3.5%,53,11.7%,0,0.0%,0,0.0%
Rudy Gobert,24.4,UTA,Big,231,85,3.0%,80,1.8%,50,4.2%,75,9.8%,95,27.6%,0,0.0%,83,46.7%
Eric Gordon,27.9,HOU,Wing,355,68,0.8%,26,1.0%,79,2.4%,38,1.6%,38,9.9%,0,0.0%,41,6.7%
Marcin Gortat,32.7,WAS,Big,369,83,2.8%,13,0.5%,60,4.0%,85,12.2%,73,21.2%,80,6.3%,95,55.0%
Jerami Grant,22.6,OKC,Forward,106,63,0.9%,6,0.4%,69,2.7%,88,5.8%,13,10.3%,0,0.0%,94,40.0%
Danny Green,29.4,SAS,Wing,434,94,1.9%,35,1.0%,65,3.0%,59,2.8%,50,10.8%,88,5.6%,35,5.9%
Draymond Green,26.7,GSW,Big,590,70,2.3%,93,2.3%,53,4.1%,20,3.6%,68,19.1%,75,3.2%,75,41.2%
Gerald Green,30.8,BOS,Wing,147,35,0.4%,9,0.6%,6,5.6%,29,1.4%,41,10.1%,0,0.0%,74,20.0%
JaMychal Green,26.4,MEM,Big,117,8,0.5%,0,0.0%,0,9.0%,15,3.4%,43,15.8%,0,0.0%,88,50.0%
Tim Hardaway Jr.,24.6,ATL,Wing,198,0,0.0%,12,0.6%,82,2.4%,35,1.5%,12,7.0%,0,0.0%,0,0.0%
James Harden,27.2,HOU,Combo,405,75,0.6%,83,2.3%,33,3.8%,8,1.7%,75,12.4%,0,0.0%,75,11.1%
Andrew Harrison,22.0,MEM,Combo,106,67,0.5%,50,1.5%,0,6.5%,83,3.6%,33,9.0%,0,0.0%,0,0.0%
Gordon Hayward,26.6,UTA,Wing,367,44,0.4%,50,1.3%,85,2.3%,41,1.8%,88,14.6%,0,0.0%,82,27.3%
Nene Hilario,34.1,HOU,Big,160,33,1.2%,70,1.6%,13,5.7%,57,6.9%,40,15.7%,85,8.3%,38,15.8%
George Hill,30.5,UTA,Point,246,41,0.2%,6,0.4%,29,4.2%,82,2.9%,71,11.3%,0,0.0%,82,5.6%
Rodney Hood,24.0,UTA,Wing,254,0,0.0%,15,0.7%,9,5.2%,6,0.4%,65,12.1%,0,0.0%,0,0.0%
Al Horford,30.4,BOS,Big,573,30,1.2%,45,1.2%,98,2.3%,43,4.8%,38,14.8%,0,0.0%,65,30.4%
Dwight Howard,30.9,ATL,Big,155,55,1.6%,75,1.6%,33,4.6%,83,11.9%,98,29.4%,0,0.0%,50,25.0%
Serge Ibaka,27.1,TOR,Big,305,88,3.0%,18,0.6%,18,5.2%,13,3.2%,55,17.2%,0,0.0%,70,34.8%
Andre Iguodala,32.8,GSW,Wing,417,71,0.8%,56,1.6%,59,3.0%,50,2.3%,68,12.1%,0,0.0%,50,9.4%
Joe Ingles,29.1,UTA,Wing,296,56,0.8%,100,3.0%,29,4.0%,15,0.8%,62,12.1%,0,0.0%,76,21.4%
Kyrie Irving,24.6,CLE,Point,652,71,0.6%,53,1.6%,71,2.5%,65,2.2%,6,6.0%,0,0.0%,0,0.0%
LeBron James,31.8,CLE,Forward,742,81,1.6%,81,2.1%,100,1.9%,19,2.9%,94,18.6%,0,0.0%,69,27.8%
Richard Jefferson,36.4,CLE,Forward,144,75,1.0%,19,0.6%,0,7.2%,94,6.7%,0,7.6%,88,7.7%,25,12.5%
Brandon Jennings,27.1,WAS,Combo,156,0,0.0%,0,0.6%,67,3.3%,25,2.0%,17,8.9%,0,0.0%,0,0.0%
Amir Johnson,29.5,BOS,Big,127,63,1.9%,85,1.8%,10,6.2%,88,13.1%,3,8.4%,0,0.0%,50,25.0%
Joe Johnson,35.3,UTA,Forward,295,0,0.2%,31,0.8%,44,3.2%,13,2.2%,19,10.8%,0,0.0%,38,15.0%
DeAndre Jordan,28.3,LAC,Big,224,48,1.5%,20,0.6%,30,4.7%,78,10.5%,100,30.2%,0,0.0%,98,58.3%
Cory Joseph,25.2,TOR,Combo,205,58,0.5%,8,0.7%,50,3.7%,33,2.1%,8,8.8%,0,0.0%,0,0.0%
Kyle Korver,35.6,CLE,Wing,312,53,0.7%,29,1.0%,71,2.9%,12,0.7%,29,8.3%,0,0.0%,71,16.7%
David Lee,33.5,SAS,Big,237,35,1.3%,25,0.8%,65,3.7%,65,8.7%,48,16.8%,88,9.1%,0,0.0%
Kawhi Leonard,25.3,SAS,Wing,428,59,0.8%,82,2.2%,94,2.0%,85,5.0%,94,17.1%,0,0.0%,94,53.8%
Damian Lillard,26.3,POR,Point,150,76,0.7%,29,1.3%,65,2.7%,71,2.2%,65,9.8%,0,0.0%,0,0.0%
Shaun Livingston,31.1,GSW,Combo,201,33,0.2%,25,1.1%,17,5.0%,92,4.8%,0,6.4%,0,0.0%,0,0.0%
Robin Lopez,28.6,CHI,Big,161,73,2.3%,33,0.8%,95,2.5%,100,17.4%,5,8.7%,0,0.0%,45,22.2%
Kevin Love,28.2,CLE,Big,576,50,1.6%,68,1.6%,75,3.2%,55,6.7%,90,25.5%,73,2.9%,60,28.0%
Kyle Lowry,30.6,TOR,Point,299,82,0.7%,65,1.9%,24,4.2%,35,1.2%,24,8.3%,0,0.0%,0,0.0%
Shelvin Mack,26.5,UTA,Point,141,0,0.0%,35,1.3%,12,4.7%,76,2.4%,94,16.7%,0,0.0%,0,0.0%
Thon Maker,19.7,MIL,Big,114,100,4.9%,90,2.1%,8,6.3%,63,8.4%,8,9.3%,0,0.0%,0,0.0%
Luc Mbah a Moute,30.1,LAC,Forward,208,44,0.6%,75,1.9%,63,2.8%,63,4.5%,38,13.6%,94,10.0%,0,0.0%
Patrick McCaw,21.0,GSW,Wing,138,74,1.0%,76,2.1%,41,3.6%,97,7.6%,24,8.2%,0,0.0%,82,27.3%
CJ McCollum,25.1,POR,Combo,138,92,0.7%,33,1.2%,83,2.6%,100,5.0%,83,13.0%,0,0.0%,0,0.0%
JaVale McGee,28.8,GSW,Big,144,95,4.8%,15,0.6%,3,7.8%,98,16.7%,30,13.9%,83,7.7%,48,23.5%
Khris Middleton,25.2,MIL,Wing,230,0,0.0%,91,2.5%,53,3.3%,0,0.0%,79,14.5%,0,0.0%,0,0.0%
