Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Shareef Abdur-Rahim,29.9,SAC,Big,1996,16,+2.0%,46,+0.1%,56,-0.3%,41,+0.6%,42,+0.3%,84,-1.0%,40,+0.5%,60,-0.5%
Hassan Adams,22.4,NJN,Wing,448,80,-1.8%,35,+0.9%,79,-1.4%,51,-0.2%,72,-1.7%,38,+0.3%,41,+0.4%,39,+0.7%
Maurice Ager,22.7,DAL,Wing,158,88,-2.5%,41,+0.5%,98,-5.1%,7,+3.2%,76,-1.9%,6,+2.1%,68,-0.7%,27,+1.4%
LaMarcus Aldridge,21.3,POR,Big,1342,53,-0.1%,81,-2.2%,90,-2.1%,21,+1.9%,50,-0.2%,22,+0.8%,18,+1.6%,16,+2.4%
Malik Allen,28.3,CHI,Big,572,56,-0.3%,66,-1.1%,57,-0.3%,95,-3.9%,94,-4.2%,5,+2.3%,6,+3.0%,3,+5.3%
Ray Allen,31.3,SEA,Wing,2214,42,+0.4%,9,+3.5%,38,+0.4%,91,-3.2%,84,-2.7%,97,-1.9%,26,+1.1%,64,-0.8%
Tony Allen,24.8,BOS,Wing,772,57,-0.4%,40,+0.6%,50,-0.0%,36,+1.0%,35,+0.9%,59,-0.2%,78,-1.3%,77,-1.5%
Rafer Alston,30.3,HOU,Point,3027,82,-1.9%,88,-2.9%,41,+0.3%,22,+1.8%,22,+2.2%,44,+0.2%,36,+0.6%,38,+0.8%
Alan Anderson,24.0,CHA,Wing,242,34,+0.8%,83,-2.4%,34,+0.6%,11,+2.8%,10,+3.3%,80,-0.8%,52,-0.1%,67,-0.9%
Derek Anderson,32.3,CHA,Wing,1172,75,-1.5%,12,+3.0%,49,+0.0%,86,-2.5%,83,-2.4%,48,+0.0%,65,-0.6%,61,-0.6%
Carmelo Anthony,22.4,DEN,Wing,2479,9,+2.9%,43,+0.3%,93,-2.6%,23,+1.8%,62,-0.8%,72,-0.5%,28,+1.0%,43,+0.5%
Rafael Araujo,26.2,UTA,Big,193,91,-2.9%,100,-9.5%,2,+3.9%,0,+7.3%,0,+11.1%,79,-0.7%,70,-0.9%,78,-1.6%
Gilbert Arenas,24.8,WAS,Combo,2935,54,-0.2%,62,-0.7%,29,+0.8%,60,-0.7%,47,+0.1%,80,-0.8%,20,+1.5%,40,+0.7%
Trevor Ariza,21.3,ORL,Wing,1230,89,-2.5%,10,+3.4%,86,-1.8%,83,-2.3%,92,-4.1%,23,+0.8%,51,-0.1%,39,+0.8%
Darrell Armstrong,38.4,IND,Combo,1236,24,+1.4%,13,+2.9%,90,-2.2%,79,-2.0%,92,-4.1%,46,+0.1%,26,+1.1%,31,+1.2%
Hilton Armstrong,21.9,NOH,Big,546,93,-3.1%,78,-2.0%,30,+0.7%,51,-0.2%,39,+0.5%,5,+2.3%,70,-0.9%,25,+1.5%
Carlos Arroyo,27.3,ORL,Point,1255,75,-1.4%,4,+4.6%,44,+0.2%,79,-2.0%,74,-1.8%,74,-0.6%,90,-2.2%,91,-2.8%
Chucky Atkins,32.2,MEM,Point,2050,69,-1.1%,57,-0.4%,33,+0.6%,85,-2.5%,74,-1.9%,21,+0.9%,22,+1.4%,19,+2.3%
Kelenna Azubuike,22.9,GSW,Wing,595,15,+2.1%,58,-0.5%,95,-3.1%,4,+4.4%,31,+1.3%,76,-0.7%,54,-0.2%,65,-0.8%
Renaldo Balkman,22.3,NYK,Forward,998,98,-5.0%,24,+1.8%,93,-2.7%,33,+1.1%,70,-1.5%,69,-0.4%,46,+0.2%,56,-0.3%
Marcus Banks,25.0,PHX,Combo,447,6,+3.4%,8,+3.6%,90,-2.2%,51,-0.2%,82,-2.3%,21,+0.9%,90,-2.2%,73,-1.3%
Leandro Barbosa,23.9,PHX,Combo,2570,47,+0.1%,55,-0.4%,39,+0.4%,61,-0.8%,52,-0.4%,68,-0.4%,25,+1.1%,39,+0.8%
J.J. Barea,22.3,DAL,Combo,112,17,+1.8%,5,+4.1%,100,-8.3%,96,-4.2%,100,-12.5%,2,+3.1%,1,+5.3%,0,+8.4%
Andrea Bargnani,21.0,TOR,Big,1594,55,-0.2%,13,+2.8%,53,-0.2%,87,-2.7%,86,-2.9%,25,+0.8%,65,-0.7%,50,+0.1%
Matt Barnes,26.6,GSW,Forward,1735,60,-0.6%,50,-0.1%,56,-0.3%,53,-0.3%,58,-0.6%,56,-0.1%,32,+0.8%,39,+0.7%
Earl Barron,25.2,MIA,Big,128,4,+4.2%,12,+3.1%,30,+0.7%,98,-4.6%,91,-3.9%,1,+3.2%,91,-2.4%,38,+0.8%
Brent Barry,34.8,SAS,Wing,1528,10,+2.5%,17,+2.3%,57,-0.3%,46,+0.2%,49,-0.1%,51,-0.0%,89,-2.2%,84,-2.2%
Brandon Bass,21.5,NOH,Big,109,0,+7.5%,96,-4.7%,1,+5.0%,31,+1.3%,1,+6.3%,28,+0.6%,89,-2.2%,78,-1.6%
Maceo Baston,30.4,IND,Big,358,19,+1.7%,89,-3.0%,66,-0.7%,33,+1.1%,41,+0.4%,30,+0.5%,12,+2.1%,14,+2.6%
Tony Battie,30.7,ORL,Big,1566,71,-1.2%,88,-2.9%,11,+1.9%,13,+2.5%,4,+4.4%,95,-1.7%,47,+0.2%,77,-1.5%
Shane Battier,28.1,HOU,Forward,2976,70,-1.2%,52,-0.2%,81,-1.5%,26,+1.6%,47,+0.0%,73,-0.6%,34,+0.7%,48,+0.2%
