Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Max Strus,27.6,CLE,Wing,433,93,+14.5,89,+13.6,55,+1.1%,15,+3.6%,31,-4.2,35,-2.8,33,-12.7
Anthony Edwards,22.2,MIN,Combo,647,87,+10.9,66,+3.7,13,-6.9%,67,-1.6%,24,-6.3,61,+1.7,11,-43.3
Isaac Okoro,22.8,CLE,Forward,247,30,-4.0,28,-3.4,27,-3.9%,63,-1.4%,27,-5.8,28,-3.8,20,-19.4
Obi Toppin,25.7,IND,Big,336,15,-8.2,11,-9.2,46,-0.4%,76,-2.5%,25,-6.2,52,+0.5,14,-34.8
Tyrese Haliburton,23.7,IND,Point,521,59,+3.5,52,+1.1,24,-4.7%,44,+0.4%,63,+3.1,20,-5.0,91,+42.3
Aaron Nesmith,24.0,IND,Forward,558,41,-0.8,59,+2.4,25,-4.0%,28,+2.0%,54,+1.8,41,-2.2,76,+20.1
Josh Green,23.0,DAL,Forward,378,49,+1.0,59,+2.5,11,-7.2%,28,+1.9%,29,-5.2,12,-6.2,64,+11.0
Precious Achiuwa,24.1,NYK,Big,181,52,+2.7,73,+6.9,83,+6.0%,72,-1.9%,75,+5.4,87,+7.4,26,-16.4
Tyrese Maxey,23.0,PHI,Point,311,63,+4.3,27,-3.5,59,+1.5%,46,-0.0%,13,-8.9,15,-5.5,36,-8.8
Payton Pritchard,25.8,BOS,Point,322,48,+0.9,41,-0.6,56,+1.2%,80,-2.8%,62,+3.1,73,+3.6,40,-4.7
Jaden McDaniels,23.1,MIN,Wing,535,91,+13.8,86,+11.2,74,+3.9%,85,-3.7%,91,+11.0,92,+8.9,55,+4.3
Isaiah Joe,24.3,OKC,Wing,172,41,-0.8,38,-1.0,33,-2.9%,37,+1.0%,10,-11.1,13,-6.2,15,-32.8
Naji Marshall,25.8,NOP,Wing,104,64,+4.4,78,+7.5,46,-0.5%,77,-2.6%,97,+14.3,93,+9.5,69,+15.6
Evan Mobley,22.4,CLE,Big,421,53,+2.8,35,-1.3,8,-8.7%,63,-1.3%,80,+6.5,30,-3.5,97,+65.9
