Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
LaMarcus Aldridge,29.3,POR,Big,208,100,29.4%,7,85.2,49,8.3%,19,0.28,95,6.0%
Tony Allen,32.8,MEM,Wing,278,3,11.9%,54,106.5,34,8.5%,63,0.71,3,18.1%
Al-Farouq Aminu,24.1,DAL,Forward,148,11,11.9%,100,138.5,11,5.4%,11,0.45,11,14.0%
Alan Anderson,32.0,BKN,Wing,141,37,15.0%,100,152.4,29,8.1%,40,0.54,6,17.4%
Giannis Antetokounmpo,19.9,MIL,Forward,200,100,20.9%,22,85.2,89,14.0%,67,0.67,56,11.9%
Pero Antic,32.3,ATL,Big,195,21,14.0%,33,101.6,9,3.3%,12,0.24,84,8.1%
Trevor Ariza,29.3,HOU,Forward,653,22,13.4%,67,116.1,56,10.0%,78,0.75,78,11.0%
Leandro Barbosa,31.9,GSW,Combo,217,50,20.6%,67,107.5,22,12.4%,17,0.60,56,11.9%
J.J. Barea,30.3,DAL,Combo,152,72,24.1%,50,100.0,100,34.6%,94,1.43,17,15.8%
Harrison Barnes,22.4,GSW,Forward,678,33,14.5%,44,103.3,22,7.0%,33,0.48,89,10.0%
Matt Barnes,34.6,LAC,Wing,404,14,12.6%,31,98.2,23,7.4%,43,0.58,20,13.6%
Nicolas Batum,25.9,POR,Wing,208,63,20.2%,11,93.4,86,21.1%,89,1.05,23,13.1%
Jerryd Bayless,26.2,MIL,Combo,108,61,21.6%,17,90.0,78,25.4%,89,1.17,83,8.0%
Kent Bazemore,25.3,ATL,Wing,299,23,13.9%,43,101.2,14,6.6%,20,0.48,31,12.5%
Bradley Beal,21.3,WAS,Wing,416,89,27.0%,51,103.5,74,19.2%,60,0.71,49,10.3%
Marco Belinelli,28.6,SAS,Combo,108,28,17.5%,100,150.0,39,15.0%,39,0.86,50,12.0%
Bojan Bogdanovic,25.5,BKN,Forward,205,56,14.8%,33,100.0,33,8.1%,56,0.55,33,12.3%
Andrew Bogut,29.9,GSW,Big,438,12,11.6%,58,109.9,70,12.1%,98,1.04,0,23.7%
Avery Bradley,23.9,BOS,Combo,132,17,16.8%,22,92.5,0,3.7%,0,0.22,89,6.1%
Corey Brewer,28.7,HOU,Wing,417,54,18.4%,37,100.0,26,7.8%,9,0.42,74,8.0%
Aaron Brooks,29.8,CHI,Point,120,53,26.3%,13,82.5,27,19.2%,13,0.73,47,13.2%
Jimmy Butler,25.1,CHI,Wing,505,74,23.2%,74,111.9,66,13.9%,49,0.60,69,8.3%
Nick Calathes,25.7,MEM,Combo,117,44,19.2%,0,81.6,61,19.2%,61,1.00,22,14.3%
Clint Capela,20.5,HOU,Big,108,23,14.0%,95,137.5,42,7.2%,51,0.52,81,8.2%
