Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Quincy Acy,22.1,TOR,Big,291,0,85.0%,43,11.4%,66,1.8%,70,25.0%
Jeff Adrien,26.7,CHA,Big,660,39,66.3%,92,20.1%,90,2.6%,13,11.1%
Arron Afflalo,27.0,ORL,Wing,2288,87,86.0%,71,10.1%,83,1.7%,76,24.5%
Cole Aldrich,24.0,HOU,Big,179,0,42.9%,36,10.3%,2,0.5%,70,25.0%
Cole Aldrich,24.0,SAC,Big,149,0,66.7%,28,9.1%,62,1.7%,93,33.3%
LaMarcus Aldridge,27.3,POR,Big,2782,91,81.2%,45,11.6%,86,2.3%,63,22.8%
Lavoy Allen,23.7,PHI,Big,1623,52,70.7%,7,5.6%,37,1.2%,27,15.4%
Ray Allen,37.3,MIA,Wing,1989,93,89.0%,38,6.9%,76,1.5%,72,23.9%
Tony Allen,30.8,MEM,Wing,2102,24,72.2%,84,12.4%,43,1.0%,55,20.5%
Al-Farouq Aminu,22.1,NOP,Wing,2049,25,73.7%,83,12.0%,26,0.7%,57,20.6%
Lou Amundson,29.9,MIN,Big,121,0,22.2%,57,13.0%,11,0.8%,93,33.3%
Lou Amundson,29.9,NOP,Big,205,0,50.0%,73,15.2%,46,1.4%,85,28.6%
Chris Andersen,34.3,MIA,Big,604,42,68.2%,98,24.7%,95,3.3%,60,22.2%
Alan Anderson,30.0,TOR,Wing,1406,81,85.4%,50,8.1%,99,2.9%,73,24.0%
James Anderson,23.6,HOU,Wing,229,0,87.5%,60,9.0%,45,1.0%,25,14.3%
Ryan Anderson,24.5,NOP,Big,2478,97,84.4%,13,6.4%,45,1.4%,15,12.0%
Carmelo Anthony,28.4,NYK,Forward,2475,82,82.9%,79,12.7%,98,3.5%,42,18.6%
Joel Anthony,30.2,MIA,Big,507,17,57.7%,89,18.6%,12,0.8%,27,15.4%
Trevor Ariza,27.3,WAS,Wing,1450,64,82.1%,56,8.6%,49,1.0%,75,24.4%
Darrell Arthur,24.6,MEM,Big,931,74,76.2%,12,6.4%,24,1.1%,80,26.1%
Omer Asik,26.3,HOU,Big,2453,14,56.2%,91,20.0%,32,1.2%,54,20.5%
D.J. Augustin,25.0,IND,Point,1150,61,83.5%,63,8.2%,22,1.5%,10,4.2%
Gustavo Ayon,27.6,MIL,Big,137,0,11.1%,15,7.5%,6,0.6%,0,0.0%
Gustavo Ayon,27.6,ORL,Big,567,8,50.0%,38,10.4%,77,2.0%,58,21.4%
Jeff Ayres,25.5,IND,Big,268,0,92.3%,3,4.7%,60,1.7%,70,25.0%
Luke Babbitt,23.4,POR,Forward,672,0,70.0%,2,0.9%,8,0.5%,0,0.0%
Leandro Barbosa,29.9,BOS,Combo,476,28,75.6%,68,9.1%,56,1.6%,85,29.4%
J.J. Barea,28.4,MIN,Combo,1642,43,78.4%,32,5.6%,98,2.9%,80,28.6%
Andrea Bargnani,27.0,TOR,Big,995,95,84.0%,16,7.5%,77,2.0%,25,14.7%
Harrison Barnes,20.4,GSW,Wing,2019,29,75.3%,83,12.3%,74,1.4%,45,19.0%
Matt Barnes,32.6,LAC,Wing,1927,26,75.0%,41,7.2%,25,0.7%,36,16.7%
Earl Barron,31.2,WAS,Big,114,0,33.3%,8,5.9%,0,0.0%,99,50.0%
Will Barton,21.8,POR,Wing,808,42,77.8%,64,9.3%,33,0.8%,67,22.2%
Brandon Bass,27.5,BOS,Big,2218,99,85.6%,46,11.9%,19,0.9%,66,23.7%
Shane Battier,34.1,MIA,Forward,1771,84,84.2%,6,2.7%,27,0.8%,13,10.0%
Nicolas Batum,23.9,POR,Wing,2798,79,85.2%,60,8.9%,64,1.2%,63,21.5%
Jerryd Bayless,24.2,MEM,Combo,1685,83,85.7%,39,6.7%,55,1.6%,44,18.6%
Aron Baynes,25.9,SAS,Big,107,0,50.0%,86,17.9%,1,0.4%,98,40.0%
Kent Bazemore,23.3,GSW,Combo,169,0,63.2%,45,7.6%,100,3.0%,0,0.0%
Bradley Beal,19.3,WAS,Wing,1720,48,79.4%,50,7.9%,41,0.9%,17,10.3%
Michael Beasley,23.8,PHX,Forward,1510,47,74.4%,50,9.0%,42,0.9%,83,29.6%
Rodrigue Beaubois,24.7,DAL,Combo,481,61,80.6%,52,7.9%,58,1.6%,64,25.0%
Marco Belinelli,26.6,CHI,Wing,1843,72,83.8%,61,9.1%,92,2.2%,45,19.0%
Patrick Beverley,24.3,HOU,Point,642,0,84.0%,35,5.6%,31,1.6%,16,10.0%
Andris Biedrins,26.6,GSW,Big,492,0,30.8%,57,13.0%,10,0.7%,93,33.3%
Chauncey Billups,36.1,LAC,Wing,417,100,93.8%,80,11.6%,90,2.1%,10,5.9%
Bismack Biyombo,20.2,CHA,Big,2144,10,52.2%,67,14.6%,31,1.2%,45,19.6%
DeJuan Blair,23.5,SAS,Big,745,29,62.7%,49,12.2%,5,0.5%,70,25.0%
