Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Ray Allen,37.3,MIA,Wing,565,31,+3.7,39,+1.5,41,+0.9%,69,+1.4%,74,-3.3,84,-4.8,34,+11.8
Tony Allen,30.8,MEM,Wing,420,84,-10.9,72,-4.8,73,-3.1%,53,+0.5%,89,-9.1,76,-3.4,87,-34.3
Chris Andersen,34.3,MIA,Big,298,58,-1.6,70,-4.7,11,+5.7%,65,+1.2%,24,+3.7,24,+3.3,48,+0.9
Carmelo Anthony,28.4,NYK,Forward,480,18,+8.6,11,+10.2,91,-8.4%,38,-0.6%,61,-1.3,93,-7.9,4,+46.5
Darrell Arthur,24.6,MEM,Big,173,11,+11.2,13,+8.6,15,+5.4%,83,+2.8%,14,+5.8,46,+1.1,15,+30.0
Omer Asik,26.3,HOU,Big,207,100,-32.3,99,-25.2,71,-2.8%,87,+3.2%,97,-16.6,89,-6.5,88,-35.2
D.J. Augustin,25.0,IND,Point,308,2,+17.8,4,+16.5,17,+5.3%,75,+1.7%,54,-0.6,36,+2.1,73,-18.9
Harrison Barnes,20.4,GSW,Wing,459,77,-8.1,62,-2.8,51,-1.2%,71,+1.5%,12,+6.4,34,+2.4,20,+22.9
Matt Barnes,32.6,LAC,Wing,160,88,-13.5,87,-8.9,22,+4.0%,92,+4.1%,81,-4.9,83,-4.7,39,+6.6
Brandon Bass,27.5,BOS,Big,201,76,-7.2,61,-2.6,99,-14.2%,47,-0.0%,66,-2.5,86,-5.2,30,+16.2
Shane Battier,34.1,MIA,Forward,375,47,+1.1,36,+2.0,36,+1.8%,52,+0.3%,69,-2.6,61,-2.2,47,+1.0
Jerryd Bayless,24.2,MEM,Combo,313,6,+13.9,10,+10.2,40,+1.0%,2,-5.0%,5,+9.1,8,+5.7,29,+17.6
Marco Belinelli,26.6,CHI,Wing,314,14,+10.4,12,+9.3,64,-2.4%,50,+0.1%,71,-3.0,78,-3.5,53,-1.5
Patrick Beverley,24.3,HOU,Point,191,90,-13.7,84,-8.0,61,-2.1%,91,+4.1%,91,-10.0,51,+0.3,97,-58.9
Chauncey Billups,36.1,LAC,Wing,115,20,+8.1,42,+1.4,60,-2.1%,31,-1.1%,41,+1.4,57,-1.6,24,+20.0
Andray Blatche,26.2,BKN,Big,138,42,+1.6,71,-4.7,55,-1.7%,86,+3.1%,46,+0.7,73,-3.1,26,+19.4
Andrew Bogut,27.9,GSW,Big,326,76,-7.7,77,-6.3,85,-5.8%,55,+0.6%,36,+2.0,39,+1.8,55,-2.1
Matt Bonner,32.6,SAS,Big,249,25,+6.2,16,+6.8,31,+2.7%,56,+0.7%,17,+5.1,12,+4.8,52,-0.4
Carlos Boozer,30.9,CHI,Big,430,64,-3.2,30,+2.7,100,-18.2%,40,-0.5%,34,+2.2,79,-3.8,16,+27.7
Chris Bosh,28.6,MIA,Big,747,61,-2.2,31,+2.6,87,-6.6%,43,-0.4%,78,-4.0,66,-2.4,67,-8.9
Avery Bradley,21.9,BOS,Combo,189,70,-4.8,61,-2.5,70,-2.7%,97,+5.6%,76,-3.6,74,-3.2,64,-7.3
Corey Brewer,26.7,DEN,Wing,145,8,+13.1,18,+6.7,48,-0.5%,61,+0.9%,40,+1.5,82,-4.2,7,+44.2
Caron Butler,32.6,LAC,Wing,135,5,+14.8,6,+14.0,83,-5.4%,48,+0.1%,57,-1.0,61,-2.0,41,+5.3
Jimmy Butler,23.1,CHI,Wing,488,50,+0.9,47,+0.5,44,+0.2%,54,+0.6%,76,-3.4,42,+1.6,82,-29.7
Mario Chalmers,26.5,MIA,Point,639,71,-5.3,52,-0.4,81,-5.0%,76,+2.0%,68,-2.5,63,-2.3,56,-2.6
Tyson Chandler,30.1,NYK,Big,349,80,-9.1,71,-4.7,69,-2.7%,29,-1.3%,75,-3.3,68,-2.5,49,+0.9
Wilson Chandler,25.5,DEN,Forward,204,92,-14.6,76,-5.7,78,-4.1%,67,+1.3%,90,-9.3,88,-6.4,60,-5.8
Norris Cole,24.1,MIA,Point,377,55,-0.9,74,-5.2,18,+5.3%,11,-2.9%,27,+3.5,26,+3.1,44,+2.8
Nick Collison,32.0,OKC,Big,170,86,-11.9,86,-8.5,74,-3.2%,57,+0.7%,84,-5.6,94,-8.0,23,+21.4
Mike Conley,25.1,MEM,Point,574,83,-10.7,56,-1.7,90,-8.1%,92,+4.4%,95,-13.8,95,-8.7,74,-19.7
Jamal Crawford,32.6,LAC,Wing,158,72,-6.0,69,-4.3,21,+4.1%,16,-2.3%,60,-1.3,17,+4.4,91,-37.8
Stephen Curry,24.6,GSW,Combo,495,65,-3.3,45,+0.9,13,+5.6%,89,+3.7%,64,-1.6,40,+1.8,76,-23.8
Carlos Delfino,30.2,HOU,Wing,116,46,+1.2,57,-2.3,6,+7.8%,19,-2.2%,16,+5.4,21,+3.7,45,+2.7
Luol Deng,27.5,CHI,Forward,222,56,-1.6,50,+0.1,76,-3.8%,63,+1.0%,7,+7.5,8,+5.5,29,+17.5
Boris Diaw,30.5,SAS,Big,270,39,+2.6,26,+3.8,45,+0.2%,85,+3.1%,32,+2.4,65,-2.3,13,+33.3
Keyon Dooling,32.5,MEM,Point,113,13,+10.6,28,+3.5,3,+10.2%,9,-3.2%,1,+15.6,1,+11.1,33,+11.8
Tim Duncan,36.5,SAS,Big,732,62,-3.0,51,-0.4,62,-2.2%,30,-1.3%,82,-5.2,59,-1.7,71,-18.1
Kevin Durant,24.1,OKC,Forward,479,24,+7.0,80,-6.6,24,+3.7%,18,-2.2%,31,+2.6,7,+6.4,92,-39.1
Monta Ellis,27.0,MIL,Combo,151,95,-16.7,100,-25.4,46,-0.4%,34,-0.9%,19,+4.6,91,-7.0,0,+89.3
Reggie Evans,32.5,BKN,Big,208,71,-5.2,35,+2.3,29,+3.1%,21,-2.1%,62,-1.4,22,+3.7,79,-27.5
Festus Ezeli,23.0,GSW,Big,132,12,+10.8,54,-0.8,10,+6.0%,80,+2.2%,22,+3.9,56,-1.5,10,+37.2
Kenneth Faried,23.0,DEN,Big,144,79,-8.3,78,-6.6,8,+6.8%,37,-0.7%,92,-10.7,53,-0.6,96,-55.6
Raymond Felton,28.4,NYK,Combo,452,48,+1.1,49,+0.4,79,-4.5%,18,-2.2%,20,+4.3,64,-2.3,4,+46.5
Derek Fisher,38.2,OKC,Wing,256,89,-13.6,97,-16.5,52,-1.3%,87,+3.3%,65,-1.7,81,-4.2,28,+18.8
Francisco Garcia,30.8,HOU,Wing,152,66,-4.1,41,+1.5,77,-4.0%,39,-0.6%,34,+2.1,3,+8.9,98,-70.0
Kevin Garnett,36.5,BOS,Big,211,92,-14.3,85,-8.2,80,-4.6%,35,-0.9%,79,-4.4,52,-0.2,87,-32.5
Marc Gasol,27.8,MEM,Big,608,99,-23.0,94,-14.3,96,-10.4%,88,+3.5%,100,-18.5,97,-10.4,83,-30.0
