Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Steven Adams,31.3,HOU,Big,154,12,53.3%,53,13.0%,100,4.8%,0,0.0%
Bam Adebayo,27.3,MIA,Big,233,0,58.8%,21,7.9%,56,2.2%,38,12.5%
Santi Aldama,23.8,MEM,Big,177,0,100.0%,3,1.6%,0,0.2%,0,0.0%
Nickeil Alexander-Walker,26.2,MIN,Wing,300,0,86.7%,33,3.6%,83,2.0%,58,25.0%
Jarrett Allen,26.5,CLE,Big,261,100,94.3%,88,18.9%,29,1.5%,29,7.1%
Giannis Antetokounmpo,29.9,MIL,Big,187,47,69.8%,100,28.0%,88,3.8%,65,25.7%
OG Anunoby,27.3,NYK,Forward,703,70,81.0%,57,9.8%,35,0.7%,26,19.2%
Paolo Banchero,22.0,ORL,Big,230,41,69.2%,76,16.4%,44,2.0%,47,15.4%
Desmond Bane,26.4,MEM,Wing,211,0,95.2%,63,7.5%,67,1.5%,29,12.5%
Nicolas Batum,35.9,LAC,Forward,170,0,0.0%,0,0.0%,17,0.5%,87,0.0%
Malik Beasley,27.9,DET,Wing,163,0,100.0%,25,2.7%,58,1.3%,0,0.0%
Anthony Black,20.8,ORL,Combo,107,0,66.7%,74,10.9%,79,2.1%,42,20.0%
Bogdan Bogdanovic,32.2,LAC,Wing,114,0,85.7%,42,4.8%,25,0.8%,83,50.0%
Christian Braun,23.5,DEN,Wing,544,20,71.0%,79,8.9%,13,0.5%,21,7.1%
Mikal Bridges,28.2,NYK,Forward,705,0,75.0%,22,2.6%,30,0.7%,48,28.6%
Dillon Brooks,28.8,HOU,Forward,205,0,83.3%,74,12.5%,43,0.9%,0,0.0%
Jaylen Brown,28.0,BOS,Wing,402,40,75.8%,88,13.8%,92,2.4%,46,20.0%
Jalen Brunson,28.2,NYK,Point,680,40,85.1%,64,11.8%,100,3.9%,71,23.5%
Thomas Bryant,27.3,IND,Big,146,0,83.3%,65,14.3%,71,2.5%,0,0.0%
Jimmy Butler,35.1,GSW,Forward,436,40,78.4%,100,21.2%,96,2.4%,35,23.3%
Kentavious Caldwell-Pope,31.7,ORL,Wing,189,0,83.3%,0,0.0%,46,1.0%,88,0.0%
Wendell Carter,25.5,ORL,Big,188,0,57.1%,65,14.3%,21,1.2%,91,50.0%
Alex Caruso,30.7,OKC,Forward,561,60,79.5%,48,7.7%,83,1.8%,17,15.4%
Mike Conley,37.1,MIN,Point,356,0,92.3%,7,3.0%,14,1.0%,0,0.0%
