Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
LaMarcus Aldridge,25.3,POR,Big,258,26,-7.8,50,-2.5,40,-1.9%,64,-2.2%,90,+9.0,99,+12.9,1,-97.3
Ray Allen,35.3,BOS,Wing,360,95,+19.6,95,+18.1,30,-3.3%,88,-5.1%,89,+8.7,77,+4.0,91,+35.6
Tony Allen,28.8,MEM,Combo,348,32,-6.9,17,-11.3,41,-1.8%,87,-4.6%,79,+6.5,56,+0.4,88,+33.1
Ryan Anderson,22.5,ORL,Big,145,99,+24.7,87,+11.8,98,+11.5%,94,-5.9%,100,+28.7,100,+15.7,92,+35.7
Carmelo Anthony,26.4,NYK,Wing,155,46,-2.0,22,-9.4,51,-0.3%,85,-4.4%,88,+8.4,55,+0.2,95,+43.7
Joel Anthony,28.2,MIA,Big,572,66,+4.3,62,+1.5,73,+2.6%,55,-1.2%,60,+1.6,74,+3.8,26,-16.7
Trevor Ariza,25.3,NOH,Wing,240,69,+4.9,43,-3.9,33,-2.5%,47,-0.3%,18,-6.8,9,-7.0,57,+9.5
Darrell Arthur,22.6,MEM,Big,197,18,-10.8,37,-5.6,11,-8.0%,2,+5.9%,7,-13.4,6,-8.4,31,-15.8
Omer Asik,24.3,CHI,Big,136,22,-9.7,31,-7.3,36,-2.3%,18,+2.7%,31,-3.3,7,-7.8,83,+22.5
J.J. Barea,26.3,DAL,Combo,384,54,-0.2,64,+3.1,27,-3.5%,20,+2.5%,46,-1.3,53,-0.2,43,-5.0
Matt Barnes,30.6,LAL,Wing,125,25,-8.2,10,-16.4,89,+6.5%,86,-4.5%,98,+15.6,93,+8.7,82,+22.0
Brandon Bass,25.5,ORL,Big,138,2,-24.3,26,-8.7,0,-19.2%,21,+2.5%,0,-34.2,0,-17.5,6,-54.5
Shane Battier,32.1,MEM,Forward,337,72,+5.2,76,+7.7,65,+2.1%,22,+2.4%,40,-1.8,60,+0.6,28,-16.3
Nicolas Batum,21.9,POR,Forward,150,64,+3.9,73,+5.7,78,+3.3%,38,+0.5%,71,+4.2,61,+1.0,79,+21.1
Marco Belinelli,24.6,NOH,Wing,171,9,-16.1,4,-22.7,53,+0.3%,73,-3.0%,30,-3.5,31,-2.8,45,-2.8
Mike Bibby,32.5,MIA,Point,413,21,-9.7,28,-8.1,37,-2.2%,64,-2.1%,23,-4.4,59,+0.5,17,-29.1
Steve Blake,30.7,LAL,Point,144,52,-0.5,52,-2.1,69,+2.3%,80,-3.7%,82,+7.1,94,+8.9,30,-15.9
Keith Bogans,30.5,CHI,Wing,307,45,-3.1,38,-5.4,35,-2.4%,72,-2.9%,75,+4.7,78,+4.2,50,+0.7
Matt Bonner,30.6,SAS,Big,122,85,+10.2,84,+10.1,83,+4.3%,68,-2.7%,83,+7.4,69,+3.0,85,+26.9
Carlos Boozer,28.9,CHI,Big,506,64,+3.3,66,+3.6,46,-1.0%,74,-3.0%,58,+1.2,70,+3.0,40,-6.4
Chris Bosh,26.6,MIA,Big,831,20,-9.9,23,-9.0,74,+3.1%,79,-3.6%,59,+1.4,49,-0.4,61,+12.3
Elton Brand,31.6,PHI,Big,183,100,+31.6,100,+34.3,81,+3.8%,88,-4.7%,79,+6.1,73,+3.4,78,+18.6
Ronnie Brewer,25.6,CHI,Forward,247,31,-7.2,21,-10.2,86,+5.1%,36,+0.7%,70,+3.7,44,-0.7,67,+15.8
Shannon Brown,24.9,LAL,Wing,158,51,-0.7,36,-5.7,66,+2.3%,56,-1.5%,93,+11.4,89,+6.5,64,+14.7
Kobe Bryant,32.2,LAL,Wing,353,76,+7.3,93,+17.1,17,-4.7%,9,+3.8%,8,-12.1,7,-7.8,33,-11.9
Andrew Bynum,23.0,LAL,Big,318,21,-9.8,18,-11.2,58,+1.0%,28,+1.5%,34,-2.7,48,-0.4,37,-8.4
Marcus Camby,36.6,POR,Big,166,27,-7.5,26,-8.5,34,-2.5%,16,+3.1%,45,-1.5,37,-1.3,47,-1.1
Mario Chalmers,24.5,MIA,Point,502,82,+9.4,80,+8.6,77,+3.3%,30,+1.5%,74,+4.3,62,+1.1,75,+18.1
Tyson Chandler,28.1,DAL,Big,678,26,-7.5,16,-12.6,48,-0.7%,44,+0.1%,38,-2.2,18,-5.2,81,+21.4
Wilson Chandler,23.5,DEN,Wing,114,55,-0.1,45,-3.1,43,-1.4%,37,+0.5%,32,-3.2,30,-3.1,53,+4.2
Jason Collins,31.9,ATL,Big,157,16,-12.0,40,-4.6,8,-8.2%,40,+0.4%,17,-7.4,29,-3.2,16,-29.4
Darren Collison,23.2,IND,Point,145,61,+2.1,39,-4.9,74,+2.9%,91,-5.4%,64,+2.5,88,+6.3,18,-24.4
Nick Collison,30.0,OKC,Big,411,89,+14.3,83,+9.8,79,+3.5%,32,+1.1%,95,+12.6,84,+5.2,87,+29.9
Mike Conley,23.1,MEM,Point,505,70,+5.1,69,+4.5,14,-6.1%,39,+0.4%,68,+3.4,21,-4.6,94,+41.3
