Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Arron Afflalo,22.0,DET,Wing,755,14,-3.4%,42,-0.9%,39,-1.0%,9,-5.5%,9,-4.1%,35,-2.8%,40,-1.2%,33,-1.7%
Blake Ahearn,23.4,MIA,Point,156,1,-9.3%,0,-16.7%,100,+27.6%,1,-9.1%,41,-0.7%,38,-2.4%,0,-18.5%,1,-12.9%
LaMarcus Aldridge,22.3,POR,Big,2637,74,+1.2%,98,+8.3%,86,+3.9%,18,-3.8%,33,-1.3%,52,-0.5%,83,+3.5%,69,+1.5%
Malik Allen,29.3,NJN,Big,719,62,+0.5%,22,-3.4%,78,+2.8%,89,+3.7%,95,+4.1%,95,+10.7%,69,+1.9%,88,+3.9%
Malik Allen,29.3,DAL,Big,313,52,-0.1%,33,-1.9%,76,+2.6%,56,+0.1%,71,+1.1%,45,-1.4%,91,+5.3%,80,+2.7%
Ray Allen,32.3,BOS,Wing,2609,97,+4.5%,97,+7.4%,70,+1.8%,68,+1.2%,74,+1.4%,52,-0.3%,88,+4.6%,83,+3.1%
Tony Allen,25.8,BOS,Wing,1239,28,-1.8%,16,-4.5%,44,-0.6%,45,-0.7%,41,-0.7%,50,-0.7%,39,-1.4%,39,-1.2%
Rafer Alston,31.3,HOU,Point,2520,65,+0.8%,74,+2.0%,45,-0.5%,48,-0.4%,45,-0.4%,83,+5.8%,49,-0.1%,66,+1.2%
Derek Anderson,33.3,CHA,Wing,336,4,-6.1%,2,-10.1%,23,-2.7%,38,-1.4%,26,-1.9%,76,+4.4%,3,-11.2%,8,-5.5%
Carmelo Anthony,23.4,DEN,Forward,2791,69,+1.0%,82,+2.7%,23,-2.7%,85,+3.1%,66,+0.9%,30,-3.7%,92,+5.7%,83,+3.2%
Joel Anthony,25.2,MIA,Big,461,17,-2.9%,4,-7.7%,7,-6.0%,18,-3.7%,8,-4.4%,79,+4.8%,47,-0.3%,65,+1.1%
Gilbert Arenas,25.8,WAS,Combo,423,24,-2.3%,9,-6.0%,67,+1.6%,37,-1.5%,43,-0.5%,88,+6.8%,22,-3.6%,34,-1.7%
Trevor Ariza,22.3,LAL,Wing,385,29,-1.7%,70,+1.5%,36,-1.3%,3,-7.7%,5,-5.2%,8,-8.9%,71,+2.1%,38,-1.3%
Darrell Armstrong,39.4,NJN,Combo,505,65,+0.8%,64,+1.0%,2,-9.3%,75,+2.0%,39,-0.8%,97,+13.5%,17,-4.3%,67,+1.3%
Hilton Armstrong,22.9,NOH,Big,663,18,-2.8%,29,-2.4%,49,-0.2%,22,-2.9%,25,-2.0%,27,-4.4%,53,+0.3%,34,-1.7%
Carlos Arroyo,28.3,ORL,Point,1216,47,-0.4%,80,+2.5%,75,+2.5%,24,-2.7%,49,-0.1%,64,+2.0%,30,-2.2%,43,-0.9%
Chucky Atkins,33.2,DEN,Combo,293,5,-5.2%,62,+0.8%,5,-6.7%,4,-7.2%,2,-7.0%,68,+2.4%,2,-13.5%,1,-10.4%
James Augustine,23.7,ORL,Big,106,0,-9.9%,51,-0.1%,98,+10.7%,0,-17.2%,9,-4.2%,4,-14.4%,1,-17.9%,0,-17.4%
Kelenna Azubuike,23.9,GSW,Wing,1680,22,-2.4%,46,-0.5%,66,+1.4%,62,+0.7%,67,+0.9%,44,-1.4%,9,-6.0%,11,-4.8%
Renaldo Balkman,23.3,NYK,Forward,895,63,+0.5%,32,-2.1%,2,-9.5%,87,+3.4%,30,-1.6%,51,-0.6%,93,+5.9%,90,+4.3%
Marcus Banks,25.9,PHX,Combo,240,5,-5.4%,6,-7.1%,6,-6.4%,1,-9.7%,1,-8.5%,77,+4.4%,42,-0.9%,60,+0.7%
Marcus Banks,25.9,MIA,Combo,239,97,+4.6%,91,+4.2%,98,+9.4%,57,+0.2%,87,+2.7%,57,+0.7%,91,+5.6%,90,+4.3%
