Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Arron Afflalo,24.0,DEN,Wing,118,11,+6.0%,26,+5.4%,24,+7.3%,11,+10.2%,8,+9.3%,40,+1.1%,43,+2.5%,38,+2.3%
LaMarcus Aldridge,24.3,POR,Big,225,91,-6.2%,29,+4.6%,100,-26.7%,98,-21.0%,100,-23.5%,50,-1.2%,23,+8.8%,29,+3.9%
Ray Allen,34.3,BOS,Wing,922,37,+1.9%,17,+7.1%,32,+4.6%,60,-2.3%,43,+0.8%,69,-7.2%,39,+3.5%,47,+0.8%
Tony Allen,27.8,BOS,Wing,379,74,-2.8%,92,-8.4%,49,+0.4%,58,-1.6%,54,-0.7%,66,-7.1%,45,+1.5%,55,-0.5%
Lou Amundson,26.9,PHX,Big,172,82,-3.6%,34,+3.7%,96,-18.0%,43,+1.2%,85,-6.9%,64,-6.8%,62,-2.0%,70,-3.3%
Chris Andersen,31.3,DEN,Big,115,86,-4.3%,90,-7.5%,93,-13.9%,55,-1.0%,82,-5.4%,40,+1.1%,42,+2.6%,39,+2.2%
Carmelo Anthony,25.4,DEN,Wing,252,95,-9.8%,96,-12.0%,73,-6.4%,96,-17.1%,94,-12.6%,2,+38.9%,87,-11.1%,73,-4.0%
Carlos Arroyo,30.3,MIA,Point,110,12,+5.6%,73,-3.5%,55,-0.6%,10,+10.4%,18,+5.6%,26,+9.7%,19,+10.2%,7,+14.0%
Leandro Barbosa,26.9,PHX,Wing,227,87,-4.5%,46,+1.1%,92,-13.3%,40,+1.8%,79,-4.4%,43,+0.7%,86,-9.2%,81,-6.1%
Matt Barnes,29.6,ORL,Wing,325,10,+6.2%,16,+7.4%,67,-4.1%,24,+5.3%,30,+2.8%,35,+3.3%,14,+11.7%,15,+8.8%
Nicolas Batum,20.9,POR,Wing,138,84,-4.0%,53,-0.5%,24,+7.8%,7,+13.1%,7,+10.4%,90,-25.9%,30,+5.0%,83,-7.1%
Jerryd Bayless,21.2,POR,Combo,156,94,-8.1%,94,-11.7%,30,+5.5%,77,-7.1%,69,-2.4%,82,-18.7%,74,-4.2%,86,-9.6%
Michael Beasley,20.8,MIA,Forward,131,35,+2.2%,79,-4.6%,29,+5.8%,4,+14.7%,5,+10.9%,65,-6.9%,29,+5.2%,66,-2.6%
Mike Bibby,31.5,ATL,Point,291,71,-2.2%,49,+0.7%,84,-9.7%,76,-6.4%,88,-9.4%,33,+4.2%,48,+1.2%,41,+2.0%
Chauncey Billups,33.1,DEN,Combo,206,43,+1.2%,80,-4.6%,89,-11.3%,45,+0.4%,73,-4.1%,1,+41.2%,18,+10.7%,8,+14.0%
Matt Bonner,29.6,SAS,Big,169,63,-0.8%,10,+9.8%,43,+1.6%,89,-12.1%,81,-4.9%,74,-13.3%,58,-1.2%,76,-5.3%
Carlos Boozer,27.9,UTA,Big,400,3,+10.5%,3,+17.1%,5,+22.9%,13,+9.5%,3,+14.8%,86,-23.8%,82,-6.1%,89,-10.7%
Shannon Brown,23.9,LAL,Combo,296,38,+1.8%,50,-0.1%,37,+2.8%,49,+0.2%,41,+1.2%,19,+17.2%,53,-0.1%,34,+3.0%
Kobe Bryant,31.2,LAL,Wing,921,25,+3.9%,13,+8.4%,34,+4.2%,22,+5.6%,19,+5.0%,60,-4.7%,61,-1.7%,62,-1.9%
Caron Butler,29.6,DAL,Wing,195,67,-1.2%,85,-5.5%,82,-9.1%,31,+3.7%,70,-2.8%,21,+15.9%,51,+0.3%,25,+5.0%
Andrew Bynum,22.0,LAL,Big,546,45,+1.1%,61,-2.0%,36,+3.4%,55,-0.8%,42,+0.9%,34,+4.0%,32,+4.6%,27,+4.8%
Marcus Camby,35.6,POR,Big,177,62,-0.7%,23,+5.6%,2,+25.9%,9,+11.3%,0,+18.8%,87,-25.0%,72,-3.7%,86,-9.6%
Vince Carter,32.8,ORL,Wing,477,52,+0.4%,88,-7.0%,62,-2.5%,46,+0.3%,53,-0.6%,28,+8.7%,13,+13.3%,11,+12.3%
Mario Chalmers,23.5,MIA,Combo,130,97,-10.9%,28,+5.3%,85,-10.0%,97,-19.0%,98,-15.1%,91,-26.0%,79,-5.4%,92,-14.7%
Jarron Collins,30.9,PHX,Big,112,24,+4.1%,39,+3.2%,23,+8.0%,71,-4.4%,58,-1.3%,57,-4.0%,3,+32.6%,3,+20.8%
Nick Collison,29.0,OKC,Big,121,80,-3.3%,78,-4.6%,69,-5.1%,80,-8.4%,86,-7.1%,44,0.0%,34,+4.2%,34,+3.3%
Jamal Crawford,29.6,ATL,Combo,323,77,-3.1%,81,-4.6%,78,-8.2%,53,-0.4%,61,-1.8%,53,-1.5%,73,-4.0%,67,-3.1%
Erick Dampier,34.3,DAL,Big,118,32,+2.6%,14,+7.7%,39,+2.5%,39,+2.0%,34,+2.3%,87,-25.1%,29,+5.3%,82,-6.7%
Glen Davis,23.8,BOS,Big,467,39,+1.6%,66,-2.4%,50,+0.2%,15,+8.0%,25,+4.2%,25,+10.8%,54,-0.5%,42,+1.9%
Carlos Delfino,27.2,MIL,Wing,224,3,+9.1%,50,+0.1%,53,-0.3%,2,+17.2%,6,+10.7%,13,+21.4%,20,+9.9%,8,+13.7%
Luol Deng,24.5,CHI,Forward,201,8,+6.7%,1,+22.3%,97,-18.4%,50,+0.1%,84,-6.8%,78,-15.7%,25,+7.2%,39,+2.2%
Boris Diaw,27.5,CHA,Big,151,93,-8.0%,89,-7.1%,40,+2.1%,100,-47.6%,99,-22.9%,63,-6.2%,41,+2.6%,65,-2.2%
Goran Dragic,23.5,PHX,Combo,214,53,+0.4%,27,+5.3%,94,-15.7%,28,+4.3%,74,-4.1%,30,+7.5%,71,-3.6%,54,-0.2%
