Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Alex Abrines,23.3,OKC,Wing,976,13,+5.2,53,-0.1,39,+0.4%,53,-0.6,37,+0.2,17,+5.6%,49,-0.9,63,-0.4,43,+0.5%,54,-1.4
Quincy Acy,26.1,BKN,Big,492,45,+0.6,41,+0.2,87,-1.4%,21,+6.5,79,-0.6,65,-1.9%,68,-7.7,20,+0.8,69,-1.6%,11,+13.6
Steven Adams,23.3,OKC,Big,2381,86,-4.4,64,-0.4,65,-0.4%,67,-3.7,73,-0.4,90,-7.4%,71,-9.5,52,-0.1,46,+0.2%,59,-2.4
Arron Afflalo,31.0,SAC,Wing,1576,14,+5.2,15,+1.4,20,+1.1%,19,+7.3,19,+0.7,14,+6.0%,19,+14.7,35,+0.4,8,+4.2%,48,+0.2
Alexis Ajinca,28.5,NOP,Big,566,35,+1.6,59,-0.3,56,-0.2%,88,-9.8,24,+0.5,37,+1.8%,22,+12.1,72,-0.6,37,+1.0%,91,-14.3
Cole Aldrich,28.0,MIN,Big,497,66,-1.6,58,-0.3,58,-0.3%,47,+0.8,9,+1.1,27,+3.5%,14,+17.8,85,-1.1,74,-2.0%,65,-4.3
LaMarcus Aldridge,31.3,SAS,Big,2325,20,+3.7,29,+0.7,33,+0.6%,34,+3.5,61,-0.2,75,-3.6%,52,-2.1,21,+0.8,12,+3.5%,25,+6.7
Lavoy Allen,27.7,IND,Big,829,10,+5.9,0,+4.3,4,+2.7%,2,+24.6,7,+1.4,12,+6.6%,19,+14.6,0,+3.0,6,+4.7%,1,+30.3
Tony Allen,34.8,MEM,Wing,1906,59,-0.9,16,+1.3,61,-0.3%,7,+13.6,85,-0.7,49,+0.1%,78,-12.4,6,+1.7,57,-0.6%,3,+21.7
Al-Farouq Aminu,26.1,POR,Big,1756,48,+0.2,62,-0.4,80,-1.2%,44,+1.1,22,+0.5,87,-6.3%,11,+22.1,80,-0.8,77,-2.3%,75,-7.5
Alan Anderson,34.0,LAC,Wing,258,2,+10.6,26,+0.8,22,+1.0%,27,+4.9,29,+0.4,31,+2.7%,14,+17.6,21,+0.8,16,+2.9%,32,+4.4
