Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Jeff Adrien,24.7,GSW,Big,159,81,+1.9%,53,-0.1%,25,-1.5%,43,-0.5%,29,-2.0%,81,+1.2%,61,+0.8%,69,+2.1%
Arron Afflalo,25.0,DEN,Wing,2270,61,+0.5%,63,+0.7%,67,+0.9%,58,+0.8%,63,+1.7%,71,+0.7%,15,-3.1%,30,-2.4%
Alexis Ajinca,22.5,TOR,Big,240,84,+2.2%,86,+3.5%,6,-4.1%,13,-3.8%,2,-8.0%,56,+0.2%,89,+4.2%,84,+4.4%
Cole Aldrich,22.0,OKC,Big,101,98,+4.9%,2,-7.6%,89,+2.9%,2,-6.8%,16,-3.9%,99,+4.0%,98,+7.5%,99,+11.5%
LaMarcus Aldridge,25.3,POR,Big,3202,90,+3.1%,57,+0.3%,98,+5.5%,26,-2.3%,77,+3.2%,5,-2.4%,37,-1.1%,20,-3.5%
Malik Allen,32.3,ORL,Big,159,0,-8.6%,1,-8.5%,58,+0.4%,99,+9.7%,99,+10.2%,1,-3.3%,71,+1.7%,36,-1.6%
Ray Allen,35.3,BOS,Wing,2883,97,+4.8%,77,+2.5%,15,-2.6%,62,+1.0%,33,-1.5%,65,+0.5%,34,-1.4%,42,-0.9%
Tony Allen,28.8,MEM,Combo,1474,41,-0.8%,99,+8.3%,41,-0.5%,19,-3.1%,18,-3.6%,21,-1.3%,13,-3.4%,12,-4.7%
Al-Farouq Aminu,20.1,LAC,Wing,1391,13,-3.1%,73,+2.0%,58,+0.4%,44,-0.4%,51,+0.0%,21,-1.3%,42,-0.7%,33,-2.0%
Lou Amundson,27.9,GSW,Big,664,4,-5.5%,85,+3.4%,63,+0.8%,38,-0.8%,50,-0.1%,28,-0.8%,21,-2.5%,21,-3.3%
Chris Andersen,32.3,DEN,Big,708,4,-5.3%,71,+1.7%,44,-0.3%,23,-2.7%,22,-3.0%,62,+0.4%,63,+1.0%,64,+1.4%
David Andersen,30.4,TOR,Big,140,93,+3.5%,48,-0.5%,0,-7.1%,95,+6.7%,44,-0.5%,83,+1.4%,45,-0.4%,61,+1.0%
David Andersen,30.4,NOH,Big,191,85,+2.4%,8,-5.3%,7,-3.9%,98,+7.7%,82,+3.8%,39,-0.5%,73,+2.0%,66,+1.5%
James Anderson,21.6,SAS,Wing,268,18,-2.6%,6,-6.0%,71,+1.2%,69,+1.9%,76,+3.1%,81,+1.2%,71,+1.7%,76,+2.9%
Ryan Anderson,22.5,ORL,Big,1342,41,-0.8%,39,-1.1%,5,-4.5%,7,-5.1%,1,-9.6%,83,+1.4%,99,+9.4%,99,+10.8%
Carmelo Anthony,26.4,DEN,Forward,1762,46,-0.5%,14,-4.2%,23,-1.7%,99,+8.9%,96,+7.1%,26,-1.0%,27,-1.9%,24,-3.0%
Carmelo Anthony,26.4,NYK,Wing,975,41,-0.7%,81,+2.8%,8,-3.8%,90,+5.4%,63,+1.6%,4,-2.6%,28,-1.9%,13,-4.4%
Joel Anthony,28.2,MIA,Big,1410,26,-1.9%,11,-4.7%,54,+0.2%,46,-0.2%,50,-0.1%,76,+1.0%,86,+3.8%,85,+4.7%
Gilbert Arenas,28.8,WAS,Combo,708,83,+2.1%,9,-5.3%,81,+2.0%,39,-0.8%,60,+1.2%,14,-1.6%,93,+5.7%,82,+4.1%
Gilbert Arenas,28.8,ORL,Combo,1027,59,+0.4%,26,-2.4%,35,-0.8%,27,-2.2%,22,-3.0%,72,+0.7%,91,+4.7%,88,+5.4%
Trevor Ariza,25.3,NOH,Wing,2589,65,+0.7%,91,+4.5%,56,+0.2%,3,-6.5%,5,-6.3%,68,+0.6%,64,+1.1%,67,+1.7%
Hilton Armstrong,25.9,WAS,Big,398,9,-3.6%,3,-7.3%,44,-0.3%,87,+5.0%,86,+4.6%,30,-0.8%,85,+3.4%,75,+2.7%
Carlos Arroyo,31.3,MIA,Point,962,61,+0.5%,52,-0.2%,65,+0.9%,99,+9.6%,100,+10.5%,9,-1.8%,0,-8.5%,1,-10.3%
