Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Alex Abrines,24.3,OKC,Wing,1066,69,83.3%,19,4.7%,63,1.3%,81,30.8%
Quincy Acy,27.1,BKN,Big,1287,88,82.7%,12,5.4%,21,1.0%,3,5.0%
Steven Adams,24.3,OKC,Big,2465,5,55.9%,71,14.2%,86,2.7%,66,28.6%
Bam Adebayo,20.3,MIA,Big,1319,42,71.4%,94,20.5%,83,2.6%,45,24.1%
Arron Afflalo,32.0,ORL,Wing,618,75,84.6%,50,7.4%,38,0.9%,0,0.0%
LaMarcus Aldridge,32.3,SAS,Big,2474,91,83.7%,59,12.6%,87,2.8%,66,28.5%
Jarrett Allen,19.5,BKN,Big,1421,64,77.6%,77,15.6%,28,1.1%,15,15.5%
Tony Allen,35.8,NOP,Wing,258,0,57.9%,76,11.0%,12,0.5%,15,10.0%
Al-Farouq Aminu,27.1,POR,Big,2055,46,73.8%,12,5.4%,17,1.0%,14,15.2%
Justin Anderson,24.0,PHI,Wing,420,0,80.0%,56,8.0%,19,0.6%,53,23.1%
Kyle Anderson,24.1,SAS,Forward,1946,26,71.1%,92,13.7%,43,0.9%,51,24.6%
Ryan Anderson,29.5,HOU,Big,1672,63,77.4%,27,8.4%,11,0.8%,11,14.0%
Giannis Antetokounmpo,22.9,MIL,Forward,2740,45,75.8%,100,19.3%,100,3.1%,53,24.7%
Carmelo Anthony,33.4,OKC,Big,2473,60,76.8%,17,6.5%,27,1.1%,17,16.3%
OG Anunoby,20.3,TOR,Forward,1441,5,62.9%,63,9.6%,6,0.4%,80,28.6%
Ryan Arcidiacono,23.6,CHI,Combo,262,0,50.0%,2,2.8%,14,1.0%,0,0.0%
Trevor Ariza,32.3,HOU,Wing,2221,84,85.4%,27,5.4%,36,0.8%,93,36.1%
Darrell Arthur,29.6,DEN,Big,118,0,66.7%,11,5.1%,1,0.4%,92,50.0%
Jamel Artis,24.8,ORL,Forward,243,0,66.7%,10,4.3%,47,0.9%,86,33.3%
Omer Asik,31.3,NOP,Big,103,0,20.0%,100,31.3%,12,0.8%,0,0.0%
D.J. Augustin,30.0,ORL,Point,1739,78,86.8%,80,11.8%,77,2.4%,23,15.7%
Luke Babbitt,28.4,MIA,Forward,106,0,0.0%,0,0.0%,8,0.4%,100,0.0%
Luke Babbitt,28.4,ATL,Big,517,0,66.7%,4,3.8%,0,0.3%,18,16.7%
Dwayne Bacon,22.2,CHA,Wing,627,0,84.2%,15,4.2%,29,0.8%,98,42.9%
Ron Baker,24.6,NYK,Combo,334,0,71.4%,48,7.0%,29,1.2%,0,0.0%
Lonzo Ball,20.0,LAL,Combo,1769,0,45.1%,23,4.8%,9,0.7%,27,17.9%
J.J. Barea,33.3,DAL,Combo,1595,46,78.4%,32,5.8%,68,1.7%,34,19.0%
