Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Arron Afflalo,26.0,DEN,Wing,228,42,-0.7,19,-8.0,65,+2.4%,40,+0.9%,98,+17.7,85,+5.1,96,+57.7
Lavoy Allen,22.7,PHI,Big,234,78,+10.3,75,+9.6,89,+8.1%,56,-0.5%,81,+7.2,90,+6.5,55,+5.2
Ray Allen,36.3,BOS,Wing,610,50,+1.1,46,+0.7,72,+3.1%,27,+1.7%,72,+4.8,54,-0.0,93,+41.8
Tony Allen,29.8,MEM,Wing,170,95,+20.4,94,+17.5,91,+8.7%,90,-4.3%,78,+6.0,91,+6.8,43,-2.3
Ryan Anderson,23.5,ORL,Big,172,79,+10.7,55,+3.0,58,+0.8%,42,+0.7%,77,+6.0,29,-4.4,98,+74.3
Carmelo Anthony,27.4,NYK,Forward,203,83,+12.8,72,+7.7,7,-11.7%,9,+4.9%,75,+5.6,2,-13.9,94,+52.8
Joel Anthony,29.2,MIA,Big,319,44,-0.6,53,+2.3,62,+2.0%,72,-1.6%,63,+1.6,76,+3.1,30,-12.7
Omer Asik,25.3,CHI,Big,128,24,-6.9,10,-11.3,82,+6.6%,41,+0.8%,91,+11.2,80,+3.7,90,+37.5
Leandro Barbosa,28.9,IND,Wing,214,2,-20.1,2,-15.9,15,-7.7%,24,+2.1%,15,-10.7,8,-8.5,41,-3.6
Matt Barnes,31.6,LAL,Wing,173,33,-3.5,28,-4.5,79,+5.9%,95,-5.4%,85,+8.1,96,+9.9,28,-14.8
Brandon Bass,26.5,BOS,Big,603,32,-4.4,34,-2.8,28,-4.7%,80,-2.1%,63,+1.7,60,+0.8,66,+7.8
Shane Battier,33.1,MIA,Wing,761,63,+5.2,68,+6.5,59,+1.1%,70,-1.4%,60,+1.1,63,+1.1,45,-0.5
Mike Bibby,33.5,NYK,Point,108,89,+15.1,92,+16.3,92,+10.0%,17,+3.1%,44,-2.5,77,+3.2,24,-22.6
Steve Blake,31.7,LAL,Point,298,40,-1.1,17,-8.3,95,+11.2%,92,-4.4%,82,+7.8,89,+6.4,50,+1.3
Eric Bledsoe,21.9,LAC,Combo,184,97,+24.5,96,+19.5,77,+5.7%,98,-6.7%,98,+17.4,95,+8.7,93,+46.7
Matt Bonner,31.6,SAS,Big,156,10,-11.5,27,-4.9,46,-1.4%,59,-0.7%,41,-2.7,43,-1.2,36,-6.6
