Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Arron Afflalo,24.0,DEN,Wing,118,99,+11.0%,99,+15.9%,89,+12.3%,14,-9.1%,35,-1.6%,82,+12.7%,61,+3.3%,90,+10.3%
LaMarcus Aldridge,24.3,POR,Big,225,43,-0.6%,38,-2.0%,55,+2.9%,2,-18.5%,4,-12.6%,48,0.0%,98,+25.2%,96,+15.2%
Ray Allen,34.3,BOS,Wing,922,56,+0.4%,32,-3.5%,29,-4.4%,74,+7.3%,65,+2.9%,19,-16.2%,55,+2.1%,52,+0.0%
Tony Allen,27.8,BOS,Wing,379,17,-4.2%,34,-2.9%,44,-1.1%,11,-11.4%,15,-7.4%,82,+11.7%,31,-4.9%,42,-1.6%
Lou Amundson,26.9,PHX,Big,172,7,-6.4%,8,-9.0%,42,-1.3%,53,+1.2%,54,+0.9%,78,+11.1%,4,-17.9%,7,-10.3%
Chris Andersen,31.3,DEN,Big,115,24,-2.9%,11,-8.3%,49,+0.3%,49,+0.4%,49,+0.1%,94,+27.0%,67,+4.8%,86,+7.9%
Carmelo Anthony,25.4,DEN,Wing,252,54,+0.2%,19,-5.6%,18,-10.0%,82,+10.5%,40,-0.6%,58,+2.9%,99,+27.3%,93,+12.7%
Carlos Arroyo,30.3,MIA,Point,110,9,-5.9%,94,+12.8%,8,-14.1%,24,-6.2%,8,-9.4%,18,-16.7%,45,-1.1%,30,-3.7%
Leandro Barbosa,26.9,PHX,Wing,227,20,-3.6%,25,-4.8%,66,+4.5%,34,-4.4%,42,-0.5%,62,+3.9%,13,-9.8%,15,-7.1%
Matt Barnes,29.6,ORL,Wing,325,83,+4.9%,55,+0.5%,21,-8.8%,99,+21.9%,82,+6.6%,75,+8.3%,60,+2.7%,71,+4.3%
Nicolas Batum,20.9,POR,Wing,138,64,+1.8%,74,+4.7%,95,+18.5%,39,-3.4%,61,+2.2%,8,-28.6%,96,+17.0%,63,+2.5%
Jerryd Bayless,21.2,POR,Combo,156,27,-2.6%,34,-2.9%,3,-27.9%,73,+7.3%,38,-1.3%,99,+42.1%,9,-11.0%,39,-1.9%
Michael Beasley,20.8,MIA,Forward,131,61,+1.5%,69,+2.8%,23,-7.9%,93,+15.0%,76,+5.6%,48,0.0%,34,-3.4%,34,-2.8%
Mike Bibby,31.5,ATL,Point,291,98,+11.0%,84,+8.0%,66,+4.6%,90,+14.0%,94,+10.6%,96,+34.1%,72,+6.4%,95,+14.8%
Chauncey Billups,33.1,DEN,Combo,206,3,-10.9%,41,-1.9%,36,-2.9%,1,-19.3%,3,-13.9%,36,-5.6%,5,-16.4%,4,-13.9%
Matt Bonner,29.6,SAS,Big,169,22,-3.1%,39,-2.0%,18,-10.4%,8,-12.4%,7,-10.0%,29,-9.4%,58,+2.7%,39,-2.0%
Carlos Boozer,27.9,UTA,Big,400,72,+3.1%,35,-2.5%,93,+16.7%,33,-4.4%,71,+4.8%,10,-25.0%,95,+16.4%,84,+7.3%
Shannon Brown,23.9,LAL,Combo,296,21,-3.1%,45,-1.1%,33,-3.6%,26,-5.9%,24,-4.9%,89,+16.8%,16,-8.2%,44,-1.2%
Kobe Bryant,31.2,LAL,Wing,921,70,+2.8%,31,-3.7%,71,+5.4%,92,+14.5%,93,+10.3%,24,-12.8%,68,+4.9%,50,-0.6%
Caron Butler,29.6,DAL,Wing,195,6,-8.8%,1,-16.4%,12,-12.2%,61,+2.7%,22,-5.7%,71,+6.7%,24,-6.3%,46,-1.2%
Andrew Bynum,22.0,LAL,Big,546,59,+1.1%,56,+0.6%,34,-3.4%,64,+3.2%,50,+0.2%,47,-0.2%,59,+2.7%,59,+2.0%
Marcus Camby,35.6,POR,Big,177,38,-1.0%,61,+1.2%,38,-2.4%,32,-4.6%,29,-3.5%,90,+17.8%,66,+4.3%,81,+6.5%
Vince Carter,32.8,ORL,Wing,477,71,+3.1%,82,+7.5%,76,+7.0%,97,+16.9%,96,+12.2%,21,-15.2%,47,-0.2%,24,-5.2%
