Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Alex Abrines,24.3,OKC,Wing,1066,46,-0.7,-2,67,+1.4,37,-0.8%,89,-1.4%,12,-3.7%,79,+2.2,32,+2.1,49,-0.0%,24,-1.0%,9,+3.0%,18,+2.8
Quincy Acy,27.1,BKN,Big,1287,67,+2.3,+6,70,+1.7,80,+1.7%,24,+0.8%,30,-1.6%,45,-0.5,54,-0.7,50,-0.1%,66,+0.6%,63,-0.7%,25,+2.1
Steven Adams,24.3,OKC,Big,2465,88,+7.6,+19,91,+6.3,69,+0.9%,11,+1.6%,100,+11.6%,14,-3.3,62,-1.4,41,+0.5%,34,-0.6%,84,-2.8%,67,-1.0
Arron Afflalo,32.0,ORL,Wing,618,28,-4.1,-9,30,-2.7,55,+0.1%,23,+0.8%,33,-1.2%,78,+1.9,37,+1.4,86,-2.4%,9,-1.9%,10,+2.9%,58,-0.3
LaMarcus Aldridge,32.3,SAS,Big,2474,93,+10.4,+27,91,+6.3,74,+1.3%,92,-1.7%,65,+1.1%,36,-1.2,84,-4.1,75,-1.5%,25,-0.9%,87,-3.1%,41,+0.8
Tony Allen,35.8,NOP,Wing,258,44,-1.1,-3,37,-1.9,48,-0.3%,27,+0.6%,79,+2.2%,87,+3.0,55,-0.7,79,-1.8%,70,+0.8%,38,+0.7%,28,+1.8
Al-Farouq Aminu,27.1,POR,Big,2055,81,+5.3,+14,84,+3.9,70,+0.9%,95,-2.3%,35,-1.2%,57,+0.2,63,-1.5,48,+0.0%,84,+1.6%,27,+1.5%,75,-1.7
Justin Anderson,24.0,PHI,Wing,420,6,-13.9,-35,18,-5.3,25,-1.7%,40,+0.2%,39,-0.9%,52,-0.1,3,+8.7,24,+1.6%,29,-0.7%,13,+2.6%,38,+1.1
Kyle Anderson,24.1,SAS,Forward,1946,62,+1.6,+4,33,-2.4,63,+0.5%,67,-0.6%,24,-2.1%,29,-1.7,83,-4.0,68,-1.1%,56,+0.2%,56,-0.5%,80,-2.1
Ryan Anderson,29.5,HOU,Big,1672,30,-3.9,-8,51,-0.5,54,+0.0%,44,+0.1%,46,-0.3%,18,-2.8,24,+3.5,16,+2.2%,8,-2.0%,76,-1.8%,68,-1.0
Giannis Antetokounmpo,22.9,MIL,Forward,2740,92,+9.4,+23,74,+2.5,76,+1.4%,58,-0.2%,60,+0.7%,87,+3.0,93,-6.9,87,-2.6%,26,-0.8%,89,-3.4%,83,-2.6
