Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,27.3,NOP,Big,1604,83,+4.3,27,-1.0,31,-0.9%,28,-6.8,17,-0.9,49,-0.2%,23,-13.8,50,-0.1,32,-1.8%,45,-2.7
LaMarcus Aldridge,35.3,SAS,Big,544,49,-0.4,83,+1.3,19,-1.5%,72,+6.3,78,+0.6,37,-2.1%,81,+15.0,76,+0.7,42,-0.7%,59,+2.2
LaMarcus Aldridge,35.3,BKN,Big,130,78,+3.4,29,-0.9,21,-1.4%,35,-4.5,10,-1.2,21,-5.0%,25,-11.6,66,+0.4,63,+0.8%,56,+1.3
Al-Farouq Aminu,30.1,ORL,Forward,366,24,-4.5,4,-2.9,67,+0.7%,5,-18.4,51,+0.0,74,+4.0%,57,+3.4,1,-2.9,60,+0.6%,5,-27.2
Kyle Anderson,27.1,MEM,Forward,1884,42,-1.6,61,+0.4,73,+0.9%,67,+4.7,72,+0.5,58,+1.1%,78,+13.7,46,-0.2,61,+0.7%,53,-0.2
Giannis Antetokounmpo,25.9,MIL,Big,2010,75,+2.7,75,+0.9,100,+5.2%,68,+4.8,94,+1.3,96,+10.4%,98,+35.5,32,-0.5,100,+11.7%,28,-7.8
Thanasis Antetokounmpo,28.3,MIL,Forward,448,15,-6.5,20,-1.3,4,-3.0%,22,-9.7,48,-0.1,11,-8.0%,21,-15.0,29,-0.6,2,-9.1%,38,-4.4
Carmelo Anthony,36.4,POR,Forward,1671,42,-1.5,62,+0.4,40,-0.5%,53,+0.3,73,+0.5,19,-5.5%,76,+12.8,49,-0.1,75,+1.9%,30,-7.3
Trevor Ariza,35.3,MIA,Forward,836,57,+0.6,95,+2.4,82,+1.3%,91,+15.5,94,+1.4,4,-11.6%,97,+33.9,85,+1.1,86,+3.9%,68,+6.5
D.J. Augustin,33.0,MIL,Point,697,62,+1.1,7,-2.3,6,-2.7%,25,-8.2,3,-1.6,26,-3.9%,10,-24.8,26,-0.7,8,-5.7%,44,-3.0
D.J. Augustin,33.0,HOU,Combo,405,67,+1.7,49,-0.1,10,-2.1%,63,+3.4,12,-1.1,12,-7.7%,27,-10.6,78,+0.8,20,-3.3%,88,+15.2
Harrison Barnes,28.4,SAC,Forward,2101,92,+6.9,46,-0.2,46,-0.2%,50,-0.2,26,-0.5,60,+1.5%,32,-7.6,58,+0.2,37,-1.2%,61,+3.3
Will Barton,29.8,DEN,Wing,1723,82,+4.0,65,+0.5,54,+0.0%,69,+5.1,33,-0.3,72,+3.6%,44,-2.5,73,+0.6,67,+1.2%,69,+6.7
Nicolas Batum,31.9,LAC,Wing,1839,56,+0.5,82,+1.2,65,+0.5%,81,+9.1,81,+0.7,35,-2.3%,76,+12.7,67,+0.4,45,-0.5%,66,+5.1
Aron Baynes,33.9,TOR,Big,978,21,-5.4,43,-0.4,52,-0.1%,50,-0.2,83,+0.8,67,+2.6%,84,+16.5,12,-1.4,31,-1.8%,22,-10.8
Kent Bazemore,31.3,GSW,Wing,1294,77,+3.4,55,+0.1,37,-0.5%,43,-2.1,39,-0.2,7,-10.2%,29,-9.8,67,+0.5,33,-1.6%,63,+3.8
Bradley Beal,27.3,WAS,Wing,2143,98,+11.0,83,+1.3,16,-1.7%,84,+11.0,57,+0.1,40,-1.7%,47,-0.9,86,+1.2,13,-4.4%,84,+13.1
Malik Beasley,23.9,MIN,Wing,1213,43,-1.2,25,-1.1,23,-1.3%,28,-6.7,6,-1.4,59,+1.3%,8,-26.9,63,+0.3,27,-2.2%,71,+7.5
DeAndre' Bembry,26.3,TOR,Wing,947,38,-2.2,16,-1.5,21,-1.4%,19,-10.5,22,-0.7,25,-4.2%,24,-12.2,32,-0.5,11,-5.0%,31,-7.2
