Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Shareef Abdur-Rahim,29.9,SAC,Big,1996,29,-4.2,-11,39,-1.7,57,+0.2%,44,+0.3%,43,-0.6%,10,-4.6,25,+2.6,16,+2.0%,30,-0.7%,81,-2.0%,59,-0.4
Hassan Adams,22.4,NJN,Wing,448,67,+2.3,+6,41,-1.5,54,+0.0%,19,+1.4%,63,+0.8%,16,-3.5,82,-3.8,80,-1.8%,90,+2.0%,5,+3.4%,82,-3.4
Maurice Ager,22.7,DAL,Wing,158,0,-24.2,-55,0,-19.1,1,-8.7%,0,+5.0%,39,-0.9%,75,+2.5,12,+5.1,88,-2.5%,2,-3.2%,20,+1.9%,0,+14.6
LaMarcus Aldridge,21.3,POR,Big,1342,85,+5.7,+14,85,+4.1,76,+1.4%,80,-1.2%,87,+3.0%,12,-4.3,67,-1.6,53,-0.1%,69,+0.7%,91,-3.3%,35,+2.0
Malik Allen,28.3,CHI,Big,572,35,-3.1,-8,46,-1.0,41,-0.8%,73,-0.8%,71,+1.2%,19,-2.9,30,+2.1,56,-0.3%,94,+2.5%,1,+5.0%,22,+4.1
Ray Allen,31.3,SEA,Wing,2214,87,+6.0,+15,91,+5.4,85,+2.0%,85,-1.6%,49,-0.3%,29,-1.8,55,-0.6,42,+0.4%,43,-0.1%,63,-0.6%,55,-0.1
Tony Allen,24.8,BOS,Wing,772,66,+2.2,+6,72,+2.0,92,+2.9%,38,+0.5%,24,-1.9%,84,+3.5,53,-0.2,57,-0.4%,60,+0.4%,35,+0.9%,55,-0.1
Rafer Alston,30.3,HOU,Point,3027,97,+10.4,+27,93,+6.3,85,+2.0%,100,-4.1%,31,-1.4%,38,-1.1,84,-4.1,82,-1.9%,38,-0.3%,80,-2.0%,63,-0.8
Alan Anderson,24.0,CHA,Wing,242,53,+0.3,+1,34,-2.3,66,+0.7%,8,+2.5%,37,-1.0%,35,-1.3,75,-2.6,34,+0.8%,46,-0.0%,100,-7.3%,16,+5.1
Derek Anderson,32.3,CHA,Wing,1172,84,+5.2,+14,85,+4.0,89,+2.5%,49,+0.2%,64,+0.8%,73,+2.3,63,-1.3,75,-1.5%,65,+0.6%,15,+2.3%,60,-0.5
Carmelo Anthony,22.4,DEN,Wing,2479,60,+1.2,+3,97,+8.1,99,+4.5%,70,-0.7%,25,-1.8%,85,+3.5,6,+7.0,9,+2.9%,51,+0.1%,12,+2.5%,46,+0.9
Rafael Araujo,26.2,UTA,Big,193,86,+5.8,+14,34,-2.2,24,-1.7%,5,+2.9%,97,+5.7%,100,+11.2,97,-8.0,91,-2.9%,99,+4.2%,75,-1.5%,14,+5.5
Gilbert Arenas,24.8,WAS,Combo,2935,98,+13.1,+31,100,+11.3,88,+2.2%,97,-2.8%,71,+1.3%,93,+5.0,68,-1.8,54,-0.2%,49,+0.0%,70,-1.2%,87,-4.0
