Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Precious Achiuwa,23.1,TOR,Big,1113,73,17.9%,21,110.2,26,6.3%,15,0.35,68,12.4%
Steven Adams,29.3,MEM,Big,1132,43,14.6%,25,111.5,67,10.8%,73,0.74,12,19.0%
Bam Adebayo,25.3,MIA,Big,2594,94,24.6%,38,118.1,87,15.4%,55,0.62,58,13.3%
Ochai Agbaji,22.5,UTA,Combo,1159,12,14.3%,63,114.5,3,7.2%,4,0.50,65,10.3%
Santi Aldama,21.8,MEM,Big,1625,47,14.9%,46,119.2,41,7.6%,41,0.51,89,9.8%
Nickeil Alexander-Walker,24.2,MIN,Wing,353,50,17.1%,22,104.7,64,11.9%,62,0.70,94,7.2%
Nickeil Alexander-Walker,24.2,UTA,Combo,486,53,20.1%,84,121.6,53,19.2%,64,0.95,0,18.7%
Grayson Allen,27.1,MIL,Wing,1968,30,14.3%,85,124.4,54,10.7%,70,0.75,59,10.5%
Jarrett Allen,24.5,CLE,Big,2212,42,14.6%,86,133.7,37,7.3%,41,0.50,61,12.9%
Jose Alvarado,24.6,NOP,Point,1285,33,20.8%,26,104.5,9,19.6%,20,0.94,39,12.9%
Kyle Anderson,29.1,MIN,Forward,1954,54,16.7%,59,116.6,95,22.4%,99,1.35,19,13.8%
Giannis Antetokounmpo,27.9,MIL,Big,2021,100,39.1%,52,120.8,99,31.4%,81,0.80,61,13.0%
Thanasis Antetokounmpo,30.3,MIL,Big,113,72,17.6%,1,84.6,84,14.1%,79,0.80,36,15.4%
Cole Anthony,22.5,ORL,Point,1524,41,23.3%,65,115.7,20,22.8%,28,0.98,67,11.0%
OG Anunoby,25.3,TOR,Wing,2385,57,18.1%,61,117.2,26,8.0%,10,0.44,28,13.1%
Ryan Arcidiacono,28.6,POR,Point,127,2,13.8%,0,69.0,17,22.5%,93,1.63,52,12.2%
Deni Avdija,21.8,WAS,Forward,1998,61,17.4%,27,107.0,80,14.3%,81,0.82,8,15.4%
Deandre Ayton,24.3,PHX,Big,2033,86,20.2%,59,123.4,55,9.0%,29,0.45,67,12.6%
Udoka Azubuike,23.1,UTA,Big,309,2,8.9%,99,155.1,4,3.2%,17,0.36,5,23.3%
Marvin Bagley,23.6,DET,Big,978,78,18.5%,36,117.3,21,5.6%,8,0.30,82,11.0%
Patrick Baldwin Jr.,20.0,GSW,Forward,156,83,20.5%,73,120.5,13,5.6%,3,0.27,48,11.0%
LaMelo Ball,21.2,CHA,Point,1267,89,32.1%,41,109.0,83,35.2%,43,1.09,37,13.2%
Mohamed Bamba,24.5,ORL,Big,658,52,15.3%,53,121.1,51,8.7%,50,0.57,90,9.7%
Paolo Banchero,20.0,ORL,Forward,2428,94,28.1%,23,105.7,83,17.1%,52,0.61,29,12.5%
Desmond Bane,24.4,MEM,Wing,1837,88,25.6%,82,123.2,95,20.2%,79,0.79,50,11.0%
Dalano Banton,23.0,TOR,Combo,229,75,24.1%,16,101.8,66,21.2%,49,0.88,34,12.9%
Dominick Barlow,19.4,SAS,Big,340,6,10.2%,28,113.2,34,7.1%,65,0.69,38,15.3%
Harrison Barnes,30.4,SAC,Forward,2658,52,16.1%,92,126.2,17,6.3%,14,0.39,79,8.7%
Scottie Barnes,21.3,TOR,Forward,2668,86,21.4%,24,105.9,91,19.5%,88,0.91,39,11.4%
RJ Barrett,22.4,NYK,Wing,2474,87,25.5%,25,106.3,66,12.4%,24,0.48,51,11.0%
Will Barton,31.8,WAS,Wing,767,76,20.0%,20,104.1,87,17.5%,87,0.88,32,12.7%
Will Barton,31.8,TOR,Combo,201,26,16.6%,3,92.1,15,12.2%,28,0.74,100,3.9%
Charles Bassey,22.0,SAS,Big,438,53,15.5%,70,127.4,81,13.1%,84,0.84,2,25.1%
Keita Bates-Diop,26.8,SAS,Forward,1410,51,15.9%,86,123.5,60,9.9%,55,0.62,54,10.5%
Nicolas Batum,33.9,LAC,Forward,1699,8,11.2%,63,117.8,55,9.4%,82,0.84,41,11.2%
Darius Bazley,22.4,OKC,Big,530,50,15.3%,8,101.1,46,8.2%,46,0.54,84,10.7%
Bradley Beal,29.3,WAS,Combo,1672,97,30.3%,81,120.2,88,26.0%,44,0.86,38,12.7%
Malik Beasley,25.9,UTA,Wing,1465,75,19.9%,34,109.0,40,9.2%,19,0.46,83,8.6%
Malik Beasley,25.9,LAL,Wing,611,63,18.6%,21,104.6,19,7.3%,6,0.39,49,11.2%
MarJon Beauchamp,21.1,MIL,Wing,588,43,15.8%,10,97.5,18,7.3%,20,0.46,4,15.6%
Davis Bertans,30.0,DAL,Big,457,36,13.9%,73,128.6,28,6.6%,34,0.48,98,6.4%
Patrick Beverley,34.3,LAL,Combo,1210,0,11.9%,43,109.5,16,12.5%,72,1.05,35,12.9%
Patrick Beverley,34.3,CHI,Point,605,0,12.6%,22,102.4,4,16.2%,67,1.29,85,9.8%
Saddiq Bey,23.6,ATL,Forward,626,47,15.7%,78,121.3,22,6.9%,20,0.44,94,7.2%
Saddiq Bey,23.6,DET,Forward,1487,81,20.1%,45,112.2,44,8.6%,17,0.43,90,7.6%
Khem Birch,30.1,TOR,Big,155,7,10.6%,66,126.5,28,6.6%,56,0.62,6,21.9%
Goga Bitadze,23.3,ORL,Big,244,45,14.8%,39,118.2,73,11.8%,78,0.79,85,10.6%
Goga Bitadze,23.3,IND,Big,176,39,14.1%,6,100.0,85,14.3%,94,1.01,41,14.9%
Bismack Biyombo,30.2,PHX,Big,822,23,12.8%,28,112.7,53,9.0%,67,0.70,13,18.7%
Bogdan Bogdanovic,30.2,ATL,Wing,1503,70,19.6%,65,117.5,69,13.4%,60,0.68,76,9.3%
Bojan Bogdanovic,33.5,DET,Forward,1892,89,24.1%,94,126.6,78,13.3%,41,0.55,30,12.4%
Bol Bol,23.0,ORL,Big,1489,65,16.8%,55,121.5,33,7.0%,23,0.42,12,18.9%
Devin Booker,26.0,PHX,Wing,1828,100,32.3%,81,122.2,97,25.0%,78,0.77,57,10.5%
Brandon Boston Jr.,20.9,LAC,Wing,184,79,21.8%,9,96.7,49,9.9%,17,0.45,62,10.3%
Chris Boucher,29.8,TOR,Big,1493,58,15.9%,44,119.0,2,2.7%,2,0.17,97,7.1%
James Bouknight,22.1,CHA,Combo,450,48,19.8%,4,92.2,13,11.8%,9,0.59,22,13.9%
Malaki Branham,19.5,SAS,Combo,1433,42,18.6%,21,104.2,10,10.5%,7,0.56,60,10.8%
Christian Braun,21.5,DEN,Combo,1062,3,12.1%,79,118.6,2,7.0%,8,0.58,54,11.1%
Mikal Bridges,26.2,PHX,Wing,2035,64,18.8%,56,115.2,74,14.0%,69,0.75,81,8.8%
Mikal Bridges,26.2,BKN,Wing,922,95,28.8%,78,121.9,75,14.2%,26,0.49,88,8.2%
Oshae Brissett,24.4,IND,Forward,1034,38,14.6%,16,102.8,12,5.5%,11,0.38,77,8.9%
Malcolm Brogdon,29.9,BOS,Combo,1731,74,24.0%,88,123.0,74,22.4%,61,0.94,66,10.3%
