Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Quincy Acy,22.1,TOR,Big,291,91,+2.9%,76,+2.1%,38,-0.6%,29,-1.7%,25,-2.2%,47,-0.1%,53,+0.2%,51,+0.2%
Jeff Adrien,26.7,CHA,Big,660,72,+1.0%,33,-1.7%,83,+2.1%,71,+1.8%,86,+3.9%,33,-0.5%,29,-1.6%,29,-2.2%
Arron Afflalo,27.0,ORL,Wing,2288,89,+2.7%,8,-4.8%,48,-0.1%,60,+0.8%,58,+0.7%,58,+0.3%,86,+3.8%,83,+4.1%
Cole Aldrich,24.0,HOU,Big,179,17,-2.3%,4,-5.9%,90,+3.0%,43,-0.6%,71,+2.3%,96,+2.7%,60,+0.8%,79,+3.5%
Cole Aldrich,24.0,SAC,Big,149,75,+1.2%,16,-3.4%,29,-1.3%,86,+3.4%,69,+2.1%,9,-1.8%,80,+3.0%,60,+1.3%
LaMarcus Aldridge,27.3,POR,Big,2782,62,+0.4%,64,+0.8%,77,+1.6%,85,+3.3%,92,+4.9%,12,-1.6%,8,-4.1%,6,-5.7%
Lavoy Allen,23.7,PHI,Big,1623,36,-1.0%,13,-4.0%,62,+0.5%,96,+5.6%,96,+6.1%,35,-0.5%,30,-1.6%,30,-2.1%
Ray Allen,37.3,MIA,Wing,1989,8,-3.5%,70,+1.3%,42,-0.4%,9,-4.1%,12,-4.6%,87,+1.6%,67,+1.7%,77,+3.2%
Tony Allen,30.8,MEM,Wing,2102,31,-1.3%,93,+5.1%,84,+2.1%,53,+0.2%,72,+2.4%,1,-3.4%,9,-4.0%,1,-7.4%
Al-Farouq Aminu,22.1,NOH,Wing,2049,58,+0.3%,94,+5.3%,90,+2.9%,16,-3.1%,48,-0.1%,9,-1.8%,13,-3.4%,8,-5.2%
