Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Shareef Abdur-Rahim,27.9,POR,Forward,1856,80,+3.7,52,-0.0,20,-1.5%,68,+4.2,76,+0.5,47,-0.7%,89,+18.5,38,-0.4,26,-3.0%,49,-0.7
Cory Alexander,31.4,CHA,Point,169,27,-3.9,7,-2.6,2,-4.6%,6,-19.8,23,-0.6,15,-6.7%,38,-4.4,6,-2.0,1,-10.7%,3,-29.9
Malik Allen,26.3,MIA,Big,243,71,+2.2,18,-1.3,2,-4.7%,47,-1.4,0,-2.9,1,-27.0%,1,-50.5,89,+1.4,16,-4.4%,94,+20.1
Malik Allen,26.3,CHA,Big,238,52,-0.1,9,-2.4,57,+0.2%,3,-24.1,3,-1.5,51,0.0%,1,-49.5,11,-1.5,47,-0.6%,6,-21.5
Ray Allen,29.3,SEA,Wing,3057,92,+6.6,97,+3.0,89,+1.9%,96,+21.0,92,+1.1,93,+9.2%,95,+27.8,96,+1.9,86,+4.2%,92,+18.6
Tony Allen,22.8,BOS,Wing,1207,54,+0.1,91,+2.0,88,+1.8%,80,+8.4,97,+1.4,85,+6.7%,66,+6.8,74,+0.7,43,-1.0%,73,+6.6
Rafer Alston,28.3,TOR,Point,2714,51,-0.2,76,+1.0,57,+0.1%,71,+5.0,82,+0.7,13,-7.2%,80,+12.2,60,+0.2,62,+0.9%,53,+0.6
Chris Andersen,26.3,NOH,Big,1388,85,+4.6,95,+2.6,49,-0.1%,96,+21.0,86,+0.8,53,+0.2%,93,+23.4,95,+1.8,25,-3.1%,94,+19.9
Derek Anderson,30.3,POR,Wing,1234,39,-1.9,27,-0.9,17,-1.6%,37,-3.3,36,-0.3,51,+0.0%,53,+0.6,28,-0.7,15,-4.7%,30,-7.3
Kenny Anderson,34.1,ATL,Point,715,41,-1.6,13,-1.7,41,-0.5%,16,-11.0,41,-0.2,73,+4.3%,19,-13.5,11,-1.6,19,-3.8%,18,-13.2
