Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Precious Achiuwa,24.1,NYK,Big,181,6,11.5%,3,100.0,3,4.0%,9,0.34,82,8.5%
Bam Adebayo,26.3,MIA,Big,254,85,24.3%,18,109.7,82,17.0%,68,0.70,91,7.7%
Nickeil Alexander-Walker,25.2,MIN,Wing,374,61,15.7%,18,99.1,71,14.7%,89,0.93,43,10.0%
Jarrett Allen,25.5,CLE,Big,126,47,15.8%,97,138.8,24,6.8%,21,0.43,53,11.2%
Jose Alvarado,25.6,NOP,Point,104,7,18.8%,7,79.4,36,24.3%,93,1.30,21,11.5%
Kyle Anderson,30.1,MIN,Forward,227,72,16.5%,24,101.6,92,25.0%,100,1.52,32,12.2%
OG Anunoby,26.3,NYK,Forward,324,56,15.3%,76,116.2,20,4.5%,12,0.30,72,8.9%
Paolo Banchero,21.0,ORL,Big,260,97,33.5%,21,111.2,94,23.7%,71,0.71,15,16.0%
Nicolas Batum,34.9,PHI,Wing,197,7,10.8%,96,128.9,25,6.6%,50,0.61,4,14.6%
Bradley Beal,30.3,PHX,Combo,153,67,22.7%,33,108.2,67,20.7%,61,0.91,11,15.9%
Malik Beasley,26.9,MIL,Combo,126,17,12.8%,89,128.2,6,4.7%,0,0.37,78,8.3%
Patrick Beverley,35.3,MIL,Wing,209,50,14.1%,39,106.8,93,20.6%,100,1.46,57,9.5%
Devin Booker,27.0,PHX,Point,165,50,28.0%,100,131.0,50,26.7%,50,0.95,36,11.0%
Christian Braun,22.5,DEN,Wing,202,36,13.6%,21,100.0,29,7.1%,25,0.52,96,1.8%
Jaylen Brown,27.0,BOS,Wing,706,96,27.6%,82,117.3,79,15.3%,29,0.56,18,12.1%
Jalen Brunson,27.2,NYK,Point,517,100,38.9%,43,108.8,86,33.3%,29,0.86,93,7.7%
Alec Burks,32.3,NYK,Wing,114,75,19.7%,100,142.1,43,9.4%,21,0.48,100,0.0%
Kentavious Caldwell-Pope,30.7,DEN,Wing,420,11,11.1%,64,109.0,46,9.5%,79,0.85,46,10.0%
Wendell Carter,24.5,ORL,Big,185,18,12.7%,12,103.9,35,7.8%,56,0.61,76,9.4%
Amir Coffey,26.4,LAC,Forward,102,4,11.0%,4,77.3,4,3.6%,20,0.33,4,16.7%
Mike Conley,36.1,MIN,Point,472,14,19.4%,64,113.0,57,27.0%,100,1.39,57,10.0%
Pat Connaughton,30.8,MIL,Wing,122,18,12.6%,32,103.8,68,14.4%,96,1.14,71,9.0%
Anthony Davis,30.6,LAL,Big,248,79,23.6%,74,128.2,68,12.8%,44,0.54,59,11.1%
Donte DiVincenzo,26.7,NYK,Wing,465,71,19.4%,71,113.3,57,10.9%,32,0.56,75,7.8%
Luka Doncic,24.7,DAL,Point,898,93,36.6%,50,111.2,93,35.0%,57,0.96,7,12.3%
Luguentz Dort,24.5,OKC,Wing,349,39,13.8%,36,105.9,32,8.0%,43,0.58,39,10.3%
Kevin Durant,35.1,PHX,Big,167,91,26.3%,68,127.4,74,14.6%,47,0.55,62,10.6%
Anthony Edwards,22.2,MIN,Combo,647,94,31.6%,61,119.2,89,27.7%,50,0.88,33,11.5%
