Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Jeff Adrien,24.7,GSW,Big,159,49,1.7%,57,1.1%,25,6.2%,67,10.0%,65,18.4%,95,12.5%,73,36.4%
Arron Afflalo,25.0,DEN,Wing,2270,67,0.7%,5,0.6%,65,2.9%,41,2.2%,29,8.9%,0,0.0%,55,11.5%
Alexis Ajinca,22.5,TOR,Big,240,72,2.4%,58,1.1%,0,10.2%,8,4.8%,43,15.8%,0,0.0%,51,29.4%
Cole Aldrich,22.0,OKC,Big,101,74,2.5%,78,1.4%,2,8.9%,72,10.5%,29,14.4%,0,0.0%,35,25.0%
LaMarcus Aldridge,25.3,POR,Big,3202,50,1.7%,63,1.2%,95,2.9%,62,9.6%,30,14.6%,30,0.8%,41,26.5%
Malik Allen,32.3,ORL,Big,159,35,1.4%,1,0.3%,10,7.4%,13,6.1%,7,11.9%,0,0.0%,0,0.0%
Ray Allen,35.3,BOS,Wing,2883,29,0.3%,43,1.3%,90,2.2%,40,2.1%,21,8.3%,59,1.3%,25,4.5%
Tony Allen,28.8,MEM,Combo,1474,98,1.7%,100,4.0%,8,4.6%,96,5.4%,53,8.8%,0,0.0%,96,10.4%
Al-Farouq Aminu,20.1,LAC,Wing,1391,80,0.9%,83,1.9%,53,3.3%,94,5.3%,88,14.1%,94,5.8%,19,4.0%
Lou Amundson,27.9,GSW,Big,664,71,2.3%,40,0.9%,41,5.4%,88,11.9%,20,13.4%,0,0.0%,40,26.0%
Chris Andersen,32.3,DEN,Big,708,94,4.1%,79,1.4%,60,4.6%,73,10.6%,67,18.7%,76,5.7%,60,31.4%
David Andersen,30.4,NOP,Big,191,42,1.5%,5,0.5%,31,5.9%,10,5.5%,42,15.8%,0,0.0%,94,46.2%
David Andersen,30.4,TOR,Big,140,24,1.2%,10,0.6%,84,3.5%,2,3.8%,68,18.7%,99,22.2%,30,22.2%
James Anderson,21.6,SAS,Wing,268,90,1.2%,3,0.5%,32,3.8%,4,0.8%,20,8.1%,0,0.0%,0,0.0%
Ryan Anderson,22.5,ORL,Big,1342,38,1.5%,41,0.9%,74,4.1%,58,9.2%,45,15.8%,83,6.9%,14,17.1%
Carmelo Anthony,26.4,DEN,Forward,1762,49,0.9%,33,1.1%,78,2.6%,71,4.9%,96,17.1%,59,1.7%,27,13.0%
Carmelo Anthony,26.4,NYK,Wing,975,69,0.8%,33,1.1%,50,3.3%,79,4.0%,94,14.9%,98,7.5%,78,17.2%
Joel Anthony,28.2,MIA,Big,1410,90,3.5%,2,0.3%,30,6.0%,48,8.7%,3,10.0%,45,2.6%,10,14.9%
Gilbert Arenas,28.8,ORL,Combo,1027,65,0.4%,63,1.9%,12,4.4%,39,1.6%,88,10.7%,0,0.0%,0,0.0%
Gilbert Arenas,28.8,WAS,Combo,708,90,0.9%,59,1.8%,20,4.0%,8,0.9%,65,9.3%,0,0.0%,49,3.5%
Trevor Ariza,25.3,NOP,Wing,2589,65,0.7%,93,2.2%,64,2.9%,52,2.6%,83,13.8%,79,2.5%,98,39.4%
Hilton Armstrong,25.9,WAS,Big,398,55,2.0%,68,1.2%,17,6.9%,43,8.5%,51,16.5%,97,14.8%,95,47.2%
Carlos Arroyo,31.3,BOS,Combo,170,0,0.0%,71,1.9%,94,2.2%,94,3.9%,27,8.0%,0,0.0%,0,0.0%
Carlos Arroyo,31.3,MIA,Point,962,7,0.1%,0,0.6%,71,2.7%,50,1.7%,16,6.8%,0,0.0%,76,4.3%
Darrell Arthur,22.6,MEM,Big,1573,62,2.2%,81,1.4%,28,6.0%,33,7.5%,32,14.7%,64,4.3%,15,17.3%
Omer Asik,24.3,CHI,Big,926,88,3.4%,47,1.0%,23,6.4%,95,12.9%,76,19.5%,84,7.0%,19,18.3%
D.J. Augustin,23.0,CHA,Point,2739,9,0.1%,7,0.9%,83,2.3%,43,1.6%,31,7.7%,0,0.0%,57,2.9%
