Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Rafer Alston,30.3,HOU,Point,308,0,76.9%,22,5.3%,39,1.1%,56,25.0%
Carmelo Anthony,22.4,DEN,Wing,209,56,79.5%,67,11.9%,70,2.4%,41,15.4%
Leandro Barbosa,23.9,PHX,Combo,344,14,71.8%,55,11.7%,27,1.3%,27,15.0%
Andrea Bargnani,21.0,TOR,Big,174,0,78.9%,41,14.0%,78,2.6%,34,14.3%
Matt Barnes,26.6,GSW,Forward,328,0,72.2%,31,8.5%,15,0.4%,69,22.2%
Brent Barry,34.8,SAS,Wing,209,0,0.0%,0,0.0%,33,1.3%,100,0.0%
Shane Battier,28.1,HOU,Forward,271,0,87.5%,15,3.8%,23,0.5%,0,0.0%
Raja Bell,30.1,PHX,Wing,437,0,85.7%,22,5.6%,7,0.7%,89,40.0%
Andris Biedrins,20.6,GSW,Big,264,21,53.3%,95,30.6%,39,1.5%,39,20.0%
Chauncey Billups,30.1,DET,Point,647,75,83.2%,83,13.1%,100,4.9%,33,7.1%
Steve Blake,26.7,DEN,Point,179,0,0.0%,0,0.0%,28,0.8%,100,0.0%
Josh Boone,21.9,BKN,Big,103,0,45.0%,100,34.5%,71,2.4%,39,20.0%
Carlos Boozer,24.9,UTA,Big,651,53,73.8%,37,13.7%,54,1.9%,66,28.3%
Chris Bosh,22.6,TOR,Big,222,79,83.3%,68,18.0%,85,3.1%,73,33.3%
Bruce Bowen,35.4,SAS,Wing,684,0,50.0%,4,1.7%,4,0.5%,0,0.0%
Kwame Brown,24.6,LAL,Big,132,0,55.6%,51,15.4%,46,1.6%,100,50.0%
P.J. Brown,37.0,CHI,Big,225,0,73.9%,32,13.2%,15,0.8%,15,10.0%
Kobe Bryant,28.2,LAL,Wing,211,94,91.9%,74,12.9%,67,2.1%,85,38.9%
Jose Calderon,25.1,TOR,Point,138,0,83.3%,11,2.9%,56,1.5%,94,50.0%
Marcus Camby,32.6,DEN,Big,184,0,66.7%,0,4.3%,20,1.0%,0,0.0%
Vince Carter,29.8,BKN,Wing,484,6,69.3%,85,14.5%,89,3.4%,67,26.3%
Jarron Collins,27.9,UTA,Big,100,0,52.9%,90,27.3%,95,3.7%,73,33.3%
Jason Collins,27.9,BKN,Big,328,0,36.4%,59,16.0%,27,1.2%,0,0.0%
Antonio Daniels,31.6,WAS,Point,175,0,85.7%,100,26.7%,83,2.8%,89,41.7%
Baron Davis,27.6,GSW,Point,442,25,77.0%,89,13.2%,94,4.1%,44,14.3%
