Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Ray Allen,37.3,MIA,Wing,565,63,+8.4,+17,85,+12.2,73,+4.4%,51,-0.3%,70,+2.9%,88,+6.4,31,+3.7,60,-1.6%,5,-3.8%,77,-3.0%,13,+6.4
Tony Allen,30.8,MEM,Wing,420,82,+15.1,+38,62,+4.2,70,+3.1%,49,-0.3%,64,+2.0%,60,+0.9,84,-10.9,71,-3.4%,69,+1.1%,87,-4.8%,56,-2.6
Chris Andersen,34.3,MIA,Big,298,79,+13.7,+22,84,+12.0,65,+2.5%,69,-1.7%,90,+7.8%,90,+7.7,58,-1.6,78,-4.0%,22,-1.8%,24,+3.4%,40,-0.0
Carmelo Anthony,28.4,NYK,Forward,480,29,-8.1,-20,47,+0.5,29,-2.1%,74,-2.0%,43,-1.4%,68,+1.8,18,+8.6,4,+8.7%,34,-1.2%,95,-9.0%,68,-4.0
Darrell Arthur,24.6,MEM,Big,173,27,-9.0,-23,55,+2.3,52,+0.6%,75,-2.1%,30,-3.3%,44,-1.6,11,+11.2,45,+0.8%,25,-1.7%,18,+4.2%,4,+11.0
Omer Asik,26.3,HOU,Big,207,100,+39.2,+51,72,+6.9,71,+3.8%,13,+3.1%,77,+4.5%,73,+2.2,100,-32.3,100,-15.0%,74,+1.4%,68,-1.8%,92,-12.7
D.J. Augustin,25.0,IND,Point,308,2,-30.3,-61,9,-12.5,8,-7.2%,62,-1.3%,39,-2.0%,66,+1.5,2,+17.8,8,+7.6%,34,-1.2%,16,+4.4%,14,+5.7
Harrison Barnes,20.4,GSW,Wing,459,78,+13.5,+34,67,+5.5,63,+2.2%,42,+0.6%,76,+3.8%,24,-3.8,77,-8.1,56,-1.2%,91,+3.0%,55,-0.7%,49,-1.4
Matt Barnes,32.6,LAC,Wing,160,97,+30.7,+55,96,+17.2,92,+7.7%,63,-1.3%,56,+0.7%,98,+13.2,88,-13.5,88,-5.8%,98,+5.3%,57,-0.8%,3,+14.3
Brandon Bass,27.5,BOS,Big,201,87,+19.8,+35,87,+12.6,94,+8.8%,34,+1.1%,68,+2.3%,13,-7.2,76,-7.2,23,+3.2%,88,+2.7%,98,-12.3%,16,+5.7
Shane Battier,34.1,MIA,Forward,375,42,-1.3,-3,43,-0.2,37,-1.6%,26,+1.6%,81,+4.9%,82,+4.8,47,+1.1,59,-1.4%,39,-0.8%,67,-1.8%,18,+5.2
Jerryd Bayless,24.2,MEM,Combo,313,13,-15.9,-40,33,-2.0,43,-0.5%,50,-0.3%,19,-4.8%,29,-3.0,6,+13.9,18,+4.4%,40,-0.6%,35,+2.0%,5,+11.0
Marco Belinelli,26.6,CHI,Wing,314,19,-11.9,-28,35,-1.5,35,-1.8%,33,+1.1%,66,+2.1%,54,-0.7,14,+10.4,12,+5.6%,29,-1.5%,34,+2.0%,29,+2.4
Patrick Beverley,24.3,HOU,Point,191,99,+34.1,+51,98,+20.4,78,+4.6%,58,-0.9%,98,+11.1%,76,+2.9,90,-13.7,27,+2.9%,97,+5.2%,76,-2.8%,95,-15.3
Chauncey Billups,36.1,LAC,Wing,115,17,-13.4,-28,25,-5.3,41,-0.8%,43,+0.5%,8,-7.2%,48,-1.2,20,+8.1,11,+5.7%,12,-3.1%,72,-2.4%,98,-16.9
Andray Blatche,26.2,BKN,Big,138,51,+3.4,+9,65,+5.0,25,-2.6%,97,-5.2%,55,+0.7%,96,+11.5,42,+1.6,46,+0.7%,83,+1.8%,55,-0.6%,51,-1.6
Andrew Bogut,27.9,GSW,Big,326,68,+9.5,+25,51,+1.8,76,+4.6%,54,-0.5%,32,-3.1%,41,-1.7,76,-7.7,67,-2.5%,68,+1.0%,60,-0.8%,87,-9.7
Matt Bonner,32.6,SAS,Big,249,45,-0.5,-2,69,+5.7,64,+2.4%,92,-4.2%,3,-8.4%,62,+1.2,25,+6.2,35,+2.0%,51,-0.3%,37,+1.9%,24,+3.8
Carlos Boozer,30.9,CHI,Big,430,26,-9.0,-23,10,-12.2,13,-5.6%,37,+1.0%,66,+2.1%,6,-10.6,64,-3.2,17,+4.5%,62,+0.5%,96,-9.8%,93,-13.5
Chris Bosh,28.6,MIA,Big,747,37,-4.9,-9,22,-7.0,45,-0.3%,23,+2.0%,22,-4.3%,14,-7.0,61,-2.2,33,+2.2%,72,+1.4%,75,-2.5%,69,-4.2
Avery Bradley,21.9,BOS,Combo,189,39,-4.2,-11,19,-9.0,29,-2.1%,85,-2.6%,34,-2.8%,37,-2.1,70,-4.8,65,-2.1%,65,+0.8%,50,+0.4%,39,+0.5
Corey Brewer,26.7,DEN,Wing,145,54,+4.3,+12,97,+17.4,80,+5.0%,90,-3.2%,54,+0.4%,95,+10.2,8,+13.1,10,+6.0%,15,-2.7%,41,+1.6%,28,+2.5
Caron Butler,32.6,LAC,Wing,135,3,-24.5,-49,17,-9.7,34,-1.8%,25,+1.7%,13,-6.1%,3,-13.3,5,+14.8,9,+6.4%,3,-5.7%,65,-1.6%,84,-9.3
Jimmy Butler,23.1,CHI,Wing,488,5,-22.5,-50,0,-21.6,3,-9.2%,3,+5.0%,46,-0.9%,59,+0.9,50,+0.9,30,+2.7%,71,+1.2%,42,+1.2%,62,-3.3
Mario Chalmers,26.5,MIA,Point,639,52,+3.9,+9,38,-1.4,48,+0.2%,64,-1.3%,37,-2.4%,9,-8.2,71,-5.3,38,+1.6%,90,+3.0%,59,-0.8%,50,-1.5
Tyson Chandler,30.1,NYK,Big,349,56,+4.5,+13,28,-4.5,26,-2.4%,35,+1.1%,76,+4.0%,74,+2.4,80,-9.1,66,-2.3%,56,-0.1%,78,-3.0%,97,-15.6
Wilson Chandler,25.5,DEN,Forward,204,71,+10.4,+21,29,-4.2,30,-2.0%,89,-3.2%,36,-2.7%,5,-11.3,92,-14.6,81,-4.7%,96,+4.5%,79,-3.2%,19,+5.1
Norris Cole,24.1,MIA,Point,377,46,+0.8,+2,44,-0.1,49,+0.3%,21,+2.1%,59,+1.1%,93,+8.7,55,-0.9,68,-2.7%,28,-1.6%,46,+0.8%,57,-2.6
Nick Collison,32.0,OKC,Big,170,80,+13.8,+34,52,+1.8,59,+1.5%,55,-0.5%,45,-1.3%,45,-1.6,86,-11.9,73,-3.5%,55,-0.1%,86,-4.7%,60,-3.1
Mike Conley,25.1,MEM,Point,574,76,+12.6,+31,54,+2.0,61,+2.1%,13,+3.0%,71,+3.1%,72,+2.2,83,-10.7,71,-3.2%,30,-1.4%,93,-7.7%,80,-7.1
Jamal Crawford,32.6,LAC,Wing,158,67,+9.3,+20,58,+3.3,32,-1.9%,61,-1.2%,87,+6.7%,77,+3.0,72,-6.0,95,-7.6%,63,+0.7%,25,+3.2%,2,+15.5
Stephen Curry,24.6,GSW,Combo,495,96,+24.6,+49,99,+21.3,100,+13.4%,66,-1.5%,47,-0.9%,16,-6.6,65,-3.3,50,+0.0%,77,+1.6%,7,+6.8%,96,-15.3
Carlos Delfino,30.2,HOU,Wing,116,24,-10.9,-24,18,-9.7,14,-5.2%,38,+0.9%,28,-3.7%,47,-1.2,46,+1.2,61,-1.7%,41,-0.6%,9,+6.4%,33,+1.4
