Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Steven Adams,26.3,OKC,Big,210,59,59.6%,62,60.8%,0,0.0%,0,45.0%,95,45%,85,47%,95,0%,0,0%
Bam Adebayo,22.3,MIA,Big,686,41,56.4%,51,56.6%,0,0.0%,40,78.3%,56,74%,28,76%,49,71%,0,0%
Jarrett Allen,21.5,BKN,Big,132,46,56.5%,49,56.5%,0,0.0%,0,81.3%,0,100%,0,100%,10,100%,0,0%
Giannis Antetokounmpo,24.9,MIL,Big,277,62,60.1%,77,63.3%,28,33.3%,13,58.0%,97,45%,82,47%,90,25%,100,54%
Carmelo Anthony,35.4,POR,Big,213,10,45.7%,3,42.1%,44,36.0%,0,91.7%,92,45%,92,43%,92,24%,90,89%
OG Anunoby,22.3,TOR,Forward,392,76,55.1%,35,48.9%,100,41.5%,0,64.3%,35,73%,65,53%,24,75%,35,94%
D.J. Augustin,32.0,ORL,Point,127,8,46.8%,0,34.5%,83,44.4%,0,95.7%,42,39%,67,20%,8,60%,83,38%
Darius Bazley,19.4,OKC,Big,116,77,63.8%,0,22.2%,100,55.0%,0,83.3%,18,92%,72,50%,0,0%,26,100%
Patrick Beverley,31.3,LAC,Point,165,100,63.2%,100,70.6%,50,38.1%,0,50.0%,0,80%,0,67%,0,67%,0,100%
Eric Bledsoe,29.9,MIL,Point,267,0,42.9%,25,45.5%,0,25.0%,17,80.8%,75,34%,17,41%,67,15%,58,50%
Malcolm Brogdon,26.9,IND,Combo,159,35,48.4%,25,41.5%,45,37.5%,78,89.3%,95,23%,75,17%,95,0%,90,44%
Jaylen Brown,23.0,BOS,Wing,670,64,55.1%,71,55.7%,52,35.8%,43,83.9%,57,71%,46,60%,46,65%,43,93%
Trey Burke,27.0,DAL,Point,155,83,58.6%,58,53.7%,92,47.1%,0,60.0%,58,37%,92,10%,25,33%,25,75%
Jimmy Butler,30.1,MIA,Wing,806,46,51.7%,54,51.2%,48,35.7%,57,85.9%,89,40%,50,56%,86,19%,86,67%
Kentavious Caldwell-Pope,26.7,LAL,Wing,608,57,53.7%,43,48.6%,66,37.8%,29,81.5%,14,91%,14,80%,36,89%,32,98%
Alex Caruso,25.7,LAL,Combo,499,45,51.9%,95,59.6%,20,29.6%,22,80.0%,0,81%,5,74%,0,0%,5,94%
Gary Clark,25.0,ORL,Forward,143,29,50.0%,0,0.0%,27,34.4%,0,80.0%,0,100%,0,0%,0,0%,0,100%
Jordan Clarkson,27.4,UTA,Wing,197,71,55.7%,82,58.3%,45,35.4%,0,100.0%,93,36%,82,31%,96,0%,79,71%
Mike Conley,32.1,UTA,Point,162,92,62.1%,8,43.3%,100,53.1%,0,86.4%,8,50%,42,25%,25,33%,42,65%
Pat Connaughton,26.8,MIL,Wing,170,61,54.3%,82,58.3%,38,34.8%,0,100.0%,43,80%,29,71%,0,0%,57,88%
Robert Covington,28.9,HOU,Big,371,85,66.7%,10,46.2%,88,50.0%,0,85.7%,13,93%,31,75%,0,0%,26,100%
Torrey Craig,28.9,DEN,Wing,372,36,49.3%,93,60.0%,7,26.8%,0,69.2%,25,88%,18,78%,11,100%,0,100%
Jae Crowder,29.3,MIA,Big,659,33,54.0%,85,65.0%,36,34.2%,33,76.1%,5,96%,10,91%,10,100%,72,98%
Seth Curry,29.2,DAL,Combo,172,100,69.2%,100,67.7%,90,47.6%,0,100.0%,30,61%,60,20%,15,56%,10,90%
Anthony Davis,26.6,LAL,Big,768,67,60.5%,64,61.1%,52,38.3%,80,83.1%,85,61%,56,67%,77,48%,82,91%
Donte DiVincenzo,22.7,MIL,Combo,161,65,54.1%,80,55.2%,30,35.0%,0,65.0%,5,78%,15,69%,0,0%,0,100%
Luka Doncic,20.7,DAL,Wing,214,79,56.7%,79,57.1%,62,37.2%,0,66.1%,100,9%,93,4%,93,8%,100,19%
Luguentz Dort,20.5,OKC,Wing,174,7,44.1%,61,53.8%,3,26.0%,0,53.3%,29,85%,32,67%,11,100%,0,100%
Goran Dragic,33.5,MIA,Point,552,33,51.9%,42,51.2%,42,34.6%,50,81.4%,25,47%,33,36%,42,28%,17,81%
Joel Embiid,25.6,PHI,Big,144,23,48.6%,31,51.7%,16,25.0%,67,81.4%,79,65%,49,69%,67,59%,97,75%
James Ennis,29.3,ORL,Forward,119,6,41.2%,12,42.1%,0,26.7%,0,77.8%,18,83%,24,75%,24,75%,0,100%
Dorian Finney-Smith,26.5,DAL,Forward,190,65,54.8%,59,54.5%,53,36.7%,0,80.0%,29,83%,35,64%,6,100%,0,100%
Evan Fournier,27.0,ORL,Wing,170,11,45.6%,11,36.4%,34,34.3%,0,70.6%,64,70%,54,50%,68,33%,46,92%
Markelle Fultz,21.4,ORL,Combo,143,5,43.2%,15,40.9%,0,33.3%,0,85.7%,100,22%,85,14%,75,18%,95,40%
Danilo Gallinari,31.2,OKC,Big,211,18,48.1%,15,47.6%,20,32.4%,100,96.7%,59,72%,0,100%,82,40%,26,100%
Marc Gasol,34.8,TOR,Big,226,5,43.0%,38,54.1%,8,18.5%,0,73.3%,23,92%,13,91%,38,89%,26,100%
Paul George,29.5,LAC,Wing,475,25,48.4%,39,46.4%,21,33.6%,100,94.0%,86,42%,75,33%,89,15%,82,68%
Shai Gilgeous-Alexander,21.3,OKC,Wing,279,43,51.7%,36,45.5%,86,41.2%,0,95.7%,96,33%,89,27%,64,36%,96,36%
Rudy Gobert,27.3,UTA,Big,270,82,64.9%,82,64.9%,0,0.0%,0,52.4%,28,85%,15,87%,95,0%,0,0%
Eric Gordon,30.9,HOU,Wing,409,29,48.9%,46,50.0%,14,31.8%,86,87.5%,75,56%,68,41%,68,33%,68,82%
Jerami Grant,25.6,DEN,Big,652,26,49.4%,26,50.0%,24,32.6%,93,88.9%,31,83%,21,82%,51,67%,85,90%
Danny Green,32.4,LAL,Wing,521,14,46.2%,11,36.4%,24,33.9%,0,66.7%,39,81%,54,50%,54,50%,36,97%
JaMychal Green,29.4,LAC,Big,208,92,67.9%,95,67.7%,80,45.5%,0,77.8%,72,68%,79,47%,46,75%,26,100%
Jeff Green,33.2,HOU,Forward,336,94,60.1%,88,59.6%,93,40.4%,0,82.4%,41,71%,47,59%,35,67%,59,86%
Tim Hardaway Jr.,27.6,DAL,Wing,203,54,52.7%,57,51.2%,41,35.2%,0,72.7%,82,53%,86,29%,82,21%,64,84%
James Harden,30.2,HOU,Point,445,67,56.9%,92,63.1%,33,33.3%,67,85.1%,92,21%,83,15%,92,13%,100,33%
Montrezl Harrell,25.8,LAC,Big,231,51,57.9%,59,57.4%,0,50.0%,20,60.6%,74,68%,46,69%,85,33%,26,100%
Gary Harris,25.1,DEN,Wing,379,21,48.3%,25,39.5%,59,36.5%,0,77.3%,36,82%,32,67%,39,83%,50,89%
Tobias Harris,27.3,PHI,Forward,148,0,39.3%,18,45.7%,0,13.3%,0,78.9%,100,22%,76,33%,100,8%,94,50%
Gordon Hayward,29.6,BOS,Forward,157,24,47.0%,41,50.0%,7,29.2%,0,87.5%,53,70%,41,60%,53,50%,0,100%
Tyler Herro,19.8,MIA,Combo,705,50,52.2%,35,48.3%,55,37.8%,56,87.0%,45,57%,40,38%,35,40%,35,83%
George Hill,33.5,MIL,Combo,268,70,55.4%,85,55.3%,35,35.7%,33,80.8%,50,55%,45,35%,20,50%,10,90%
Justin Holiday,30.6,IND,Wing,131,100,66.7%,29,40.0%,100,50.0%,0,33.3%,18,90%,96,0%,11,100%,0,100%
Al Horford,33.4,PHI,Big,128,15,48.0%,56,57.1%,0,0.0%,0,57.1%,100,42%,67,63%,95,0%,0,0%
Danuel House,26.4,HOU,Forward,276,71,54.9%,76,58.1%,47,36.5%,0,76.9%,12,84%,29,65%,6,100%,0,100%
Dwight Howard,33.9,LAL,Big,253,95,69.0%,92,67.3%,0,100.0%,7,57.1%,64,71%,38,72%,72,50%,26,100%
Serge Ibaka,30.1,TOR,Big,251,90,67.7%,67,61.5%,92,51.1%,0,100.0%,26,86%,59,67%,36,89%,26,100%
Andre Iguodala,35.8,MIA,Forward,409,82,58.2%,94,61.5%,80,38.9%,0,71.4%,18,83%,12,80%,53,50%,0,100%
Joe Ingles,32.1,UTA,Forward,234,59,53.7%,71,57.1%,33,35.0%,0,100.0%,59,68%,94,20%,35,67%,59,86%
Reggie Jackson,29.5,LAC,Combo,162,90,62.8%,0,26.7%,100,53.1%,0,0.0%,15,71%,0,0%,95,0%,30,88%
LeBron James,34.8,LAL,Forward,759,100,62.4%,100,64.6%,67,37.3%,29,72.0%,88,35%,71,36%,88,20%,100,45%
Nikola Jokic,24.7,DEN,Big,694,54,57.9%,41,55.5%,72,42.7%,87,83.5%,87,60%,95,38%,62,60%,92,88%
Maxi Kleber,27.8,DAL,Big,203,3,39.7%,67,61.5%,12,19.2%,0,75.0%,18,92%,18,86%,10,100%,26,100%
Kyle Korver,38.6,MIL,Wing,115,93,60.5%,68,55.6%,86,41.2%,0,100.0%,0,100%,0,0%,11,100%,0,100%
Kyle Kuzma,24.3,LAL,Forward,470,41,50.6%,53,52.6%,13,31.9%,57,78.4%,6,85%,6,82%,18,82%,47,91%
Caris LeVert,25.2,BKN,Combo,139,0,43.2%,5,34.6%,80,42.9%,0,72.0%,85,26%,100,0%,80,17%,70,56%
Kawhi Leonard,28.3,LAC,Forward,510,53,53.4%,65,54.9%,20,32.9%,100,86.2%,94,32%,88,25%,94,15%,41,92%
Damian Lillard,29.3,POR,Point,187,25,51.3%,17,43.8%,58,38.3%,100,97.9%,33,44%,8,50%,100,0%,58,50%
Brook Lopez,31.6,MIL,Big,327,69,62.7%,87,65.6%,56,39.6%,0,75.0%,36,82%,21,82%,69,58%,74,95%
Kyle Lowry,33.6,TOR,Point,413,17,50.3%,50,51.3%,25,32.9%,0,80.0%,83,31%,50,24%,75,14%,75,48%
Timothe Luwawu-Cabarrot,24.5,BKN,Wing,131,18,46.5%,21,36.8%,31,34.2%,0,91.7%,18,90%,32,67%,11,100%,0,100%
Wesley Matthews,33.0,MIL,Wing,246,82,58.0%,46,50.0%,76,40.5%,0,70.0%,46,79%,71,40%,54,50%,39,94%
CJ McCollum,28.1,POR,Combo,240,60,53.4%,55,51.3%,60,38.1%,11,73.1%,75,33%,85,14%,55,32%,80,50%
JaVale McGee,31.8,LAL,Big,128,85,66.7%,90,66.7%,0,0.0%,0,50.0%,54,75%,41,71%,10,100%,0,0%
Ben McLemore,26.7,HOU,Wing,117,89,58.6%,4,33.3%,79,40.6%,0,0.0%,0,100%,4,100%,0,0%,0,100%
Khris Middleton,28.2,MIL,Forward,355,18,45.8%,6,41.7%,40,35.4%,86,82.6%,82,42%,100,0%,82,34%,82,65%
Paul Millsap,34.7,DEN,Big,459,13,46.2%,5,43.2%,32,34.1%,53,79.6%,69,68%,59,67%,79,43%,79,93%
Shake Milton,23.1,PHI,Combo,125,80,59.1%,90,57.9%,70,40.0%,0,85.7%,40,57%,60,20%,50,33%,10,90%
Donovan Mitchell,23.1,UTA,Combo,263,95,63.4%,75,53.8%,95,51.6%,100,94.8%,90,24%,70,19%,85,11%,100,36%
Marcus Morris,30.2,LAC,Big,386,72,63.1%,36,53.8%,84,47.5%,0,92.9%,82,63%,100,20%,87,26%,26,100%
Markieff Morris,30.2,LAL,Big,379,64,60.3%,33,53.6%,68,42.0%,0,77.8%,8,95%,8,92%,51,67%,26,100%
Monte Morris,24.3,DEN,Point,396,58,55.1%,83,58.4%,8,31.6%,33,81.3%,8,50%,25,38%,17,46%,8,83%
Jamal Murray,22.7,DEN,Combo,752,85,60.0%,70,53.5%,85,47.3%,89,89.6%,70,34%,50,31%,70,22%,85,48%
Georges Niang,26.4,UTA,Big,109,79,64.1%,97,71.4%,60,40.0%,0,100.0%,10,95%,72,50%,10,100%,26,100%
Kendrick Nunn,24.2,MIA,Combo,237,25,46.2%,45,49.0%,15,28.6%,0,100.0%,10,75%,20,64%,10,80%,35,83%
Jusuf Nurkic,25.2,POR,Big,201,28,50.0%,23,49.1%,0,35.7%,27,68.8%,90,52%,90,43%,64,60%,95,80%
Royce O'Neale,26.4,UTA,Wing,248,75,56.3%,0,30.0%,97,45.5%,0,50.0%,32,85%,75,33%,0,0%,0,100%
Semi Ojeleye,24.9,BOS,Big,113,0,30.8%,26,50.0%,4,18.2%,0,100.0%,0,100%,0,100%,0,0%,26,100%
Victor Oladipo,27.5,IND,Wing,122,39,50.0%,32,43.5%,55,36.4%,0,93.8%,71,59%,54,50%,54,50%,86,67%
Kelly Olynyk,28.5,MIA,Big,257,49,56.9%,72,62.2%,40,34.7%,73,82.1%,51,76%,59,67%,72,50%,77,94%
Chris Paul,34.5,OKC,Point,260,75,57.3%,67,56.5%,67,39.0%,0,87.5%,100,20%,92,10%,83,14%,83,38%
Mason Plumlee,29.7,DEN,Big,186,8,45.7%,13,47.1%,0,0.0%,0,66.7%,67,69%,51,69%,0,0%,0,0%
