Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Patrick Beverley,35.3,PHI,Combo,904,87,1.0%,28,1.1%,22,3.8%,77,3.0%,86,12.4%,95,3.9%,24,1.8%
Saddiq Bey,24.6,ATL,Forward,2053,10,0.3%,25,1.0%,94,1.7%,95,7.7%,40,11.2%,51,1.1%,72,23.3%
Goga Bitadze,24.3,ORL,Big,884,97,4.1%,66,1.4%,32,4.3%,82,11.2%,54,17.7%,82,5.4%,74,39.5%
Onuralp Bitim,24.6,CHI,Wing,239,20,0.4%,0,0.4%,17,4.0%,21,1.6%,55,10.5%,100,14.3%,34,7.1%
Bismack Biyombo,31.2,MEM,Big,718,74,2.4%,7,0.6%,33,4.2%,47,8.1%,52,17.3%,0,0.0%,69,36.1%
Anthony Black,19.8,ORL,Combo,1053,72,0.8%,41,1.3%,14,4.2%,83,3.3%,38,9.2%,0,0.0%,48,4.4%
Leaky Black,24.4,CHA,Forward,227,92,1.7%,43,1.2%,63,2.7%,38,3.0%,65,12.9%,0,0.0%,48,16.7%
Bogdan Bogdanovic,31.2,ATL,Wing,2392,38,0.6%,82,1.7%,59,3.0%,37,2.1%,29,8.9%,68,1.7%,75,16.8%
Bojan Bogdanovic,34.5,DET,Forward,920,7,0.2%,30,1.1%,71,2.6%,5,1.4%,21,9.5%,0,0.0%,9,2.6%
Bojan Bogdanovic,34.5,NYK,Forward,549,3,0.1%,1,0.6%,65,2.7%,6,1.5%,18,8.9%,81,3.6%,56,17.9%
Bol Bol,24.0,PHX,Big,415,71,2.2%,19,0.8%,35,4.2%,41,7.3%,70,20.1%,83,5.6%,80,41.7%
Marques Bolden,25.5,CHA,Big,107,88,3.1%,60,1.3%,75,3.0%,71,10.4%,52,17.3%,0,0.0%,100,66.7%
Devin Booker,27.0,PHX,Point,2445,60,0.6%,21,1.1%,23,3.3%,60,2.4%,49,10.2%,88,3.6%,47,2.8%
Brandon Boston Jr.,21.9,LAC,Wing,253,71,1.0%,79,1.7%,8,4.7%,80,4.4%,47,9.9%,0,0.0%,34,7.1%
Chris Boucher,30.8,TOR,Big,665,52,1.7%,24,0.9%,37,4.1%,54,8.7%,64,19.0%,79,5.1%,57,30.3%
Malaki Branham,20.5,SAS,Wing,1527,13,0.3%,5,0.7%,85,2.5%,26,1.7%,11,7.6%,64,1.3%,21,4.4%
Christian Braun,22.5,DEN,Wing,1600,70,1.0%,32,1.1%,40,3.3%,85,4.8%,75,11.6%,59,1.0%,85,23.5%
Mikal Bridges,27.2,BKN,Forward,2855,29,0.5%,51,1.2%,96,1.7%,17,2.3%,32,10.7%,66,2.0%,23,7.6%
Miles Bridges,25.6,CHA,Forward,2574,35,0.7%,37,1.1%,91,1.9%,27,2.7%,83,16.4%,84,3.9%,99,46.3%
Oshae Brissett,25.4,BOS,Big,501,8,0.6%,48,1.1%,49,3.7%,72,10.6%,28,14.7%,61,2.5%,23,18.2%
Malcolm Brogdon,30.9,POR,Combo,1120,34,0.4%,22,1.0%,84,2.1%,67,2.5%,73,11.2%,0,0.0%,56,5.4%
Dillon Brooks,27.8,HOU,Forward,2224,8,0.2%,50,1.2%,14,4.4%,18,2.3%,9,8.3%,50,1.0%,28,8.5%
Bruce Brown,27.2,IND,Wing,980,19,0.4%,64,1.5%,39,3.3%,41,2.3%,87,13.4%,79,2.5%,77,17.0%
Bruce Brown,27.2,TOR,Wing,877,34,0.5%,34,1.1%,50,3.1%,63,3.2%,71,11.4%,0,0.0%,68,14.0%
Jaylen Brown,27.0,BOS,Wing,2339,56,0.8%,71,1.5%,63,2.9%,75,3.9%,71,11.3%,0,0.0%,89,25.2%
Kobe Brown,23.8,LAC,Big,270,24,1.1%,78,1.6%,6,5.5%,15,4.2%,1,7.5%,0,0.0%,40,25.0%
Moses Brown,24.1,POR,Big,185,63,1.9%,25,0.9%,10,5.3%,98,16.4%,94,25.0%,87,6.3%,92,50.0%
