Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Alex Abrines,25.3,OKC,Wing,558,0,92.3%,7,2.6%,69,1.3%,0,0.0%
Quincy Acy,28.1,PHX,Big,102,0,75.0%,11,5.9%,72,2.2%,0,0.0%
Jaylen Adams,22.5,ATL,Point,395,0,71.4%,2,3.0%,6,0.6%,81,33.3%
Steven Adams,25.3,OKC,Big,2678,1,49.8%,52,12.3%,73,2.3%,27,18.2%
Bam Adebayo,21.3,MIA,Big,1876,50,73.4%,85,17.9%,86,2.7%,80,30.9%
Deng Adel,21.7,CLE,Forward,187,0,100.0%,20,5.4%,3,0.2%,0,0.0%
LaMarcus Aldridge,33.3,SAS,Big,2698,93,84.7%,55,12.6%,91,3.2%,64,26.8%
Rawle Alkins,21.0,CHI,Forward,108,0,66.7%,96,15.8%,7,0.4%,80,33.3%
Grayson Allen,23.1,UTA,Combo,322,37,77.1%,64,9.5%,86,2.2%,25,15.4%
Jarrett Allen,20.5,BKN,Big,2093,35,70.8%,88,18.6%,84,2.7%,24,17.6%
Kadeem Allen,25.8,NYK,Combo,377,54,80.0%,88,12.4%,73,1.9%,5,5.6%
Al-Farouq Aminu,28.1,POR,Big,2291,95,86.7%,47,11.0%,20,1.1%,26,18.1%
Justin Anderson,25.0,ATL,Wing,414,0,63.6%,52,7.1%,28,0.7%,72,30.0%
Kyle Anderson,25.1,MEM,Forward,1270,0,56.5%,68,10.3%,34,0.7%,66,30.0%
Ryan Anderson,30.5,PHX,Big,277,0,78.6%,43,10.6%,49,1.6%,14,14.3%
Giannis Antetokounmpo,23.9,MIL,Forward,2364,38,72.5%,100,23.3%,99,3.6%,68,30.0%
Carmelo Anthony,34.4,HOU,Forward,291,0,68.2%,10,4.0%,85,1.6%,32,20.0%
OG Anunoby,21.3,TOR,Forward,1293,4,58.1%,44,7.9%,20,0.5%,75,31.3%
Ryan Arcidiacono,24.6,CHI,Combo,1912,87,87.2%,53,8.0%,41,1.3%,20,14.3%
Trevor Ariza,33.3,PHX,Wing,883,73,83.7%,57,7.9%,48,1.0%,62,26.3%
Trevor Ariza,33.3,WAS,Wing,1463,44,77.7%,79,10.8%,55,1.1%,81,33.9%
D.J. Augustin,31.0,ORL,Point,2265,91,86.6%,65,9.5%,70,1.9%,19,15.9%
Deandre Ayton,20.3,PHX,Big,2182,52,74.6%,35,9.6%,68,2.1%,63,26.7%
Dwayne Bacon,23.2,CHA,Wing,651,18,71.4%,62,8.7%,53,1.0%,33,19.0%
Marvin Bagley,19.6,SAC,Big,1524,34,69.8%,72,15.0%,81,2.6%,18,15.3%
Lonzo Ball,21.0,LAL,Point,1401,0,41.7%,7,3.7%,24,1.2%,50,23.5%
Mohamed Bamba,20.5,ORL,Big,745,4,55.6%,49,11.2%,54,1.7%,92,35.7%
J.J. Barea,34.3,DAL,Combo,744,13,69.7%,32,6.5%,80,2.0%,75,26.9%
Harrison Barnes,26.4,SAC,Forward,948,72,80.0%,66,10.2%,45,0.9%,28,17.6%
Harrison Barnes,26.4,DAL,Forward,1569,82,83.3%,63,9.7%,82,1.6%,51,25.3%
Will Barton,27.8,DEN,Wing,1189,41,77.0%,51,6.9%,47,0.9%,74,30.3%
Keita Bates-Diop,22.8,MIN,Wing,454,0,57.1%,33,5.4%,17,0.6%,67,28.6%
Nicolas Batum,29.9,CHA,Wing,2338,86,86.5%,32,5.3%,45,0.9%,76,32.3%
Jerryd Bayless,30.2,MIN,Point,637,7,57.1%,22,6.1%,7,0.7%,67,28.6%
Aron Baynes,31.9,BOS,Big,810,94,85.0%,31,9.2%,85,2.7%,27,18.2%
Kent Bazemore,29.3,ATL,Wing,1639,22,72.2%,70,9.8%,78,1.4%,38,20.8%
Bradley Beal,25.3,WAS,Wing,3025,57,80.6%,78,10.5%,93,2.1%,43,22.3%
Malik Beasley,21.9,DEN,Wing,1789,83,85.7%,16,3.8%,27,0.7%,77,33.3%
Michael Beasley,29.8,LAL,Big,254,37,71.1%,70,14.6%,9,0.8%,92,36.4%
Marco Belinelli,32.6,SAS,Wing,1796,99,90.0%,45,6.6%,65,1.2%,60,26.1%
Jordan Bell,23.8,GSW,Big,615,8,58.3%,46,10.9%,51,1.6%,36,20.0%
DeAndre' Bembry,24.3,ATL,Wing,1873,5,64.6%,69,9.6%,56,1.1%,61,26.2%
Dragan Bender,21.0,PHX,Big,776,6,56.0%,64,13.4%,21,1.2%,87,33.3%
Dairis Bertans,29.1,NOP,Wing,150,0,0.0%,0,0.0%,40,0.8%,99,0.0%
Davis Bertans,26.0,SAS,Big,1594,97,88.3%,9,5.4%,6,0.8%,87,33.3%
Patrick Beverley,30.3,LAC,Combo,2121,50,79.3%,37,6.7%,64,1.6%,61,24.2%
Khem Birch,26.1,ORL,Big,556,27,67.6%,97,22.8%,26,1.3%,14,13.9%
Bismack Biyombo,26.2,CHA,Big,755,22,64.7%,98,23.2%,64,2.0%,43,21.4%
Nemanja Bjelica,30.5,SAC,Big,1795,62,76.1%,14,6.5%,38,1.4%,69,27.5%
Antonio Blakeney,22.1,CHI,Wing,709,7,67.3%,52,7.0%,38,0.8%,38,20.8%
Eric Bledsoe,28.9,MIL,Point,2266,34,75.1%,93,11.4%,48,1.6%,72,30.0%
Jaron Blossomgame,25.1,CLE,Big,417,0,81.8%,10,5.7%,3,0.5%,20,16.7%
Bogdan Bogdanovic,26.2,SAC,Wing,1944,65,82.6%,39,5.9%,96,2.5%,52,25.0%
Bojan Bogdanovic,29.5,IND,Forward,2547,74,80.9%,75,10.5%,89,1.8%,39,21.0%
Andrew Bogut,33.9,GSW,Big,126,0,100.0%,3,3.4%,18,1.1%,100,100.0%
Jonah Bolden,22.8,PHI,Big,567,0,52.6%,6,4.1%,7,0.8%,20,16.7%
Devin Booker,22.0,PHX,Combo,2239,85,86.4%,92,13.4%,98,3.5%,51,22.6%
Avery Bradley,27.9,MEM,Wing,442,0,92.0%,35,5.6%,57,1.1%,29,18.2%
Avery Bradley,27.9,LAC,Wing,1462,0,80.0%,4,1.9%,7,0.4%,85,37.5%
Corey Brewer,32.7,SAC,Wing,332,18,71.4%,95,16.0%,14,0.5%,21,15.4%
Corey Brewer,32.7,PHI,Forward,120,0,69.2%,72,10.4%,6,0.3%,0,0.0%
Mikal Bridges,22.2,PHX,Wing,2354,51,79.8%,65,9.1%,25,0.7%,84,36.5%
Miles Bridges,20.6,CHA,Forward,1569,44,75.4%,28,6.6%,23,0.6%,89,34.4%
Isaiah Briscoe,22.6,ORL,Point,456,0,64.7%,35,7.5%,74,2.0%,89,37.5%
Ryan Broekhoff,28.2,DAL,Forward,391,0,78.6%,0,1.8%,28,0.7%,97,50.0%
Malcolm Brogdon,25.9,MIL,Combo,1820,100,92.8%,51,7.9%,24,1.0%,32,17.7%
Dillon Brooks,22.8,MEM,Forward,313,36,72.4%,65,9.8%,37,0.7%,10,8.3%
MarShon Brooks,29.8,MEM,Wing,368,10,67.9%,36,5.7%,74,1.4%,12,10.0%
Bruce Brown,22.2,DET,Wing,1406,29,73.2%,65,8.9%,11,0.4%,67,28.6%
Jaylen Brown,22.0,BOS,Wing,1852,6,65.5%,84,11.8%,75,1.4%,44,22.4%
Lorenzo Brown,28.2,TOR,Wing,147,0,100.0%,5,2.1%,0,0.0%,0,0.0%
Sterling Brown,23.7,MIL,Wing,917,13,69.7%,35,5.6%,8,0.4%,85,37.5%
Troy Brown,19.3,WAS,Wing,641,8,67.6%,71,9.8%,18,0.6%,77,33.3%
Jalen Brunson,22.2,DAL,Point,1540,27,73.5%,41,7.8%,59,1.7%,39,21.7%
Thomas Bryant,21.3,WAS,Big,1438,65,77.0%,53,12.4%,51,1.6%,95,39.1%
Reggie Bullock,27.6,DET,Wing,1352,89,87.5%,19,4.2%,46,0.9%,75,31.6%
Reggie Bullock,27.6,LAL,Wing,519,0,81.0%,9,3.2%,21,0.6%,89,40.0%
Trey Burke,26.0,DAL,Point,407,77,84.4%,72,9.7%,15,1.0%,6,10.5%
Trey Burke,26.0,NYK,Point,677,59,82.7%,70,9.5%,44,1.6%,94,40.0%
Alec Burks,27.3,CLE,Wing,954,67,82.8%,87,12.0%,79,1.4%,59,25.6%
Alec Burks,27.3,UTA,Wing,255,84,86.1%,98,16.8%,64,1.2%,82,35.0%
Alec Burks,27.3,SAC,Wing,111,0,80.0%,89,13.6%,33,0.8%,77,33.3%
Deonte Burton,24.8,OKC,Forward,220,0,66.7%,20,5.4%,38,0.8%,100,75.0%
Jimmy Butler,29.1,PHI,Forward,1823,94,86.8%,93,15.0%,94,2.0%,46,23.6%
Jimmy Butler,29.1,MIN,Wing,361,47,78.7%,94,15.6%,99,3.0%,28,17.9%
Bruno Caboclo,23.1,MEM,Forward,783,84,84.0%,56,8.8%,39,0.8%,31,19.0%
Jose Calderon,37.1,DET,Combo,580,0,81.8%,3,3.5%,12,0.8%,68,25.0%
Kentavious Caldwell-Pope,25.7,LAL,Wing,1989,87,87.0%,40,6.1%,62,1.2%,71,29.8%
Isaiah Canaan,27.4,PHX,Combo,500,0,75.0%,27,5.9%,15,0.9%,68,25.0%
Clint Capela,24.5,HOU,Big,2244,13,63.3%,76,15.8%,50,1.6%,60,26.0%
DeMarre Carroll,32.3,BKN,Forward,1696,48,75.8%,92,14.8%,76,1.4%,18,14.6%
Jevon Carter,23.1,MEM,Combo,533,63,82.1%,22,5.2%,31,1.1%,0,0.0%
Vince Carter,41.8,ATL,Big,1322,35,70.3%,7,4.4%,40,1.5%,74,28.6%
Wendell Carter,19.5,CHI,Big,1102,76,79.3%,49,11.1%,74,2.3%,83,31.8%
Michael Carter-Williams,27.1,ORL,Combo,222,0,72.0%,85,12.1%,92,2.8%,0,0.0%
Alex Caruso,24.7,LAL,Combo,502,65,82.8%,93,13.5%,61,1.6%,27,16.0%
Omri Casspi,30.4,MEM,Forward,492,22,67.9%,87,14.0%,87,1.8%,23,16.7%
Willie Cauley-Stein,25.2,SAC,Big,2222,4,55.1%,63,13.3%,57,1.8%,73,28.4%
Tyson Chandler,36.1,LAL,Big,785,10,59.4%,99,24.1%,32,1.4%,7,3.7%
Wilson Chandler,31.5,LAC,Forward,210,0,71.4%,13,4.6%,8,0.4%,80,33.3%
Wilson Chandler,31.5,PHI,Big,951,0,72.2%,2,3.3%,3,0.5%,74,28.6%
Marquese Chriss,21.3,CLE,Big,394,30,68.4%,39,10.0%,58,1.9%,13,12.5%
Gary Clark,24.0,HOU,Forward,522,0,100.0%,1,2.6%,30,0.7%,99,66.7%
Ian Clark,27.7,NOP,Combo,944,96,88.6%,0,2.4%,22,1.0%,49,22.2%
Jordan Clarkson,26.4,CLE,Combo,2179,75,84.1%,41,7.0%,49,1.4%,66,24.7%
John Collins,21.1,ATL,Big,1819,64,76.8%,72,14.9%,59,1.9%,86,33.1%
Zach Collins,21.0,POR,Big,1274,59,75.8%,62,13.3%,62,2.0%,51,24.1%
Darren Collison,31.2,IND,Point,2143,66,83.2%,69,9.5%,50,1.6%,13,14.9%
Mike Conley,31.1,MEM,Point,2341,80,84.9%,98,12.9%,96,3.3%,78,30.4%
Pat Connaughton,25.8,MIL,Wing,1153,53,80.0%,28,5.0%,11,0.4%,16,12.5%
Quinn Cook,25.6,GSW,Point,865,0,88.2%,0,2.8%,0,0.4%,43,22.2%
DeMarcus Cousins,28.2,GSW,Big,753,51,73.6%,82,16.9%,99,4.6%,46,22.9%
Robert Covington,27.9,MIN,Wing,748,42,77.3%,70,9.6%,71,1.3%,15,12.0%
