Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Alex Acker,25.8,LAC,Wing,132,53,17.9%,16,95.8,35,8.3%,26,0.47,99,4.2%
Arron Afflalo,23.0,DET,Wing,1193,16,13.4%,70,112.9,13,5.7%,18,0.42,41,12.2%
Alexis Ajinca,20.5,CHA,Big,136,90,22.5%,7,85.0,2,1.3%,1,0.06,52,14.4%
LaMarcus Aldridge,23.3,POR,Big,2993,88,22.4%,45,105.8,74,9.1%,52,0.40,94,8.5%
Joe Alexander,21.9,MIL,Forward,612,50,18.0%,13,99.6,63,9.1%,57,0.51,11,16.9%
Malik Allen,30.3,MIL,Big,522,38,15.2%,7,84.9,87,10.8%,93,0.71,80,11.7%
Ray Allen,33.3,BOS,Wing,2866,66,19.6%,99,127.3,62,12.1%,54,0.62,58,11.2%
Tony Allen,26.8,BOS,Wing,782,71,20.4%,59,109.7,60,11.9%,47,0.58,4,18.2%
Morris Almond,23.7,UTA,Wing,233,43,16.8%,31,102.4,4,4.3%,2,0.26,16,14.0%
Rafer Alston,32.3,HOU,Point,1587,57,21.6%,30,96.7,50,26.2%,52,1.21,80,11.7%
Rafer Alston,32.3,ORL,Point,853,76,24.4%,39,100.9,67,29.2%,44,1.20,85,11.5%
Lou Amundson,25.9,PHX,Big,909,20,12.6%,29,102.0,21,3.7%,26,0.29,30,16.4%
Chris Andersen,30.3,DEN,Big,1412,13,12.2%,85,118.7,13,3.0%,20,0.25,29,16.8%
Ryan Anderson,20.5,BKN,Big,1233,53,17.3%,46,105.9,50,6.4%,44,0.37,75,12.2%
Carmelo Anthony,24.4,DEN,Forward,2273,98,31.5%,48,106.4,96,17.2%,66,0.55,45,12.5%
Joel Anthony,26.2,MIA,Big,1008,1,8.2%,46,106.0,22,3.9%,71,0.48,3,23.5%
Trevor Ariza,23.3,LAL,Wing,1902,36,16.1%,56,109.2,51,10.3%,61,0.64,54,11.4%
Hilton Armstrong,23.9,NOP,Big,1050,40,15.3%,73,114.9,23,4.1%,22,0.27,2,23.9%
Darrell Arthur,20.6,MEM,Big,1426,34,14.6%,12,90.7,31,4.7%,34,0.32,87,10.6%
Chucky Atkins,34.2,OKC,Combo,278,12,16.2%,2,79.8,23,15.6%,56,0.96,77,11.0%
D.J. Augustin,21.0,CHA,Point,1844,67,22.5%,89,118.2,37,24.1%,26,1.07,59,13.1%
Kelenna Azubuike,24.9,GSW,Wing,2350,52,17.7%,68,112.4,28,7.6%,21,0.43,77,9.6%
Renaldo Balkman,24.3,DEN,Big,704,27,13.4%,87,119.0,53,6.6%,73,0.49,59,13.9%
Marcus Banks,27.0,MIA,Combo,134,33,18.3%,23,97.1,79,24.4%,93,1.33,5,19.4%
Leandro Barbosa,25.9,PHX,Combo,1661,65,23.2%,98,120.5,19,15.1%,12,0.65,88,10.3%
J.J. Barea,24.4,DAL,Combo,1476,70,23.7%,63,106.1,84,26.5%,72,1.12,49,12.6%
Andrea Bargnani,23.0,TOR,Big,2418,82,20.9%,63,111.3,51,6.4%,29,0.31,71,12.5%
Matt Barnes,28.6,PHX,Wing,2051,58,18.2%,49,108.2,74,13.9%,79,0.76,14,14.7%
Brent Barry,36.8,HOU,Wing,798,11,12.5%,77,114.6,72,13.7%,97,1.10,0,20.8%
Brandon Bass,23.5,DAL,Big,1501,64,18.1%,78,116.4,24,4.2%,15,0.23,57,14.1%
Maceo Baston,32.4,IND,Big,201,30,14.0%,74,115.5,32,4.8%,37,0.34,24,17.3%
Tony Battie,32.7,ORL,Big,1159,32,14.2%,40,105.0,29,4.6%,33,0.32,69,12.7%
Shane Battier,30.1,HOU,Wing,2022,3,10.1%,80,114.9,45,9.8%,93,0.98,57,11.3%
Nicolas Batum,19.9,POR,Wing,1407,15,13.3%,60,109.8,25,7.2%,41,0.54,38,12.2%
Jerryd Bayless,20.2,POR,Combo,560,56,21.7%,21,96.9,49,19.0%,37,0.88,14,17.3%
Michael Beasley,19.8,MIA,Big,1976,96,25.6%,42,105.5,64,7.8%,28,0.30,84,11.0%
