bet_id,date,game_id,player,market,side,line,entry_odds_dec,entry_time,close_line,close_odds_dec,close_time,direction,clv_line,clv_price,clv_novig,clv_pct,beat_closing,result,won,profit,predicted_pra,player_sigma,ev_entry,stake
2025-10-23_draymond_green_20.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Draymond Green,PRA,UNDER,20.5,1.8,2025-10-24 13:37:56.169062,,,,-1,,,,,,29.0,0.0,-1.2729995110876615,18.352941176470587,8.786887966807518,0.0737348454885062,1.2729995110876615
2025-10-23_gary_payton_ii_9.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Gary Payton II,PRA,OVER,9.5,1.869565217391304,2025-10-24 13:37:56.162148,,,,1,,,,,,13.0,1.0,2.4020254505487877,15.398576512455517,7.356872283429021,0.4744498731910372,2.762329268131107
2025-10-23_jimmy_butler_24.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Jimmy Butler,PRA,OVER,24.5,1.9523809523809523,2025-10-24 13:37:56.168114,,,,1,,,,,,32.0,1.0,1.0511502929535848,25.96825396825397,11.414216814658658,0.0761060822893684,1.103707807601264
2025-10-23_jonas_valanciunas_10.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Jonas Valanciunas,PRA,OVER,10.5,1.8,2025-10-24 13:23:27.973686,,,,1,,,,,,13.0,1.0,1.7810659909529882,18.352941176470587,11.648054712667928,0.3498255384228653,2.2263324886912352
2025-10-23_peyton_watson_8.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Peyton Watson,PRA,OVER,8.5,2.0,2025-10-24 13:22:33.819376,,,,1,,,,,,5.0,0.0,-2.267737448741123,14.913793103448276,8.255014432645881,0.562815992406398,2.267737448741123
2025-10-23_aaron_gordon_35.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Aaron Gordon,PRA,UNDER,35.5,1.9523809523809523,2025-10-24T14:04:34.791177,,,,-1,,,,,,60.0,0.0,-2.9770491845650584,21.66304347826087,11.217495396944631,0.7401733199345746,2.9770491845650584
2025-10-23_al_horford_12.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Al Horford,PRA,OVER,12.5,1.76,2025-10-24T14:04:34.792158,,,,1,,,,,,18.0,1.0,3.8,20.36764705882353,8.652077700576182,0.5251371728731398,5.0
2025-10-23_jamal_murray_35.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Jamal Murray,PRA,UNDER,35.5,1.8333333333333337,2025-10-24T14:04:34.793076,,,,-1,,,,,,38.0,0.0,-2.9770491845650584,25.714285714285715,10.783306550230176,0.4995299586745813,2.9770491845650584
2025-10-23_cameron_johnson_14.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Cameron Johnson,PRA,OVER,14.5,1.8,2025-10-24T14:04:34.794017,,,,1,,,,,,10.0,0.0,-2.9770491845650584,22.7979797979798,9.380489897424477,0.4612647529616728,2.9770491845650584
2025-10-23_bruce_brown_8.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Bruce Brown,PRA,OVER,8.5,1.8333333333333337,2025-10-24T14:04:34.794924,,,,1,,,,,,12.0,1.0,2.480874320470883,16.807550644567222,10.915473989364498,0.423941573621361,2.9770491845650584
2025-10-23_nikola_jokic_49.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Nikola Jokic,PRA,UNDER,49.5,1.86,2025-10-24T14:04:34.795787,,,,-1,,,,,,44.0,1.0,8.600000000000001,38.41935483870968,13.75741601838569,0.3935563222706644,10.0
2025-10-23_jonathan_kuminga_24.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Jonathan Kuminga,PRA,UNDER,24.5,1.8333333333333337,2025-10-24T14:04:34.796638,,,,-1,,,,,,22.0,1.0,6.16666666666667,19.904761904761905,8.672796651302658,0.2867988925709419,7.4
2025-10-23_christian_braun_18.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Christian Braun,PRA,OVER,18.5,1.869565217391304,2025-10-24T14:04:34.797490,,,,1,,,,,,12.0,0.0,-2.9770491845650584,21.66304347826087,8.726652046216433,0.1993168128599408,2.9770491845650584
2025-10-23_jimmy_butler_29.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Jimmy Butler,PRA,UNDER,29.5,1.869565217391304,2025-10-24T14:04:34.798388,,,,-1,,,,,,32.0,0.0,-2.7719283337215805,25.96825396825397,11.414216814658658,0.1619303084814752,2.7719283337215805
2025-10-23_brandin_podziemski_22.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Brandin Podziemski,PRA,UNDER,22.5,1.9523809523809523,2025-10-24T14:04:34.799239,,,,-1,,,,,,15.0,1.0,1.838647244113583,20.57943925233645,10.092382727644294,0.1235214556512076,1.9305796063192624
2025-10-23_stephen_curry_31.5_UNDER,2025-10-23,Denver Nuggets @ Golden State Warriors,Stephen Curry,PRA,UNDER,31.5,1.92,2025-10-24T14:04:34.800142,,,,-1,,,,,,55.0,0.0,-20.0,29.0,13.76695443240586,0.0487572807641541,20.0
2025-10-23_buddy_hield_15.5_OVER,2025-10-23,Denver Nuggets @ Golden State Warriors,Buddy Hield,PRA,OVER,15.5,1.869565217391304,2025-10-24T14:04:34.800989,,,,1,,,,,,15.0,0.0,-0.6101816457954813,16.807550644567222,9.639341592581754,0.0356455471562422,0.6101816457954813
2025-10-24_cooper_flagg_27.5_UNDER,2025-10-24,Washington Wizards @ Dallas Mavericks,Cooper Flagg,PRA,UNDER,27.5,1.8333333333333337,2025-10-24T22:11:25.937005,,,,-1,,,,,,,,,16.807550644567222,7.97,0.6685809210423712,6.216812658049661
2025-10-24_austin_reaves_31.5_UNDER,2025-10-24,Minnesota Timberwolves @ Los Angeles Lakers,Austin Reaves,PRA,UNDER,31.5,1.8771929824561404,2025-10-24T22:11:25.938805,,,,-1,,,,,,43.0,0.0,-9.04855531553019,22.804054054054053,7.97,0.6188578463850213,9.04855531553019
2025-10-24_derrick_white_29.5_UNDER,2025-10-24,Boston Celtics @ New York Knicks,Derrick White,PRA,UNDER,29.5,1.8771929824561404,2025-10-24T22:11:25.939593,,,,-1,,,,,,23.0,1.0,4.692906308634902,22.804054054054053,6.879567196286763,0.5670810223185504,5.349913191843788
2025-10-24_giannis_antetokounmpo_50.5_UNDER,2025-10-24,Milwaukee Bucks @ Toronto Raptors,Giannis Antetokounmpo,PRA,UNDER,50.5,1.900900900900901,2025-10-24T22:11:25.941335,,,,-1,,,,,,58.0,0.0,-6.600458506893646,41.78181818181818,11.462513065624494,0.4761381908801434,6.600458506893646
2025-10-24_evan_mobley_34.5_UNDER,2025-10-24,Cleveland Cavaliers @ Brooklyn Nets,Evan Mobley,PRA,UNDER,34.5,1.8333333333333337,2025-10-24T22:11:25.942088,,,,-1,,,,,,26.0,1.0,4.166666666666669,26.761755485893417,9.517976882170744,0.4518072534638915,5.0
2025-10-24_jalen_johnson_31.5_UNDER,2025-10-24,Atlanta Hawks @ Orlando Magic,Jalen Johnson,PRA,UNDER,31.5,1.900900900900901,2025-10-24T22:11:25.943003,,,,-1,,,,,,21.0,1.0,6.172477519168101,22.418803418803417,13.09925154572186,0.436942365011787,6.851450046276591
2025-10-24_donovan_mitchell_38.5_UNDER,2025-10-24,Cleveland Cavaliers @ Brooklyn Nets,Donovan Mitchell,PRA,UNDER,38.5,1.847457627118644,2025-10-24T22:11:25.944713,,,,-1,,,,,,42.0,0.0,-5.0,29.0,12.590531227928423,0.431292052785805,5.0
2025-10-24_terance_mann_10.5_OVER,2025-10-24,Cleveland Cavaliers @ Brooklyn Nets,Terance Mann,PRA,OVER,10.5,1.819672131147541,2025-10-24T22:11:25.945580,,,,1,,,,,,7.0,0.0,-5.0,16.807550644567222,8.225216517275266,0.416462292908187,5.0
2025-10-24_jarrett_allen_26.5_UNDER,2025-10-24,Cleveland Cavaliers @ Brooklyn Nets,Jarrett Allen,PRA,UNDER,26.5,1.8064516129032255,2025-10-24T22:11:25.947352,,,,-1,,,,,,33.0,0.0,-5.0,16.807550644567222,13.200331946598208,0.3884463786590457,5.0
2025-10-24_luka_doncic_47.5_UNDER,2025-10-24,Minnesota Timberwolves @ Los Angeles Lakers,Luka Doncic,PRA,UNDER,47.5,1.900900900900901,2025-10-24T22:11:25.948271,,,,-1,,,,,,68.0,0.0,-9.04855531553019,39.18357487922705,13.803884266836617,0.3811362591441395,9.04855531553019
2025-10-24_devin_booker_39.5_UNDER,2025-10-24,Phoenix Suns @ Los Angeles Clippers,Devin Booker,PRA,UNDER,39.5,1.8333333333333337,2025-10-24T22:11:25.950024,,,,-1,,,,,,28.0,1.0,11.002288724401444,29.0,15.87807992056196,0.3672752701719006,13.202746469281726
2025-10-24_anthony_davis_40.5_UNDER,2025-10-24,Washington Wizards @ Dallas Mavericks,Anthony Davis,PRA,UNDER,40.5,1.925925925925926,2025-10-24T22:11:25.950813,,,,-1,,,,,,44.0,0.0,-6.216812658049661,31.944099378881997,15.577494754881334,0.3646768433894469,6.216812658049661
2025-10-24_jonathan_kuminga_24.5_UNDER,2025-10-24,Golden State Warriors @ Portland Trail Blazers,Jonathan Kuminga,PRA,UNDER,24.5,1.9345794392523368,2025-10-24T22:11:25.952650,,,,-1,,,,,,27.0,0.0,-5.106062554150872,19.904761904761905,8.672796651302658,0.357862552738411,5.106062554150872
2025-10-24_svi_mykhailiuk_12.5_OVER,2025-10-24,Utah Jazz @ Sacramento Kings,Svi Mykhailiuk,PRA,OVER,12.5,1.9803921568627452,2025-10-24T22:11:25.953618,,,,1,,,,,,13.0,1.0,4.394859692504638,16.807550644567222,8.985480515918127,0.3549237969474841,4.48275688635473
