Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Pau Gasol,36.3,SAS,Big,364,46,-0.1,57,-0.3,51,+0.3%,61,-6.9,65,-1.0,15,+13.0%,74,-33.7,56,-0.1,55,-0.6%,57,-5.9
Paul George,26.5,IND,Forward,171,41,+1.2,2,+7.6,14,+3.1%,1,+118.8,1,+3.5,72,-7.7%,1,+125.0,11,+3.9,36,+2.0%,1,+113.6
Taj Gibson,31.4,OKC,Big,118,96,-21.8,41,+0.4,96,-4.6%,39,+7.6,44,+0.3,37,+3.4%,52,-6.7,60,-0.3,93,-7.9%,56,-5.0
Manu Ginobili,39.3,SAS,Wing,282,56,-2.1,64,-1.5,74,-2.1%,77,-20.0,88,-2.1,29,+5.4%,89,-61.2,32,+1.0,87,-6.4%,46,+3.2
Rudy Gobert,24.4,UTA,Big,231,65,-4.0,85,-3.5,1,+8.0%,81,-22.4,37,+0.5,23,+7.8%,27,+21.1,96,-3.9,1,+15.8%,89,-42.1
Eric Gordon,27.9,HOU,Wing,355,23,+7.8,16,+2.8,93,-4.0%,19,+20.2,85,-2.0,84,-13.5%,71,-28.7,5,+5.0,69,-2.3%,8,+56.0
Marcin Gortat,32.7,WAS,Big,369,89,-14.0,91,-4.7,89,-3.6%,89,-29.1,91,-2.6,28,+5.8%,90,-66.7,67,-1.0,88,-6.6%,58,-6.7
Jerami Grant,22.6,OKC,Forward,106,0,+35.2,97,-6.0,97,-4.8%,99,-63.5,95,-3.2,98,-34.6%,99,-158.3,89,-3.2,84,-6.1%,90,-45.3
Danny Green,29.4,SAS,Wing,434,42,+1.0,38,+0.7,12,+3.4%,54,-0.2,16,+1.6,55,-1.7%,11,+46.3,73,-1.3,13,+7.4%,79,-26.7
Draymond Green,26.7,GSW,Big,590,93,-20.1,59,-0.7,94,-4.4%,47,+3.9,30,+0.6,83,-12.6%,16,+40.5,80,-1.7,86,-6.1%,70,-15.3
Gerald Green,30.8,BOS,Wing,147,67,-4.3,11,+4.2,24,+2.1%,12,+30.4,33,+0.6,14,+14.2%,31,+16.1,14,+3.4,25,+4.5%,16,+37.3
JaMychal Green,26.4,MEM,Big,117,19,+8.7,23,+2.4,62,-0.5%,41,+5.5,11,+2.2,97,-29.5%,2,+103.6,47,+0.2,14,+7.3%,85,-34.6
Tim Hardaway Jr.,24.6,ATL,Wing,198,80,-9.0,92,-4.7,6,+4.2%,82,-22.6,69,-1.1,34,+4.1%,59,-13.5,92,-3.4,28,+3.7%,80,-27.6
James Harden,27.2,HOU,Combo,405,69,-5.4,93,-5.1,22,+2.4%,94,-46.1,24,+1.0,42,+2.0%,39,+7.1,99,-5.9,71,-2.7%,99,-71.4
Andrew Harrison,22.0,MEM,Combo,106,1,+31.9,14,+3.9,9,+3.8%,16,+25.7,11,+2.2,33,+4.2%,26,+22.2,24,+1.7,24,+4.9%,24,+26.5
Gordon Hayward,26.6,UTA,Wing,367,21,+8.1,11,+4.2,7,+4.0%,10,+32.6,2,+3.3,37,+3.4%,3,+86.9,38,+0.7,54,-0.3%,34,+14.0
Nene Hilario,34.1,HOU,Big,160,80,-9.9,72,-2.0,24,+2.0%,87,-25.2,79,-1.7,94,-23.9%,67,-21.0,54,+0.0,24,+4.9%,71,-16.3
George Hill,30.5,UTA,Point,246,60,-3.2,37,+0.8,65,-0.9%,32,+10.6,29,+0.8,72,-8.0%,22,+28.6,50,+0.1,20,+5.5%,43,+6.0
Rodney Hood,24.0,UTA,Wing,254,16,+8.8,72,-2.0,68,-1.3%,76,-19.0,68,-1.1,59,-2.9%,78,-39.6,72,-1.3,65,-1.7%,72,-16.6
Al Horford,30.4,BOS,Big,573,8,+12.2,15,+3.3,36,+1.3%,30,+11.1,5,+3.1,40,+2.4%,11,+49.1,45,+0.4,53,-0.0%,63,-9.8
