Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Shareef Abdur-Rahim,28.9,SAC,Big,1946,30,+1.7,39,+0.2,60,-0.3%,37,+2.5,17,+0.7,46,+0.6%,23,+11.4,68,-0.5,41,+0.7%,60,-3.5
Malik Allen,27.3,CHI,Big,655,87,-4.7,18,+1.2,1,+3.4%,20,+7.4,72,-0.4,6,+8.1%,91,-21.0,7,+1.7,6,+5.2%,5,+21.8
Ray Allen,30.3,SEA,Wing,3009,56,-0.6,60,-0.3,62,-0.4%,51,-0.4,33,+0.3,90,-7.1%,18,+14.5,67,-0.5,12,+3.7%,70,-6.1
Tony Allen,23.8,BOS,Combo,911,76,-3.0,31,+0.4,20,+1.1%,45,+0.8,16,+0.7,30,+2.8%,36,+5.1,60,-0.3,20,+2.4%,69,-5.6
Rafer Alston,29.3,HOU,Point,2420,41,+0.8,82,-1.1,92,-1.8%,65,-3.2,65,-0.3,95,-9.8%,34,+5.8,79,-0.8,81,-2.8%,73,-6.9
Chris Andersen,27.3,NOH,Big,528,71,-2.1,76,-0.8,78,-1.0%,57,-1.8,87,-0.8,65,-2.5%,66,-6.8,41,+0.2,66,-1.2%,30,+6.0
Alan Anderson,23.0,CHA,Wing,515,84,-4.3,50,-0.0,84,-1.3%,26,+5.2,98,-1.6,71,-3.3%,98,-40.1,8,+1.6,90,-3.9%,2,+27.0
Derek Anderson,31.3,HOU,Wing,579,34,+1.3,70,-0.6,84,-1.3%,66,-3.7,62,-0.2,84,-5.7%,61,-4.8,68,-0.5,69,-1.4%,67,-5.1
Derek Anderson,31.3,MIA,Wing,426,21,+3.4,42,+0.2,26,+0.9%,59,-2.3,84,-0.7,82,-5.1%,91,-20.8,23,+0.7,55,-0.4%,29,+6.4
Shandon Anderson,31.8,MIA,Wing,575,40,+0.9,69,-0.6,91,-1.8%,58,-2.0,76,-0.5,64,-2.3%,62,-5.0,55,-0.2,94,-4.9%,54,-1.7
Carmelo Anthony,21.4,DEN,Forward,2930,26,+2.2,69,-0.6,64,-0.4%,64,-3.2,82,-0.7,87,-6.7%,73,-9.7,43,+0.1,24,+2.0%,47,+0.2
Rafael Araujo,25.2,TOR,Big,587,85,-4.4,43,+0.1,31,+0.7%,23,+6.2,10,+1.0,59,-1.6%,5,+28.7,85,-1.0,60,-0.9%,66,-5.0
Gilbert Arenas,23.8,WAS,Combo,3379,7,+6.5,69,-0.6,79,-1.1%,71,-4.6,72,-0.4,68,-2.9%,75,-10.4,57,-0.2,38,+0.9%,50,-0.7
Trevor Ariza,20.3,NYK,Wing,700,92,-6.3,94,-2.0,86,-1.5%,94,-15.3,48,+0.0,23,+3.8%,77,-11.9,95,-1.7,90,-3.9%,92,-15.9
Trevor Ariza,20.3,ORL,Forward,280,89,-5.3,10,+1.7,39,+0.4%,17,+8.5,36,+0.2,52,-0.4%,58,-3.5,14,+1.1,21,+2.4%,15,+12.8
Darrell Armstrong,37.4,DAL,Point,545,26,+2.3,9,+1.7,52,+0.0%,4,+18.2,24,+0.5,14,+5.1%,33,+6.3,11,+1.4,89,-3.7%,2,+27.9
