Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Alex Abrines,23.3,OKC,Wing,976,64,+0.5%,21,-2.9%,43,-0.9%,53,+0.1%,49,-0.4%,70,+3.0%,87,+3.6%,86,+3.3%
Quincy Acy,26.1,BKN,Big,492,41,-0.9%,11,-5.0%,2,-12.6%,98,+7.2%,8,-4.7%,98,+13.3%,54,+0.2%,82,+2.8%
Steven Adams,23.3,OKC,Big,2381,50,-0.4%,79,+2.7%,36,-1.6%,41,-0.8%,39,-1.2%,23,-4.8%,45,-0.6%,34,-1.6%
Arron Afflalo,31.0,SAC,Wing,1576,47,-0.5%,17,-3.7%,67,+1.6%,69,+1.7%,75,+1.6%,78,+4.3%,51,-0.1%,63,+1.1%
Alexis Ajinca,28.5,NOP,Big,566,24,-2.1%,49,-0.2%,71,+2.0%,92,+4.8%,88,+3.1%,62,+1.6%,2,-7.6%,6,-5.2%
Cole Aldrich,28.0,MIN,Big,497,68,+0.9%,27,-2.3%,86,+3.9%,64,+1.1%,85,+2.6%,56,+0.7%,80,+2.6%,75,+1.9%
LaMarcus Aldridge,31.3,SAS,Big,2325,18,-2.7%,53,+0.3%,74,+2.4%,83,+3.6%,88,+3.1%,50,-0.2%,6,-5.6%,14,-3.9%
Lavoy Allen,27.7,IND,Big,829,11,-3.8%,36,-1.3%,38,-1.3%,13,-5.2%,14,-3.5%,13,-7.2%,49,-0.2%,28,-2.2%
Tony Allen,34.8,MEM,Wing,1906,71,+1.0%,41,-0.8%,57,+0.5%,88,+4.4%,83,+2.4%,58,+1.1%,58,+0.5%,59,+0.7%
Al-Farouq Aminu,26.1,POR,Big,1756,56,+0.1%,23,-2.7%,79,+3.1%,33,-1.9%,56,+0.3%,61,+1.5%,59,+0.7%,61,+0.8%
Alan Anderson,34.0,LAC,Wing,258,29,-1.6%,38,-1.0%,95,+6.7%,56,+0.4%,86,+2.7%,2,-15.2%,40,-1.1%,10,-4.4%
Justin Anderson,23.0,DAL,Wing,627,2,-6.6%,49,-0.1%,6,-8.0%,21,-3.7%,6,-5.5%,18,-5.9%,0,-11.3%,0,-10.2%
Justin Anderson,23.0,PHI,Wing,462,43,-0.8%,82,+3.0%,59,+0.8%,95,+5.5%,83,+2.4%,49,-0.4%,7,-5.3%,11,-4.3%
Kyle Anderson,23.1,SAS,Wing,912,49,-0.4%,52,+0.2%,27,-2.6%,23,-3.2%,18,-3.0%,37,-2.2%,77,+2.4%,65,+1.1%
Ryan Anderson,28.5,HOU,Big,2112,81,+1.9%,78,+2.5%,64,+1.1%,49,-0.2%,60,+0.7%,65,+2.3%,66,+1.3%,71,+1.5%
Giannis Antetokounmpo,21.9,MIL,Forward,2820,34,-1.3%,62,+0.9%,34,-1.9%,4,-9.1%,7,-4.9%,67,+2.6%,23,-2.8%,41,-1.1%
Carmelo Anthony,32.4,NYK,Forward,2532,60,+0.4%,10,-5.2%,39,-1.2%,72,+2.0%,60,+0.6%,75,+3.8%,99,+6.9%,98,+6.1%
Trevor Ariza,31.3,HOU,Forward,2759,69,+0.9%,78,+2.6%,74,+2.3%,95,+5.6%,90,+3.5%,44,-1.3%,32,-1.8%,35,-1.6%
Darrell Arthur,28.6,DEN,Big,620,54,-0.0%,34,-1.4%,20,-3.5%,43,-0.6%,25,-2.2%,51,0.0%,82,+2.9%,79,+2.3%
Omer Asik,30.3,NOP,Big,481,19,-2.6%,2,-9.9%,93,+6.0%,14,-4.9%,57,+0.4%,77,+4.1%,80,+2.7%,85,+3.1%
D.J. Augustin,29.0,ORL,Combo,1456,5,-4.9%,15,-4.3%,18,-3.9%,14,-5.1%,9,-4.6%,9,-9.1%,26,-2.4%,15,-3.7%
Luke Babbitt,27.4,MIA,Forward,1044,57,+0.2%,30,-1.9%,60,+0.8%,43,-0.7%,54,+0.2%,50,-0.2%,72,+1.8%,66,+1.2%
