Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Ray Allen,32.3,BOS,Wing,984,73,-3.4%,14,+4.4%,78,-2.8%,60,-1.3%,74,-4.1%,40,+0.8%,61,-1.1%,56,-0.3%
Rafer Alston,31.3,HOU,Point,125,46,+0.9%,70,-1.8%,20,+3.0%,34,+1.5%,21,+4.5%,10,+2.7%,93,-5.4%,72,-2.7%
Carmelo Anthony,23.4,DEN,Forward,146,83,-4.8%,8,+7.0%,94,-6.4%,9,+8.9%,29,+2.5%,80,-1.7%,97,-7.7%,98,-9.4%
Leandro Barbosa,24.9,PHX,Combo,137,12,+4.9%,1,+11.0%,84,-3.5%,94,-9.0%,99,-12.5%,55,+0.2%,40,+1.3%,38,+1.5%
Andrea Bargnani,22.0,TOR,Big,103,4,+8.5%,3,+9.2%,61,-0.9%,97,-9.8%,98,-10.7%,56,+0.2%,37,+1.4%,36,+1.6%
Brent Barry,35.8,SAS,Wing,190,43,+1.3%,57,-0.5%,86,-3.8%,43,+0.4%,70,-3.4%,43,+0.6%,21,+3.2%,19,+3.9%
Brandon Bass,22.5,DAL,Big,131,39,+1.6%,68,-1.7%,57,-0.5%,44,+0.2%,43,-0.3%,16,+2.1%,51,-0.0%,32,+2.0%
Shane Battier,29.1,HOU,Forward,245,85,-6.1%,6,+7.9%,98,-11.5%,1,+12.9%,36,+1.4%,96,-4.2%,91,-5.1%,97,-9.3%
Raja Bell,31.1,PHX,Wing,212,6,+7.9%,7,+7.5%,39,+1.3%,61,-1.4%,42,-0.1%,84,-2.1%,92,-5.3%,95,-7.4%
Mike Bibby,29.5,ATL,Point,250,34,+2.3%,78,-2.9%,77,-2.7%,40,+0.6%,64,-2.1%,25,+1.6%,18,+3.4%,14,+5.0%
