Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Xavier Tillman,24.8,BOS,Big,255,4,+4.0%,19,+3.3%,14,+4.2%,19,+4.7%,9,+4.3%,1,+14.8%,69,-1.3%,12,+3.3%
Vit Krejci,23.4,ATL,Forward,514,19,+1.8%,17,+3.5%,3,+7.9%,94,-9.9%,16,+3.3%,70,-2.6%,32,+1.3%,46,+0.1%
Saben Lee,24.4,PHX,Point,146,90,-2.9%,94,-5.8%,88,-4.5%,30,+2.6%,75,-2.3%,1,+16.5%,99,-8.2%,83,-2.3%
Tre Jones,23.8,SAS,Point,2121,90,-2.9%,62,-0.9%,88,-4.5%,73,-3.6%,88,-4.1%,47,+0.2%,85,-3.1%,82,-2.3%
Nick Richards,25.9,CHA,Big,1730,31,+1.0%,40,+1.0%,50,-0.2%,52,-0.5%,53,-0.3%,68,-2.5%,31,+1.3%,44,+0.3%
Jahmi'us Ramsey,22.4,TOR,Forward,105,97,-4.8%,73,-2.1%,47,+0.2%,99,-20.7%,94,-5.9%,50,-0.3%,96,-5.0%,90,-3.4%
Jordan Nwora,25.1,IND,Forward,105,2,+4.7%,10,+5.1%,93,-6.1%,89,-8.0%,95,-6.4%,23,+3.5%,0,+12.4%,0,+10.6%
Jordan Nwora,25.1,TOR,Forward,444,49,+0.0%,80,-2.9%,100,-15.3%,5,+9.9%,97,-8.2%,47,+0.2%,6,+4.9%,9,+3.6%
Isaiah Joe,24.3,OKC,Wing,1431,38,+0.7%,20,+3.2%,58,-1.0%,76,-4.0%,72,-1.9%,48,+0.0%,38,+0.7%,41,+0.5%
Skylar Mays,26.2,POR,Combo,331,3,+4.6%,27,+2.4%,17,+3.6%,9,+6.9%,7,+5.0%,77,-3.8%,3,+7.1%,6,+4.3%
Kenyon Martin Jr.,22.8,PHI,Forward,610,53,-0.2%,52,-0.0%,23,+2.8%,87,-6.9%,44,+0.2%,51,-0.5%,85,-3.1%,81,-2.2%
Paul Reed,24.4,PHI,Big,1505,10,+2.7%,27,+2.5%,41,+0.8%,19,+4.6%,27,+1.9%,28,+2.9%,36,+0.8%,29,+1.3%
Sam Merrill,27.5,CLE,Wing,961,50,+0.0%,38,+1.2%,49,+0.1%,93,-9.2%,76,-2.4%,93,-8.6%,11,+3.5%,48,+0.0%
Jae'Sean Tate,28.0,HOU,Forward,994,83,-2.0%,46,+0.5%,56,-0.9%,23,+3.9%,42,+0.3%,93,-8.4%,68,-1.2%,87,-3.0%
Lamar Stevens,26.3,MEM,Wing,398,99,-7.0%,99,-9.1%,83,-3.7%,99,-23.4%,99,-10.0%,93,-8.8%,48,+0.1%,80,-2.1%
Ashton Hagans,24.3,POR,Combo,302,97,-5.1%,91,-5.0%,99,-13.1%,89,-7.7%,99,-11.4%,79,-4.1%,26,+1.8%,44,+0.3%
Trent Forrest,25.4,ATL,Combo,352,18,+1.9%,16,+3.6%,9,+5.0%,2,+13.4%,2,+7.1%,7,+7.4%,95,-4.8%,66,-1.1%
Anthony Gill,31.0,WAS,Forward,358,64,-0.7%,60,-0.7%,70,-2.2%,12,+6.0%,36,+1.1%,63,-1.7%,69,-1.3%,67,-1.3%
Trevelin Queen,26.7,ORL,Wing,138,81,-1.9%,84,-3.3%,53,-0.6%,57,-1.1%,60,-0.8%,98,-12.0%,69,-1.3%,95,-4.6%
Omer Yurtseven,25.4,UTA,Big,470,8,+3.0%,48,+0.3%,9,+5.2%,34,+2.0%,8,+4.4%,77,-3.9%,7,+4.2%,18,+2.3%
Naji Marshall,25.8,NOP,Wing,1156,89,-2.7%,54,-0.2%,93,-5.8%,78,-4.6%,93,-5.4%,72,-3.3%,67,-1.1%,74,-1.6%
Cade Cunningham,22.1,DET,Wing,2072,72,-1.1%,78,-2.6%,62,-1.4%,12,+6.1%,40,+0.6%,77,-3.8%,47,+0.2%,61,-0.9%
Jalen Green,21.7,HOU,Combo,2601,7,+3.1%,62,-0.9%,21,+3.0%,32,+2.3%,19,+2.8%,28,+2.9%,10,+3.6%,11,+3.3%
Evan Mobley,22.4,CLE,Big,1525,69,-0.9%,77,-2.5%,84,-3.8%,91,-8.6%,93,-5.3%,11,+6.4%,23,+2.1%,12,+3.2%
Scottie Barnes,22.3,TOR,Forward,2094,74,-1.4%,77,-2.5%,64,-1.5%,48,+0.0%,63,-1.0%,58,-1.4%,39,+0.6%,49,-0.0%
Jalen Suggs,22.4,ORL,Combo,2023,24,+1.4%,67,-1.3%,50,-0.2%,26,+3.1%,38,+0.9%,7,+7.4%,28,+1.6%,14,+3.1%
Josh Giddey,21.1,OKC,Forward,1995,24,+1.5%,57,-0.4%,19,+3.2%,18,+4.8%,12,+3.7%,62,-1.6%,25,+1.9%,38,+0.7%
Jonathan Kuminga,21.1,GSW,Forward,1932,86,-2.3%,58,-0.4%,52,-0.5%,43,+0.9%,52,-0.3%,66,-2.2%,89,-3.5%,89,-3.1%
Franz Wagner,22.2,ORL,Wing,2334,71,-1.1%,82,-3.2%,61,-1.2%,50,-0.3%,61,-0.9%,77,-3.9%,20,+2.4%,36,+0.7%
Davion Mitchell,25.2,SAC,Combo,1039,52,-0.1%,59,-0.6%,37,+1.3%,60,-1.5%,40,+0.5%,29,+2.5%,57,-0.5%,41,+0.4%
Ziaire Williams,22.1,MEM,Wing,994,47,+0.1%,55,-0.3%,82,-3.4%,64,-2.3%,83,-3.1%,45,+0.6%,29,+1.5%,30,+1.3%
Chris Duarte,26.4,SAC,Wing,661,50,-0.0%,68,-1.4%,67,-1.7%,50,-0.1%,64,-1.2%,20,+3.9%,65,-1.0%,41,+0.5%
Moses Moody,21.4,GSW,Wing,1105,72,-1.1%,79,-2.7%,77,-2.8%,65,-2.6%,79,-2.8%,35,+1.6%,41,+0.5%,36,+0.8%
Corey Kispert,24.7,WAS,Wing,2041,55,-0.3%,45,+0.6%,74,-2.5%,26,+3.3%,60,-0.8%,85,-5.7%,34,+1.0%,57,-0.7%
Alperen Sengun,21.3,HOU,Big,2045,16,+2.0%,68,-1.4%,23,+2.8%,46,+0.4%,25,+2.1%,9,+6.9%,24,+2.1%,13,+3.2%
Tre Mann,22.7,CHA,Combo,861,17,+1.9%,62,-0.9%,34,+1.7%,13,+5.8%,18,+3.0%,78,-4.0%,12,+3.4%,31,+1.2%
Jalen Johnson,21.9,ATL,Big,1888,87,-2.4%,84,-3.3%,92,-5.6%,52,-0.5%,88,-4.2%,78,-3.9%,41,+0.5%,61,-0.9%
Isaiah Jackson,21.8,IND,Big,691,58,-0.4%,60,-0.7%,25,+2.5%,77,-4.3%,37,+0.9%,71,-3.0%,53,-0.2%,62,-0.9%
Quentin Grimes,23.5,NYK,Wing,874,85,-2.2%,29,+2.2%,87,-4.5%,75,-3.8%,89,-4.3%,71,-2.8%,89,-3.5%,91,-3.5%
Quentin Grimes,23.5,DET,Wing,115,98,-5.2%,90,-4.6%,89,-4.9%,80,-5.0%,92,-4.9%,96,-10.9%,60,-0.8%,92,-3.7%
Nah'Shon Hyland,23.1,LAC,Combo,444,89,-2.6%,75,-2.3%,72,-2.3%,6,+8.5%,34,+1.3%,92,-8.2%,86,-3.2%,95,-4.6%
Jaden Springer,21.1,PHI,Wing,277,1,+5.7%,13,+4.1%,1,+10.6%,3,+12.2%,1,+10.9%,5,+8.9%,37,+0.7%,15,+2.8%
Jaden Springer,21.1,BOS,Big,105,13,+2.3%,3,+7.5%,99,-10.4%,100,-30.4%,100,-15.4%,0,+17.3%,5,+5.5%,1,+7.6%
Day'Ron Sharpe,22.0,BKN,Big,854,92,-3.1%,32,+1.8%,73,-2.5%,35,+1.9%,63,-1.0%,94,-9.0%,85,-3.1%,95,-4.4%
Santi Aldama,22.8,MEM,Big,1614,39,+0.5%,76,-2.5%,36,+1.4%,29,+2.8%,29,+1.8%,16,+4.8%,39,+0.6%,26,+1.6%
Jeremiah Robinson-Earl,23.0,NOP,Big,229,91,-3.0%,29,+2.2%,9,+5.1%,92,-9.0%,28,+1.9%,92,-8.1%,82,-2.5%,93,-3.9%
Herbert Jones,25.1,NOP,Forward,2310,48,+0.1%,53,-0.1%,14,+4.2%,64,-2.3%,23,+2.3%,35,+1.8%,58,-0.6%,49,-0.0%
Miles McBride,23.1,NYK,Combo,1244,46,+0.2%,80,-2.9%,19,+3.2%,7,+8.1%,7,+4.9%,35,+1.6%,69,-1.3%,53,-0.3%
JT Thor,21.2,CHA,Big,678,97,-4.6%,97,-7.2%,77,-2.9%,53,-0.7%,73,-2.1%,58,-1.3%,86,-3.2%,86,-2.7%
Ayo Dosunmu,23.8,CHI,Combo,2188,76,-1.6%,81,-3.0%,48,+0.1%,22,+4.1%,32,+1.4%,43,+0.7%,76,-1.9%,68,-1.3%
Neemias Queta,24.3,BOS,Big,269,29,+1.1%,59,-0.5%,88,-4.6%,5,+9.7%,50,-0.2%,18,+4.3%,24,+2.1%,17,+2.5%
Jared Butler,23.2,WAS,Combo,471,76,-1.5%,75,-2.3%,84,-3.8%,51,-0.4%,76,-2.4%,86,-6.0%,11,+3.4%,35,+0.8%
Isaiah Livers,25.3,DET,Forward,435,2,+5.0%,7,+5.7%,32,+1.8%,16,+5.4%,22,+2.4%,7,+7.7%,8,+4.1%,4,+4.7%
Kessler Edwards,23.2,SAC,Forward,170,30,+1.0%,12,+4.2%,84,-3.8%,4,+10.6%,48,-0.0%,24,+3.5%,67,-1.2%,49,-0.0%
Dalano Banton,24.0,POR,Wing,859,62,-0.6%,65,-1.2%,12,+4.6%,31,+2.5%,11,+3.9%,14,+5.5%,90,-3.6%,75,-1.6%
Brandon Boston Jr.,21.9,LAC,Wing,253,20,+1.7%,13,+4.1%,4,+6.7%,4,+11.1%,2,+7.8%,80,-4.4%,88,-3.4%,92,-3.7%
Charles Bassey,23.0,SAS,Big,182,5,+3.5%,22,+3.0%,85,-4.1%,58,-1.2%,83,-3.1%,0,+29.3%,81,-2.4%,3,+5.1%
Sandro Mamukelashvili,24.4,SAS,Big,365,98,-5.9%,99,-9.6%,83,-3.6%,92,-8.9%,93,-5.5%,38,+1.2%,82,-2.7%,76,-1.7%
Aaron Wiggins,24.8,OKC,Forward,1137,64,-0.7%,79,-2.7%,27,+2.4%,59,-1.4%,34,+1.3%,70,-2.8%,40,+0.5%,56,-0.6%
Jericho Sims,25.0,NYK,Big,513,72,-1.2%,44,+0.7%,54,-0.7%,59,-1.4%,62,-0.9%,99,-14.7%,17,+2.8%,82,-2.3%
Jock Landale,28.0,HOU,Big,688,96,-4.1%,80,-2.9%,93,-5.9%,83,-5.6%,94,-5.7%,44,+0.7%,89,-3.5%,81,-2.2%
Austin Reaves,25.4,LAL,Combo,2607,13,+2.3%,20,+3.2%,61,-1.2%,32,+2.4%,50,-0.1%,25,+3.3%,21,+2.3%,16,+2.6%
Cameron Thomas,22.1,BKN,Combo,2052,10,+2.6%,16,+3.6%,55,-0.8%,70,-3.1%,70,-1.6%,11,+6.5%,35,+0.9%,18,+2.4%
Justin Champagnie,22.3,WAS,Big,211,71,-1.0%,99,-11.4%,55,-0.8%,4,+11.5%,13,+3.7%,58,-1.3%,25,+1.9%,33,+1.0%
A.J. Lawson,23.3,DAL,Wing,203,86,-2.3%,98,-8.2%,29,+2.2%,3,+13.2%,4,+6.0%,80,-4.4%,54,-0.3%,75,-1.6%
Sam Hauser,25.9,BOS,Forward,1653,87,-2.5%,82,-3.1%,34,+1.6%,33,+2.1%,29,+1.8%,81,-4.5%,84,-2.9%,89,-3.2%
Jeff Dowtin,26.5,PHI,Wing,120,87,-2.5%,99,-9.0%,15,+4.0%,79,-4.7%,48,-0.0%,44,+0.7%,48,+0.2%,49,-0.0%
Trey Murphy III,23.4,NOP,Wing,1651,70,-1.0%,40,+1.1%,89,-4.9%,89,-7.5%,94,-5.6%,64,-1.9%,50,+0.0%,56,-0.6%
Jose Alvarado,25.6,NOP,Point,920,95,-3.9%,74,-2.1%,98,-8.6%,94,-10.7%,98,-9.0%,82,-4.6%,58,-0.6%,74,-1.6%
Trendon Watford,23.0,BKN,Big,728,32,+0.9%,12,+4.3%,73,-2.4%,83,-5.7%,85,-3.4%,30,+2.5%,42,+0.4%,33,+1.1%
DeJon Jarreau,25.8,MEM,Forward,126,90,-2.9%,97,-6.9%,95,-7.0%,99,-22.9%,99,-11.2%,42,+1.0%,6,+4.8%,7,+4.0%
Terry Taylor,24.1,CHI,Big,137,57,-0.4%,24,+2.8%,100,-14.5%,97,-14.8%,100,-14.7%,10,+6.5%,14,+3.2%,9,+3.7%
Jordan Goodwin,25.0,PHX,Point,505,88,-2.5%,83,-3.2%,30,+2.0%,87,-7.0%,59,-0.7%,65,-2.0%,87,-3.3%,87,-2.9%
Jordan Goodwin,25.0,MEM,Combo,482,73,-1.3%,18,+3.4%,81,-3.3%,17,+5.0%,59,-0.8%,73,-3.4%,92,-3.8%,92,-3.8%
Eugene Omoruyi,26.7,WAS,Big,287,3,+4.7%,29,+2.1%,3,+8.0%,1,+18.0%,0,+11.4%,74,-3.4%,15,+3.0%,29,+1.3%
Micah Potter,25.6,UTA,Big,182,85,-2.2%,39,+1.2%,97,-7.9%,66,-2.6%,96,-6.6%,2,+12.4%,85,-3.1%,45,+0.2%
Dru Smith,25.8,MIA,Combo,126,24,+1.4%,94,-5.8%,96,-7.4%,1,+18.2%,75,-2.2%,91,-7.5%,1,+8.2%,8,+4.0%
Matt Ryan,26.5,NOP,Wing,336,82,-1.9%,88,-4.1%,3,+7.2%,7,+8.2%,2,+7.4%,95,-9.9%,80,-2.3%,95,-4.3%
Matthew Hurt,23.5,MEM,Big,101,98,-6.0%,28,+2.3%,96,-7.1%,97,-13.5%,97,-8.1%,100,-32.3%,83,-2.7%,99,-8.7%
Lindy Waters,26.3,OKC,Forward,161,77,-1.6%,20,+3.2%,64,-1.5%,98,-15.9%,95,-6.0%,8,+7.3%,91,-3.8%,46,+0.2%
Zavier Simpson,26.7,MEM,Wing,149,88,-2.5%,3,+7.0%,2,+8.4%,2,+13.5%,0,+11.7%,99,-15.5%,100,-11.6%,100,-12.5%
Paolo Banchero,21.0,ORL,Big,2797,15,+2.1%,53,-0.1%,55,-0.8%,11,+6.5%,31,+1.7%,17,+4.7%,29,+1.5%,19,+2.3%
Chet Holmgren,21.5,OKC,Big,2411,73,-1.2%,91,-4.9%,64,-1.5%,57,-1.1%,66,-1.3%,24,+3.4%,41,+0.5%,27,+1.4%
Jabari Smith Jr.,20.5,HOU,Big,2407,14,+2.2%,57,-0.4%,17,+3.8%,19,+4.6%,10,+4.0%,32,+2.1%,20,+2.4%,19,+2.2%
Keegan Murray,23.2,SAC,Forward,2577,27,+1.2%,56,-0.3%,37,+1.3%,11,+6.4%,21,+2.6%,74,-3.5%,20,+2.4%,37,+0.7%
Jaden Ivey,21.7,DET,Combo,2190,53,-0.2%,47,+0.4%,78,-3.0%,74,-3.8%,83,-3.2%,24,+3.3%,49,+0.0%,35,+0.8%
