Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Ray Allen,32.3,BOS,Wing,984,74,52.6%,39,45.3%,75,41.4%,92,91.3%,45,72%,52,51%,23,69%,61,93%
Rafer Alston,31.3,HOU,Point,125,81,55.2%,56,43.5%,55,44.0%,0,80.0%,50,43%,94,0%,50,20%,75,73%
Carmelo Anthony,23.4,DEN,Forward,146,0,36.8%,7,36.7%,0,25.0%,50,82.8%,87,48%,73,33%,60,57%,7,100%
Leandro Barbosa,24.9,PHX,Combo,137,25,40.4%,50,42.9%,29,23.5%,0,100.0%,92,32%,92,14%,67,25%,92,75%
Andrea Bargnani,22.0,TOR,Big,103,7,38.5%,7,39.1%,33,25.0%,0,100.0%,18,77%,2,100%,43,67%,95,75%
Brent Barry,35.8,SAS,Wing,190,100,74.4%,94,62.5%,95,51.6%,0,83.3%,0,100%,0,100%,0,100%,6,100%
Brandon Bass,22.5,DAL,Big,131,52,48.6%,50,48.6%,0,0.0%,0,96.0%,95,47%,84,45%,70,50%,0,0%
Shane Battier,29.1,HOU,Forward,245,87,60.5%,27,42.1%,82,50.0%,0,77.8%,27,80%,27,60%,47,67%,67,92%
Raja Bell,31.1,PHX,Wing,212,97,74.3%,52,47.1%,100,65.0%,0,81.3%,10,81%,97,0%,52,57%,6,100%
Mike Bibby,29.5,ATL,Point,250,6,39.2%,13,36.6%,9,29.2%,0,65.6%,13,59%,6,67%,44,22%,0,100%
Chauncey Billups,31.1,DET,Point,479,31,47.4%,44,41.7%,36,37.5%,75,83.2%,63,33%,38,30%,69,12%,81,58%
Keith Bogans,27.5,ORL,Wing,291,35,47.8%,32,43.5%,45,33.3%,0,72.7%,48,72%,90,14%,29,67%,6,100%
Carlos Boozer,25.9,UTA,Big,440,14,41.5%,14,41.5%,0,0.0%,50,71.4%,84,58%,82,49%,36,71%,0,0%
Chris Bosh,23.6,TOR,Big,198,45,48.3%,57,50.0%,0,16.7%,90,83.3%,64,64%,41,69%,57,60%,100,0%
Bruce Bowen,36.4,SAS,Wing,505,68,51.6%,10,38.5%,65,40.7%,0,72.7%,3,95%,55,50%,0,100%,52,95%
Ronnie Brewer,22.6,UTA,Wing,304,71,52.6%,87,54.3%,0,16.7%,0,76.0%,52,69%,26,70%,42,65%,6,100%
P.J. Brown,38.0,BOS,Big,329,34,46.3%,39,47.2%,0,0.0%,0,84.0%,2,88%,36,70%,2,100%,0,0%
Kobe Bryant,29.2,LAL,Wing,859,65,51.4%,74,53.0%,20,30.5%,42,80.7%,94,35%,81,30%,81,29%,90,63%
Caron Butler,27.6,WAS,Wing,245,48,48.9%,77,53.0%,5,23.8%,58,87.1%,100,20%,87,22%,90,18%,100,20%
