Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Quincy Acy,25.1,SAC,Big,843,51,72.6%,46,11.7%,50,1.6%,71,26.9%
Steven Adams,22.3,OKC,Big,1999,18,58.9%,78,16.7%,76,2.2%,63,24.7%
Arron Afflalo,30.0,NYK,Wing,2354,70,83.6%,46,8.0%,41,1.0%,89,34.3%
Alexis Ajinca,27.5,NOP,Big,815,94,84.2%,25,8.7%,44,1.5%,48,21.4%
Cole Aldrich,27.0,LAC,Big,704,37,69.4%,72,15.4%,61,1.8%,15,11.4%
LaMarcus Aldridge,30.3,SAS,Big,2251,96,85.9%,55,12.4%,61,1.8%,38,18.8%
Lavoy Allen,26.7,IND,Big,1558,26,63.9%,21,8.2%,14,1.0%,51,21.9%
Tony Allen,33.8,MEM,Wing,1606,5,65.2%,89,12.4%,44,1.0%,52,21.9%
Al-Farouq Aminu,25.1,POR,Forward,2337,51,73.7%,53,9.8%,28,0.9%,67,23.7%
Lou Amundson,32.9,NYK,Big,171,0,56.0%,99,28.3%,45,1.6%,96,38.5%
Chris Andersen,37.3,MEM,Big,361,34,68.8%,61,13.9%,75,2.1%,0,0.0%
Alan Anderson,33.0,WAS,Wing,190,0,73.3%,84,11.7%,39,1.0%,95,42.9%
James Anderson,26.6,SAC,Wing,690,17,74.1%,35,7.3%,29,0.8%,54,23.1%
Justin Anderson,21.9,DAL,Wing,556,23,75.0%,76,10.7%,11,0.6%,15,12.5%
Kyle Anderson,22.1,SAS,Forward,1048,53,74.6%,68,11.6%,81,1.4%,65,23.3%
Ryan Anderson,27.5,NOP,Big,1965,97,87.0%,32,9.4%,54,1.7%,21,14.1%
Giannis Antetokounmpo,20.9,MIL,Forward,2813,47,72.1%,95,16.1%,93,2.1%,49,20.5%
Carmelo Anthony,31.4,NYK,Wing,2524,63,82.9%,79,11.1%,96,2.7%,27,16.4%
Trevor Ariza,30.3,HOU,Forward,2853,69,78.3%,32,7.4%,12,0.6%,26,14.7%
Darrell Arthur,27.6,DEN,Big,1496,63,75.5%,5,5.2%,1,0.6%,40,19.2%
Omer Asik,29.3,NOP,Big,1175,12,55.5%,92,22.1%,42,1.5%,8,9.3%
D.J. Augustin,28.0,DEN,Point,631,67,80.9%,93,14.1%,97,3.3%,54,23.5%
D.J. Augustin,28.0,OKC,Point,471,43,76.5%,67,10.8%,51,1.7%,16,15.4%
Luke Babbitt,26.4,NOP,Forward,798,78,80.4%,25,6.9%,54,1.1%,72,25.0%
Leandro Barbosa,32.9,GSW,Wing,955,64,83.0%,39,7.4%,46,1.0%,35,18.5%
J.J. Barea,31.3,DAL,Point,1601,63,80.0%,28,5.3%,34,1.4%,64,26.3%
Andrea Bargnani,30.0,BKN,Big,612,89,82.1%,26,8.8%,52,1.6%,97,40.0%
Harrison Barnes,23.4,GSW,Forward,2008,62,76.5%,47,9.4%,79,1.3%,74,25.8%
Matt Barnes,35.6,MEM,Forward,2145,80,80.6%,28,7.0%,35,1.0%,28,16.0%
Will Barton,24.8,DEN,Wing,2284,43,80.2%,71,10.4%,79,1.6%,65,25.5%
Brandon Bass,30.5,LAL,Big,1287,94,84.5%,89,20.7%,16,1.1%,56,23.0%
Nicolas Batum,26.9,CHA,Wing,2434,74,84.9%,27,6.8%,74,1.5%,60,24.2%
Jerryd Bayless,27.2,MIL,Combo,1481,30,78.4%,42,7.9%,27,1.1%,64,22.2%
Aron Baynes,28.9,DET,Big,1177,73,77.4%,66,14.5%,89,2.8%,35,18.0%
Kent Bazemore,26.3,ATL,Wing,2068,47,81.2%,60,9.2%,75,1.5%,59,23.9%
Bradley Beal,22.3,WAS,Wing,1695,32,76.6%,49,8.1%,70,1.4%,79,29.4%
Michael Beasley,26.8,HOU,Big,355,74,78.3%,32,9.5%,7,0.8%,39,19.0%
Marco Belinelli,29.6,SAC,Wing,1659,66,83.3%,42,7.8%,82,1.7%,87,33.3%
Patrick Beverley,27.3,HOU,Point,2021,20,71.3%,18,4.6%,3,0.9%,31,17.9%
Bismack Biyombo,23.2,TOR,Big,1799,25,62.7%,98,24.7%,79,2.3%,28,16.9%
Nemanja Bjelica,27.5,MIN,Big,1012,37,69.6%,19,8.2%,30,1.3%,89,31.6%
Tarik Black,23.9,LAL,Big,432,0,34.3%,73,15.5%,10,0.9%,6,6.7%
DeJuan Blair,26.5,WAS,Big,175,0,36.4%,28,8.9%,39,1.5%,41,20.0%
Steve Blake,35.7,DET,Point,919,0,84.6%,5,1.9%,25,1.3%,95,50.0%
Eric Bledsoe,25.9,PHX,Combo,1055,47,80.2%,82,12.4%,91,2.7%,53,20.9%
Bojan Bogdanovic,26.5,BKN,Wing,2066,72,84.0%,32,7.0%,50,1.1%,35,18.5%
Andrew Bogut,30.9,GSW,Big,1449,5,48.0%,2,4.2%,44,1.6%,25,16.7%
Matt Bonner,35.6,SAS,Big,129,0,50.0%,0,0.0%,19,1.1%,100,0.0%
Devin Booker,19.0,PHX,Wing,2064,73,84.8%,63,9.6%,96,2.7%,32,18.2%
Trevor Booker,27.9,UTA,Big,1612,32,66.7%,37,10.0%,12,1.0%,52,22.0%
Chris Bosh,31.6,MIA,Big,1769,80,79.5%,68,14.7%,65,1.9%,45,20.5%
Avery Bradley,24.9,BOS,Combo,2518,28,77.7%,15,4.8%,5,0.6%,25,13.7%
Elton Brand,36.6,PHI,Big,224,0,88.9%,13,6.8%,49,1.6%,99,60.0%
Corey Brewer,29.7,HOU,Forward,1624,60,75.8%,54,9.9%,46,1.1%,54,21.4%
Aaron Brooks,30.8,CHI,Point,1065,52,77.6%,26,5.2%,39,1.5%,41,20.8%
Anthony Brown,23.1,LAL,Wing,500,0,80.0%,19,5.8%,17,0.6%,28,16.7%
Markel Brown,23.8,BKN,Wing,892,25,75.3%,82,11.3%,84,1.8%,54,22.9%
Kobe Bryant,37.2,LAL,Wing,1858,57,82.6%,57,8.9%,75,1.5%,24,15.0%
Chase Budinger,27.4,IND,Wing,691,14,72.1%,77,10.9%,32,0.8%,20,14.3%
Chase Budinger,27.4,PHX,Wing,191,0,62.5%,56,8.7%,2,0.2%,0,0.0%
Reggie Bullock,24.6,DET,Wing,373,0,90.9%,18,5.7%,15,0.6%,42,20.0%
Trey Burke,23.0,UTA,Point,1319,65,80.3%,21,4.8%,26,1.3%,84,33.3%
Alec Burks,24.3,UTA,Combo,793,21,75.5%,89,15.6%,87,2.2%,36,16.9%
Caron Butler,35.6,SAC,Wing,170,0,83.3%,30,6.9%,61,1.3%,61,25.0%
Jimmy Butler,26.1,CHI,Wing,2469,65,83.2%,97,16.7%,99,2.8%,26,16.2%
Rasual Butler,36.4,SAS,Wing,277,0,69.2%,32,7.0%,43,1.0%,42,20.0%
Jose Calderon,34.1,NYK,Point,2017,91,87.5%,10,3.0%,10,1.0%,70,28.6%
Kentavious Caldwell-Pope,22.7,DET,Wing,2777,45,81.1%,66,9.8%,42,1.0%,66,26.0%
Isaiah Canaan,24.4,PHI,Combo,1934,70,83.7%,53,8.3%,20,1.0%,76,25.4%
Clint Capela,21.5,HOU,Big,1440,1,38.0%,79,17.3%,58,1.8%,62,24.7%
DeMarre Carroll,29.3,TOR,Forward,786,4,60.0%,30,7.3%,39,1.0%,23,14.3%
Vince Carter,38.8,MEM,Wing,948,55,82.3%,41,7.6%,83,1.8%,54,23.1%
Michael Carter-Williams,24.1,MIL,Point,1637,11,64.6%,75,11.6%,79,2.2%,62,26.1%
Omri Casspi,27.4,SAC,Forward,1861,22,65.2%,63,11.0%,49,1.1%,63,23.0%
Willie Cauley-Stein,22.2,SAC,Big,1378,29,64.7%,54,12.4%,19,1.1%,13,10.9%
Mario Chalmers,29.5,MEM,Combo,1203,60,82.6%,96,18.9%,100,3.6%,47,19.8%
Mario Chalmers,29.5,MIA,Combo,117,0,92.3%,29,6.3%,96,3.2%,0,0.0%
Tyson Chandler,33.1,PHX,Big,1614,24,62.0%,93,22.4%,56,1.7%,64,25.0%
Ian Clark,24.7,GSW,Combo,454,0,72.2%,20,5.3%,2,0.4%,73,25.0%
Jordan Clarkson,23.4,LAL,Wing,2514,41,80.0%,40,7.5%,72,1.5%,39,18.6%
Norris Cole,27.0,NOP,Combo,1176,53,82.0%,16,5.0%,55,1.5%,29,16.0%
Darren Collison,28.2,SAC,Combo,2199,84,86.2%,76,10.9%,29,1.2%,80,25.6%
Nick Collison,35.0,OKC,Big,618,34,68.8%,58,13.2%,2,0.6%,0,0.0%
Mike Conley,28.1,MEM,Point,1750,74,83.7%,72,11.2%,72,2.0%,34,18.8%
Chris Copeland,31.6,MIL,Forward,100,0,100.0%,5,2.7%,74,1.3%,98,100.0%
DeMarcus Cousins,25.2,SAC,Big,2240,46,71.8%,81,18.0%,99,4.8%,53,22.3%
Robert Covington,24.9,PHI,Forward,1864,73,79.1%,51,9.5%,47,1.1%,21,13.9%
Allen Crabbe,23.6,POR,Wing,2061,83,86.4%,25,6.5%,18,0.7%,68,26.7%
Jamal Crawford,35.6,LAC,Wing,2054,95,90.0%,78,10.9%,89,2.1%,50,21.3%
Jae Crowder,25.3,BOS,Forward,2297,87,82.3%,81,12.7%,37,1.0%,75,26.5%
Dante Cunningham,28.5,NOP,Forward,1942,38,69.5%,46,9.3%,2,0.3%,25,14.6%
Jared Cunningham,24.4,CLE,Combo,270,0,60.0%,95,18.3%,36,1.2%,0,0.0%
Seth Curry,25.2,SAC,Combo,651,72,84.3%,44,8.0%,31,1.2%,9,5.6%
Stephen Curry,27.6,GSW,Point,2694,100,90.8%,44,7.7%,90,3.1%,56,24.6%
