Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Kyle Anderson,30.1,MIN,Forward,1769,9,-4.1%,20,-3.9%,21,-3.4%,79,+4.4%,35,-1.4%,37,-1.6%,20,-2.8%,20,-2.5%
Giannis Antetokounmpo,28.9,MIL,Forward,2565,94,+3.7%,99,+7.1%,26,-2.7%,10,-7.9%,11,-4.7%,73,+2.3%,55,+0.3%,67,+1.1%
Harrison Barnes,31.4,SAC,Forward,2380,24,-1.9%,46,-0.7%,50,-0.0%,17,-5.1%,36,-1.3%,34,-2.2%,33,-1.7%,27,-1.8%
Nicolas Batum,34.9,PHI,Wing,1470,90,+2.8%,66,+1.4%,96,+6.6%,67,+2.2%,96,+5.4%,84,+4.3%,54,+0.2%,70,+1.2%
Bradley Beal,30.3,PHX,Combo,1759,89,+2.7%,81,+2.9%,38,-1.2%,87,+6.5%,69,+1.6%,77,+3.3%,79,+2.4%,86,+2.8%
Malik Beasley,26.9,MIL,Combo,2330,69,+1.0%,73,+2.0%,13,-4.4%,51,-0.1%,22,-2.8%,66,+1.6%,64,+1.0%,67,+1.1%
Davis Bertans,31.0,CHA,Wing,575,29,-1.5%,30,-2.5%,65,+1.2%,19,-4.8%,42,-0.7%,9,-7.4%,31,-1.9%,16,-3.0%
Patrick Beverley,35.3,PHI,Combo,904,4,-6.4%,43,-1.1%,4,-7.5%,25,-3.5%,5,-6.2%,6,-8.4%,3,-6.9%,2,-7.2%
Patrick Beverley,35.3,MIL,Wing,527,71,+1.1%,58,+0.6%,70,+1.8%,92,+7.7%,90,+4.1%,82,+4.0%,50,-0.1%,69,+1.2%
Bismack Biyombo,31.2,MEM,Big,718,95,+3.8%,86,+3.6%,76,+2.5%,26,-3.2%,69,+1.5%,90,+6.1%,96,+5.3%,98,+5.7%
Bojan Bogdanovic,34.5,DET,Forward,920,87,+2.5%,94,+4.9%,90,+4.4%,74,+3.6%,91,+4.3%,45,-0.7%,50,-0.1%,50,-0.1%
Bojan Bogdanovic,34.5,NYK,Forward,549,11,-3.6%,16,-4.6%,23,-3.2%,94,+8.7%,47,-0.3%,89,+5.6%,5,-6.1%,19,-2.6%
Devin Booker,27.0,PHX,Point,2445,91,+2.9%,94,+5.1%,67,+1.4%,54,+0.3%,62,+1.0%,97,+10.9%,56,+0.4%,89,+3.1%
Malcolm Brogdon,30.9,POR,Combo,1120,90,+2.8%,55,+0.3%,37,-1.4%,24,-3.6%,29,-1.9%,53,+0.4%,98,+6.1%,96,+4.6%
Jaylen Brown,27.0,BOS,Wing,2339,56,+0.1%,49,-0.3%,97,+6.9%,54,+0.3%,92,+4.5%,32,-2.3%,37,-1.3%,32,-1.5%
Reggie Bullock,32.6,HOU,Wing,334,48,-0.4%,37,-1.6%,36,-1.5%,42,-0.8%,37,-1.3%,91,+6.5%,35,-1.4%,62,+0.6%
Alec Burks,32.3,DET,Wing,894,45,-0.5%,12,-5.3%,34,-1.7%,29,-2.7%,28,-2.1%,15,-5.8%,99,+8.5%,94,+4.4%
Alec Burks,32.3,NYK,Wing,304,4,-6.2%,6,-6.7%,30,-2.1%,15,-5.6%,18,-3.5%,12,-6.5%,19,-2.9%,9,-4.0%
Jimmy Butler,34.1,MIA,Forward,2042,87,+2.5%,93,+4.8%,36,-1.4%,77,+4.1%,52,+0.2%,93,+7.2%,42,-0.9%,75,+1.7%
Kentavious Caldwell-Pope,30.7,DEN,Wing,2400,100,+6.2%,95,+5.3%,98,+7.7%,72,+3.3%,98,+6.0%,95,+8.2%,86,+3.5%,96,+4.7%
Clint Capela,29.5,ATL,Big,1882,17,-2.8%,4,-7.1%,44,-0.6%,27,-3.0%,38,-1.2%,47,-0.4%,55,+0.3%,54,+0.1%
Jordan Clarkson,31.4,UTA,Wing,1672,38,-0.9%,92,+4.8%,22,-3.3%,73,+3.3%,26,-2.3%,30,-2.8%,28,-2.1%,21,-2.4%
Mike Conley,36.1,MIN,Point,2193,47,-0.4%,71,+1.9%,26,-2.6%,19,-4.7%,20,-3.0%,47,-0.4%,52,+0.1%,50,-0.1%
Pat Connaughton,30.8,MIL,Wing,1638,26,-1.7%,29,-2.6%,90,+4.5%,34,-2.0%,74,+2.0%,18,-4.8%,45,-0.7%,30,-1.7%
Robert Covington,32.9,PHI,Big,395,60,+0.5%,7,-6.7%,98,+7.8%,37,-1.6%,95,+5.1%,68,+1.9%,75,+2.0%,75,+1.7%
Jae Crowder,33.3,MIL,Forward,1142,15,-3.0%,25,-3.1%,10,-5.1%,28,-2.9%,13,-4.3%,41,-1.2%,46,-0.6%,43,-0.7%
Seth Curry,33.2,DAL,Wing,423,43,-0.6%,76,+2.3%,43,-0.7%,5,-11.6%,8,-5.3%,46,-0.5%,62,+0.9%,60,+0.5%
Seth Curry,33.2,CHA,Wing,158,37,-1.0%,78,+2.5%,28,-2.3%,85,+6.0%,55,+0.6%,91,+6.8%,30,-1.9%,48,-0.3%
Stephen Curry,35.6,GSW,Point,2419,92,+3.0%,56,+0.4%,67,+1.4%,40,-1.3%,56,+0.6%,97,+10.1%,67,+1.2%,86,+2.8%
