Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Quincy Acy,25.1,SAC,Big,843,12,-6.2,13,-5.6,70,+1.4%,33,+1.0%,11,-4.6,55,+0.2,5,-28.0
Steven Adams,22.3,OKC,Big,1999,40,-1.4,36,-1.8,24,-2.0%,79,-1.4%,34,-1.4,30,-1.3,55,+1.3
Arron Afflalo,30.0,NYK,Wing,2354,68,+1.7,78,+2.9,34,-1.0%,23,+1.6%,82,+3.0,68,+1.0,83,+10.9
Alexis Ajinca,27.5,NOP,Big,815,16,-4.9,17,-4.9,36,-0.9%,44,+0.3%,62,+1.0,48,-0.1,78,+8.1
Cole Aldrich,27.0,LAC,Big,704,11,-6.2,5,-8.0,43,-0.4%,4,+3.5%,68,+1.6,32,-1.1,96,+22.1
LaMarcus Aldridge,30.3,SAS,Big,2251,58,+0.3,50,-0.2,60,+0.7%,47,+0.2%,77,+2.6,84,+2.3,44,-1.6
Lavoy Allen,26.7,IND,Big,1558,87,+4.7,51,-0.1,99,+8.0%,69,-0.8%,99,+10.2,98,+6.6,89,+13.2
Tony Allen,33.8,MEM,Wing,1606,50,-0.6,31,-2.7,92,+4.5%,79,-1.4%,64,+1.1,79,+1.9,32,-4.5
Al-Farouq Aminu,25.1,POR,Forward,2337,70,+1.9,82,+3.5,20,-2.5%,77,-1.3%,6,-6.1,29,-1.5,5,-24.4
Lou Amundson,32.9,NYK,Big,171,4,-10.6,1,-15.0,92,+4.4%,90,-2.3%,10,-5.1,39,-0.6,5,-27.0
Chris Andersen,37.3,MEM,Big,361,25,-3.5,32,-2.6,17,-2.8%,6,+3.0%,21,-2.9,4,-4.5,88,+13.0
Alan Anderson,33.0,WAS,Wing,190,63,+1.2,92,+6.3,2,-6.7%,9,+2.7%,8,-5.7,2,-5.9,78,+8.2
James Anderson,26.6,SAC,Wing,690,29,-2.9,32,-2.5,41,-0.6%,42,+0.4%,32,-1.5,20,-2.0,69,+5.1
Justin Anderson,21.9,DAL,Wing,556,32,-2.5,39,-1.4,55,+0.4%,56,-0.3%,88,+3.6,70,+1.1,94,+18.9
Kyle Anderson,22.1,SAS,Forward,1048,52,-0.3,51,-0.2,20,-2.4%,32,+1.0%,91,+4.4,34,-1.0,99,+40.1
Ryan Anderson,27.5,NOP,Big,1965,94,+7.4,96,+8.3,78,+2.3%,75,-1.2%,43,-0.5,71,+1.1,13,-12.7
Giannis Antetokounmpo,20.9,MIL,Forward,2813,92,+6.2,80,+3.4,60,+0.7%,89,-2.2%,73,+2.1,76,+1.5,60,+2.6
Carmelo Anthony,31.4,NYK,Wing,2524,96,+8.0,87,+5.1,97,+6.1%,66,-0.8%,97,+6.6,94,+4.1,85,+11.7
