Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Precious Achiuwa,24.1,NYK,Big,1144,34,55.4%,51,58.2%,9,27.7%,16,61.9%,88,59%,88,53%,38,80%,88,92%
Precious Achiuwa,24.1,TOR,Big,424,15,51.5%,25,54.7%,12,28.9%,14,60.5%,60,71%,60,63%,48,77%,25,100%
Bam Adebayo,26.3,MIA,Big,2415,21,52.9%,19,52.8%,67,37.5%,58,75.5%,89,58%,69,61%,85,55%,25,100%
Ochai Agbaji,23.5,TOR,Wing,610,7,44.0%,36,49.5%,5,22.7%,1,61.1%,53,74%,35,67%,37,67%,0,100%
Ochai Agbaji,23.5,UTA,Wing,956,42,52.5%,66,55.3%,30,33.6%,0,75.0%,9,90%,6,82%,10,92%,30,98%
Santi Aldama,22.8,MEM,Big,1614,23,52.9%,21,53.4%,49,34.9%,17,62.4%,31,80%,41,70%,76,63%,83,96%
Nickeil Alexander-Walker,25.2,MIN,Wing,1887,73,56.7%,50,52.3%,77,39.4%,50,80.0%,35,80%,69,55%,45,63%,31,98%
Grayson Allen,28.1,PHX,Wing,2505,97,65.0%,81,57.2%,98,45.9%,89,87.6%,39,78%,72,53%,36,68%,65,92%
Jarrett Allen,25.5,CLE,Big,2441,81,63.4%,78,63.9%,0,0.0%,50,74.2%,21,82%,12,78%,18,93%,0,0%
Timmy Allen,23.8,MEM,Combo,122,0,31.6%,5,37.5%,0,0.0%,0,50.0%,98,33%,0,100%,90,20%,0,0%
Jose Alvarado,25.6,NOP,Point,920,51,53.2%,23,46.8%,63,38.2%,0,63.6%,2,77%,5,67%,5,52%,21,90%
Kyle Anderson,30.1,MIN,Forward,1769,13,47.4%,21,48.8%,2,23.9%,25,70.8%,91,54%,86,50%,72,52%,1,100%
Giannis Antetokounmpo,28.9,MIL,Forward,2565,95,62.7%,94,64.5%,8,28.2%,10,65.9%,95,51%,84,52%,78,47%,99,48%
Cole Anthony,23.5,ORL,Point,1775,28,50.0%,40,49.5%,23,33.7%,33,82.2%,51,45%,28,45%,88,17%,23,90%
OG Anunoby,26.3,TOR,Wing,900,81,58.6%,91,60.8%,58,37.7%,11,71.7%,32,82%,12,77%,50,62%,48,95%
OG Anunoby,26.3,NYK,Forward,796,70,56.7%,57,55.0%,73,39.4%,56,79.1%,48,76%,42,69%,69,53%,53,98%
Deni Avdija,22.8,WAS,Forward,2250,69,56.3%,66,56.2%,57,37.6%,31,74.0%,81,63%,75,57%,63,58%,89,85%
Deandre Ayton,25.3,POR,Big,1783,48,57.2%,48,57.6%,0,11.1%,88,82.3%,50,75%,61,63%,27,84%,25,100%
Ibou Badji,21.1,POR,Big,192,82,63.6%,76,63.6%,0,0.0%,0,50.0%,96,50%,97,36%,1,100%,0,0%
Marvin Bagley,24.6,WAS,Big,572,69,59.7%,56,58.9%,100,47.1%,40,70.8%,63,69%,57,64%,38,80%,25,100%
Marvin Bagley,24.6,DET,Big,465,66,59.0%,60,60.2%,0,16.7%,79,80.0%,75,66%,55,65%,63,69%,25,100%
Patrick Baldwin Jr.,21.0,WAS,Big,405,14,51.2%,47,57.5%,29,32.1%,0,63.2%,11,86%,48,67%,1,100%,25,100%
LaMelo Ball,22.2,CHA,Point,710,37,51.4%,44,50.0%,33,35.5%,72,86.1%,93,32%,95,9%,74,23%,79,59%
Mohamed Bamba,25.5,PHI,Big,665,34,55.0%,23,53.5%,77,38.6%,20,63.4%,67,69%,84,56%,58,71%,25,100%
Paolo Banchero,21.0,ORL,Big,2797,11,49.8%,11,49.1%,44,34.4%,47,72.8%,99,42%,94,47%,99,24%,100,66%
Desmond Bane,25.4,MEM,Combo,1440,76,55.5%,73,53.5%,61,38.4%,78,87.5%,70,48%,71,37%,31,46%,92,61%
Dalano Banton,24.0,POR,Wing,859,16,48.0%,23,47.9%,23,31.6%,36,77.8%,92,49%,96,36%,96,26%,80,84%
Dominick Barlow,20.4,SAS,Big,373,24,53.1%,21,53.3%,0,33.3%,25,66.7%,57,73%,66,62%,33,83%,25,100%
Harrison Barnes,31.4,SAC,Forward,2380,75,57.5%,73,57.1%,67,38.7%,63,80.1%,46,78%,49,65%,59,60%,59,97%
Scottie Barnes,22.3,TOR,Forward,2094,42,53.0%,51,53.6%,36,34.5%,53,78.0%,89,56%,80,53%,89,35%,76,91%
RJ Barrett,23.4,TOR,Forward,1083,88,60.2%,86,60.5%,70,39.2%,4,62.9%,71,68%,41,69%,85,41%,45,98%
RJ Barrett,23.4,NYK,Forward,765,15,47.8%,13,46.9%,28,33.1%,74,82.9%,74,66%,79,54%,71,52%,1,100%
Charles Bassey,23.0,SAS,Big,182,98,71.9%,97,74.2%,0,0.0%,0,80.0%,37,78%,34,72%,1,100%,0,0%
Keita Bates-Diop,27.8,PHX,Forward,561,18,48.6%,25,49.4%,22,31.7%,32,74.3%,55,74%,72,58%,16,83%,1,100%
Nicolas Batum,34.9,PHI,Wing,1470,89,59.7%,88,59.4%,81,40.1%,0,71.4%,18,87%,56,59%,21,78%,0,100%
Darius Bazley,23.4,UTA,Forward,134,99,66.7%,99,75.0%,0,28.6%,0,83.3%,93,53%,63,60%,98,20%,1,100%
Bradley Beal,30.3,PHX,Combo,1759,88,58.1%,80,55.0%,93,43.1%,49,81.1%,52,56%,52,47%,40,42%,45,87%
