Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Shareef Abdur-Rahim,28.9,SAC,Big,1946,88,+5.9,76,+3.3,69,+1.4%,69,-0.8%,93,+5.5,94,+4.6,47,-1.3
Malik Allen,27.3,CHI,Big,655,34,-2.9,50,-0.5,20,-2.4%,55,-0.2%,60,+0.4,54,+0.1,55,+1.3
Ray Allen,30.3,SEA,Wing,3009,93,+7.4,95,+8.4,79,+2.6%,76,-1.2%,66,+1.2,71,+1.3,49,-0.6
Tony Allen,23.8,BOS,Combo,911,27,-3.9,27,-3.7,46,-0.2%,84,-1.7%,62,+0.8,58,+0.4,54,+0.8
Rafer Alston,29.3,HOU,Point,2420,61,+0.9,75,+3.1,43,-0.5%,78,-1.3%,34,-1.6,70,+1.3,7,-19.5
Chris Andersen,27.3,NOH,Big,528,70,+2.3,63,+0.9,68,+1.3%,74,-1.0%,52,-0.2,83,+2.6,8,-18.6
Alan Anderson,23.0,CHA,Wing,515,76,+3.1,89,+6.2,45,-0.2%,21,+1.5%,6,-5.7,17,-2.5,10,-16.9
Derek Anderson,31.3,HOU,Wing,579,69,+2.0,58,+0.1,65,+1.1%,22,+1.4%,43,-0.9,24,-1.9,79,+7.9
Derek Anderson,31.3,MIA,Wing,426,19,-5.2,65,+1.1,6,-4.4%,4,+3.3%,5,-6.0,21,-2.2,9,-18.2
Shandon Anderson,31.8,MIA,Wing,575,57,+0.4,56,-0.0,69,+1.4%,8,+2.8%,92,+5.0,58,+0.4,98,+24.7
Carmelo Anthony,21.4,DEN,Forward,2930,78,+3.6,78,+3.5,68,+1.3%,37,+0.6%,65,+1.1,57,+0.3,69,+5.2
