Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Ray Allen,37.3,MIA,Wing,565,73,86.0%,55,8.9%,59,1.4%,76,31.3%
Tony Allen,30.8,MEM,Wing,420,36,75.9%,93,18.1%,55,1.4%,59,23.1%
Chris Andersen,34.3,MIA,Big,298,44,72.7%,95,28.6%,77,3.2%,80,30.0%
Carmelo Anthony,28.4,NYK,Forward,480,100,88.5%,38,11.7%,77,3.2%,46,17.5%
Darrell Arthur,24.6,MEM,Big,173,0,88.9%,18,7.1%,9,0.8%,61,25.0%
Omer Asik,26.3,HOU,Big,207,13,63.8%,98,33.3%,59,2.6%,27,16.7%
D.J. Augustin,25.0,IND,Point,308,40,79.3%,6,4.2%,75,2.7%,0,0.0%
Harrison Barnes,20.4,GSW,Wing,459,64,85.7%,59,9.1%,41,1.3%,28,6.3%
Matt Barnes,32.6,LAC,Wing,160,0,84.2%,86,14.3%,66,1.5%,34,14.3%
Brandon Bass,27.5,BOS,Big,201,0,80.0%,77,18.8%,20,1.2%,27,16.7%
Shane Battier,34.1,MIA,Forward,375,57,82.1%,0,5.6%,92,3.4%,0,0.0%
Jerryd Bayless,24.2,MEM,Combo,313,0,86.4%,31,5.8%,0,0.4%,77,25.0%
Marco Belinelli,26.6,CHI,Wing,314,82,87.5%,45,6.7%,93,3.0%,69,28.6%
Patrick Beverley,24.3,HOU,Point,191,0,100.0%,19,4.6%,13,1.4%,69,33.3%
Chauncey Billups,36.1,LAC,Wing,115,0,81.8%,48,7.9%,45,1.3%,79,33.3%
Andray Blatche,26.2,BKN,Big,138,0,82.4%,32,11.3%,70,2.7%,86,42.9%
Andrew Bogut,27.9,GSW,Big,326,0,34.8%,25,8.3%,73,3.1%,27,16.7%
Matt Bonner,32.6,SAS,Big,249,0,83.3%,14,6.8%,18,1.2%,61,25.0%
Carlos Boozer,30.9,CHI,Big,430,38,68.9%,32,11.3%,39,1.5%,25,14.3%
Chris Bosh,28.6,MIA,Big,747,50,72.9%,36,11.4%,14,1.1%,50,20.0%
Avery Bradley,21.9,BOS,Combo,189,0,100.0%,8,2.3%,8,0.5%,0,0.0%
Corey Brewer,26.7,DEN,Wing,145,0,66.7%,83,13.5%,7,0.3%,31,10.0%
Caron Butler,32.6,LAC,Wing,135,0,100.0%,17,2.2%,14,0.7%,97,100.0%
Jimmy Butler,23.1,CHI,Wing,488,55,81.8%,97,18.2%,76,1.9%,72,29.2%
Mario Chalmers,26.5,MIA,Point,639,10,76.0%,69,11.1%,25,1.7%,44,18.2%
Tyson Chandler,30.1,NYK,Big,349,0,75.0%,61,14.3%,48,1.8%,95,50.0%
Wilson Chandler,25.5,DEN,Forward,204,0,75.0%,15,6.2%,23,0.8%,0,0.0%
Norris Cole,24.1,MIA,Point,377,0,86.7%,25,5.6%,6,1.3%,50,20.0%
Nick Collison,32.0,OKC,Big,170,0,91.7%,39,11.8%,27,1.3%,0,0.0%
Mike Conley,25.1,MEM,Point,574,20,76.3%,100,13.2%,63,2.5%,38,15.6%
Jamal Crawford,32.6,LAC,Wing,158,0,100.0%,38,6.3%,79,2.1%,62,25.0%
Stephen Curry,24.6,GSW,Combo,495,100,92.1%,46,6.9%,77,1.8%,38,11.8%
Carlos Delfino,30.2,HOU,Wing,116,0,100.0%,31,5.1%,10,0.4%,90,50.0%
Luol Deng,27.5,CHI,Forward,222,0,40.0%,8,5.9%,62,2.4%,100,60.0%
Boris Diaw,30.5,SAS,Big,270,0,83.3%,2,3.6%,57,2.5%,0,0.0%
Keyon Dooling,32.5,MEM,Point,113,0,100.0%,6,4.2%,69,2.6%,0,0.0%
Tim Duncan,36.5,SAS,Big,732,88,80.6%,50,13.0%,82,3.5%,59,23.9%
Kevin Durant,24.1,OKC,Forward,479,71,83.3%,77,15.1%,85,3.4%,54,22.0%
Monta Ellis,27.0,MIL,Combo,151,0,37.5%,100,14.5%,85,1.9%,69,22.2%
Reggie Evans,32.5,BKN,Big,208,0,55.6%,93,27.6%,30,1.4%,61,25.0%
Festus Ezeli,23.0,GSW,Big,132,0,57.1%,98,33.3%,64,2.6%,27,16.7%
Kenneth Faried,23.0,DEN,Big,144,0,73.3%,82,19.4%,45,1.8%,86,42.9%
Raymond Felton,28.4,NYK,Combo,452,0,66.7%,38,6.5%,46,1.3%,85,36.4%
Derek Fisher,38.2,OKC,Wing,256,0,66.7%,21,2.9%,86,2.3%,0,0.0%
Francisco Garcia,30.8,HOU,Wing,152,0,33.3%,14,2.1%,0,0.0%,0,0.0%
Kevin Garnett,36.5,BOS,Big,211,0,94.1%,9,4.8%,93,4.8%,0,0.0%
Marc Gasol,27.8,MEM,Big,608,75,80.0%,41,12.1%,86,4.3%,77,29.6%
Pau Gasol,32.3,LAL,Big,145,0,54.5%,48,12.5%,25,1.3%,86,42.9%
Paul George,22.5,IND,Wing,776,18,73.0%,90,16.1%,83,2.2%,52,20.0%
Taj Gibson,27.4,CHI,Big,200,0,70.0%,64,15.1%,50,2.1%,39,18.2%
Manu Ginobili,35.3,SAS,Wing,557,27,74.0%,79,13.0%,90,3.0%,41,17.9%
Danny Green,25.4,SAS,Wing,664,0,80.0%,24,3.7%,28,0.9%,34,14.3%
Draymond Green,22.7,GSW,Forward,220,0,73.3%,46,11.9%,0,0.2%,38,14.3%
