Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Shareef Abdur-Rahim,28.9,SAC,Big,1946,83,78.1%,65,16.3%,67,2.0%,65,24.1%
Malik Allen,27.3,CHI,Big,655,30,60.5%,5,5.1%,38,1.4%,25,16.7%
Ray Allen,30.3,OKC,Wing,3009,98,90.3%,26,7.9%,88,2.5%,71,23.2%
Tony Allen,23.8,BOS,Combo,911,51,76.4%,96,20.1%,51,1.7%,58,25.0%
Rafer Alston,29.3,HOU,Point,2420,8,69.0%,27,5.7%,25,1.5%,35,15.9%
Chris Andersen,27.3,NOP,Big,528,5,49.0%,100,34.6%,84,2.4%,30,18.2%
Alan Anderson,23.0,CHA,Wing,515,71,80.6%,43,9.5%,29,1.0%,38,17.6%
Derek Anderson,31.3,HOU,Wing,579,81,83.6%,47,10.2%,85,2.3%,55,21.1%
Derek Anderson,31.3,MIA,Wing,426,75,81.3%,21,7.1%,71,1.8%,0,0.0%
Shandon Anderson,31.8,MIA,Wing,575,0,72.2%,35,8.9%,2,0.3%,95,36.4%
Carmelo Anthony,21.4,DEN,Forward,2930,77,80.7%,75,16.0%,98,3.2%,72,23.2%
Rafael Araujo,25.2,TOR,Big,587,15,53.6%,15,7.3%,42,1.5%,30,18.2%
Gilbert Arenas,23.8,WAS,Combo,3379,67,81.9%,91,17.0%,96,3.1%,38,20.3%
Trevor Ariza,20.3,NYK,Wing,700,0,54.5%,91,16.1%,77,1.9%,16,11.1%
Trevor Ariza,20.3,ORL,Forward,280,32,70.5%,93,21.9%,67,1.7%,17,9.5%
Darrell Armstrong,37.4,DAL,Point,545,66,82.1%,46,7.9%,62,2.0%,23,12.5%
Carlos Arroyo,26.3,DET,Point,524,39,78.0%,58,8.8%,48,2.0%,15,7.7%
Carlos Arroyo,26.3,ORL,Point,584,61,81.6%,87,13.2%,73,2.2%,50,18.8%
Chucky Atkins,31.2,MEM,Point,1154,55,80.8%,33,6.7%,81,2.7%,17,10.7%
Chucky Atkins,31.2,WAS,Point,533,11,69.2%,10,2.9%,23,1.5%,0,0.0%
Stacey Augmon,37.3,ORL,Forward,374,0,70.8%,33,9.6%,47,1.4%,28,14.3%
Marcus Banks,24.0,BOS,Combo,250,93,88.5%,84,13.6%,91,2.7%,89,36.4%
Marcus Banks,24.0,MIN,Point,1198,42,78.4%,73,11.0%,50,2.0%,38,17.4%
Leandro Barbosa,22.9,PHX,Wing,1538,36,74.8%,55,10.7%,67,1.8%,52,20.6%
Matt Barnes,25.6,PHI,Forward,503,17,64.9%,57,12.2%,8,0.9%,55,21.4%
Andre Barrett,23.7,TOR,Point,257,0,66.7%,15,4.1%,4,0.8%,77,25.0%
Brent Barry,33.8,SAS,Wing,1179,10,66.1%,18,6.5%,25,1.0%,65,22.7%
Jon Barry,36.3,HOU,Wing,330,85,84.6%,60,11.4%,35,1.2%,17,12.5%
