Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Shareef Abdur-Rahim,29.9,SAC,Big,1996,65,73.2%,52,14.9%,45,1.4%,64,25.7%
Hassan Adams,22.4,BKN,Wing,448,7,62.5%,60,10.8%,9,0.6%,18,13.3%
Maurice Ager,22.7,DAL,Wing,158,0,62.5%,24,7.5%,55,1.4%,0,0.0%
LaMarcus Aldridge,21.3,POR,Big,1342,61,72.2%,27,10.4%,29,1.2%,51,23.1%
Malik Allen,28.3,CHI,Big,572,0,75.0%,3,4.8%,39,1.3%,92,36.4%
Ray Allen,31.3,OKC,Wing,2214,97,90.3%,46,9.4%,87,2.5%,76,27.6%
Tony Allen,24.8,BOS,Wing,772,41,77.9%,98,19.5%,84,2.2%,96,33.9%
Rafer Alston,30.3,HOU,Point,3027,18,73.4%,15,4.2%,28,1.3%,15,9.1%
Alan Anderson,24.0,CHA,Wing,242,0,81.0%,80,13.8%,60,1.5%,100,45.5%
Derek Anderson,32.3,CHA,Wing,1172,91,87.7%,61,10.9%,69,1.7%,97,35.3%
Carmelo Anthony,22.4,DEN,Wing,2479,65,80.8%,78,13.1%,91,2.8%,64,24.9%
Rafael Araujo,26.2,UTA,Big,193,0,75.0%,32,11.8%,66,1.8%,0,0.0%
Gilbert Arenas,24.8,WAS,Combo,2935,71,84.2%,82,16.6%,96,3.0%,64,24.8%
Trevor Ariza,21.3,ORL,Wing,1230,5,61.1%,96,19.1%,43,1.1%,77,27.8%
Darrell Armstrong,38.4,IND,Combo,1236,33,78.5%,18,5.3%,55,1.6%,71,26.3%
Hilton Armstrong,21.9,NOP,Big,546,26,61.4%,93,24.6%,16,1.0%,57,25.0%
Carlos Arroyo,27.3,ORL,Point,1255,38,79.8%,96,14.4%,55,1.7%,81,29.2%
Chucky Atkins,32.2,MEM,Point,2050,53,81.2%,83,10.9%,96,2.9%,26,16.7%
Kelenna Azubuike,22.9,GSW,Wing,595,30,75.0%,89,16.0%,5,0.4%,22,14.7%
Renaldo Balkman,22.3,NYK,Forward,998,7,55.8%,73,13.5%,14,0.8%,39,20.0%
Marcus Banks,25.0,PHX,Combo,447,52,81.1%,70,13.2%,79,2.2%,16,16.0%
Leandro Barbosa,23.9,PHX,Combo,2570,74,84.3%,46,9.1%,64,1.7%,82,30.2%
J.J. Barea,22.3,DAL,Combo,112,0,76.9%,71,13.2%,73,2.0%,77,28.6%
Andrea Bargnani,21.0,TOR,Big,1594,94,84.1%,21,9.4%,69,1.9%,47,22.6%
Matt Barnes,26.6,GSW,Forward,1735,50,76.1%,25,7.5%,10,0.7%,90,29.2%
Earl Barron,25.2,MIA,Big,128,0,83.3%,12,7.5%,50,1.5%,97,50.0%
Brent Barry,34.8,SAS,Wing,1528,93,88.3%,27,7.7%,21,0.8%,48,21.9%
Brandon Bass,21.5,NOP,Big,109,0,75.0%,42,13.3%,31,1.2%,0,0.0%
Maceo Baston,30.4,IND,Big,358,93,83.3%,85,22.2%,85,2.5%,95,38.9%
Tony Battie,30.7,ORL,Big,1566,42,67.5%,16,8.6%,21,1.1%,73,27.3%
Shane Battier,28.1,HOU,Forward,2976,57,77.5%,10,5.8%,59,1.5%,31,17.5%
Charlie Bell,27.6,MIL,Wing,2807,42,78.3%,25,7.6%,25,0.9%,84,29.9%
Raja Bell,30.1,PHX,Wing,2905,36,77.0%,14,6.3%,34,1.0%,42,21.0%
Mike Bibby,28.5,SAC,Point,2775,71,82.9%,49,8.2%,87,2.5%,53,21.6%
Andris Biedrins,20.6,GSW,Big,2372,11,52.1%,33,11.8%,57,1.6%,62,25.3%
Chauncey Billups,30.1,DET,Point,2527,84,88.5%,94,14.1%,98,3.6%,23,13.8%
Steve Blake,26.7,DEN,Point,1617,13,72.7%,6,2.6%,13,1.0%,83,30.0%
Steve Blake,26.7,MIL,Point,555,0,55.6%,4,2.4%,2,0.7%,0,0.0%
Will Blalock,23.1,DET,Point,154,0,100.0%,70,9.7%,25,1.2%,0,0.0%
Andray Blatche,20.2,WAS,Big,623,31,62.5%,25,10.2%,24,1.1%,67,26.3%
Mark Blount,30.9,MIN,Big,2539,68,75.4%,29,10.9%,42,1.4%,44,22.0%
Keith Bogans,26.5,ORL,Wing,957,31,75.4%,40,9.2%,7,0.5%,10,8.7%
Andrew Bogut,21.9,MIL,Big,2250,18,58.1%,38,12.7%,77,2.1%,53,23.9%
Matt Bonner,26.6,SAS,Big,507,54,69.0%,6,6.0%,49,1.5%,73,27.3%
Josh Boone,21.9,BKN,Big,608,14,54.9%,94,24.9%,18,1.1%,42,21.7%
Calvin Booth,30.5,WAS,Big,365,0,60.0%,2,4.5%,14,1.0%,0,0.0%
Carlos Boozer,24.9,UTA,Big,2541,50,68.4%,49,14.2%,53,1.5%,77,28.0%
Chris Bosh,22.6,TOR,Big,2652,81,78.5%,77,20.2%,88,2.6%,38,20.5%
Bruce Bowen,35.4,SAS,Wing,2456,2,58.9%,17,6.4%,17,0.8%,80,29.0%
Earl Boykins,30.4,DEN,Point,865,96,90.7%,55,8.6%,77,2.2%,28,17.1%
Earl Boykins,30.4,MIL,Point,1141,87,88.6%,32,6.4%,75,2.2%,45,19.2%
Cedric Bozeman,23.7,ATL,Combo,184,0,33.3%,5,2.9%,21,1.2%,0,0.0%
Elton Brand,27.6,LAC,Big,3071,71,76.1%,58,16.0%,88,2.6%,82,30.9%
Ronnie Brewer,21.6,UTA,Wing,608,18,70.0%,93,18.2%,18,0.8%,53,22.9%
Primoz Brezec,27.1,CHA,Big,827,32,63.2%,20,9.2%,60,1.7%,12,14.8%
Andre Brown,25.5,OKC,Big,224,0,61.5%,56,15.7%,30,1.2%,99,62.5%
Dee Brown,22.2,UTA,Point,372,0,62.5%,30,6.2%,40,1.6%,91,40.0%
Devin Brown,27.8,NOP,Combo,1613,38,79.2%,68,12.2%,18,1.1%,27,18.1%
Kwame Brown,24.6,LAL,Big,1129,4,44.0%,88,23.1%,84,2.4%,97,43.8%
P.J. Brown,37.0,CHI,Big,1443,82,78.7%,34,11.9%,47,1.4%,8,10.9%
Shannon Brown,20.9,CLE,Wing,160,0,50.0%,38,8.8%,1,0.3%,99,40.0%
Kobe Bryant,28.2,LAL,Wing,3136,88,86.8%,84,15.1%,100,4.2%,50,22.2%
Greg Buckner,30.1,DAL,Wing,1278,51,79.4%,5,4.6%,30,0.9%,85,30.8%
Pat Burke,32.9,PHX,Big,119,0,70.0%,40,13.0%,25,1.2%,18,16.7%
Caron Butler,26.6,WAS,Wing,2458,85,86.5%,72,11.8%,67,1.6%,45,21.6%
Rasual Butler,27.4,NOP,Wing,2159,10,64.7%,6,4.7%,12,0.7%,92,32.4%
Andrew Bynum,19.0,LAL,Big,1773,41,67.0%,73,19.4%,56,1.6%,79,28.6%
Jose Calderon,25.1,TOR,Point,1582,58,81.6%,66,9.6%,89,2.6%,66,25.5%
Marcus Camby,32.6,DEN,Big,2360,64,72.9%,44,13.6%,14,1.0%,39,21.0%
Brian Cardinal,29.5,MEM,Forward,307,100,92.6%,33,8.8%,98,2.7%,12,12.5%
Rodney Carney,22.6,PHI,Forward,1110,9,62.8%,43,9.5%,12,0.8%,16,13.5%
Matt Carroll,26.2,CHA,Wing,1851,98,90.6%,30,8.4%,64,1.6%,60,24.1%
Vince Carter,29.8,BKN,Wing,3116,59,80.2%,76,12.5%,98,3.7%,47,21.7%
Sam Cassell,37.0,LAC,Point,1404,80,87.9%,60,9.2%,81,2.4%,51,21.0%
Tyson Chandler,24.1,NOP,Big,2520,12,52.7%,63,16.9%,63,1.8%,71,27.0%
Josh Childress,23.4,ATL,Wing,1987,53,79.5%,91,17.0%,49,1.3%,75,27.6%
Speedy Claxton,28.5,ATL,Point,1050,0,54.2%,43,7.6%,36,1.5%,70,27.3%
Jarron Collins,27.9,UTA,Big,896,37,65.1%,60,16.4%,87,2.6%,47,22.6%
Jason Collins,27.9,BKN,Big,1841,7,46.5%,88,23.1%,51,1.5%,23,18.6%
Mardy Collins,22.2,NYK,Wing,720,3,59.7%,75,12.3%,32,1.0%,26,17.9%
Nick Collison,26.0,OKC,Big,2372,79,77.4%,43,13.4%,42,1.4%,75,27.7%
Brian Cook,25.9,LAL,Big,1012,62,72.3%,3,4.7%,3,0.7%,6,10.0%
Jamal Crawford,26.6,NYK,Wing,2165,77,83.5%,39,9.1%,65,1.6%,78,28.6%
Austin Croshere,31.5,DAL,Big,615,92,82.9%,23,9.8%,23,1.1%,67,26.3%
Eddy Curry,23.9,NYK,Big,2841,27,61.5%,95,24.9%,95,3.2%,56,24.8%
Samuel Dalembert,26.5,PHI,Big,2528,67,74.8%,53,15.2%,27,1.2%,79,28.6%
Erick Dampier,31.3,DAL,Big,1900,30,62.4%,84,22.1%,55,1.6%,42,21.3%
Antonio Daniels,31.6,WAS,Point,1726,64,82.2%,100,22.6%,38,1.5%,62,24.0%
Marquis Daniels,25.8,IND,Wing,772,17,69.9%,58,10.7%,82,2.0%,91,32.3%
Baron Davis,27.6,GSW,Point,2206,20,74.3%,92,13.4%,94,2.8%,79,28.7%
Dale Davis,37.6,DET,Big,457,0,62.5%,56,15.9%,1,0.6%,13,15.4%
Paul Davis,22.3,LAC,Big,102,0,66.7%,12,7.4%,82,2.3%,97,50.0%
Ricky Davis,27.1,MIN,Wing,3010,80,83.9%,47,9.7%,83,2.1%,34,18.6%
Carlos Delfino,24.2,DET,Wing,1277,39,77.5%,42,9.2%,23,0.8%,20,14.3%
Luol Deng,21.5,CHI,Forward,3060,59,77.6%,63,12.0%,78,1.8%,63,23.8%
Boris Diaw,24.5,PHX,Big,2242,50,68.3%,19,9.1%,67,1.9%,96,40.7%
Yakhouba Diawara,24.2,DEN,Wing,1138,7,62.5%,34,8.7%,13,0.7%,55,23.1%
Dan Dickau,28.1,POR,Combo,387,29,76.7%,41,8.5%,84,2.2%,91,36.4%
Travis Diener,24.7,ORL,Point,244,0,76.9%,8,3.0%,17,1.1%,94,50.0%
Ike Diogu,23.1,GSW,Big,199,75,77.1%,82,21.4%,83,2.4%,85,33.3%
Ike Diogu,23.1,IND,Big,494,86,79.3%,74,19.4%,78,2.1%,30,20.0%
DeSagana Diop,24.8,DAL,Big,1400,15,55.0%,82,21.5%,5,0.8%,16,16.2%
Juan Dixon,28.1,POR,Combo,1211,62,83.3%,29,6.1%,7,1.0%,80,29.6%
Juan Dixon,28.1,TOR,Wing,661,100,93.0%,13,6.2%,24,0.9%,65,25.0%
Michael Doleac,29.4,MIA,Big,639,99,88.6%,6,6.0%,17,1.1%,6,10.0%
Keyon Dooling,26.5,ORL,Combo,1395,55,81.2%,55,10.7%,48,1.6%,61,23.1%
Quincy Douby,22.5,SAC,Combo,286,0,75.0%,25,5.6%,4,0.9%,95,40.0%
Chris Duhon,24.2,CHI,Point,1850,22,76.0%,36,7.0%,15,1.1%,47,20.6%
Tim Duncan,30.5,SAS,Big,2720,33,63.7%,79,20.6%,95,3.2%,55,24.4%
Mike Dunleavy,26.1,GSW,Forward,1001,54,76.8%,35,8.9%,71,1.7%,92,29.4%
Mike Dunleavy,26.1,IND,Wing,1518,56,79.6%,71,11.8%,73,1.8%,25,17.7%
Monta Ellis,21.0,GSW,Combo,2601,26,76.3%,73,13.9%,54,1.6%,52,22.1%
Francisco Elson,30.7,SAS,Big,1289,80,77.5%,36,12.1%,8,0.9%,45,22.2%
Melvin Ely,28.5,CHA,Big,186,63,72.4%,75,19.6%,92,3.0%,6,9.1%
Maurice Evans,28.0,LAL,Wing,1704,49,78.9%,54,10.4%,40,1.1%,46,21.7%
Reggie Evans,26.5,DEN,Big,1106,8,49.7%,95,25.9%,91,2.8%,20,17.1%
Daniel Ewing,23.6,LAC,Point,628,51,81.1%,51,8.3%,34,1.5%,13,8.3%
Jordan Farmar,19.9,LAL,Point,1056,9,69.2%,21,4.6%,6,0.9%,92,46.2%
Raymond Felton,22.3,CHA,Combo,2798,40,79.3%,45,9.0%,68,1.8%,23,17.5%
Michael Finley,33.7,SAS,Forward,1730,96,91.6%,4,4.0%,25,0.9%,59,23.1%
Derek Fisher,32.2,UTA,Combo,2280,83,85.2%,64,11.9%,80,2.2%,38,20.5%
T.J. Ford,23.6,TOR,Point,2229,56,81.4%,79,10.7%,85,2.4%,25,14.2%
Danny Fortson,30.6,OKC,Big,153,0,76.9%,92,24.2%,10,0.9%,99,62.5%
Jeff Foster,29.8,IND,Big,1731,33,63.3%,66,17.5%,59,1.7%,69,26.9%
