Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Ray Allen,32.3,BOS,Wing,984,33,-2.8,39,-2.5,21,-5.2%,58,-1.1%,27,-3.1,32,-1.5,44,-6.9
Rafer Alston,31.3,HOU,Point,125,39,-1.8,72,+8.6,4,-11.3%,6,+5.9%,3,-13.2,7,-6.6,11,-35.1
Carmelo Anthony,23.4,DEN,Forward,146,5,-15.3,0,-27.7,90,+7.3%,78,-3.2%,89,+7.9,75,+3.0,80,+19.7
Leandro Barbosa,24.9,PHX,Combo,137,35,-2.1,55,+2.5,14,-7.3%,79,-3.2%,29,-3.0,7,-7.1,85,+27.1
Andrea Bargnani,22.0,TOR,Big,103,8,-12.5,31,-4.6,32,-2.3%,38,+1.1%,6,-11.4,27,-2.4,4,-66.7
Brent Barry,35.8,SAS,Wing,190,85,+12.8,84,+13.1,57,+1.4%,67,-1.9%,36,-2.3,48,-0.0,26,-16.6
Brandon Bass,22.5,DAL,Big,131,74,+8.0,56,+2.7,63,+2.8%,61,-1.3%,30,-2.8,42,-0.4,32,-13.2
Shane Battier,29.1,HOU,Forward,245,93,+18.4,83,+12.6,15,-6.8%,28,+2.1%,24,-3.7,21,-3.3,46,-4.4
Raja Bell,31.1,PHX,Wing,212,89,+16.0,98,+31.9,69,+3.2%,0,+14.4%,1,-20.5,36,-0.9,0,-115.4
Mike Bibby,29.5,ATL,Point,250,84,+12.5,93,+18.9,23,-4.7%,69,-2.1%,9,-9.9,20,-3.6,16,-27.0
Chauncey Billups,31.1,DET,Point,479,55,+1.6,66,+5.8,34,-2.3%,29,+1.9%,25,-3.4,30,-1.7,39,-10.4
Keith Bogans,27.5,ORL,Wing,291,52,+1.3,74,+8.6,47,-0.7%,9,+5.3%,39,-2.0,61,+1.5,21,-19.3
Carlos Boozer,25.9,UTA,Big,440,43,-1.5,44,-0.8,10,-8.2%,44,+0.6%,71,+3.6,50,+0.2,70,+13.8
Chris Bosh,23.6,TOR,Big,198,7,-14.0,8,-12.8,55,+1.2%,98,-8.7%,90,+9.5,95,+8.4,61,+7.1
