Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Shareef Abdur-Rahim,26.9,ATL,Forward,1955,88,-4.9,34,+0.6,11,+1.9%,62,-2.9,18,+0.7,7,+9.4%,29,+10.3,46,+0.1,45,+0.4%,75,-7.6
Shareef Abdur-Rahim,26.9,POR,Forward,708,66,-1.5,55,-0.1,6,+2.5%,62,-2.8,68,-0.3,32,+2.9%,59,-3.3,39,+0.3,7,+5.2%,51,-0.1
Malik Allen,25.3,MIA,Big,576,9,+6.0,2,+3.7,88,-1.6%,1,+32.0,3,+1.9,13,+6.4%,1,+45.2,9,+1.6,93,-5.3%,6,+21.2
Ray Allen,28.3,SEA,Combo,2147,72,-2.3,98,-2.7,51,+0.0%,99,-20.3,81,-0.7,32,+2.7%,86,-17.5,97,-2.0,60,-1.0%,97,-24.3
Rafer Alston,27.3,MIA,Point,2546,63,-1.1,75,-0.8,97,-2.6%,65,-3.3,89,-1.0,94,-9.7%,78,-12.5,51,-0.0,89,-4.4%,49,+0.4
Chris Andersen,25.3,DEN,Big,1016,65,-1.4,49,+0.1,37,+0.5%,52,-0.8,76,-0.5,40,+1.5%,74,-10.3,27,+0.7,61,-1.1%,36,+4.4
Derek Anderson,29.3,POR,Wing,1807,80,-3.7,97,-2.5,96,-2.3%,95,-16.3,46,+0.1,9,+7.9%,62,-4.4,98,-2.6,97,-7.8%,98,-25.4
Kenny Anderson,33.1,IND,Point,862,58,-0.7,47,+0.1,2,+3.3%,56,-1.5,23,+0.6,4,+11.2%,45,+3.4,64,-0.3,4,+6.5%,61,-3.0
Shandon Anderson,29.8,NYK,Wing,1916,23,+3.3,57,-0.2,13,+1.7%,74,-5.1,60,-0.2,14,+6.3%,88,-18.4,48,+0.1,35,+1.4%,43,+1.8
Carmelo Anthony,19.4,DEN,Wing,2984,10,+5.6,44,+0.2,4,+2.8%,51,-0.6,37,+0.3,12,+7.0%,36,+7.3,64,-0.3,0,+9.4%,69,-6.1
Robert Archibald,23.6,TOR,Big,232,91,-5.5,81,-1.1,29,+0.8%,83,-9.1,30,+0.5,73,-3.6%,37,+6.6,95,-1.8,12,+3.7%,92,-16.7
Gilbert Arenas,21.8,WAS,Combo,2047,11,+5.3,25,+1.0,31,+0.7%,30,+5.1,22,+0.6,23,+4.8%,46,+2.9,37,+0.4,40,+0.9%,35,+4.9
Brandon Armstrong,23.4,NJN,Combo,329,0,+17.4,3,+3.4,18,+1.3%,4,+21.3,2,+2.2,21,+5.1%,4,+30.3,16,+1.1,57,-0.7%,14,+13.6
Darrell Armstrong,35.4,NOH,Point,2212,73,-2.3,43,+0.2,32,+0.7%,48,-0.0,55,-0.1,36,+2.0%,77,-11.5,43,+0.2,57,-0.6%,41,+2.9
Carlos Arroyo,24.3,UTA,Point,1999,13,+4.6,14,+1.7,36,+0.6%,19,+9.3,42,+0.2,34,+2.3%,33,+8.7,9,+1.5,8,+4.7%,20,+11.4
Chucky Atkins,29.2,DET,Point,717,84,-4.4,9,+2.2,84,-1.3%,5,+20.8,8,+1.2,58,-1.3%,3,+33.9,20,+1.0,86,-3.7%,13,+14.2
Chucky Atkins,29.2,BOS,Point,793,96,-7.8,96,-2.4,91,-1.8%,86,-10.3,4,+1.7,75,-3.9%,6,+25.6,100,-4.2,96,-7.1%,99,-30.3
Stacey Augmon,35.2,NOH,Wing,1409,67,-1.5,63,-0.4,74,-0.8%,74,-5.1,66,-0.3,52,-0.3%,79,-13.1,55,-0.1,72,-2.1%,60,-2.9
Vin Baker,31.9,BOS,Big,1003,30,+2.1,10,+2.1,9,+2.1%,9,+14.9,14,+0.9,13,+6.5%,18,+16.3,10,+1.5,7,+5.2%,7,+19.5
Vin Baker,31.9,NYK,Big,301,6,+8.1,10,+2.1,82,-1.2%,9,+14.2,67,-0.3,100,-21.6%,64,-5.0,3,+2.5,43,+0.7%,4,+26.9
