Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Brook Lopez,34.6,MIL,Big,181,0,76.9%,39,9.9%,42,1.4%,76,42.9%
Kevin Love,34.1,MIA,Big,372,0,88.9%,8,3.8%,47,1.4%,71,40.0%
Kyle Lowry,36.6,MIA,Point,633,100,94.7%,25,6.5%,19,1.4%,50,23.1%
Trey Lyles,27.0,SAC,Big,117,0,60.0%,24,7.1%,55,1.7%,61,33.3%
Terance Mann,26.0,LAC,Combo,132,0,66.7%,100,13.5%,19,0.6%,38,20.0%
Caleb Martin,27.1,MIA,Forward,737,50,80.0%,47,8.1%,26,0.4%,63,27.8%
Tyrese Maxey,22.0,PHI,Combo,419,67,90.3%,50,6.9%,25,0.7%,44,21.4%
De'Anthony Melton,24.4,PHI,Combo,269,0,75.0%,6,2.4%,38,0.8%,0,0.0%
Khris Middleton,31.2,MIL,Forward,173,75,86.7%,74,13.5%,79,2.0%,53,23.1%
Davion Mitchell,24.2,SAC,Combo,138,0,83.3%,44,6.5%,0,0.3%,81,66.7%
Donovan Mitchell,26.1,CLE,Combo,206,0,72.2%,75,8.1%,63,1.1%,13,11.1%
Evan Mobley,21.4,CLE,Big,187,0,62.5%,29,7.7%,32,1.2%,0,0.0%
Malik Monk,24.7,SAC,Wing,205,80,89.8%,100,17.1%,96,2.3%,19,5.3%
Moses Moody,20.4,GSW,Wing,135,0,91.7%,96,16.7%,26,0.6%,41,16.7%
Ja Morant,23.2,MEM,Point,187,11,76.9%,75,11.3%,100,3.7%,63,30.8%
Dejounte Murray,26.1,ATL,Combo,226,0,90.9%,38,5.7%,6,0.4%,75,42.9%
Jamal Murray,25.7,DEN,Combo,791,100,92.5%,19,4.3%,100,3.4%,69,38.9%
Keegan Murray,22.2,SAC,Forward,191,0,66.7%,11,3.5%,21,0.4%,0,0.0%
Georges Niang,29.4,PHI,Forward,153,0,0.0%,0,0.0%,0,0.0%,95,0.0%
Royce O'Neale,29.4,BKN,Wing,118,0,100.0%,0,0.0%,37,0.8%,100,0.0%
Josh Okogie,24.2,PHX,Forward,174,0,84.6%,89,14.6%,5,0.2%,37,16.7%
Onyeka Okongwu,21.9,ATL,Big,150,0,58.3%,76,17.1%,39,1.4%,61,33.3%
Chris Paul,37.5,PHX,Point,250,0,50.0%,0,0.0%,6,1.2%,100,0.0%
Cameron Payne,28.2,PHX,Point,146,0,0.0%,13,4.3%,0,0.6%,88,50.0%
Gary Payton II,29.9,GSW,Wing,170,0,71.4%,44,8.2%,15,0.5%,56,25.0%
Jordan Poole,23.4,GSW,Combo,270,0,78.1%,81,9.6%,94,2.9%,63,30.8%
Michael Porter,24.3,DEN,Wing,647,30,79.3%,37,6.9%,19,0.5%,67,29.4%
Bobby Portis,27.7,MIL,Big,105,0,100.0%,13,4.9%,53,1.6%,82,50.0%
Norman Powell,29.4,LAC,Wing,167,20,77.4%,89,15.7%,93,2.3%,74,30.8%
Taurean Prince,28.6,MIN,Forward,162,0,77.8%,42,7.3%,37,0.5%,58,25.0%
Immanuel Quickley,23.4,NYK,Combo,171,0,83.3%,88,9.9%,88,1.5%,0,0.0%
Julius Randle,27.9,NYK,Forward,329,25,70.4%,79,13.8%,84,2.0%,21,13.0%
Austin Reaves,24.4,LAL,Wing,617,90,90.0%,70,10.4%,85,1.8%,52,21.7%
Paul Reed,23.4,PHI,Big,145,0,100.0%,16,5.4%,18,1.0%,82,50.0%
Duncan Robinson,28.5,MIA,Wing,391,0,66.7%,4,0.7%,74,1.4%,93,100.0%
Mitchell Robinson,24.6,NYK,Big,298,0,39.4%,95,21.7%,63,1.9%,24,7.7%
D'Angelo Russell,26.7,LAL,Point,496,11,76.9%,19,5.6%,38,1.8%,25,16.7%
Domantas Sabonis,26.5,SAC,Big,242,15,57.1%,34,8.5%,89,3.3%,45,22.2%
Dennis Schroder,29.1,LAL,Point,447,67,86.1%,44,8.1%,25,1.4%,0,0.0%
Landry Shamet,25.6,PHX,Combo,177,0,75.0%,0,0.0%,31,0.8%,100,0.0%
Marcus Smart,28.7,BOS,Point,668,33,79.4%,63,10.3%,63,2.1%,56,25.0%
Max Strus,26.6,MIA,Wing,707,50,84.8%,11,4.1%,52,0.9%,30,11.1%
Jayson Tatum,24.7,BOS,Forward,797,88,87.6%,68,12.8%,95,2.2%,16,12.1%
Klay Thompson,32.7,GSW,Wing,467,0,87.5%,19,4.4%,48,0.9%,26,10.0%
Xavier Tillman,23.8,MEM,Big,183,0,60.0%,21,6.5%,13,0.5%,61,33.3%
Obi Toppin,24.7,NYK,Big,167,0,80.0%,11,4.4%,0,0.0%,61,33.3%
Karl-Anthony Towns,27.0,MIN,Big,249,69,82.1%,89,19.4%,97,3.9%,89,52.4%
PJ Tucker,37.5,PHI,Big,292,0,66.7%,5,2.0%,34,1.3%,97,100.0%
Jarred Vanderbilt,23.6,LAL,Big,269,0,70.0%,63,14.1%,50,1.4%,0,0.0%
Gabe Vincent,26.4,MIA,Combo,716,50,87.9%,31,5.0%,81,1.2%,50,23.1%
Lonnie Walker,23.9,LAL,Wing,154,0,75.0%,59,10.0%,7,0.3%,0,0.0%
Russell Westbrook,34.0,LAC,Point,192,0,88.0%,94,12.3%,31,1.6%,81,35.7%
Derrick White,28.3,BOS,Combo,590,83,91.2%,63,7.7%,44,1.0%,19,13.3%
Andrew Wiggins,27.7,GSW,Forward,441,13,68.1%,58,10.2%,74,1.6%,26,15.0%
Grant Williams,23.9,BOS,Big,237,0,80.0%,42,10.0%,8,0.4%,0,0.0%
Robert Williams,25.0,BOS,Big,410,31,67.9%,79,18.5%,16,0.7%,79,47.1%
Trae Young,24.1,ATL,Point,266,56,86.0%,50,8.5%,94,3.1%,69,33.3%
Cody Zeller,30.1,MIA,Big,163,0,40.0%,61,12.5%,45,1.4%,37,20.0%
Ivica Zubac,25.6,LAC,Big,129,0,75.0%,87,18.9%,68,2.3%,0,0.0%
