Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Jeff Adrien,24.7,GSW,Big,159,71,-1.2%,11,+4.7%,98,-10.7%,9,+4.6%,88,-2.9%,16,+6.5%,48,+0.0%,30,+1.8%
Arron Afflalo,25.0,DEN,Wing,2270,47,+0.2%,51,+0.1%,22,+3.0%,30,+1.7%,18,+2.2%,87,-7.1%,28,+2.5%,56,-0.5%
Alexis Ajinca,22.5,TOR,Big,240,100,-7.2%,98,-7.7%,97,-9.0%,87,-3.8%,97,-5.9%,31,+2.7%,98,-8.9%,93,-5.0%
Cole Aldrich,22.0,OKC,Big,101,98,-4.7%,6,+6.1%,99,-13.2%,12,+3.9%,96,-4.9%,100,-28.6%,100,-25.0%,100,-25.9%
LaMarcus Aldridge,25.3,POR,Big,3202,77,-1.6%,67,-1.3%,22,+2.9%,76,-2.3%,51,-0.1%,35,+2.2%,51,-0.3%,44,+0.4%
Malik Allen,32.3,ORL,Big,159,1,+4.7%,23,+2.9%,89,-5.2%,5,+5.8%,20,+2.1%,99,-17.0%,0,+17.6%,3,+7.9%
Ray Allen,35.3,BOS,Wing,2883,17,+2.2%,45,+0.6%,37,+1.4%,59,-0.7%,46,+0.2%,44,+0.6%,11,+5.4%,15,+4.1%
Tony Allen,28.8,MEM,Combo,1474,66,-0.8%,43,+0.8%,46,+0.5%,62,-0.9%,53,-0.2%,59,-1.2%,74,-2.4%,68,-1.7%
Al-Farouq Aminu,20.1,LAC,Wing,1391,35,+0.9%,38,+1.2%,85,-4.2%,79,-2.6%,91,-3.3%,24,+4.2%,10,+5.7%,7,+5.4%
Lou Amundson,27.9,GSW,Big,664,77,-1.6%,67,-1.3%,24,+2.7%,99,-9.6%,93,-3.8%,7,+11.0%,76,-2.8%,37,+1.1%
