Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
LaMarcus Aldridge,23.3,POR,Big,236,0,70.0%,18,8.3%,88,3.5%,55,22.2%
Ray Allen,33.3,BOS,Wing,564,100,94.8%,42,8.1%,88,2.9%,39,16.7%
Rafer Alston,32.3,ORL,Point,739,43,75.0%,35,4.9%,29,1.9%,59,28.6%
Chris Andersen,30.3,DEN,Big,317,19,63.9%,60,16.4%,68,2.4%,35,20.0%
Carmelo Anthony,24.4,DEN,Forward,610,100,82.6%,90,16.4%,90,3.7%,60,20.0%
Trevor Ariza,23.3,LAL,Wing,720,6,56.3%,73,13.9%,15,0.6%,42,17.2%
J.J. Barea,24.4,DAL,Combo,207,0,69.2%,50,8.2%,58,1.4%,50,16.7%
Brandon Bass,23.5,DAL,Big,186,95,90.3%,88,21.1%,60,2.1%,35,20.0%
Tony Battie,32.7,ORL,Big,124,0,60.0%,10,6.7%,25,1.2%,73,33.3%
Shane Battier,30.1,HOU,Wing,495,0,95.7%,12,3.6%,30,1.0%,0,0.0%
Michael Beasley,19.8,MIA,Big,163,0,66.7%,8,5.8%,43,1.8%,0,0.0%
Mike Bibby,30.5,ATL,Point,387,0,95.0%,24,4.7%,59,2.1%,76,40.0%
Chauncey Billups,32.1,DEN,Combo,616,100,90.6%,100,17.2%,100,2.9%,58,20.5%
Steve Blake,28.7,POR,Point,229,0,71.4%,18,4.3%,76,2.7%,88,50.0%
Carlos Boozer,26.9,UTA,Big,185,76,77.1%,80,18.4%,35,1.4%,23,6.3%
Bruce Bowen,37.4,SAS,Wing,122,0,100.0%,33,7.7%,21,0.8%,0,0.0%
Ronnie Brewer,23.6,UTA,Wing,157,0,68.8%,82,16.1%,6,0.6%,52,22.2%
Aaron Brooks,23.8,HOU,Combo,438,0,80.4%,25,5.2%,83,2.9%,0,0.0%
Shannon Brown,22.9,LAL,Point,260,0,79.2%,82,12.2%,12,1.2%,35,9.1%
Kobe Bryant,30.2,LAL,Wing,939,88,88.3%,67,13.4%,94,3.6%,64,26.9%
Rasual Butler,29.4,NOP,Wing,155,0,100.0%,36,7.9%,27,0.9%,73,33.3%
Andrew Bynum,21.0,LAL,Big,399,24,65.1%,73,17.5%,55,2.0%,83,36.0%
Anthony Carter,33.4,DEN,Point,212,0,50.0%,12,4.0%,0,0.6%,0,0.0%
Mario Chalmers,22.5,MIA,Point,230,0,71.4%,6,3.9%,76,2.7%,88,50.0%
Daequan Cook,21.5,MIA,Wing,142,0,0.0%,0,0.0%,0,0.0%,97,0.0%
Samuel Dalembert,28.5,PHI,Big,133,0,75.0%,5,3.8%,13,0.7%,0,0.0%
Erick Dampier,33.3,DAL,Big,254,0,61.9%,90,21.4%,45,1.9%,73,33.3%
Glen Davis,22.8,BOS,Big,509,52,71.0%,75,17.6%,30,1.4%,33,19.4%
Tim Duncan,32.5,SAS,Big,163,5,60.7%,68,17.0%,63,2.1%,68,26.7%
Maurice Evans,30.0,ATL,Wing,244,0,66.7%,6,1.9%,3,0.2%,94,100.0%
Jordan Farmar,21.9,LAL,Point,246,0,71.4%,0,3.6%,35,1.9%,100,66.7%
Rudy Fernandez,23.6,POR,Wing,158,0,100.0%,21,5.6%,48,1.6%,88,50.0%
Michael Finley,35.7,SAS,Forward,143,0,75.0%,20,2.9%,0,0.3%,0,0.0%
Derek Fisher,34.2,LAL,Point,635,100,86.1%,41,5.3%,18,1.2%,0,0.0%
Pau Gasol,28.3,LAL,Big,926,57,71.4%,65,17.0%,75,2.8%,55,22.2%
Daniel Gibson,22.7,CLE,Combo,152,0,100.0%,33,5.6%,17,0.9%,0,0.0%
Ben Gordon,25.6,CHI,Wing,303,81,87.5%,79,14.6%,61,2.0%,24,13.6%
Marcin Gortat,24.7,ORL,Big,263,0,60.0%,23,8.9%,40,1.7%,35,20.0%
Willie Green,27.3,PHI,Wing,147,0,33.3%,15,3.8%,45,1.4%,88,50.0%
Richard Hamilton,30.7,DET,Wing,153,0,90.0%,39,8.1%,55,1.7%,45,20.0%
Udonis Haslem,28.4,MIA,Big,203,0,90.0%,30,9.8%,5,0.3%,0,0.0%
Chuck Hayes,25.4,HOU,Big,168,0,0.0%,0,0.0%,8,0.6%,98,0.0%
Nene Hilario,26.1,DEN,Big,521,29,65.7%,93,22.1%,65,2.2%,85,37.5%
Kirk Hinrich,27.8,CHI,Combo,207,0,68.0%,75,11.9%,67,1.5%,0,0.0%
Al Horford,22.4,ATL,Big,251,0,66.7%,45,13.4%,38,1.6%,0,0.0%
Eddie House,30.5,BOS,Combo,224,0,90.9%,17,1.4%,75,1.6%,92,100.0%
Dwight Howard,22.9,ORL,Big,900,14,63.7%,100,27.5%,98,5.9%,43,20.2%
Josh Howard,28.5,DAL,Wing,294,38,77.6%,61,13.2%,76,2.5%,33,15.8%
Andre Iguodala,24.8,PHI,Wing,268,19,65.2%,91,18.6%,91,2.9%,27,14.3%
Zydrunas Ilgauskas,33.4,CLE,Big,406,48,67.7%,25,9.4%,23,1.1%,50,21.4%
LeBron James,23.8,CLE,Forward,578,50,74.7%,100,22.8%,100,4.2%,50,18.4%
Anthony Johnson,34.1,ORL,Point,277,0,50.0%,59,7.9%,47,2.0%,41,14.3%
Joe Johnson,27.3,ATL,Wing,428,13,62.2%,48,9.4%,67,2.1%,58,23.5%
Dahntay Jones,27.8,DEN,Wing,262,31,76.2%,100,20.9%,24,0.9%,18,5.3%
James Jones,28.1,MIA,Wing,234,0,91.7%,97,19.4%,52,1.6%,67,28.6%
Jason Kidd,35.6,DAL,Point,386,0,85.0%,29,4.7%,6,0.9%,0,0.0%
Andrei Kirilenko,27.7,UTA,Forward,135,0,71.4%,80,11.3%,50,1.3%,0,0.0%
Linas Kleiza,23.8,DEN,Forward,181,0,70.6%,70,9.8%,20,0.7%,0,0.0%
Kyle Korver,27.6,UTA,Wing,136,0,71.4%,9,2.1%,82,2.6%,0,0.0%
Carl Landry,25.1,HOU,Big,220,0,56.7%,63,16.7%,73,2.5%,63,25.0%
Courtney Lee,23.1,ORL,Wing,548,94,88.5%,24,5.7%,9,0.6%,73,33.3%
Rashard Lewis,29.2,ORL,Big,983,81,78.4%,20,8.6%,80,3.0%,28,12.5%
Kyle Lowry,22.6,HOU,Point,228,29,74.2%,100,20.0%,94,4.2%,53,23.1%
Stephon Marbury,31.7,BOS,Combo,156,0,100.0%,42,6.1%,33,1.2%,75,25.0%
Kenyon Martin,30.8,DEN,Big,536,29,65.7%,33,10.8%,3,0.3%,30,16.7%
Roger Mason Jr.,28.1,SAS,Wing,108,0,66.7%,0,0.0%,42,1.4%,97,0.0%
Antonio McDyess,34.2,DET,Big,135,0,100.0%,10,6.7%,15,0.8%,95,66.7%
Andre Miller,32.6,PHI,Point,257,71,82.4%,88,12.3%,65,2.3%,24,7.1%
Brad Miller,32.6,CHI,Big,185,0,79.2%,48,14.3%,83,3.1%,63,25.0%
Paul Millsap,23.7,UTA,Big,155,0,50.0%,28,9.6%,50,1.9%,90,40.0%
Yao Ming,28.1,HOU,Big,322,90,90.2%,43,12.7%,95,5.0%,50,21.4%
Ronald Murray,29.3,ATL,Combo,323,67,86.5%,83,12.8%,50,1.3%,42,12.5%
Joakim Noah,23.7,CHI,Big,271,0,76.0%,57,15.8%,48,1.9%,73,33.3%
Dirk Nowitzki,30.4,DAL,Big,393,100,92.5%,70,17.3%,100,6.0%,45,20.6%
Jermaine O'Neal,30.1,MIA,Big,161,71,75.0%,95,22.7%,93,3.9%,0,0.0%
Lamar Odom,29.0,LAL,Big,733,10,61.3%,53,15.7%,33,1.4%,73,33.3%
Travis Outlaw,24.1,POR,Forward,166,0,70.0%,30,3.1%,40,1.2%,0,0.0%
Zaza Pachulia,24.7,ATL,Big,249,67,74.4%,98,26.2%,90,3.9%,0,0.0%
Tony Parker,26.5,SAS,Point,181,14,71.0%,65,11.0%,88,3.6%,29,7.7%
Chris Paul,23.5,NOP,Point,201,0,85.7%,76,11.4%,100,4.3%,65,33.3%
Kendrick Perkins,24.0,BOS,Big,511,38,66.7%,38,11.8%,28,1.3%,85,37.5%
Paul Pierce,31.1,BOS,Wing,555,56,84.2%,85,16.9%,73,2.5%,21,11.4%
Mickael Pietrus,26.7,ORL,Wing,609,25,73.7%,64,13.3%,39,1.1%,61,24.0%
