Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Terry Rozier,23.6,BOS,Combo,687,56,+1.4%,9,-6.6%,55,+0.9%,60,+0.5%,61,+1.4%,69,+1.1%,82,+4.2%,86,+5.3%
Ricky Rubio,27.0,UTA,Point,180,31,-1.6%,31,-2.6%,28,-2.2%,79,+2.8%,55,+0.6%,84,+2.4%,45,-0.5%,63,+2.0%
Domantas Sabonis,21.5,IND,Big,156,28,-1.8%,3,-8.1%,68,+1.8%,89,+5.0%,87,+6.8%,66,+0.9%,53,+0.4%,58,+1.3%
Dario Saric,23.6,PHI,Big,328,40,-0.3%,83,+5.1%,39,-1.1%,17,-4.6%,21,-5.6%,23,-1.4%,69,+1.9%,53,+0.5%
Mike Scott,29.3,WAS,Big,123,96,+8.2%,90,+6.8%,30,-2.1%,21,-4.0%,19,-6.1%,93,+3.2%,15,-3.9%,43,-0.7%
Pascal Siakam,23.6,TOR,Big,159,23,-3.1%,74,+3.6%,34,-1.7%,47,-0.8%,39,-2.5%,23,-1.2%,50,+0.2%,40,-1.1%
Ben Simmons,21.3,PHI,Combo,368,17,-4.1%,98,+9.1%,2,-8.1%,26,-3.3%,2,-11.4%,76,+1.6%,56,+0.7%,65,+2.3%
Marcus Smart,23.7,BOS,Wing,443,25,-2.4%,47,+0.4%,17,-3.6%,37,-1.8%,23,-5.4%,78,+2.0%,77,+2.9%,82,+5.0%
JR Smith,32.1,CLE,Wing,705,81,+5.0%,60,+1.8%,9,-4.9%,20,-4.2%,6,-9.1%,95,+3.6%,80,+3.7%,95,+7.3%
Tony Snell,26.0,MIL,Wing,129,10,-5.4%,88,+6.4%,23,-2.8%,40,-1.6%,30,-4.3%,36,-0.6%,36,-1.5%,34,-2.1%
Lance Stephenson,27.2,IND,Wing,139,65,+2.4%,16,-4.6%,77,+2.9%,63,+0.9%,77,+3.9%,85,+2.5%,28,-1.9%,55,+0.7%
Jeff Teague,29.4,MIN,Point,152,21,-3.2%,34,-1.6%,95,+6.2%,0,-13.9%,12,-7.7%,99,+4.9%,83,+4.3%,98,+9.3%
Klay Thompson,27.7,GSW,Wing,790,63,+2.2%,63,+1.9%,52,+0.2%,35,-2.1%,47,-1.8%,35,-0.7%,56,+0.6%,48,-0.1%
Tristan Thompson,26.6,CLE,Big,398,44,+0.0%,26,-3.7%,77,+3.0%,80,+3.0%,85,+6.1%,80,+2.1%,13,-4.4%,31,-2.4%
Karl-Anthony Towns,22.0,MIN,Big,169,97,+8.5%,81,+4.4%,63,+1.4%,2,-12.7%,3,-11.3%,58,+0.4%,95,+6.4%,94,+6.8%
PJ Tucker,32.5,HOU,Forward,567,90,+5.7%,43,-0.1%,78,+3.1%,55,-0.4%,69,+2.7%,81,+2.2%,11,-4.8%,27,-2.6%
Myles Turner,21.6,IND,Big,195,46,+0.1%,94,+7.5%,27,-2.6%,41,-1.4%,33,-3.9%,11,-2.5%,39,-1.1%,20,-3.6%
Jonas Valanciunas,25.5,TOR,Big,243,64,+2.3%,75,+3.6%,90,+4.9%,51,-0.7%,77,+4.3%,55,+0.0%,2,-7.9%,5,-7.9%
Fred VanVleet,23.7,TOR,Combo,109,80,+4.9%,85,+5.6%,11,-4.7%,15,-5.2%,5,-9.9%,52,-0.1%,84,+4.4%,77,+4.2%
Dwyane Wade,35.8,MIA,Combo,126,19,-3.8%,54,+1.4%,73,+2.6%,62,+0.6%,71,+3.2%,37,-0.6%,15,-3.9%,15,-4.5%
John Wall,27.2,WAS,Point,233,93,+7.2%,22,-4.1%,13,-4.1%,90,+5.4%,62,+1.4%,45,-0.3%,77,+3.1%,68,+2.8%
David West,37.2,GSW,Big,168,39,-0.5%,15,-5.2%,58,+0.9%,94,+6.9%,90,+7.8%,31,-0.9%,32,-1.7%,26,-2.6%
Russell Westbrook,29.0,OKC,Point,235,1,-12.2%,40,-0.6%,85,+4.0%,65,+1.1%,81,+5.1%,71,+1.2%,8,-5.8%,14,-4.6%
Andrew Wiggins,22.7,MIN,Wing,163,5,-7.1%,1,-10.8%,99,+7.7%,25,-3.4%,78,+4.3%,81,+2.3%,81,+4.2%,94,+6.5%
Justise Winslow,21.6,MIA,Forward,122,70,+3.2%,60,+1.8%,43,-0.5%,14,-5.5%,19,-6.0%,77,+1.8%,72,+2.3%,77,+4.1%
Delon Wright,25.5,TOR,Combo,195,2,-7.9%,95,+7.5%,15,-3.8%,22,-4.0%,11,-7.8%,57,+0.2%,49,+0.1%,50,+0.3%
Nick Young,32.4,GSW,Wing,159,2,-8.2%,46,+0.4%,18,-3.6%,28,-3.0%,17,-6.6%,64,+0.8%,90,+5.4%,92,+6.2%
Thaddeus Young,29.4,IND,Big,232,35,-1.0%,100,+11.6%,33,-1.8%,6,-7.3%,6,-9.1%,40,-0.5%,26,-2.0%,29,-2.5%
Quinn Cook,24.6,GSW,Point,130,13,-4.5%,25,-4.0%,56,+0.9%,100,+10.7%,98,+11.6%,56,+0.1%,3,-7.7%,6,-7.6%
Jordan Bell,22.8,GSW,Big,133,57,+1.5%,61,+1.9%,53,+0.3%,30,-2.8%,40,-2.4%,59,+0.5%,48,+0.1%,54,+0.6%
OG Anunoby,20.3,TOR,Forward,237,98,+9.8%,18,-4.5%,79,+3.2%,58,+0.3%,75,+3.5%,88,+2.8%,29,-1.9%,56,+1.0%
Jayson Tatum,19.7,BOS,Forward,674,69,+2.9%,79,+4.1%,37,-1.2%,45,-1.0%,42,-2.2%,47,-0.2%,31,-1.7%,36,-1.9%
Semi Ojeleye,22.9,BOS,Forward,206,41,-0.3%,29,-2.9%,81,+3.7%,69,+1.8%,83,+5.5%,60,+0.6%,17,-3.2%,27,-2.6%
Donovan Mitchell,21.1,UTA,Combo,409,31,-1.2%,32,-2.4%,65,+1.5%,71,+1.9%,73,+3.4%,91,+3.0%,14,-4.0%,41,-1.1%
Royce O'Neale,24.4,UTA,Wing,254,8,-5.9%,69,+2.5%,8,-5.3%,31,-2.7%,10,-8.0%,38,-0.6%,94,+6.1%,89,+5.5%
