Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Malik Allen,25.3,MIA,Big,132,38,44.7%,38,44.7%,0,0.0%,0,57.1%,78,57%,95,17%,57,73%,0,0%
Rafer Alston,27.3,MIA,Point,288,29,40.5%,71,44.4%,15,25.0%,0,82.6%,41,46%,94,0%,47,27%,29,83%
Shandon Anderson,29.8,NYK,Wing,111,0,30.8%,0,26.3%,0,28.6%,0,50.0%,0,100%,0,100%,0,0%,8,100%
Carmelo Anthony,19.4,DEN,Wing,144,8,34.4%,17,35.8%,0,18.2%,0,80.0%,67,57%,33,70%,56,44%,100,50%
Darrell Armstrong,35.4,NOP,Point,149,0,30.9%,6,33.3%,0,20.0%,0,100.0%,0,75%,0,0%,6,67%,53,80%
Chucky Atkins,29.2,BOS,Point,134,71,47.4%,88,48.3%,0,30.0%,0,89.5%,71,35%,24,33%,76,20%,76,67%
Stacey Augmon,35.2,NOP,Wing,165,14,38.3%,25,38.3%,0,0.0%,0,88.9%,72,56%,0,100%,53,47%,0,0%
Jonathan Bender,22.8,IND,Big,186,50,46.0%,18,42.5%,50,34.8%,0,71.4%,83,56%,90,38%,95,33%,75,100%
Mike Bibby,25.5,SAC,Point,498,76,49.0%,53,42.6%,92,43.6%,100,87.3%,24,56%,12,37%,24,45%,24,92%
Chauncey Billups,27.1,DET,Combo,882,33,44.6%,33,40.8%,75,34.6%,100,89.0%,89,38%,100,28%,67,27%,89,59%
Mark Blount,27.9,BOS,Big,144,63,48.6%,63,48.6%,0,0.0%,0,73.7%,3,88%,0,89%,28,88%,0,0%
Bruce Bowen,32.4,SAS,Wing,297,61,45.2%,14,35.3%,71,37.9%,0,23.1%,11,87%,25,75%,22,75%,8,100%
Earl Boykins,27.4,DEN,Point,116,82,49.2%,76,46.8%,0,38.5%,0,80.0%,100,15%,71,20%,88,12%,100,20%
Devin Brown,24.8,SAS,Combo,124,100,56.8%,67,44.4%,0,60.0%,0,57.1%,22,83%,33,60%,11,86%,11,100%
P.J. Brown,34.0,NOP,Big,254,5,36.6%,8,36.6%,0,0.0%,0,90.9%,48,69%,93,36%,20,93%,0,0%
Kobe Bryant,25.2,LAL,Wing,966,47,44.4%,75,45.7%,4,25.8%,40,81.7%,89,47%,92,41%,72,41%,69,88%
Caron Butler,23.6,MIA,Wing,509,19,39.3%,33,40.1%,0,12.5%,53,82.5%,47,64%,58,59%,28,66%,8,100%
Marcus Camby,29.6,DEN,Big,194,70,50.9%,65,49.1%,0,100.0%,0,57.1%,57,67%,45,61%,50,75%,75,100%
Elden Campbell,35.3,DET,Big,125,0,28.6%,0,28.6%,0,0.0%,0,55.6%,0,90%,33,67%,3,100%,0,0%
Sam Cassell,34.0,MIN,Point,496,94,52.7%,94,48.6%,85,41.7%,80,85.2%,76,31%,88,8%,59,25%,82,56%
Kelvin Cato,29.2,HOU,Big,146,95,59.1%,93,59.1%,0,0.0%,0,42.9%,28,77%,3,82%,78,50%,0,0%
Doug Christie,33.5,SAC,Wing,458,50,44.5%,36,40.2%,79,40.0%,80,85.4%,50,64%,64,52%,33,65%,81,83%
Jason Collins,24.9,BKN,Big,263,8,36.8%,10,36.8%,0,0.0%,0,75.0%,78,57%,73,45%,3,100%,0,0%
Austin Croshere,28.5,IND,Forward,204,44,40.7%,0,33.3%,67,33.3%,0,80.0%,44,72%,78,50%,67,50%,11,100%
Marquis Daniels,22.8,DAL,Combo,179,56,45.1%,89,47.7%,0,14.3%,0,65.0%,56,50%,11,75%,89,20%,11,100%
