Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Kyle Anderson,30.1,MIN,Forward,1769,66,-0.7%,37,+0.6%,82,-1.6%,76,-0.9%,87,-2.5%,35,+0.3%,21,+1.6%,20,+1.9%
Giannis Antetokounmpo,28.9,MIL,Forward,2565,58,-0.4%,61,-0.7%,73,-1.0%,71,-0.7%,78,-1.7%,25,+0.8%,21,+1.6%,14,+2.4%
Harrison Barnes,31.4,SAC,Forward,2380,8,+3.0%,30,+1.0%,89,-2.1%,53,-0.1%,85,-2.2%,38,+0.3%,32,+0.9%,29,+1.2%
Nicolas Batum,34.9,PHI,Wing,1470,59,-0.5%,20,+1.9%,47,+0.1%,42,+0.2%,46,+0.3%,76,-0.8%,78,-1.3%,84,-2.1%
Bradley Beal,30.3,PHX,Combo,1759,6,+3.2%,58,-0.4%,79,-1.4%,34,+0.4%,67,-1.1%,7,+1.8%,58,-0.3%,25,+1.5%
Malik Beasley,26.9,MIL,Combo,2330,93,-3.3%,52,-0.1%,20,+1.5%,20,+0.9%,13,+2.4%,87,-1.2%,76,-1.2%,86,-2.4%
Davis Bertans,31.0,CHA,Wing,575,18,+1.8%,95,-4.0%,10,+2.4%,3,+2.2%,2,+4.6%,2,+2.5%,95,-3.0%,61,-0.5%
Patrick Beverley,35.3,PHI,Combo,904,83,-2.0%,89,-2.9%,74,-1.1%,11,+1.3%,47,+0.2%,19,+1.0%,19,+1.7%,10,+2.7%
Patrick Beverley,35.3,MIL,Wing,527,6,+3.3%,66,-1.0%,96,-3.2%,84,-1.1%,97,-4.3%,14,+1.3%,2,+4.0%,2,+5.3%
Bismack Biyombo,31.2,MEM,Big,718,12,+2.4%,96,-4.2%,2,+4.0%,73,-0.7%,7,+3.3%,49,+0.0%,31,+1.0%,32,+1.0%
Bojan Bogdanovic,34.5,DET,Forward,920,5,+3.5%,57,-0.4%,24,+1.3%,80,-1.0%,46,+0.3%,23,+0.9%,68,-0.8%,47,+0.1%
Bojan Bogdanovic,34.5,NYK,Forward,549,25,+1.3%,44,+0.2%,31,+0.9%,10,+1.3%,15,+2.3%,92,-1.6%,70,-0.9%,88,-2.5%
Devin Booker,27.0,PHX,Point,2445,50,-0.0%,93,-3.5%,13,+2.0%,43,+0.1%,17,+2.2%,42,+0.1%,27,+1.2%,27,+1.3%
Malcolm Brogdon,30.9,POR,Combo,1120,85,-2.3%,6,+3.6%,96,-3.5%,14,+1.2%,85,-2.3%,87,-1.2%,55,-0.2%,73,-1.4%
Jaylen Brown,27.0,BOS,Wing,2339,23,+1.5%,39,+0.5%,86,-1.8%,83,-1.1%,92,-2.9%,53,-0.1%,10,+2.5%,14,+2.4%
Reggie Bullock,32.6,HOU,Wing,334,16,+2.0%,25,+1.4%,47,+0.1%,93,-1.8%,75,-1.6%,60,-0.3%,40,+0.5%,45,+0.2%
Alec Burks,32.3,DET,Wing,894,41,+0.5%,21,+1.7%,60,-0.5%,82,-1.1%,74,-1.6%,63,-0.4%,45,+0.2%,53,-0.2%
Alec Burks,32.3,NYK,Wing,304,63,-0.6%,10,+2.8%,26,+1.1%,97,-2.3%,69,-1.2%,80,-0.9%,67,-0.8%,78,-1.7%
Jimmy Butler,34.1,MIA,Forward,2042,69,-0.9%,13,+2.5%,62,-0.6%,63,-0.3%,65,-0.9%,50,-0.0%,81,-1.5%,76,-1.5%
Kentavious Caldwell-Pope,30.7,DEN,Wing,2400,42,+0.4%,80,-1.9%,44,+0.3%,5,+1.9%,16,+2.2%,69,-0.6%,43,+0.3%,57,-0.3%
Clint Capela,29.5,ATL,Big,1882,84,-2.2%,78,-1.8%,6,+2.9%,23,+0.8%,5,+3.7%,53,-0.1%,86,-1.9%,83,-2.0%
Jordan Clarkson,31.4,UTA,Wing,1672,38,+0.6%,25,+1.5%,51,-0.1%,31,+0.5%,43,+0.4%,69,-0.6%,76,-1.2%,82,-1.9%
Mike Conley,36.1,MIN,Point,2193,46,+0.2%,38,+0.6%,17,+1.7%,51,-0.0%,23,+1.7%,91,-1.6%,65,-0.7%,85,-2.3%
Pat Connaughton,30.8,MIL,Wing,1638,4,+4.0%,71,-1.3%,54,-0.2%,97,-2.3%,87,-2.5%,4,+2.1%,20,+1.6%,5,+3.7%
Robert Covington,32.9,PHI,Big,395,91,-3.0%,73,-1.4%,77,-1.3%,42,+0.2%,69,-1.1%,56,-0.2%,8,+2.8%,12,+2.6%
Jae Crowder,33.3,MIL,Forward,1142,10,+2.7%,67,-1.0%,43,+0.3%,24,+0.8%,32,+1.1%,28,+0.7%,66,-0.7%,50,-0.0%
Seth Curry,33.2,DAL,Wing,423,93,-3.3%,82,-2.1%,69,-0.9%,70,-0.6%,72,-1.5%,20,+1.0%,11,+2.5%,6,+3.5%
Seth Curry,33.2,CHA,Wing,158,51,-0.1%,98,-6.1%,1,+4.4%,72,-0.7%,5,+3.8%,76,-0.8%,6,+3.1%,15,+2.3%
Stephen Curry,35.6,GSW,Point,2419,42,+0.4%,83,-2.1%,25,+1.2%,8,+1.5%,11,+2.7%,64,-0.4%,54,-0.2%,63,-0.6%
Anthony Davis,30.6,LAL,Big,2699,61,-0.5%,90,-3.0%,18,+1.6%,4,+2.0%,5,+3.6%,66,-0.5%,53,-0.1%,62,-0.6%
DeMar DeRozan,34.2,CHI,Forward,2987,41,+0.4%,27,+1.2%,82,-1.6%,43,+0.2%,72,-1.5%,43,+0.1%,47,+0.2%,42,+0.3%
