Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Quincy Acy,25.1,SAC,Big,843,89,59.1%,55,53%,10,11%,57,16%,25,27%,88,7%,71,12%,74,19%
Steven Adams,22.3,OKC,Big,1999,93,61.4%,92,80%,45,19%,4,1%,13,20%,0,0%,0,0%,0,0%
Arron Afflalo,30.0,NYK,Wing,2354,55,50.2%,18,15%,97,29%,80,28%,96,57%,53,12%,15,15%,16,28%
Alexis Ajinca,27.5,NOP,Big,815,30,48.8%,29,36%,81,27%,90,37%,93,64%,0,0%,41,0%,36,0%
Cole Aldrich,27.0,LAC,Big,704,90,59.2%,86,73%,80,26%,4,0%,25,27%,0,0%,0,0%,0,0%
LaMarcus Aldridge,30.3,SAS,Big,2251,47,51.3%,25,34%,73,26%,92,39%,94,65%,56,1%,45,1%,48,1%
Lavoy Allen,26.7,IND,Big,1558,47,51.4%,48,48%,70,24%,79,28%,79,52%,0,0%,0,0%,0,0%
Tony Allen,33.8,MEM,Wing,1606,31,47.4%,100,64%,66,16%,23,12%,38,28%,15,6%,0,2%,1,8%
Al-Farouq Aminu,25.1,POR,Forward,2337,56,50.6%,47,33%,39,12%,37,11%,30,22%,82,19%,65,26%,74,45%
Lou Amundson,32.9,NYK,Big,171,4,42.1%,79,70%,46,20%,42,11%,36,30%,0,0%,0,0%,0,0%
Chris Andersen,37.3,MEM,Big,361,78,56.5%,88,76%,2,4%,25,7%,5,11%,61,1%,69,11%,67,13%
Alan Anderson,33.0,WAS,Wing,190,38,48.2%,37,23%,54,13%,2,5%,10,18%,56,13%,95,45%,87,58%
James Anderson,26.6,SAC,Wing,690,13,44.1%,78,35%,56,13%,5,7%,14,20%,31,9%,78,36%,62,45%
Justin Anderson,21.9,DAL,Wing,556,19,45.6%,63,31%,50,13%,38,14%,33,27%,87,19%,37,23%,57,42%
Kyle Anderson,22.1,SAS,Forward,1048,40,49.6%,18,26%,100,32%,98,31%,98,63%,44,11%,2,0%,7,12%
Ryan Anderson,27.5,NOP,Big,1965,34,49.8%,16,29%,19,13%,69,23%,52,36%,82,6%,90,29%,90,35%
Giannis Antetokounmpo,20.9,MIL,Forward,2813,70,52.3%,96,59%,65,16%,58,16%,67,32%,7,3%,12,6%,4,9%
Carmelo Anthony,31.4,NYK,Wing,2524,33,47.6%,52,27%,76,17%,96,34%,91,52%,2,2%,24,19%,10,21%
Trevor Ariza,30.3,HOU,Forward,2853,72,52.5%,40,31%,9,6%,30,9%,7,14%,88,23%,75,31%,88,55%
Darrell Arthur,27.6,DEN,Big,1496,39,50.2%,10,25%,15,12%,94,40%,81,52%,85,7%,79,16%,78,23%
Omer Asik,29.3,NOP,Big,1175,61,53.3%,100,93%,4,6%,7,1%,1,7%,0,0%,0,0%,0,0%
D.J. Augustin,28.0,DEN,Point,631,97,55.8%,57,33%,31,14%,23,13%,18,27%,79,9%,75,31%,74,40%
D.J. Augustin,28.0,OKC,Point,471,48,48.6%,51,31%,15,11%,26,14%,10,25%,90,13%,77,32%,80,44%
Luke Babbitt,26.4,NOP,Forward,798,39,49.5%,26,28%,96,30%,19,7%,77,36%,23,9%,68,27%,60,36%
Leandro Barbosa,32.9,GSW,Wing,955,69,52.3%,88,44%,48,13%,42,15%,37,27%,32,9%,25,19%,17,28%
J.J. Barea,31.3,DAL,Point,1601,89,53.0%,33,26%,87,28%,13,11%,52,40%,56,5%,70,29%,66,34%
Andrea Bargnani,30.0,BKN,Big,612,19,46.1%,5,17%,47,20%,99,58%,99,78%,0,0%,62,5%,60,5%
Harrison Barnes,23.4,GSW,Forward,2008,77,52.7%,35,29%,75,18%,77,21%,84,40%,63,14%,49,17%,40,31%
Matt Barnes,35.6,MEM,Forward,2145,28,47.4%,51,34%,28,10%,21,7%,12,16%,61,14%,84,35%,81,50%
Will Barton,24.8,DEN,Wing,2284,47,49.1%,80,36%,86,21%,30,13%,61,34%,5,5%,51,25%,21,30%
Brandon Bass,30.5,LAL,Big,1287,71,55.3%,74,67%,34,17%,56,16%,41,33%,0,0%,0,0%,0,0%
Nicolas Batum,26.9,CHA,Wing,2434,58,50.6%,22,16%,47,13%,75,26%,69,39%,7,5%,89,40%,63,45%
Jerryd Bayless,27.2,MIL,Combo,1481,95,54.3%,16,20%,29,13%,29,18%,20,31%,91,16%,91,33%,93,49%
Aron Baynes,28.9,DET,Big,1177,42,50.7%,58,56%,85,30%,53,14%,67,44%,46,0%,0,0%,35,0%
Kent Bazemore,26.3,ATL,Wing,2068,64,51.9%,90,45%,18,8%,11,8%,5,16%,68,15%,40,24%,51,39%
Bradley Beal,22.3,WAS,Wing,1695,67,52.1%,53,27%,79,17%,71,24%,74,41%,11,6%,53,26%,25,31%
Michael Beasley,26.8,HOU,Big,355,57,52.7%,43,45%,64,23%,81,28%,78,51%,72,3%,52,1%,58,4%
Marco Belinelli,29.6,SAC,Wing,1659,23,46.5%,7,9%,23,8%,98,39%,83,47%,19,7%,84,37%,61,44%
Patrick Beverley,27.3,HOU,Point,2021,92,54.0%,25,25%,52,18%,3,6%,7,25%,100,22%,69,29%,93,50%
Bismack Biyombo,23.2,TOR,Big,1799,68,54.5%,90,78%,23,14%,28,8%,15,22%,0,0%,0,0%,0,0%
Nemanja Bjelica,27.5,MIN,Big,1012,80,56.6%,23,33%,12,11%,15,4%,6,15%,80,6%,97,46%,96,52%
Tarik Black,23.9,LAL,Big,432,85,57.8%,92,80%,27,15%,18,4%,12,20%,0,0%,0,0%,0,0%
DeJuan Blair,26.5,WAS,Big,175,13,44.2%,52,52%,92,36%,46,13%,73,48%,0,0%,0,0%,0,0%
Steve Blake,35.7,DET,Point,919,93,54.7%,5,12%,0,5%,66,21%,16,27%,97,18%,95,43%,97,61%
Eric Bledsoe,25.9,PHX,Combo,1055,71,50.8%,64,33%,67,18%,67,25%,75,43%,15,3%,38,20%,18,23%
Bojan Bogdanovic,26.5,BKN,Wing,2066,63,51.9%,59,30%,78,17%,16,10%,35,27%,82,18%,46,25%,58,43%
Andrew Bogut,30.9,GSW,Big,1449,96,62.9%,80,71%,83,28%,7,1%,32,29%,0,0%,42,0%,38,0%
Matt Bonner,35.6,SAS,Big,129,99,68.8%,3,16%,28,16%,36,9%,18,25%,93,9%,98,50%,98,59%
Devin Booker,19.0,PHX,Wing,2064,40,48.4%,47,25%,75,17%,76,26%,80,44%,17,6%,48,25%,24,31%
Trevor Booker,27.9,UTA,Big,1612,44,50.9%,75,67%,25,15%,28,8%,16,23%,89,8%,56,2%,64,10%
Chris Bosh,31.6,MIA,Big,1769,50,52.0%,14,27%,33,17%,86,31%,70,47%,87,7%,82,19%,82,26%
Avery Bradley,24.9,BOS,Combo,2518,85,51.8%,33,24%,2,5%,89,33%,47,38%,78,13%,64,25%,76,39%
Elton Brand,36.6,PHI,Big,224,6,42.3%,7,22%,93,37%,93,40%,98,77%,61,1%,0,0%,48,1%
Corey Brewer,29.7,HOU,Forward,1624,14,45.2%,70,41%,58,15%,25,8%,33,23%,91,25%,25,11%,58,36%
Aaron Brooks,30.8,CHI,Point,1065,34,46.4%,41,28%,74,22%,20,12%,34,35%,31,3%,79,33%,67,37%
Anthony Brown,23.1,LAL,Wing,500,7,41.8%,15,14%,19,8%,61,20%,42,28%,86,19%,86,39%,86,58%
Markel Brown,23.8,BKN,Wing,892,27,47.0%,70,32%,35,11%,70,24%,62,34%,40,11%,31,22%,33,33%
Kobe Bryant,37.2,LAL,Wing,1858,8,41.9%,13,13%,80,18%,82,29%,83,47%,10,6%,74,35%,53,41%
Chase Budinger,27.4,IND,Wing,691,25,46.6%,82,38%,75,17%,19,11%,41,28%,59,13%,28,21%,36,34%
Chase Budinger,27.4,PHX,Wing,191,86,54.8%,96,57%,11,7%,0,0%,1,7%,78,17%,26,20%,45,37%
Reggie Bullock,24.6,DET,Wing,373,96,58.4%,33,22%,41,11%,25,13%,28,24%,97,30%,41,24%,82,54%
Trey Burke,23.0,UTA,Point,1319,51,48.8%,18,20%,44,16%,79,25%,59,41%,84,10%,67,29%,72,38%
Alec Burks,24.3,UTA,Combo,793,33,46.2%,82,38%,78,22%,44,20%,67,42%,53,8%,13,13%,15,20%
Caron Butler,35.6,SAC,Wing,170,22,46.4%,1,3%,65,16%,100,52%,100,67%,18,7%,33,22%,19,29%
Jimmy Butler,26.1,CHI,Wing,2469,45,48.8%,83,38%,73,17%,81,28%,82,45%,3,3%,14,13%,6,17%
Rasual Butler,36.4,SAS,Wing,277,97,59.0%,39,24%,30,10%,56,18%,44,28%,89,21%,54,27%,74,48%
Jose Calderon,34.1,NYK,Point,2017,95,55.2%,3,11%,5,8%,95,37%,77,45%,64,6%,85,38%,79,44%
Kentavious Caldwell-Pope,22.7,DET,Wing,2777,39,48.3%,54,28%,74,17%,61,20%,67,37%,39,11%,43,24%,39,35%
Isaiah Canaan,24.4,PHI,Combo,1934,51,48.5%,7,16%,18,11%,2,8%,5,19%,82,14%,100,51%,100,64%
Clint Capela,21.5,HOU,Big,1440,86,58.3%,96,88%,16,12%,0,0%,5,12%,0,0%,0,0%,0,0%
DeMarre Carroll,29.3,TOR,Forward,786,32,47.6%,21,27%,88,22%,32,10%,70,32%,39,10%,77,31%,68,41%
Vince Carter,38.8,MEM,Wing,948,32,47.5%,51,27%,42,12%,47,16%,39,28%,32,9%,82,36%,67,45%
Michael Carter-Williams,24.1,MIL,Point,1637,36,46.7%,79,43%,93,31%,44,18%,87,49%,18,3%,5,6%,5,9%
Omri Casspi,27.4,SAC,Forward,1861,93,56.9%,61,37%,86,21%,4,1%,32,23%,16,7%,81,33%,67,40%
Willie Cauley-Stein,22.2,SAC,Big,1378,81,56.7%,78,69%,61,22%,29,8%,35,30%,53,1%,0,0%,41,1%
Mario Chalmers,29.5,MEM,Combo,1203,40,47.4%,89,40%,82,22%,9,10%,24,32%,42,7%,40,21%,38,28%
Mario Chalmers,29.5,MIA,Combo,117,2,35.0%,80,38%,45,16%,13,13%,15,28%,96,22%,11,13%,60,34%
Tyson Chandler,33.1,PHX,Big,1614,87,58.3%,95,84%,6,8%,27,8%,7,16%,0,0%,0,0%,0,0%
Ian Clark,24.7,GSW,Combo,454,75,51.0%,65,34%,75,21%,0,7%,13,28%,93,17%,44,22%,75,39%
