Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Quincy Acy,24.1,NYK,Big,1179,85,-2.1%,67,-1.4%,64,-1.4%,78,-2.7%,79,-2.0%,58,-1.2%,82,-3.1%,80,-2.6%
Jordan Adams,20.3,MEM,Wing,185,85,-2.1%,81,-2.9%,1,+10.9%,100,-11.3%,63,-0.7%,96,-14.7%,26,+2.5%,75,-2.2%
Steven Adams,21.3,OKC,Big,1767,25,+1.4%,87,-3.9%,27,+2.2%,6,+5.5%,6,+3.9%,13,+7.0%,29,+2.0%,15,+3.3%
Jeff Adrien,28.7,MIN,Big,189,96,-4.1%,64,-1.0%,40,+1.0%,41,+1.1%,36,+1.0%,99,-21.6%,93,-5.3%,100,-10.3%
Arron Afflalo,29.0,DEN,Wing,1746,37,+0.7%,6,+5.3%,15,+3.4%,56,-0.4%,35,+1.2%,91,-8.5%,70,-1.9%,87,-3.5%
Arron Afflalo,29.0,POR,Wing,747,69,-1.1%,90,-4.6%,39,+1.1%,48,+0.6%,41,+0.6%,25,+4.4%,23,+2.8%,16,+3.1%
Alexis Ajinca,26.5,NOP,Big,873,76,-1.5%,92,-5.0%,28,+2.0%,26,+2.4%,19,+2.2%,11,+7.5%,87,-4.1%,72,-1.9%
Furkan Aldemir,23.2,PHI,Big,488,7,+3.5%,24,+2.5%,47,+0.3%,40,+1.2%,40,+0.6%,2,+12.9%,15,+4.0%,2,+6.6%
Cole Aldrich,26.0,NYK,Big,915,73,-1.2%,47,+0.5%,53,-0.4%,61,-0.9%,64,-0.8%,88,-7.6%,54,-0.3%,77,-2.3%
LaMarcus Aldridge,29.3,POR,Big,2508,32,+0.9%,19,+3.2%,25,+2.4%,58,-0.5%,39,+0.8%,33,+2.9%,50,+0.1%,41,+0.8%
Lavoy Allen,25.7,IND,Big,1025,35,+0.8%,23,+2.5%,90,-5.1%,33,+1.8%,69,-1.2%,23,+4.7%,52,-0.2%,39,+0.9%
Tony Allen,32.8,MEM,Wing,1631,91,-2.8%,57,-0.4%,92,-5.9%,93,-5.0%,96,-5.4%,56,-1.1%,53,-0.3%,55,-0.4%
Al-Farouq Aminu,24.1,DAL,Forward,1277,86,-2.1%,89,-4.2%,85,-4.0%,47,+0.6%,76,-1.7%,75,-3.9%,41,+0.9%,57,-0.6%
Lou Amundson,31.9,NYK,Big,856,79,-1.6%,79,-2.6%,36,+1.4%,31,+1.9%,24,+1.7%,36,+2.1%,84,-3.5%,74,-2.1%
Chris Andersen,36.3,MIA,Big,1127,91,-2.8%,61,-0.7%,50,-0.1%,93,-4.9%,87,-2.8%,78,-4.9%,77,-2.7%,86,-3.4%
Alan Anderson,32.0,BKN,Wing,1713,93,-3.2%,50,+0.3%,76,-2.3%,58,-0.5%,71,-1.3%,91,-9.1%,94,-5.9%,97,-6.9%
Kyle Anderson,21.1,SAS,Wing,316,19,+1.9%,19,+3.2%,7,+5.7%,54,-0.2%,18,+2.4%,84,-6.2%,34,+1.5%,56,-0.5%
Ryan Anderson,26.5,NOP,Big,1653,13,+2.7%,31,+1.7%,47,+0.3%,35,+1.7%,36,+1.0%,12,+7.2%,56,-0.5%,36,+1.2%
Giannis Antetokounmpo,19.9,MIL,Forward,2507,18,+2.0%,45,+0.7%,10,+4.4%,76,-2.4%,42,+0.6%,65,-2.3%,10,+5.1%,20,+2.6%
Carmelo Anthony,30.4,NYK,Forward,1424,47,+0.2%,76,-2.2%,76,-2.3%,11,+4.4%,34,+1.2%,74,-3.8%,23,+2.9%,36,+1.1%
Joel Anthony,32.2,DET,Big,367,97,-4.4%,99,-9.9%,36,+1.3%,83,-3.4%,68,-1.1%,79,-5.0%,69,-1.9%,81,-2.7%
Pero Antic,32.3,ATL,Big,1015,43,+0.3%,52,+0.1%,72,-2.1%,69,-1.8%,78,-1.9%,28,+3.8%,29,+2.0%,21,+2.6%
Trevor Ariza,29.3,HOU,Forward,2924,77,-1.5%,57,-0.5%,91,-5.5%,7,+5.0%,46,+0.3%,91,-8.4%,62,-1.0%,83,-3.1%
Darrell Arthur,26.6,DEN,Forward,959,98,-4.7%,74,-2.1%,95,-7.2%,95,-5.6%,98,-6.3%,66,-2.4%,85,-3.6%,84,-3.2%
Omer Asik,28.3,NOP,Big,1975,50,+0.1%,51,+0.1%,48,+0.2%,18,+3.4%,22,+1.9%,67,-2.5%,26,+2.5%,30,+1.6%
D.J. Augustin,27.0,DET,Point,1261,42,+0.5%,14,+3.7%,43,+0.5%,94,-5.1%,83,-2.4%,32,+3.0%,42,+0.8%,33,+1.4%
D.J. Augustin,27.0,OKC,Point,624,97,-4.4%,74,-2.1%,98,-9.9%,57,-0.4%,96,-4.8%,97,-16.0%,81,-3.0%,96,-6.7%
Jeff Ayres,27.5,SAS,Big,274,2,+4.9%,1,+11.1%,42,+0.6%,2,+7.4%,3,+4.9%,95,-12.9%,33,+1.5%,73,-2.0%
Luke Babbitt,25.4,NOP,Forward,748,31,+1.0%,76,-2.3%,38,+1.2%,36,+1.6%,30,+1.4%,39,+1.6%,27,+2.3%,25,+2.2%
Leandro Barbosa,31.9,GSW,Combo,863,15,+2.4%,10,+4.4%,39,+1.1%,65,-1.3%,53,-0.2%,7,+9.3%,54,-0.3%,30,+1.6%
J.J. Barea,30.3,DAL,Combo,1236,33,+0.9%,33,+1.6%,32,+1.7%,80,-3.0%,65,-0.9%,30,+3.2%,37,+1.2%,28,+1.8%
Andrea Bargnani,29.0,NYK,Big,768,18,+2.0%,34,+1.5%,45,+0.4%,45,+0.8%,41,+0.6%,23,+4.8%,18,+3.5%,15,+3.3%
Harrison Barnes,22.4,GSW,Forward,2240,63,-0.8%,88,-4.1%,9,+4.8%,58,-0.6%,22,+2.0%,83,-6.0%,42,+0.8%,58,-0.6%
Matt Barnes,34.6,LAC,Wing,2248,63,-0.8%,69,-1.6%,71,-2.0%,70,-1.9%,79,-2.0%,48,+0.3%,39,+1.1%,40,+0.9%
Earl Barron,33.2,PHX,Big,117,0,+8.9%,3,+7.3%,2,+9.6%,0,+13.1%,0,+12.3%,27,+3.9%,14,+4.2%,10,+4.3%
Will Barton,23.8,POR,Wing,246,53,-0.1%,86,-3.7%,48,+0.1%,39,+1.4%,38,+0.8%,82,-5.8%,8,+5.5%,20,+2.6%
Will Barton,23.8,DEN,Wing,630,100,-6.8%,78,-2.5%,82,-3.2%,97,-7.5%,97,-5.7%,97,-15.6%,97,-7.5%,99,-9.8%
Brandon Bass,29.5,BOS,Big,1917,34,+0.8%,26,+2.2%,48,+0.1%,90,-4.6%,82,-2.3%,10,+7.6%,61,-0.9%,34,+1.4%
Nicolas Batum,25.9,POR,Wing,2376,24,+1.4%,25,+2.3%,24,+2.4%,56,-0.4%,38,+0.8%,8,+8.6%,77,-2.6%,49,+0.1%
Jerryd Bayless,26.2,MIL,Combo,1692,86,-2.1%,60,-0.6%,65,-1.5%,43,+0.9%,53,-0.2%,87,-7.4%,83,-3.3%,92,-4.7%
Aron Baynes,27.9,SAS,Big,1077,65,-0.9%,51,+0.1%,24,+2.4%,88,-4.2%,65,-0.9%,5,+10.2%,94,-6.1%,66,-1.3%
Kent Bazemore,25.3,ATL,Wing,1235,55,-0.1%,79,-2.7%,43,+0.5%,59,-0.8%,54,-0.2%,58,-1.3%,29,+2.0%,40,+0.9%
Bradley Beal,21.3,WAS,Wing,2097,76,-1.5%,25,+2.3%,58,-0.8%,56,-0.4%,60,-0.6%,85,-6.3%,79,-2.9%,88,-3.6%
Michael Beasley,25.8,MIA,Big,495,94,-3.3%,80,-2.8%,44,+0.4%,11,+4.4%,17,+2.4%,88,-7.6%,99,-9.8%,99,-9.1%
Marco Belinelli,28.6,SAS,Combo,1336,11,+2.8%,7,+5.2%,24,+2.5%,62,-1.0%,41,+0.6%,42,+1.2%,25,+2.5%,24,+2.2%
Anthony Bennett,21.6,MIN,Big,839,6,+3.9%,9,+4.7%,8,+5.1%,27,+2.3%,10,+3.3%,58,-1.3%,18,+3.5%,25,+2.2%
Patrick Beverley,26.3,HOU,Point,1717,21,+1.7%,43,+0.7%,41,+0.9%,4,+6.3%,6,+3.8%,86,-6.9%,20,+3.3%,46,+0.3%
Bismack Biyombo,22.2,CHA,Big,1173,85,-2.1%,95,-6.1%,43,+0.5%,71,-2.1%,66,-1.0%,51,-0.1%,49,+0.1%,50,+0.1%
Tarik Black,22.9,HOU,Big,362,6,+3.7%,2,+9.5%,17,+3.1%,26,+2.4%,14,+2.7%,45,+0.8%,74,-2.4%,70,-1.6%
Tarik Black,22.9,LAL,Big,785,17,+2.1%,16,+3.4%,86,-4.2%,4,+6.6%,19,+2.2%,45,+0.9%,41,+0.9%,37,+1.1%
DeJuan Blair,25.5,WAS,Big,100,24,+1.4%,46,+0.7%,3,+7.2%,99,-8.4%,42,+0.6%,86,-6.7%,10,+5.1%,19,+2.8%
Steve Blake,34.7,POR,Point,1488,72,-1.2%,78,-2.6%,16,+3.2%,78,-2.7%,51,-0.1%,75,-4.1%,50,+0.0%,62,-0.9%
Eric Bledsoe,24.9,PHX,Point,2795,80,-1.7%,96,-6.9%,33,+1.6%,82,-3.2%,60,-0.6%,33,+2.7%,19,+3.4%,14,+3.4%
Bojan Bogdanovic,25.5,BKN,Forward,1795,54,-0.1%,68,-1.5%,26,+2.3%,48,+0.6%,31,+1.4%,68,-2.7%,55,-0.4%,63,-1.0%
Andrew Bogut,29.9,GSW,Big,1577,87,-2.2%,99,-9.4%,8,+5.5%,27,+2.3%,7,+3.8%,6,+9.7%,69,-1.9%,41,+0.8%
Matt Bonner,34.6,SAS,Big,846,18,+1.9%,55,-0.3%,64,-1.3%,37,+1.6%,47,+0.3%,10,+7.6%,7,+5.8%,3,+6.3%
Trevor Booker,26.9,UTA,Big,1546,53,-0.1%,56,-0.3%,29,+2.0%,71,-2.1%,54,-0.2%,65,-2.2%,54,-0.4%,63,-1.0%
Carlos Boozer,32.9,LAL,Big,1673,32,+0.9%,32,+1.7%,22,+2.6%,98,-8.4%,91,-3.5%,10,+7.8%,25,+2.6%,11,+4.2%
Chris Bosh,30.6,MIA,Big,1542,47,+0.2%,83,-3.1%,19,+2.9%,37,+1.6%,21,+2.1%,4,+10.4%,75,-2.4%,34,+1.3%
Avery Bradley,23.9,BOS,Combo,2419,48,+0.1%,53,+0.0%,30,+1.9%,46,+0.7%,30,+1.4%,63,-1.9%,48,+0.3%,54,-0.4%
Elton Brand,35.6,ATL,Big,415,78,-1.6%,96,-6.9%,62,-1.2%,31,+1.9%,44,+0.5%,23,+4.7%,44,+0.7%,33,+1.4%
Corey Brewer,28.7,MIN,Combo,672,15,+2.3%,52,+0.1%,10,+4.3%,74,-2.3%,48,+0.2%,8,+8.6%,21,+3.1%,8,+4.7%
Corey Brewer,28.7,HOU,Wing,1358,82,-1.9%,53,-0.1%,63,-1.3%,96,-6.0%,92,-3.9%,43,+1.1%,77,-2.7%,69,-1.6%
Aaron Brooks,29.8,CHI,Point,1845,58,-0.3%,44,+0.7%,22,+2.5%,77,-2.5%,56,-0.4%,32,+3.0%,63,-1.1%,52,-0.1%
Jabari Brown,21.9,LAL,Wing,549,7,+3.5%,10,+4.5%,19,+2.9%,34,+1.7%,17,+2.4%,57,-1.1%,31,+1.8%,35,+1.3%
Lorenzo Brown,24.2,MIN,Point,530,9,+3.2%,50,+0.2%,36,+1.3%,56,-0.4%,45,+0.4%,1,+15.8%,33,+1.5%,4,+5.9%
Markel Brown,22.8,BKN,Wing,670,5,+4.1%,7,+5.2%,25,+2.4%,49,+0.5%,29,+1.5%,30,+3.3%,6,+6.0%,6,+5.3%
